unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758354898021, K, 3, 4, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758354898157, 5, 28, 732, 150, 427, 295, 567, 4
1758354898157, 5, 24, 727, 148, 422, 293, 564, 2
1758354898157, 12, 15, 724, 148, 424, 303, 563, 7
1758354898157, 3, 8, 721, 153, 425, 302, 560, 4
1758354898157, 6, 4, 721, 152, 427, 291, 562, 3
1758354898157, 0, 0, 731, 150, 428, 292, 568, 1
1758354898157, 3, 0, 721, 148, 422, 296, 567, 3
1758354898157, 4, 0, 719, 149, 421, 295, 571, 3
1758354898157, 6, 0, 731, 152, 424, 291, 564, 3
1758354898157, 3, 8, 722, 150, 434, 291, 561, 3
1758354898157, 7, 0, 732, 156, 426, 295, 566, 2
1758354898157, 12, 1, 729, 152, 427, 293, 563, 3
1758354898157, 8, 3, 722, 150, 427, 291, 567, 2
1758354898157, 0, 8, 724, 153, 429, 296, 560, 4
1758354898157, 1, 11, 723, 149, 426, 289, 564, 2
1758354898157, 3, 26, 727, 150, 435, 292, 571, 1
1758354898157, 3, 17, 727, 148, 431, 291, 560, 3
1758354898157, 8, 20, 721, 151, 427, 291, 569, 4
1758354898157, 9, 28, 728, 150, 429, 303, 570, 3
1758354898157, 7, 24, 720, 157, 424, 293, 563, 3
1758354898157, 5, 24, 727, 149, 423, 294, 568, 3
1758354898157, 0, 23, 727, 150, 427, 293, 567, 3
1758354898157, 1, 15, 719, 150, 423, 293, 571, 3
1758354898157, 0, 8, 719, 150, 423, 290, 566, 2
1758354898157, 2, 4, 723, 149, 422, 289, 560, 5
1758354898157, 5, 0, 720, 150, 424, 288, 569, 2
1758354898157, 3, 3, 727, 152, 426, 288, 569, 4
1758354898157, 4, 5, 724, 148, 428, 291, 567, 3
1758354898157, 4, 0, 724, 150, 421, 293, 575, 4
1758354898157, 0, 0, 721, 152, 424, 291, 567, 1
1758354898157, 2, 0, 721, 151, 424, 295, 571, 3
1758354898157, 3, 0, 730, 150, 429, 295, 568, 3
1758354898157, 8, 4, 728, 151, 424, 291, 565, 5
1758354898157, 11, 7, 724, 148, 423, 292, 568, 3
1758354898157, 3, 7, 728, 149, 424, 304, 571, 3
1758354898157, 9, 14, 719, 151, 435, 289, 576, 3
1758354898157, 8, 16, 719, 151, 423, 288, 570, 7
1758354898157, 5, 21, 727, 150, 423, 302, 561, 4
1758354898157, 5, 26, 731, 150, 423, 290, 571, 5
1758354898157, 7, 38, 726, 150, 429, 288, 566, 3
1758354898157, 3, 26, 718, 151, 423, 289, 568, 5
1758354898157, 8, 23, 727, 149, 424, 296, 567, 5
1758354898157, 1, 13, 732, 154, 424, 288, 569, 2
1758354898157, 0, 7, 728, 150, 426, 293, 571, 2
1758354898157, 1, 3, 727, 149, 430, 289, 557, 2
1758354898157, 4, 0, 719, 152, 420, 289, 563, 3
1758354898157, 5, 0, 723, 151, 424, 294, 567, 3
1758354898157, 1, 0, 727, 148, 424, 289, 564, 3
1758354898157, 4, 0, 727, 150, 427, 289, 561, 3
1758354898157, 14, 0, 723, 148, 428, 292, 567, 2
1758354898157, 6, 0, 721, 151, 422, 289, 563, 4
1758354898157, 8, 15, 727, 149, 426, 291, 559, 6
1758354898157, 0, 6, 727, 150, 427, 292, 567, 5
1758354898157, 0, 6, 719, 151, 422, 298, 558, 3
1758354898157, 0, 10, 721, 159, 422, 294, 569, 4
1758354898157, 0, 14, 727, 151, 427, 287, 566, 9
1758354898157, 6, 14, 726, 149, 423, 289, 563, 4
1758354898157, 10, 22, 718, 150, 425, 289, 563, 4
1758354898157, 4, 25, 727, 150, 425, 287, 558, 3
1758354898157, 0, 24, 731, 151, 423, 288, 566, 8
1758354898157, 0, 40, 732, 152, 425, 292, 567, 3
1758354898157, 4, 25, 719, 151, 426, 289, 560, 4
1758354898157, 1, 15, 727, 151, 425, 293, 562, 3
1758354898157, 8, 8, 723, 150, 433, 289, 563, 2
1758354898157, 2, 2, 720, 149, 428, 297, 564, 3
1758354898157, 0, 0, 723, 149, 423, 293, 567, 2
1758354898157, 10, 0, 726, 151, 423, 289, 566, 3
1758354898157, 6, 0, 723, 148, 424, 288, 569, 4
1758354898157, 3, 0, 727, 149, 426, 288, 559, 4
1758354898157, 6, 0, 724, 153, 427, 290, 564, 3
1758354898157, 2, 0, 727, 147, 425, 287, 570, 4
1758354898157, 7, 0, 727, 149, 423, 292, 559, 4
1758354898157, 7, 16, 723, 150, 424, 293, 564, 3
1758354898157, 5, 8, 725, 150, 425, 290, 567, 2
1758354898157, 5, 9, 723, 151, 425, 292, 564, 5
1758354898157, 8, 17, 724, 150, 429, 290, 564, 2
1758354898157, 3, 17, 719, 150, 424, 293, 566, 3
1758354898157, 1, 37, 721, 148, 427, 294, 563, 4
1758354898157, 6, 27, 727, 148, 425, 290, 563, 4
1758354898157, 8, 25, 724, 152, 425, 291, 564, 3
1758354898157, 1, 24, 719, 151, 425, 288, 567, 3
1758354898157, 8, 21, 727, 145, 425, 291, 568, 4
1758354898157, 5, 14, 721, 152, 425, 288, 567, 6
1758354898157, 5, 7, 726, 148, 429, 295, 574, 4
1758354898157, 0, 2, 718, 148, 428, 301, 568, 3
1758354898157, 0, 5, 725, 149, 429, 286, 573, 3
1758354898157, 1, 0, 720, 149, 425, 287, 567, 3
1758354898157, 4, 0, 727, 149, 425, 291, 563, 4
1758354898157, 2, 0, 724, 150, 422, 288, 575, 3
1758354898157, 2, 0, 723, 148, 423, 286, 565, 3
1758354898157, 4, 0, 721, 151, 426, 291, 568, 3
1758354898157, 5, 1, 720, 148, 432, 291, 567, 2
1758354898157, 11, 4, 727, 146, 426, 288, 573, 5
1758354898157, 5, 7, 720, 153, 427, 288, 568, 3
1758354898157, 2, 9, 727, 149, 427, 288, 568, 16
1758354898157, 5, 14, 724, 150, 427, 299, 568, 3
1758354898157, 0, 16, 726, 148, 429, 291, 568, 13
1758354898157, 13, 22, 727, 154, 426, 287, 568, 3
1758354898157, 4, 25, 727, 148, 423, 290, 569, 3
1758354898157, 6, 24, 732, 148, 425, 291, 561, 12
1758354898157, 6, 25, 725, 147, 428, 290, 569, 2
1758354898157, 4, 36, 720, 148, 422, 295, 571, 4
1758354898157, 6, 14, 727, 149, 428, 287, 572, 5
1758354898157, 5, 8, 726, 147, 430, 289, 572, 4
1758354898157, 2, 2, 724, 153, 431, 287, 568, 5
1758354898157, 4, 7, 726, 148, 423, 288, 571, 3
1758354898157, 4, 0, 719, 150, 428, 298, 563, 3
1758354898157, 9, 0, 729, 150, 423, 288, 568, 1
1758354898157, 4, 0, 720, 151, 427, 291, 567, 4
1758354898157, 19, 0, 720, 158, 429, 291, 568, 3
