unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758355145336, K, -1, 5, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758355145451, 3, 3, 999, 220, 427, 303, 3, 3
1758355145451, 12, 15, 992, 221, 428, 309, 0, 2
1758355145451, 0, 3, 991, 223, 432, 305, 0, 3
1758355145451, 4, 3, 998, 220, 429, 304, 4, 3
1758355145451, 8, 6, 1003, 223, 427, 308, 1, 9
1758355145451, 1, 6, 998, 221, 430, 305, 0, 5
1758355145451, 4, 8, 999, 220, 425, 314, 1, 3
1758355145451, 11, 27, 998, 222, 436, 302, 1, 4
1758355145451, 4, 16, 989, 220, 427, 303, 1, 3
1758355145451, 2, 19, 999, 219, 428, 305, 8, 3
1758355145451, 2, 16, 991, 222, 434, 304, 2, 3
1758355145451, 4, 19, 993, 219, 430, 302, 2, 3
1758355145451, 4, 18, 992, 221, 431, 304, 0, 4
1758355145451, 3, 14, 992, 219, 425, 300, 2, 1
1758355145451, 4, 10, 992, 220, 427, 303, 3, 3
1758355145451, 1, 6, 999, 222, 428, 302, 3, 2
1758355145451, 7, 0, 987, 220, 427, 304, 1, 11
1758355145451, 3, 0, 992, 220, 427, 308, 12, 5
1758355145451, 6, 0, 996, 217, 429, 299, 8, 8
1758355145451, 11, 8, 992, 219, 427, 305, 3, 2
1758355145451, 6, 0, 987, 221, 423, 302, 1, 4
1758355145451, 2, 14, 989, 229, 427, 306, 5, 3
1758355145451, 0, 2, 990, 218, 436, 310, 3, 3
1758355145451, 5, 17, 987, 224, 432, 304, 1, 3
1758355145451, 3, 7, 1003, 217, 431, 302, 2, 3
1758355145451, 4, 6, 991, 220, 427, 303, 1, 3
1758355145451, 6, 24, 1004, 221, 431, 307, 0, 4
1758355145451, 0, 14, 987, 219, 426, 301, 1, 3
1758355145451, 5, 15, 997, 220, 431, 305, 2, 4
1758355145451, 4, 19, 987, 221, 433, 303, 1, 3
1758355145451, 0, 17, 988, 223, 425, 308, 4, 6
1758355145451, 8, 20, 992, 222, 438, 303, 2, 3
1758355145451, 11, 18, 1008, 221, 425, 307, 0, 5
1758355145451, 4, 29, 985, 220, 435, 304, 4, 2
1758355145451, 5, 10, 983, 221, 425, 301, 2, 3
1758355145451, 8, 6, 983, 217, 435, 304, 3, 3
1758355145451, 6, 14, 988, 217, 428, 304, 2, 4
1758355145451, 6, 0, 991, 221, 431, 305, 1, 2
1758355145451, 7, 8, 983, 222, 431, 302, 2, 3
1758355145451, 6, 0, 979, 222, 430, 301, 2, 4
1758355145451, 5, 0, 989, 220, 427, 303, 3, 4
1758355145451, 7, 14, 988, 224, 427, 303, 2, 4
1758355145451, 7, 16, 979, 226, 427, 303, 2, 4
1758355145451, 3, 4, 986, 221, 433, 299, 3, 3
1758355145451, 8, 6, 993, 218, 425, 307, 1, 3
1758355145451, 5, 6, 978, 220, 426, 304, 2, 3
1758355145451, 0, 9, 991, 219, 427, 301, 11, 3
1758355145451, 9, 12, 984, 216, 439, 303, 1, 4
1758355145451, 3, 13, 983, 219, 427, 311, 1, 3
1758355145451, 3, 32, 990, 220, 428, 303, 2, 3
1758355145451, 4, 17, 986, 220, 429, 306, 2, 3
1758355145451, 6, 21, 984, 218, 428, 306, 1, 3
1758355145451, 3, 17, 984, 217, 427, 304, 2, 7
1758355145451, 9, 13, 983, 217, 428, 303, 0, 3
1758355145451, 0, 8, 979, 217, 437, 303, 2, 4
1758355145451, 2, 20, 988, 219, 431, 309, 4, 13
1758355145451, 3, 1, 991, 219, 432, 307, 0, 4
1758355145451, 4, 0, 997, 219, 427, 306, 0, 5
1758355145451, 8, 0, 990, 221, 434, 304, 2, 3
1758355145451, 5, 0, 983, 220, 431, 307, 2, 4
1758355145451, 0, 0, 991, 217, 433, 307, 0, 2
1758355145451, 2, 8, 990, 223, 431, 306, 5, 3
1758355145451, 3, 4, 985, 219, 431, 315, 0, 1
1758355145451, 0, 3, 979, 220, 428, 306, 2, 4
1758355145451, 2, 5, 991, 217, 433, 305, 3, 4
1758355145451, 8, 6, 984, 222, 430, 310, 0, 3
1758355145451, 8, 9, 982, 217, 427, 305, 1, 2
1758355145451, 2, 12, 991, 220, 435, 310, 3, 3
1758355145451, 3, 14, 979, 221, 431, 305, 2, 3
1758355145451, 9, 18, 985, 218, 429, 313, 2, 5
1758355145451, 7, 15, 983, 221, 429, 310, 1, 3
1758355145451, 5, 18, 991, 218, 433, 305, 1, 2
1758355145451, 4, 34, 990, 217, 434, 313, 1, 3
1758355145451, 0, 15, 987, 220, 430, 307, 2, 3
1758355145451, 1, 9, 995, 218, 429, 308, 2, 3
1758355145451, 10, 6, 991, 229, 427, 315, 1, 4
1758355145451, 2, 0, 988, 222, 430, 305, 4, 3
1758355145451, 5, 0, 991, 217, 432, 301, 2, 10
1758355145451, 5, 0, 984, 220, 427, 305, 3, 3
1758355145451, 1, 0, 982, 216, 431, 303, 1, 3
1758355145451, 0, 0, 988, 217, 427, 304, 2, 3
1758355145451, 3, 0, 995, 217, 433, 304, 3, 3
1758355145451, 10, 15, 983, 218, 427, 305, 2, 3
1758355145451, 0, 4, 983, 219, 429, 302, 1, 6
1758355145451, 2, 6, 983, 219, 433, 303, 0, 7
1758355145451, 6, 6, 984, 220, 431, 304, 0, 2
1758355145451, 2, 9, 991, 216, 427, 301, 3, 4
1758355145451, 2, 11, 991, 220, 428, 303, 7, 3
1758355145451, 3, 14, 979, 218, 435, 302, 2, 3
1758355145451, 3, 19, 983, 215, 431, 307, 3, 3
1758355145451, 5, 16, 985, 218, 431, 308, 12, 1
1758355145451, 8, 19, 993, 218, 427, 305, 3, 2
1758355145451, 0, 34, 991, 219, 433, 304, 3, 4
1758355145451, 7, 15, 992, 216, 432, 301, 2, 1
1758355145451, 0, 9, 984, 221, 425, 304, 8, 3
1758355145451, 0, 21, 991, 218, 427, 303, 0, 3
1758355145451, 0, 0, 984, 216, 430, 300, 3, 3
1758355145451, 5, 7, 990, 219, 435, 302, 2, 3
1758355145451, 4, 0, 995, 217, 428, 301, 2, 2
1758355145451, 4, 5, 995, 219, 431, 301, 2, 3
1758355145451, 5, 11, 988, 220, 433, 307, 2, 2
1758355145451, 2, 16, 984, 219, 431, 309, 2, 3
1758355145451, 6, 3, 991, 216, 427, 305, 0, 3
1758355145451, 6, 3, 984, 220, 428, 309, 3, 7
1758355145451, 7, 5, 988, 231, 428, 307, 1, 3
1758355145451, 7, 5, 981, 220, 434, 307, 3, 2
1758355145451, 6, 23, 1002, 221, 430, 303, 1, 3
1758355145451, 3, 13, 988, 222, 427, 304, 1, 3
1758355145451, 3, 28, 979, 220, 428, 305, 2, 4
1758355145451, 5, 20, 991, 222, 430, 308, 0, 4
1758355145451, 6, 17, 991, 220, 435, 304, 2, 2
1758355145451, 3, 19, 984, 222, 427, 309, 3, 2
1758355145451, 4, 19, 983, 219, 428, 312, 2, 9
1758355145451, 6, 12, 983, 221, 427, 306, 3, 1
1758355145452, 2, 21, 983, 223, 430, 303, 2, 7
1758355145452, 3, 8, 988, 220, 429, 309, 2, 1
1758355145454, 7, 12, 988, 223, 428, 303, 4, 5
1758355145471, 5, 0, 991, 219, 434, 303, 2, 3
1758355145471, 2, 0, 988, 221, 428, 305, 1, 3
1758355145471, 7, 0, 983, 220, 429, 303, 0, 4
1758355145471, 10, 0, 984, 220, 430, 304, 7, 3
1758355145471, 2, 0, 983, 226, 431, 308, 3, 3
1758355145471, 3, 1, 979, 222, 431, 306, 1, 4
1758355145471, 4, 6, 984, 219, 429, 308, 4, 2
1758355145471, 4, 6, 989, 221, 427, 307, 1, 2
1758355145471, 4, 6, 988, 222, 428, 307, 8, 4
1758355145471, 2, 8, 983, 220, 430, 307, 3, 2
1758355145471, 0, 12, 991, 222, 435, 316, 1, 3
1758355145471, 4, 14, 984, 220, 431, 304, 0, 3
1758355145471, 6, 34, 988, 221, 428, 304, 1, 3
1758355145471, 1, 19, 979, 221, 427, 307, 2, 4
1758355145471, 3, 19, 979, 221, 431, 307, 2, 10
1758355145471, 1, 18, 990, 221, 431, 307, 3, 3
1758355145471, 8, 12, 984, 223, 429, 308, 1, 3
1758355145483, 8, 9, 984, 221, 430, 311, 2, 3
1758355145483, 4, 5, 983, 223, 423, 304, 2, 4
1758355145483, 2, 11, 990, 218, 424, 309, 3, 3
1758355145483, 2, 10, 983, 219, 428, 308, 1, 2
1758355145483, 7, 0, 993, 219, 423, 307, 2, 2
1758355145483, 1, 0, 987, 220, 431, 307, 2, 4
1758355145483, 5, 5, 991, 221, 431, 305, 2, 4
1758355145483, 5, 14, 984, 221, 432, 309, 1, 3
1758355145483, 10, 2, 978, 217, 429, 309, 1, 2
1758355145483, 0, 3, 984, 219, 434, 305, 1, 3
1758355145483, 1, 19, 983, 222, 432, 307, 2, 10
1758355145483, 6, 8, 988, 217, 427, 305, 0, 2
1758355145483, 3, 10, 991, 219, 428, 305, 1, 3
1758355145496, 1, 13, 991, 217, 427, 308, 2, 3
1758355145496, 0, 15, 999, 218, 433, 305, 3, 3
1758355145496, 2, 19, 983, 218, 437, 307, 2, 3
1758355145496, 5, 17, 987, 220, 428, 309, 1, 3
1758355145496, 12, 31, 991, 221, 427, 305, 0, 3
1758355145496, 10, 19, 984, 217, 430, 311, 2, 9
1758355145496, 5, 24, 991, 215, 431, 315, 1, 2
1758355145496, 7, 9, 995, 217, 431, 312, 1, 4
1758355145496, 4, 6, 985, 222, 423, 306, 1, 2
1758355145496, 6, 0, 991, 223, 429, 304, 1, 3
1758355145496, 0, 0, 990, 220, 429, 312, 2, 3
1758355145496, 1, 0, 983, 223, 429, 307, 1, 3
1758355145510, 6, 0, 987, 219, 428, 305, 4, 3
1758355145510, 1, 0, 991, 220, 430, 308, 0, 3
1758355145510, 0, 0, 992, 219, 427, 308, 1, 2
1758355145510, 4, 0, 993, 222, 429, 309, 1, 2
1758355145510, 6, 3, 985, 223, 425, 312, 2, 3
1758355145510, 7, 5, 990, 218, 431, 307, 0, 1
1758355145510, 3, 4, 990, 219, 430, 310, 1, 13
1758355145510, 9, 15, 996, 223, 424, 309, 9, 4
1758355145510, 8, 13, 992, 219, 428, 307, 1, 4
1758355145510, 6, 14, 999, 221, 427, 312, 3, 3
1758355145510, 6, 18, 987, 221, 423, 312, 1, 2
1758355145510, 5, 31, 990, 224, 424, 313, 4, 2
1758355145510, 5, 20, 987, 224, 428, 313, 2, 5
1758355145510, 0, 18, 983, 224, 428, 311, 1, 1
1758355145510, 4, 12, 991, 224, 423, 308, 1, 3
1758355145524, 11, 8, 995, 222, 421, 311, 4, 2
1758355145524, 0, 5, 993, 224, 429, 311, 0, 3
