unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758352562096, L, -2, 1, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758352562211, 4, 9, 536, 38, 265, 113, 1, 3
1758352562211, 3, 9, 536, 36, 262, 116, 1, 10
1758352562211, 2, 6, 539, 42, 257, 123, 2, 3
1758352562211, 4, 4, 535, 37, 256, 116, 1, 3
1758352562211, 3, 3, 543, 35, 262, 115, 2, 10
1758352562211, 3, 3, 535, 38, 263, 114, 2, 3
1758352562211, 5, 4, 536, 37, 261, 115, 2, 3
1758352562211, 3, 9, 533, 38, 257, 116, 1, 3
1758352562211, 8, 4, 528, 35, 259, 118, 6, 10
1758352562211, 1, 5, 527, 39, 257, 115, 3, 3
1758352562211, 7, 4, 532, 42, 265, 115, 3, 3
1758352562211, 1, 5, 531, 37, 260, 117, 2, 3
1758352562211, 7, 6, 535, 35, 258, 116, 1, 4
1758352562211, 7, 19, 539, 36, 261, 117, 2, 3
1758352562211, 4, 10, 543, 36, 260, 117, 2, 5
1758352562211, 3, 8, 542, 37, 259, 117, 3, 4
1758352562211, 2, 8, 537, 38, 265, 117, 2, 4
1758352562211, 3, 24, 539, 37, 263, 117, 1, 5
1758352562211, 1, 10, 534, 39, 263, 119, 1, 3
1758352562211, 8, 8, 542, 35, 261, 119, 2, 3
1758352562211, 3, 8, 539, 35, 258, 120, 1, 9
1758352562211, 11, 7, 539, 35, 264, 119, 2, 3
1758352562211, 3, 18, 539, 36, 261, 121, 2, 3
1758352562211, 3, 6, 546, 35, 261, 118, 2, 3
1758352562211, 6, 4, 539, 36, 262, 119, 2, 2
1758352562211, 4, 4, 544, 40, 264, 119, 2, 3
1758352562211, 12, 17, 543, 41, 275, 122, 2, 8
1758352562211, 6, 5, 551, 34, 267, 122, 1, 4
1758352562211, 5, 3, 549, 36, 264, 120, 2, 5
1758352562211, 5, 5, 551, 33, 260, 121, 1, 3
