unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758352574107, L, 0, 1, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758352574165, 11, 5, 704, 45, 359, 201, 3, 3
1758352574165, 2, 4, 712, 53, 359, 208, 11, 3
1758352574165, 3, 5, 707, 44, 366, 210, 2, 3
1758352574165, 1, 7, 701, 44, 361, 201, 2, 3
1758352574165, 3, 7, 711, 44, 361, 200, 2, 3
1758352574165, 2, 8, 710, 48, 363, 203, 3, 6
1758352574165, 6, 8, 701, 46, 359, 201, 1, 3
1758352574165, 1, 9, 709, 44, 360, 209, 2, 1
1758352574165, 6, 16, 709, 44, 361, 200, 2, 7
1758352574165, 7, 17, 701, 44, 364, 198, 2, 8
1758352574165, 6, 9, 701, 44, 361, 195, 1, 3
1758352574165, 5, 6, 701, 44, 364, 193, 3, 9
1758352574165, 2, 19, 701, 42, 363, 194, 2, 3
1758352574165, 3, 14, 701, 43, 358, 195, 2, 2
1758352574165, 2, 4, 702, 43, 359, 196, 1, 3
1758352574165, 3, 3, 697, 44, 365, 193, 2, 3
1758352574165, 0, 4, 699, 43, 359, 194, 2, 3
1758352574165, 5, 18, 699, 44, 361, 198, 2, 7
1758352574165, 3, 6, 704, 44, 361, 194, 1, 4
1758352574165, 2, 18, 707, 45, 362, 194, 1, 4
1758352574165, 3, 5, 709, 46, 358, 193, 3, 11
1758352574165, 7, 6, 707, 44, 359, 197, 2, 3
1758352574165, 1, 6, 711, 44, 367, 192, 1, 3
1758352574165, 4, 7, 700, 45, 363, 196, 5, 4
1758352574165, 3, 7, 703, 43, 361, 196, 3, 3
1758352574165, 3, 19, 716, 46, 361, 200, 6, 3
1758352574165, 0, 11, 703, 44, 357, 196, 1, 3
1758352574165, 5, 22, 712, 45, 361, 195, 3, 3
1758352574165, 3, 10, 704, 44, 360, 194, 2, 4
1758352574165, 3, 8, 711, 46, 362, 195, 1, 3
1758352574165, 9, 8, 703, 44, 362, 195, 3, 12
1758352574165, 3, 6, 703, 47, 359, 198, 3, 3
1758352574165, 5, 6, 699, 43, 361, 196, 2, 3
1758352574165, 6, 19, 711, 45, 359, 195, 2, 3
1758352574165, 2, 5, 707, 43, 359, 194, 1, 3
1758352574165, 4, 18, 700, 44, 361, 194, 1, 3
1758352574165, 9, 6, 701, 45, 364, 194, 1, 2
1758352574165, 1, 5, 699, 44, 363, 197, 2, 4
1758352574165, 2, 17, 706, 53, 364, 195, 2, 2
1758352574165, 7, 6, 703, 44, 363, 196, 0, 4
