unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758352658152, L, -2, 1, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758352659293, 11, 7, 589, 34, 338, 181, 2, 2
1758352659293, 2, 14, 584, 33, 335, 182, 2, 3
1758352659293, 3, 6, 584, 42, 337, 182, 1, 2
1758352659293, 1, 5, 593, 31, 339, 184, 10, 4
1758352659293, 4, 4, 586, 33, 336, 181, 2, 10
1758352659293, 3, 19, 584, 33, 336, 182, 1, 3
1758352659293, 4, 11, 583, 34, 335, 182, 2, 11
1758352659293, 1, 5, 584, 32, 339, 182, 2, 4
1758352659293, 14, 4, 589, 35, 336, 182, 1, 4
1758352659293, 2, 5, 581, 40, 338, 181, 2, 4
1758352659293, 5, 18, 584, 32, 335, 183, 7, 2
1758352659293, 5, 7, 583, 35, 338, 182, 2, 2
1758352659293, 2, 6, 590, 36, 339, 185, 3, 3
1758352659293, 4, 7, 591, 34, 337, 182, 2, 4
1758352659293, 4, 8, 590, 35, 337, 182, 2, 4
1758352659293, 4, 8, 585, 33, 340, 184, 2, 3
1758352659293, 15, 24, 587, 35, 338, 184, 1, 10
1758352659293, 1, 11, 589, 34, 337, 183, 2, 4
1758352659293, 9, 10, 593, 35, 341, 184, 7, 3
1758352659293, 7, 8, 585, 32, 347, 184, 2, 3
1758352659293, 2, 8, 600, 34, 336, 185, 2, 3
1758352659293, 5, 21, 592, 35, 337, 184, 2, 3
1758352659293, 3, 7, 597, 41, 337, 185, 2, 2
1758352659293, 2, 4, 589, 35, 335, 186, 2, 3
1758352659293, 3, 4, 588, 32, 337, 189, 2, 3
1758352659293, 6, 17, 589, 33, 337, 184, 6, 4
1758352659293, 5, 6, 591, 37, 335, 184, 2, 3
1758352659293, 4, 4, 593, 34, 347, 185, 3, 3
1758352659293, 3, 4, 587, 33, 337, 184, 2, 3
1758352659293, 7, 3, 591, 35, 337, 183, 2, 3
1758352659293, 6, 17, 587, 34, 337, 183, 2, 2
1758352659293, 4, 7, 587, 34, 337, 185, 2, 6
1758352659293, 7, 6, 594, 32, 337, 190, 2, 3
1758352659293, 4, 6, 587, 34, 335, 184, 1, 3
1758352659293, 4, 8, 587, 33, 337, 185, 2, 3
1758352659293, 2, 8, 590, 35, 335, 186, 1, 5
1758352659293, 3, 8, 591, 35, 338, 184, 2, 4
1758352659293, 7, 20, 587, 43, 340, 183, 2, 1
1758352659293, 2, 24, 590, 36, 343, 184, 1, 2
