unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758352867768, L, 2, 2, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758352867866, 5, 17, 856, 140, 355, 248, 4, 4
1758352867866, 4, 17, 855, 140, 353, 251, 2, 3
1758352867866, 3, 7, 861, 141, 357, 248, 3, 3
1758352867866, 2, 6, 859, 138, 362, 249, 4, 3
1758352867866, 3, 8, 867, 140, 355, 250, 1, 4
1758352867866, 3, 22, 856, 138, 357, 250, 1, 3
1758352867866, 2, 11, 852, 140, 355, 249, 1, 3
1758352867866, 15, 9, 855, 138, 356, 251, 1, 8
1758352867866, 3, 10, 851, 143, 352, 249, 3, 3
1758352867866, 4, 24, 855, 139, 359, 249, 2, 4
1758352867866, 3, 10, 864, 139, 357, 249, 1, 3
1758352867866, 5, 7, 859, 137, 353, 254, 2, 3
1758352867866, 4, 19, 866, 140, 356, 253, 1, 3
1758352867866, 1, 7, 859, 138, 356, 255, 1, 3
1758352867866, 3, 4, 864, 137, 356, 247, 2, 3
1758352867866, 1, 4, 858, 139, 359, 251, 2, 4
1758352867866, 4, 5, 859, 137, 356, 252, 1, 3
1758352867866, 3, 15, 864, 142, 356, 249, 3, 3
1758352867866, 1, 6, 858, 143, 356, 254, 1, 2
1758352867866, 4, 5, 859, 136, 359, 252, 2, 2
1758352867866, 5, 5, 856, 138, 356, 250, 2, 3
1758352867866, 12, 7, 850, 140, 356, 257, 1, 3
1758352867866, 4, 22, 850, 139, 358, 251, 1, 4
1758352867866, 4, 8, 851, 138, 355, 249, 5, 3
1758352867866, 4, 23, 864, 143, 352, 251, 2, 3
1758352867866, 6, 10, 864, 139, 356, 250, 2, 10
1758352867866, 4, 10, 859, 142, 355, 251, 3, 3
1758352867866, 1, 10, 851, 145, 355, 251, 2, 5
1758352867866, 4, 9, 856, 140, 359, 249, 2, 4
1758352867866, 5, 9, 859, 139, 353, 251, 2, 3
1758352867866, 4, 24, 859, 143, 353, 249, 2, 3
1758352867866, 4, 9, 849, 143, 353, 248, 9, 2
1758352867866, 6, 6, 856, 139, 356, 251, 2, 3
1758352867866, 1, 5, 857, 140, 361, 251, 2, 2
1758352867866, 2, 3, 854, 140, 356, 252, 1, 3
1758352867866, 5, 4, 849, 140, 356, 252, 1, 3
1758352867866, 5, 4, 847, 140, 353, 251, 2, 5
1758352867866, 3, 3, 857, 151, 358, 252, 2, 4
1758352867866, 3, 3, 855, 139, 357, 247, 2, 3
1758352867866, 4, 18, 856, 140, 353, 252, 2, 5
1758352867866, 4, 7, 855, 138, 355, 247, 3, 4
1758352867866, 4, 5, 856, 139, 355, 249, 2, 3
1758352867866, 4, 7, 847, 140, 352, 252, 1, 3
1758352867866, 3, 5, 855, 145, 360, 258, 2, 3
1758352867866, 10, 7, 857, 143, 355, 247, 1, 4
1758352867866, 6, 7, 859, 141, 357, 247, 2, 4
1758352867866, 6, 9, 851, 141, 354, 248, 4, 2
1758352867866, 4, 9, 847, 140, 355, 248, 1, 3
1758352867866, 7, 10, 859, 141, 353, 249, 0, 4
1758352867866, 6, 7, 868, 140, 359, 251, 1, 4
1758352867866, 4, 8, 857, 140, 354, 254, 2, 3
1758352867866, 2, 6, 848, 143, 357, 251, 2, 3
1758352867866, 11, 6, 855, 138, 358, 249, 2, 4
1758352867866, 2, 3, 852, 138, 359, 250, 9, 2
1758352867866, 0, 8, 855, 139, 359, 248, 1, 9
1758352867866, 3, 4, 848, 139, 357, 248, 2, 3
1758352867866, 3, 3, 855, 148, 354, 251, 2, 3
1758352867866, 4, 4, 848, 137, 354, 260, 2, 7
1758352867866, 2, 3, 856, 142, 356, 249, 1, 3
1758352867866, 6, 4, 852, 139, 359, 248, 2, 3
1758352867866, 3, 4, 847, 140, 355, 247, 2, 2
1758352867866, 3, 4, 855, 139, 356, 248, 3, 2
1758352867866, 4, 5, 855, 135, 359, 253, 1, 2
1758352867866, 4, 6, 854, 136, 357, 248, 5, 4
1758352867866, 4, 8, 847, 140, 356, 249, 2, 3
1758352867866, 4, 8, 852, 141, 355, 250, 2, 3
1758352867866, 3, 15, 847, 142, 359, 251, 2, 4
1758352867866, 3, 10, 852, 135, 358, 251, 3, 4
1758352867866, 3, 9, 860, 138, 363, 248, 3, 3
1758352867866, 6, 19, 847, 139, 355, 248, 2, 4
1758352867866, 3, 9, 855, 139, 354, 256, 2, 3
1758352867866, 5, 7, 849, 139, 355, 247, 2, 6
1758352867866, 3, 5, 854, 136, 359, 251, 1, 3
1758352867866, 6, 4, 855, 137, 360, 254, 2, 3
1758352867866, 3, 3, 856, 137, 360, 248, 2, 3
1758352867866, 4, 4, 859, 137, 356, 247, 3, 1
