unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758352879769, L, 3, 2, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758352879844, 6, 9, 800, 100, 367, 265, 1, 3
1758352879844, 5, 10, 807, 101, 363, 267, 0, 3
1758352879844, 2, 10, 803, 101, 367, 267, 1, 3
1758352879844, 4, 8, 811, 98, 364, 262, 1, 4
1758352879844, 5, 9, 802, 104, 370, 267, 1, 7
1758352879844, 2, 8, 804, 101, 366, 264, 2, 2
1758352879844, 6, 5, 810, 100, 366, 266, 6, 2
1758352879844, 3, 4, 803, 99, 367, 266, 2, 3
1758352879844, 5, 4, 810, 100, 367, 266, 1, 4
1758352879844, 3, 17, 808, 102, 363, 271, 1, 3
1758352879844, 3, 5, 811, 97, 363, 265, 2, 1
1758352879844, 0, 4, 811, 99, 367, 262, 1, 2
1758352879844, 5, 4, 801, 101, 366, 265, 2, 2
1758352879844, 1, 15, 812, 96, 367, 262, 1, 7
1758352879844, 0, 6, 811, 99, 363, 270, 5, 4
1758352879844, 1, 6, 804, 98, 365, 264, 2, 3
1758352879844, 6, 21, 811, 99, 363, 266, 2, 3
1758352879844, 5, 8, 811, 99, 366, 264, 2, 3
1758352879844, 1, 8, 801, 97, 364, 263, 2, 2
1758352879844, 6, 8, 801, 100, 363, 263, 2, 6
1758352879844, 4, 9, 811, 96, 363, 264, 2, 4
1758352879844, 4, 10, 804, 99, 367, 265, 3, 3
1758352879844, 3, 9, 803, 95, 367, 264, 1, 3
1758352879844, 9, 8, 800, 98, 366, 264, 1, 4
1758352879844, 2, 8, 803, 101, 366, 263, 3, 2
1758352879844, 4, 7, 806, 99, 366, 264, 2, 3
1758352879844, 6, 5, 801, 100, 366, 263, 1, 4
1758352879844, 4, 17, 803, 99, 366, 263, 2, 2
1758352879844, 5, 6, 801, 98, 367, 260, 1, 3
1758352879844, 6, 12, 811, 100, 363, 263, 1, 5
1758352879844, 3, 5, 811, 101, 365, 264, 1, 4
1758352879844, 5, 4, 801, 99, 367, 270, 1, 2
1758352879844, 8, 4, 802, 100, 363, 263, 2, 6
1758352879844, 1, 4, 811, 104, 368, 263, 2, 3
1758352879844, 10, 4, 803, 103, 369, 264, 1, 8
1758352879844, 4, 5, 804, 102, 370, 265, 1, 3
1758352879844, 13, 9, 807, 101, 374, 262, 2, 3
1758352879844, 6, 7, 801, 104, 368, 265, 1, 12
1758352879844, 3, 7, 808, 103, 375, 262, 0, 4
1758352879844, 3, 7, 811, 102, 362, 263, 2, 3
1758352879844, 5, 9, 803, 105, 366, 266, 3, 3
1758352879844, 9, 24, 801, 101, 366, 263, 3, 5
1758352879844, 7, 24, 801, 105, 367, 270, 2, 4
1758352879844, 5, 11, 799, 102, 365, 263, 3, 3
1758352879844, 7, 22, 799, 103, 363, 263, 1, 3
1758352879844, 5, 10, 815, 102, 365, 264, 1, 2
1758352879844, 3, 5, 806, 102, 373, 263, 1, 4
