unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758352891773, L, 4, 2, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758352892128, 6, 8, 733, 86, 371, 270, 2, 3
1758352892128, 3, 3, 742, 85, 363, 269, 2, 3
1758352892128, 3, 4, 723, 92, 361, 272, 2, 2
1758352892128, 4, 3, 727, 85, 364, 277, 1, 3
1758352892128, 5, 4, 719, 88, 361, 273, 1, 2
1758352892128, 4, 4, 726, 86, 363, 272, 2, 4
1758352892128, 3, 4, 724, 86, 362, 268, 2, 13
1758352892128, 12, 5, 723, 88, 359, 269, 3, 4
1758352892128, 5, 6, 742, 86, 362, 275, 2, 3
1758352892128, 4, 6, 724, 84, 361, 273, 2, 2
1758352892128, 1, 21, 729, 86, 360, 270, 6, 4
1758352892128, 5, 10, 726, 88, 364, 271, 1, 3
1758352892128, 5, 8, 731, 92, 364, 271, 2, 5
1758352892128, 4, 25, 731, 90, 361, 271, 3, 11
1758352892128, 3, 12, 723, 88, 364, 272, 2, 3
1758352892128, 3, 8, 723, 86, 367, 271, 2, 3
1758352892128, 6, 23, 728, 89, 365, 269, 3, 4
1758352892128, 5, 10, 738, 84, 362, 270, 2, 3
1758352892128, 3, 7, 728, 87, 365, 268, 3, 3
1758352892128, 4, 6, 722, 85, 361, 270, 1, 2
1758352892128, 3, 4, 728, 84, 364, 271, 1, 3
1758352892128, 4, 18, 728, 86, 361, 271, 2, 2
1758352892128, 3, 6, 732, 91, 361, 270, 1, 4
1758352892128, 6, 4, 731, 84, 364, 268, 2, 2
1758352892128, 3, 4, 735, 84, 359, 270, 2, 3
1758352892128, 5, 19, 727, 92, 361, 268, 3, 6
1758352892128, 3, 7, 727, 87, 363, 269, 3, 4
1758352892128, 11, 4, 739, 84, 364, 269, 5, 2
1758352892128, 3, 5, 742, 86, 361, 271, 1, 3
1758352892128, 15, 6, 727, 87, 361, 270, 1, 3
1758352892128, 5, 6, 737, 86, 367, 267, 1, 4
1758352892128, 4, 8, 735, 84, 361, 271, 2, 8
1758352892128, 4, 8, 736, 85, 361, 271, 2, 3
1758352892128, 7, 8, 736, 85, 364, 267, 1, 4
1758352892128, 13, 9, 736, 85, 359, 269, 1, 3
1758352892128, 3, 10, 736, 93, 363, 267, 1, 3
1758352892128, 7, 11, 752, 92, 362, 267, 2, 4
1758352892128, 4, 23, 743, 82, 364, 267, 3, 6
1758352892128, 14, 8, 736, 83, 365, 268, 2, 10
1758352892128, 6, 5, 737, 83, 358, 271, 2, 4
1758352892128, 3, 3, 742, 84, 362, 267, 2, 3
1758352892128, 2, 3, 743, 83, 364, 266, 1, 2
1758352892128, 4, 4, 740, 84, 359, 271, 1, 4
1758352892128, 1, 4, 736, 91, 359, 270, 1, 3
1758352892128, 1, 3, 742, 85, 357, 267, 6, 3
1758352892128, 3, 18, 740, 85, 364, 268, 2, 4
1758352892128, 4, 6, 735, 83, 363, 270, 3, 5
1758352892128, 4, 4, 743, 82, 361, 271, 3, 2
1758352892128, 4, 6, 736, 83, 363, 267, 2, 4
1758352892128, 5, 7, 748, 80, 359, 268, 4, 5
1758352892128, 6, 6, 742, 81, 363, 268, 2, 4
1758352892129, 8, 9, 736, 82, 364, 270, 2, 4
1758352892129, 7, 8, 743, 81, 364, 267, 2, 9
1758352892129, 4, 24, 740, 81, 369, 268, 2, 3
1758352892129, 3, 27, 736, 82, 365, 271, 1, 6
1758352892129, 4, 11, 736, 83, 362, 268, 4, 3
1758352892129, 1, 9, 739, 80, 362, 275, 3, 2
1758352892129, 2, 8, 736, 83, 361, 279, 4, 3
1758352892129, 5, 6, 735, 77, 364, 269, 1, 4
1758352892129, 5, 5, 730, 80, 365, 270, 2, 3
1758352892129, 9, 5, 731, 77, 361, 269, 2, 4
1758352892129, 7, 3, 731, 79, 360, 271, 1, 3
1758352892129, 2, 4, 732, 79, 363, 269, 2, 6
1758352892129, 6, 3, 735, 79, 363, 270, 2, 3
1758352892129, 7, 18, 734, 80, 360, 271, 3, 3
1758352892129, 2, 6, 730, 78, 363, 271, 1, 2
1758352892129, 5, 4, 732, 82, 360, 269, 1, 4
1758352892129, 8, 4, 735, 84, 365, 269, 2, 4
1758352892129, 4, 6, 729, 80, 361, 273, 2, 2
1758352892129, 5, 6, 731, 79, 364, 271, 2, 3
1758352892129, 4, 7, 729, 80, 365, 271, 2, 4
1758352892129, 4, 8, 736, 78, 365, 269, 2, 3
1758352892129, 3, 9, 731, 80, 364, 271, 2, 2
1758352892129, 6, 9, 730, 80, 367, 273, 5, 3
1758352892129, 6, 22, 729, 80, 361, 275, 2, 4
1758352892129, 5, 10, 727, 81, 359, 270, 2, 4
1758352892129, 5, 23, 724, 84, 359, 271, 1, 3
1758352892129, 3, 10, 721, 83, 359, 268, 1, 10
1758352892129, 0, 6, 724, 82, 362, 270, 1, 4
1758352892129, 4, 5, 720, 80, 359, 271, 1, 2
1758352892129, 4, 5, 723, 79, 361, 271, 3, 7
1758352892129, 3, 4, 724, 77, 359, 272, 1, 3
1758352892129, 1, 3, 720, 79, 361, 271, 2, 3
1758352892129, 3, 5, 719, 78, 359, 269, 1, 3
1758352892129, 4, 5, 716, 79, 363, 269, 3, 2
1758352892129, 4, 4, 723, 79, 361, 270, 1, 9
1758352892129, 3, 4, 719, 78, 361, 270, 2, 3
1758352892129, 2, 6, 713, 77, 363, 271, 2, 2
1758352892129, 4, 5, 716, 84, 364, 268, 2, 10
1758352892129, 3, 15, 716, 80, 365, 270, 6, 2
1758352892129, 7, 8, 715, 79, 361, 271, 3, 4
1758352892129, 5, 8, 727, 79, 364, 276, 2, 3
1758352892129, 4, 9, 713, 79, 364, 275, 2, 3
1758352892129, 4, 9, 719, 76, 364, 271, 3, 8
1758352892129, 3, 10, 713, 79, 361, 273, 3, 4
1758352892129, 8, 23, 718, 80, 361, 278, 2, 4
1758352892129, 4, 10, 712, 78, 365, 273, 3, 3
1758352892129, 3, 8, 713, 79, 364, 270, 1, 3
1758352892129, 2, 6, 711, 80, 360, 279, 8, 3
1758352892129, 5, 5, 719, 79, 358, 270, 2, 12
1758352892129, 3, 9, 717, 77, 358, 270, 1, 2
1758352892129, 3, 4, 711, 80, 363, 269, 2, 3
1758352892129, 1, 3, 719, 81, 363, 270, 0, 3
1758352892129, 2, 4, 719, 80, 360, 274, 1, 2
1758352892129, 3, 4, 713, 83, 363, 270, 3, 11
1758352892129, 2, 18, 716, 81, 359, 270, 3, 3
1758352892129, 1, 6, 719, 81, 360, 274, 1, 2
1758352892129, 5, 6, 716, 80, 362, 271, 2, 3
1758352892129, 3, 5, 711, 82, 362, 275, 2, 3
1758352892129, 5, 5, 718, 80, 359, 270, 1, 2
1758352892129, 3, 7, 711, 79, 365, 279, 2, 3
1758352892129, 5, 8, 713, 81, 362, 271, 2, 4
1758352892129, 5, 9, 713, 88, 363, 269, 2, 3
1758352892129, 5, 10, 713, 83, 359, 270, 1, 3
1758352892129, 5, 10, 714, 84, 363, 269, 4, 4
1758352892129, 5, 9, 711, 81, 364, 271, 2, 4
1758352892129, 5, 8, 719, 80, 366, 269, 3, 4
1758352892129, 5, 9, 716, 80, 360, 271, 3, 3
1758352892129, 6, 21, 717, 78, 362, 271, 1, 2
1758352892129, 0, 8, 712, 80, 362, 269, 2, 6
1758352892129, 6, 5, 719, 76, 358, 271, 1, 12
1758352892129, 2, 4, 709, 76, 363, 279, 2, 3
1758352892129, 2, 3, 715, 75, 361, 268, 2, 4
1758352892129, 11, 4, 707, 75, 361, 275, 0, 1
1758352892129, 2, 3, 715, 77, 361, 271, 3, 3
1758352892129, 5, 4, 705, 86, 361, 268, 2, 3
1758352892129, 3, 18, 714, 74, 363, 279, 3, 3
1758352892129, 1, 6, 707, 77, 365, 270, 2, 3
1758352892129, 4, 19, 712, 76, 365, 270, 3, 3
1758352892129, 13, 8, 715, 77, 360, 271, 1, 5
1758352892129, 2, 7, 707, 77, 360, 284, 2, 3
1758352892129, 2, 8, 705, 75, 361, 271, 1, 4
1758352892129, 3, 7, 710, 73, 370, 276, 3, 3
1758352892129, 7, 9, 711, 77, 363, 270, 2, 3
1758352892129, 3, 9, 708, 85, 363, 275, 2, 3
1758352892129, 1, 9, 711, 79, 360, 272, 2, 3
1758352892129, 6, 9, 707, 79, 362, 271, 1, 13
1758352892129, 6, 7, 707, 76, 360, 273, 2, 3
1758352892129, 2, 6, 715, 77, 362, 270, 8, 2
1758352892129, 14, 5, 704, 75, 362, 271, 1, 10
1758352892129, 1, 4, 699, 75, 362, 271, 2, 11
1758352892129, 3, 3, 708, 84, 363, 274, 5, 3
1758352892129, 2, 4, 704, 76, 361, 270, 10, 2
1758352892129, 1, 3, 702, 76, 363, 272, 2, 2
1758352892129, 4, 4, 703, 77, 359, 269, 1, 2
1758352892129, 5, 5, 707, 77, 360, 269, 3, 3
1758352892129, 5, 5, 699, 75, 360, 269, 7, 4
1758352892129, 11, 5, 701, 84, 363, 270, 2, 2
1758352892129, 6, 20, 702, 75, 363, 271, 3, 3
1758352892129, 4, 8, 703, 76, 361, 270, 1, 4
1758352892129, 5, 8, 699, 78, 371, 269, 2, 3
1758352892129, 10, 7, 711, 78, 359, 269, 1, 11
1758352892129, 5, 8, 699, 79, 362, 270, 2, 3
1758352892129, 4, 10, 699, 81, 363, 273, 11, 11
1758352892129, 0, 9, 700, 83, 362, 269, 3, 3
1758352892129, 3, 8, 707, 81, 363, 269, 3, 4
1758352892129, 6, 8, 700, 80, 365, 273, 2, 4
1758352892129, 1, 8, 697, 81, 363, 273, 3, 3
1758352892129, 4, 6, 707, 82, 361, 275, 2, 3
1758352892129, 4, 6, 703, 80, 364, 273, 2, 3
1758352892129, 2, 5, 707, 79, 361, 271, 2, 3
1758352892129, 5, 13, 700, 89, 365, 271, 2, 4
1758352892129, 1, 6, 699, 82, 360, 270, 2, 3
1758352892129, 7, 4, 702, 83, 365, 271, 3, 11
1758352892129, 5, 5, 699, 83, 364, 270, 6, 2
1758352892129, 3, 3, 703, 80, 367, 269, 3, 3
1758352892129, 2, 3, 700, 85, 363, 271, 1, 4
1758352892129, 0, 4, 702, 87, 363, 271, 2, 3
1758352892129, 0, 5, 708, 85, 363, 271, 2, 4
1758352892129, 6, 21, 699, 82, 363, 270, 1, 3
1758352892129, 7, 8, 705, 80, 359, 269, 3, 2
1758352892129, 6, 8, 703, 82, 368, 270, 6, 4
1758352892129, 4, 22, 699, 81, 363, 271, 2, 5
1758352892129, 5, 11, 703, 81, 360, 275, 2, 7
1758352892129, 3, 11, 701, 82, 365, 270, 2, 5
1758352892129, 9, 8, 702, 82, 367, 271, 4, 3
1758352892129, 4, 24, 703, 82, 363, 272, 3, 3
1758352892129, 5, 10, 703, 80, 367, 270, 10, 3
1758352892129, 3, 7, 709, 81, 363, 271, 1, 4
1758352892129, 4, 5, 702, 81, 375, 273, 1, 3
1758352892129, 4, 5, 702, 81, 368, 271, 2, 3
1758352892129, 6, 3, 702, 80, 367, 272, 1, 3
1758352892129, 2, 4, 703, 80, 366, 270, 3, 3
1758352892129, 4, 17, 700, 84, 360, 272, 6, 2
1758352892129, 7, 9, 699, 84, 367, 272, 1, 4
1758352892129, 5, 5, 703, 83, 367, 270, 0, 5
1758352892129, 7, 6, 700, 86, 363, 272, 2, 3
1758352892129, 5, 17, 700, 89, 361, 280, 2, 4
1758352892129, 4, 21, 703, 83, 362, 269, 3, 12
1758352892129, 3, 9, 703, 82, 359, 273, 2, 3
1758352892129, 4, 6, 702, 81, 359, 274, 2, 3
1758352892129, 3, 6, 700, 83, 361, 274, 2, 3
1758352892129, 4, 8, 703, 81, 359, 275, 8, 4
1758352892129, 5, 24, 711, 84, 359, 271, 2, 12
1758352892129, 4, 11, 703, 83, 361, 273, 2, 2
1758352892129, 7, 9, 707, 83, 364, 270, 4, 1
1758352892129, 4, 8, 701, 81, 365, 272, 4, 3
