unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758353109346, L, 1, 3, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758353109437, 3, 16, 780, 80, 363, 288, 10, 3
1758353109437, 6, 5, 783, 93, 362, 293, 2, 3
1758353109437, 3, 5, 771, 80, 359, 290, 11, 4
1758353109437, 6, 5, 772, 80, 363, 290, 2, 3
1758353109437, 2, 5, 779, 81, 361, 290, 2, 3
1758353109437, 5, 6, 780, 79, 363, 288, 1, 5
1758353109437, 5, 9, 782, 81, 366, 289, 2, 3
1758353109437, 4, 9, 783, 79, 361, 289, 2, 4
1758353109437, 5, 10, 781, 79, 367, 288, 2, 3
1758353109437, 5, 11, 781, 80, 361, 289, 1, 3
1758353109437, 4, 10, 770, 80, 359, 293, 2, 8
1758353109437, 6, 9, 779, 81, 363, 288, 2, 3
1758353109437, 6, 8, 771, 82, 358, 288, 2, 3
1758353109437, 8, 7, 776, 80, 359, 287, 2, 11
1758353109437, 3, 21, 771, 77, 363, 288, 6, 4
1758353109437, 3, 6, 770, 82, 363, 293, 1, 4
1758353109437, 1, 4, 775, 78, 359, 292, 2, 3
1758353109437, 3, 17, 776, 80, 363, 292, 8, 3
1758353109437, 1, 5, 779, 85, 362, 292, 3, 3
1758353109437, 4, 5, 778, 79, 368, 290, 2, 3
1758353109437, 4, 5, 775, 78, 365, 292, 3, 2
1758353109437, 4, 5, 783, 80, 369, 291, 2, 2
1758353109437, 4, 15, 774, 83, 367, 290, 3, 2
1758353109437, 3, 6, 781, 81, 366, 292, 2, 3
1758353109437, 3, 7, 776, 83, 361, 294, 2, 3
1758353109437, 3, 6, 781, 80, 372, 289, 3, 4
1758353109437, 4, 8, 781, 82, 364, 289, 2, 4
1758353109437, 4, 9, 789, 82, 362, 295, 2, 4
1758353109437, 5, 10, 783, 80, 374, 288, 2, 4
1758353109437, 2, 10, 780, 82, 364, 293, 2, 3
1758353109437, 2, 8, 779, 83, 364, 295, 3, 2
1758353109437, 7, 8, 783, 80, 369, 291, 1, 3
1758353109437, 4, 8, 775, 79, 367, 292, 3, 4
1758353109437, 3, 6, 777, 79, 367, 294, 0, 3
1758353109437, 4, 6, 775, 79, 364, 293, 1, 4
1758353109437, 5, 4, 783, 80, 364, 289, 4, 2
1758353109437, 4, 5, 777, 81, 363, 292, 1, 3
1758353109437, 2, 18, 782, 82, 365, 292, 1, 9
1758353109437, 0, 7, 777, 81, 364, 293, 2, 5
1758353109437, 2, 4, 788, 80, 365, 292, 3, 3
1758353109437, 0, 5, 777, 79, 364, 292, 1, 3
1758353109437, 3, 4, 783, 80, 363, 291, 1, 3
