unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758353169367, L, -1, 3, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758353169535, 3, 3, 639, 81, 379, 298, 2, 2
1758353169535, 4, 4, 637, 84, 380, 305, 3, 2
1758353169535, 4, 4, 643, 82, 379, 299, 10, 3
1758353169535, 6, 15, 639, 81, 375, 295, 3, 2
1758353169535, 0, 5, 635, 86, 377, 299, 2, 3
1758353169535, 3, 4, 635, 81, 382, 300, 2, 5
1758353169535, 1, 4, 637, 81, 381, 299, 1, 4
1758353169535, 4, 6, 643, 84, 378, 298, 2, 2
1758353169535, 2, 6, 638, 89, 378, 297, 1, 3
1758353169535, 3, 19, 643, 84, 378, 300, 2, 4
1758353169535, 4, 25, 637, 82, 377, 300, 2, 2
1758353169535, 5, 13, 643, 83, 385, 301, 2, 4
1758353169535, 5, 11, 637, 88, 379, 302, 1, 4
1758353169535, 3, 9, 646, 83, 377, 301, 2, 3
1758353169535, 2, 24, 637, 84, 377, 302, 1, 5
1758353169535, 0, 11, 638, 83, 384, 298, 3, 3
1758353169535, 6, 22, 638, 84, 377, 300, 1, 3
1758353169535, 3, 8, 644, 82, 380, 297, 1, 2
1758353169535, 4, 5, 643, 82, 377, 295, 2, 2
1758353169535, 3, 4, 639, 82, 379, 295, 5, 4
1758353169535, 3, 4, 639, 84, 381, 298, 2, 3
1758353169535, 4, 3, 643, 83, 382, 295, 2, 3
1758353169535, 4, 4, 637, 83, 380, 296, 3, 3
1758353169535, 4, 4, 638, 84, 385, 297, 2, 4
1758353169535, 4, 5, 639, 85, 381, 295, 1, 3
1758353169535, 3, 5, 642, 82, 381, 299, 2, 3
1758353169535, 3, 4, 643, 92, 381, 295, 5, 3
1758353169535, 3, 6, 643, 81, 381, 295, 1, 3
1758353169535, 4, 6, 647, 82, 377, 306, 6, 4
1758353169535, 3, 8, 640, 82, 378, 295, 2, 3
1758353169535, 2, 8, 642, 93, 383, 297, 1, 2
1758353169535, 4, 10, 645, 82, 378, 301, 2, 2
1758353169535, 7, 10, 643, 84, 380, 295, 2, 3
1758353169535, 4, 10, 639, 82, 381, 297, 1, 2
1758353169535, 4, 15, 637, 83, 377, 297, 3, 4
1758353169535, 7, 15, 638, 84, 377, 297, 2, 2
1758353169535, 5, 8, 639, 81, 377, 295, 1, 3
1758353169535, 4, 6, 637, 85, 381, 304, 1, 4
1758353169535, 2, 4, 643, 84, 378, 295, 3, 2
1758353169535, 4, 4, 643, 85, 378, 300, 10, 3
1758353169535, 4, 4, 638, 87, 375, 298, 1, 3
1758353169535, 4, 4, 639, 82, 377, 299, 1, 8
1758353169535, 2, 3, 635, 87, 379, 297, 1, 2
1758353169535, 4, 4, 640, 83, 376, 296, 1, 2
1758353169535, 2, 4, 636, 81, 380, 307, 10, 3
1758353169535, 5, 4, 641, 82, 377, 297, 1, 5
1758353169535, 2, 5, 640, 84, 378, 308, 4, 4
1758353169535, 5, 6, 644, 86, 385, 297, 1, 3
1758353169535, 4, 8, 643, 84, 377, 295, 3, 3
1758353169535, 3, 8, 639, 84, 381, 297, 1, 3
1758353169535, 8, 8, 639, 82, 377, 298, 3, 12
1758353169535, 5, 10, 645, 82, 381, 300, 2, 2
1758353169535, 3, 25, 639, 81, 375, 297, 1, 8
1758353169535, 3, 11, 640, 84, 377, 297, 2, 4
1758353169535, 2, 8, 651, 85, 376, 302, 2, 4
1758353169535, 5, 8, 652, 84, 382, 301, 1, 1
1758353169535, 5, 7, 644, 81, 382, 300, 1, 3
1758353169535, 4, 6, 645, 85, 379, 298, 1, 4
1758353169535, 6, 5, 638, 81, 381, 300, 1, 1
1758353169535, 5, 19, 637, 82, 381, 300, 2, 3
1758353169535, 1, 7, 637, 84, 380, 297, 2, 3
1758353169535, 3, 4, 639, 79, 382, 304, 1, 3
1758353169535, 3, 3, 639, 86, 378, 300, 1, 3
1758353169535, 4, 3, 639, 82, 377, 300, 3, 2
1758353169535, 4, 3, 637, 81, 376, 301, 2, 2
1758353169535, 2, 4, 638, 83, 384, 302, 2, 0
1758353169535, 5, 12, 644, 86, 379, 300, 1, 3
1758353169535, 12, 20, 641, 82, 377, 299, 1, 3
1758353169535, 4, 9, 638, 82, 381, 298, 2, 5
1758353169535, 3, 23, 644, 83, 380, 299, 4, 4
1758353169535, 6, 10, 643, 83, 378, 297, 9, 4
1758353169535, 11, 10, 645, 85, 387, 298, 2, 4
1758353169535, 3, 10, 640, 92, 380, 297, 2, 6
1758353169535, 11, 9, 640, 85, 376, 299, 3, 4
1758353169535, 3, 8, 651, 83, 378, 300, 7, 13
1758353169535, 5, 8, 645, 80, 377, 301, 5, 12
1758353169535, 12, 7, 647, 82, 380, 301, 2, 3
1758353169535, 5, 5, 644, 84, 381, 299, 4, 4
1758353169535, 3, 5, 641, 82, 380, 299, 1, 3
1758353169535, 2, 12, 644, 80, 380, 300, 5, 3
1758353169535, 2, 17, 646, 81, 377, 297, 2, 3
1758353169535, 2, 19, 647, 83, 382, 300, 3, 10
1758353169535, 3, 5, 639, 81, 378, 303, 2, 5
1758353169535, 3, 3, 641, 82, 387, 303, 2, 10
1758353169535, 2, 19, 647, 84, 381, 299, 2, 4
1758353169535, 4, 6, 646, 83, 380, 311, 2, 8
1758353169535, 3, 20, 646, 82, 378, 304, 1, 4
1758353169535, 5, 8, 641, 81, 380, 299, 1, 3
1758353169535, 4, 22, 644, 82, 377, 297, 1, 3
1758353169535, 12, 11, 643, 82, 377, 303, 2, 11
1758353169535, 3, 9, 647, 83, 381, 299, 4, 5
1758353169535, 10, 11, 654, 92, 378, 299, 1, 4
1758353169535, 5, 10, 649, 83, 375, 301, 1, 4
1758353169535, 3, 17, 646, 84, 382, 299, 1, 3
1758353169535, 6, 10, 643, 92, 382, 297, 2, 2
1758353169535, 3, 8, 646, 83, 381, 299, 2, 4
1758353169535, 7, 21, 641, 89, 379, 304, 2, 3
1758353169535, 6, 7, 643, 82, 380, 310, 1, 3
1758353169535, 13, 5, 648, 82, 375, 303, 1, 3
1758353169535, 2, 3, 644, 83, 380, 301, 2, 3
1758353169535, 4, 4, 646, 82, 377, 303, 1, 3
1758353169535, 10, 3, 647, 85, 380, 300, 0, 3
1758353169535, 5, 18, 643, 84, 379, 300, 1, 3
1758353169535, 0, 6, 641, 91, 381, 302, 2, 4
1758353169535, 2, 19, 643, 82, 377, 303, 2, 4
1758353169535, 4, 21, 647, 81, 377, 305, 2, 4
1758353169535, 2, 8, 655, 83, 379, 299, 1, 3
1758353169535, 3, 6, 646, 82, 379, 301, 2, 3
1758353169535, 4, 7, 644, 81, 376, 301, 2, 3
1758353169535, 6, 24, 648, 80, 377, 303, 2, 3
1758353169535, 4, 10, 646, 84, 384, 301, 4, 11
1758353169535, 3, 10, 647, 92, 378, 309, 2, 4
1758353169535, 4, 11, 641, 83, 377, 300, 1, 3
1758353169535, 3, 9, 646, 82, 380, 299, 1, 2
1758353169535, 4, 8, 647, 83, 378, 311, 4, 12
1758353169535, 11, 8, 643, 84, 377, 301, 2, 1
1758353169535, 5, 7, 649, 82, 380, 300, 3, 3
1758353169535, 2, 5, 643, 82, 383, 303, 3, 3
1758353169535, 3, 4, 648, 84, 380, 300, 7, 4
1758353169535, 6, 2, 648, 87, 379, 297, 9, 3
1758353169535, 1, 3, 648, 83, 377, 304, 1, 3
1758353169535, 5, 4, 649, 80, 378, 303, 1, 3
1758353169535, 9, 4, 655, 82, 377, 301, 0, 2
1758353169535, 3, 19, 644, 79, 376, 303, 1, 2
1758353169535, 2, 12, 646, 79, 381, 298, 9, 4
1758353169535, 7, 5, 643, 83, 380, 300, 1, 2
1758353169535, 4, 5, 647, 79, 380, 305, 2, 4
1758353169535, 5, 6, 643, 83, 374, 301, 1, 2
1758353169535, 3, 7, 644, 80, 386, 299, 3, 3
1758353169535, 5, 15, 641, 83, 376, 301, 3, 8
1758353169535, 3, 9, 644, 83, 381, 300, 3, 4
1758353169535, 1, 9, 647, 83, 378, 303, 2, 3
1758353169535, 9, 11, 648, 86, 379, 302, 2, 3
1758353169535, 9, 10, 641, 84, 377, 300, 9, 4
1758353169535, 5, 10, 644, 83, 376, 301, 2, 5
1758353169535, 4, 8, 647, 82, 375, 300, 1, 3
1758353169535, 2, 6, 644, 80, 385, 301, 2, 4
1758353169535, 3, 5, 647, 83, 385, 301, 2, 4
1758353169535, 7, 5, 647, 80, 375, 301, 2, 2
1758353169535, 3, 3, 644, 80, 376, 302, 1, 3
1758353169535, 3, 16, 646, 81, 379, 305, 2, 3
1758353169535, 5, 6, 651, 80, 379, 307, 1, 5
1758353169535, 5, 19, 645, 81, 387, 299, 2, 4
1758353169535, 3, 6, 649, 79, 378, 301, 2, 6
1758353169535, 2, 5, 647, 83, 382, 300, 3, 2
1758353169535, 1, 20, 643, 83, 376, 303, 1, 3
1758353169535, 6, 7, 640, 81, 380, 301, 5, 2
1758353169535, 6, 6, 646, 82, 379, 306, 1, 2
1758353169535, 3, 5, 649, 80, 378, 303, 8, 4
1758353169535, 4, 22, 647, 82, 378, 299, 3, 3
1758353169535, 4, 11, 641, 80, 375, 302, 1, 4
1758353169535, 5, 11, 649, 80, 376, 300, 2, 4
1758353169535, 4, 13, 647, 86, 379, 307, 2, 2
1758353169535, 2, 11, 641, 81, 378, 303, 2, 1
1758353169535, 5, 9, 647, 81, 377, 300, 2, 2
1758353169535, 5, 9, 643, 81, 374, 305, 3, 4
1758353169535, 4, 7, 644, 82, 379, 299, 4, 3
1758353169535, 3, 5, 642, 80, 376, 303, 1, 3
1758353169535, 1, 4, 641, 83, 382, 306, 2, 3
1758353169535, 4, 3, 640, 79, 379, 299, 8, 3
1758353169535, 4, 3, 644, 80, 375, 302, 0, 1
1758353169535, 2, 3, 651, 79, 377, 300, 1, 4
1758353169535, 5, 4, 644, 78, 379, 302, 1, 3
