unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758353332251, L, -1, 4, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758353332344, 9, 7, 944, 92, 331, 301, 2, 3
1758353332344, 1, 8, 960, 92, 335, 303, 6, 3
1758353332344, 6, 9, 945, 91, 331, 304, 1, 3
1758353332344, 2, 9, 955, 93, 336, 303, 2, 13
1758353332344, 4, 8, 950, 94, 328, 303, 3, 3
1758353332344, 5, 8, 945, 101, 332, 303, 2, 3
1758353332344, 8, 7, 939, 92, 338, 309, 2, 2
1758353332344, 4, 18, 947, 94, 335, 309, 2, 4
1758353332344, 6, 21, 939, 94, 333, 301, 2, 3
1758353332344, 5, 6, 944, 102, 334, 301, 1, 3
1758353332344, 5, 4, 947, 93, 335, 301, 2, 3
1758353332344, 9, 3, 946, 92, 335, 305, 2, 3
1758353332344, 3, 4, 934, 95, 334, 302, 3, 12
1758353332344, 6, 3, 951, 89, 336, 305, 5, 3
1758353332344, 6, 4, 931, 101, 332, 303, 1, 3
1758353332344, 0, 14, 955, 96, 336, 307, 2, 4
1758353332344, 3, 5, 943, 93, 343, 304, 3, 3
1758353332344, 5, 6, 936, 96, 335, 304, 2, 3
1758353332344, 6, 6, 943, 89, 336, 304, 2, 12
1758353332344, 6, 7, 936, 88, 338, 307, 2, 3
1758353332344, 8, 8, 943, 90, 337, 304, 4, 3
1758353332344, 3, 8, 943, 90, 333, 303, 3, 3
1758353332344, 4, 9, 943, 90, 332, 307, 2, 9
1758353332344, 2, 9, 929, 89, 335, 305, 1, 3
1758353332344, 2, 8, 929, 86, 337, 304, 11, 3
1758353332344, 3, 7, 934, 85, 332, 306, 2, 6
1758353332344, 7, 7, 939, 85, 336, 309, 1, 3
1758353332344, 4, 7, 931, 82, 335, 305, 2, 3
1758353332344, 3, 5, 939, 82, 335, 305, 7, 3
1758353332344, 4, 5, 928, 84, 329, 305, 9, 3
1758353332344, 12, 3, 932, 81, 334, 304, 2, 3
1758353332344, 3, 4, 932, 81, 333, 304, 4, 3
1758353332344, 3, 4, 933, 83, 329, 308, 2, 4
1758353332344, 3, 3, 937, 89, 332, 309, 2, 2
1758353332344, 1, 3, 923, 81, 328, 309, 2, 4
1758353332344, 2, 3, 924, 81, 334, 304, 2, 3
1758353332344, 8, 6, 919, 81, 329, 309, 2, 3
1758353332344, 4, 5, 919, 83, 327, 309, 2, 8
1758353332344, 4, 6, 925, 88, 331, 307, 2, 11
1758353332344, 12, 6, 919, 82, 328, 308, 10, 3
1758353332344, 3, 8, 919, 82, 328, 313, 2, 3
1758353332344, 5, 10, 926, 81, 327, 313, 2, 3
1758353332344, 5, 9, 927, 81, 333, 308, 2, 3
1758353332344, 3, 9, 923, 80, 330, 307, 1, 4
1758353332344, 5, 8, 927, 78, 327, 308, 1, 4
1758353332344, 4, 17, 916, 78, 329, 306, 2, 7
1758353332344, 0, 9, 928, 76, 329, 304, 2, 3
1758353332344, 4, 7, 914, 77, 329, 305, 2, 3
1758353332344, 3, 5, 912, 79, 326, 311, 2, 3
1758353332344, 2, 4, 904, 79, 328, 312, 2, 2
1758353332344, 0, 3, 910, 79, 329, 308, 2, 2
1758353332344, 6, 3, 908, 78, 328, 308, 2, 3
1758353332344, 2, 4, 903, 83, 328, 317, 1, 4
1758353332344, 4, 4, 903, 79, 330, 309, 1, 3
1758353332344, 3, 4, 910, 79, 328, 307, 2, 3
1758353332344, 0, 5, 903, 76, 329, 305, 5, 3
1758353332344, 5, 18, 918, 77, 329, 305, 2, 4
1758353332344, 6, 7, 910, 77, 331, 304, 2, 3
1758353332344, 5, 6, 917, 78, 331, 305, 2, 3
1758353332344, 12, 6, 910, 76, 331, 305, 2, 3
1758353332344, 4, 8, 901, 76, 330, 309, 2, 3
1758353332344, 9, 8, 911, 76, 330, 307, 2, 3
1758353332344, 4, 10, 903, 76, 328, 309, 2, 2
1758353332344, 12, 10, 896, 76, 343, 306, 2, 4
1758353332344, 4, 8, 903, 75, 331, 305, 2, 3
1758353332344, 2, 8, 909, 72, 332, 309, 2, 3
1758353332344, 1, 17, 903, 74, 341, 308, 2, 7
1758353332344, 6, 7, 896, 76, 343, 307, 1, 3
1758353332344, 2, 5, 907, 74, 329, 309, 2, 3
1758353332344, 4, 4, 907, 74, 335, 316, 2, 3
1758353332344, 6, 3, 899, 74, 333, 305, 8, 3
1758353332344, 2, 4, 900, 74, 330, 306, 1, 4
1758353332344, 3, 3, 907, 75, 329, 304, 1, 3
1758353332344, 12, 3, 901, 73, 332, 304, 2, 4
1758353332344, 1, 5, 901, 73, 333, 305, 1, 4
1758353332344, 9, 19, 908, 71, 334, 306, 1, 3
1758353332344, 3, 7, 911, 73, 329, 305, 4, 2
1758353332344, 5, 6, 897, 71, 329, 307, 2, 4
1758353332344, 3, 6, 902, 71, 330, 305, 2, 12
1758353332344, 4, 7, 904, 69, 333, 308, 1, 3
1758353332344, 3, 8, 897, 71, 329, 308, 2, 3
1758353332344, 6, 9, 904, 71, 337, 310, 1, 3
1758353332344, 4, 23, 906, 68, 328, 307, 1, 2
1758353332344, 3, 11, 910, 67, 328, 310, 3, 3
1758353332344, 3, 8, 903, 66, 327, 308, 4, 3
1758353332344, 4, 7, 896, 65, 327, 311, 3, 3
1758353332344, 2, 6, 907, 64, 331, 308, 1, 3
1758353332344, 3, 6, 898, 66, 331, 308, 2, 3
1758353332344, 5, 5, 899, 64, 336, 311, 2, 3
