unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758353380275, L, 2, 4, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758353380378, 4, 4, 873, 87, 347, 294, 2, 2
1758353380378, 3, 3, 875, 86, 359, 294, 2, 3
1758353380378, 5, 4, 873, 88, 345, 298, 2, 3
1758353380378, 2, 4, 871, 87, 347, 291, 3, 12
1758353380378, 3, 4, 883, 88, 350, 294, 2, 8
1758353380378, 3, 4, 880, 88, 352, 296, 2, 4
1758353380378, 4, 6, 892, 87, 345, 291, 2, 3
1758353380378, 6, 7, 875, 87, 347, 297, 2, 4
1758353380378, 12, 23, 876, 88, 350, 294, 2, 4
1758353380378, 6, 10, 880, 89, 350, 296, 2, 6
1758353380378, 7, 10, 879, 89, 350, 299, 1, 3
1758353380378, 5, 21, 882, 86, 347, 299, 1, 3
1758353380378, 5, 24, 883, 87, 345, 295, 11, 4
1758353380378, 4, 11, 884, 93, 347, 292, 5, 4
1758353380378, 4, 6, 870, 96, 347, 297, 2, 11
1758353380378, 4, 6, 871, 88, 344, 292, 1, 3
1758353380378, 7, 14, 878, 95, 349, 294, 2, 3
1758353380378, 6, 4, 871, 88, 346, 294, 2, 4
1758353380378, 3, 3, 880, 96, 347, 292, 2, 3
1758353380378, 1, 4, 875, 89, 345, 295, 2, 3
1758353380378, 3, 4, 880, 87, 343, 293, 3, 3
1758353380378, 3, 3, 883, 88, 345, 293, 2, 5
1758353380378, 4, 4, 880, 88, 345, 302, 1, 3
1758353380378, 3, 4, 883, 86, 351, 293, 1, 6
1758353380378, 4, 5, 880, 87, 348, 293, 3, 12
1758353380378, 7, 18, 873, 85, 345, 297, 2, 3
1758353380378, 4, 8, 882, 88, 346, 300, 2, 3
1758353380378, 5, 8, 888, 88, 347, 293, 2, 3
1758353380378, 3, 19, 880, 89, 346, 292, 1, 3
1758353380378, 7, 22, 879, 89, 348, 295, 5, 9
1758353380378, 13, 11, 871, 88, 346, 293, 3, 3
1758353380378, 2, 8, 883, 85, 345, 297, 2, 7
1758353380378, 2, 22, 871, 87, 347, 295, 3, 3
1758353380378, 3, 9, 871, 92, 345, 299, 2, 2
1758353380378, 6, 6, 879, 87, 345, 295, 1, 3
1758353380378, 5, 5, 879, 88, 347, 293, 1, 3
1758353380378, 4, 5, 870, 86, 346, 292, 2, 3
1758353380378, 3, 3, 876, 87, 348, 295, 2, 2
1758353380378, 3, 3, 871, 89, 345, 293, 2, 2
1758353380378, 4, 3, 878, 94, 342, 294, 2, 3
1758353380378, 5, 4, 880, 88, 349, 295, 1, 2
1758353380378, 2, 4, 875, 94, 344, 291, 2, 3
1758353380378, 6, 19, 873, 89, 342, 296, 2, 3
1758353380378, 5, 6, 879, 87, 347, 293, 2, 3
1758353380378, 3, 5, 882, 88, 355, 294, 2, 3
1758353380378, 4, 6, 871, 88, 347, 293, 5, 3
1758353380378, 3, 6, 878, 88, 346, 296, 2, 9
1758353380378, 5, 19, 876, 88, 345, 295, 2, 4
1758353380378, 5, 24, 871, 88, 348, 294, 1, 4
1758353380378, 4, 27, 868, 90, 349, 295, 1, 3
1758353380378, 4, 12, 878, 87, 349, 300, 2, 3
1758353380378, 4, 19, 878, 88, 350, 296, 3, 3
1758353380378, 2, 9, 876, 87, 345, 292, 3, 4
1758353380378, 3, 7, 884, 89, 349, 294, 2, 4
1758353380378, 3, 6, 871, 89, 347, 292, 2, 4
1758353380378, 7, 4, 871, 89, 350, 295, 2, 3
1758353380378, 0, 4, 887, 88, 340, 303, 1, 7
1758353380378, 2, 3, 871, 88, 355, 297, 2, 3
1758353380378, 2, 3, 879, 88, 352, 293, 1, 4
1758353380378, 1, 4, 875, 87, 346, 298, 10, 5
1758353380378, 6, 3, 879, 89, 345, 296, 1, 3
1758353380378, 2, 18, 879, 85, 350, 295, 1, 4
1758353380378, 4, 6, 871, 88, 358, 294, 1, 4
1758353380378, 6, 5, 871, 87, 351, 290, 1, 6
1758353380378, 5, 4, 872, 97, 345, 294, 3, 3
1758353380378, 3, 21, 871, 97, 355, 292, 2, 2
1758353380378, 6, 8, 877, 87, 345, 291, 3, 4
1758353380378, 4, 8, 879, 97, 345, 293, 1, 4
1758353380378, 3, 8, 879, 88, 348, 291, 2, 3
1758353380378, 5, 20, 879, 87, 346, 293, 1, 3
1758353380378, 3, 19, 871, 96, 345, 294, 2, 3
1758353380378, 5, 10, 876, 86, 346, 297, 2, 3
1758353380378, 4, 9, 872, 85, 348, 295, 1, 3
1758353380378, 6, 8, 871, 87, 345, 291, 1, 3
1758353380378, 1, 5, 891, 88, 348, 296, 3, 2
1758353380378, 2, 6, 878, 85, 347, 295, 1, 2
1758353380378, 5, 9, 871, 86, 349, 290, 2, 3
1758353380378, 3, 4, 869, 86, 351, 301, 1, 4
1758353380378, 3, 3, 877, 86, 347, 291, 1, 1
1758353380378, 2, 3, 884, 89, 343, 293, 4, 2
1758353380378, 2, 4, 867, 88, 348, 293, 4, 3
