unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758353416281, L, 5, 4, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758353416418, 5, 7, 839, 90, 337, 299, 2, 7
1758353416418, 3, 6, 832, 91, 340, 301, 1, 4
1758353416418, 3, 4, 837, 89, 336, 299, 1, 3
1758353416418, 5, 4, 839, 91, 333, 297, 2, 4
1758353416418, 2, 3, 837, 90, 333, 295, 10, 3
1758353416418, 5, 18, 832, 99, 343, 297, 2, 3
1758353416418, 2, 5, 839, 93, 334, 299, 7, 3
1758353416418, 2, 3, 843, 92, 333, 296, 2, 3
1758353416418, 6, 19, 843, 92, 336, 296, 1, 3
1758353416418, 6, 19, 836, 96, 332, 296, 1, 2
1758353416418, 3, 6, 838, 91, 333, 298, 2, 3
1758353416418, 5, 7, 843, 92, 333, 299, 2, 4
1758353416418, 4, 5, 833, 95, 334, 299, 11, 9
1758353416418, 4, 22, 833, 94, 335, 296, 2, 3
1758353416418, 3, 10, 833, 93, 335, 295, 1, 5
1758353416418, 3, 7, 838, 91, 336, 299, 2, 3
1758353416418, 2, 10, 840, 100, 336, 299, 1, 3
1758353416418, 6, 9, 839, 91, 336, 295, 2, 4
1758353416418, 1, 6, 852, 93, 336, 301, 2, 3
1758353416418, 4, 8, 848, 90, 336, 296, 2, 3
1758353416418, 5, 7, 843, 92, 336, 299, 2, 3
1758353416418, 1, 6, 843, 92, 337, 298, 2, 4
1758353416418, 2, 5, 835, 92, 334, 296, 3, 2
1758353416418, 3, 2, 843, 93, 336, 297, 2, 3
1758353416418, 3, 13, 842, 93, 333, 296, 1, 3
1758353416418, 0, 5, 843, 92, 333, 304, 1, 3
1758353416418, 3, 13, 833, 101, 333, 296, 2, 3
1758353416418, 7, 5, 840, 93, 339, 296, 2, 2
1758353416418, 11, 4, 836, 94, 336, 295, 2, 4
1758353416418, 2, 4, 843, 104, 336, 299, 10, 3
1758353416418, 3, 4, 838, 94, 338, 296, 1, 2
1758353416418, 11, 4, 836, 97, 335, 304, 1, 4
1758353416418, 1, 6, 838, 93, 336, 295, 5, 5
1758353416418, 2, 7, 839, 95, 338, 297, 1, 3
1758353416418, 3, 8, 839, 94, 336, 295, 1, 3
1758353416418, 8, 9, 839, 94, 337, 295, 3, 3
1758353416418, 6, 7, 844, 96, 333, 295, 2, 4
1758353416418, 0, 8, 843, 94, 339, 299, 3, 3
1758353416418, 2, 8, 841, 95, 337, 300, 1, 3
1758353416418, 6, 8, 839, 95, 336, 295, 1, 3
1758353416418, 3, 22, 840, 95, 336, 308, 2, 3
1758353416418, 4, 8, 840, 94, 336, 295, 1, 4
1758353416418, 0, 6, 835, 94, 333, 295, 2, 3
1758353416418, 3, 4, 836, 95, 336, 299, 2, 2
1758353416418, 2, 2, 848, 92, 337, 298, 1, 3
1758353416418, 6, 20, 847, 96, 333, 298, 2, 3
1758353416418, 5, 6, 838, 92, 339, 305, 2, 3
1758353416418, 10, 4, 833, 93, 334, 299, 2, 3
1758353416418, 8, 19, 838, 93, 336, 299, 2, 2
1758353416418, 7, 6, 833, 98, 336, 296, 2, 4
1758353416418, 1, 5, 838, 95, 333, 296, 2, 3
1758353416418, 6, 13, 839, 92, 334, 296, 1, 4
1758353416418, 2, 6, 843, 93, 335, 306, 2, 3
1758353416418, 3, 6, 842, 93, 339, 297, 2, 3
1758353416418, 3, 8, 835, 91, 339, 299, 6, 4
1758353416418, 5, 9, 835, 93, 337, 297, 2, 4
1758353416418, 3, 24, 843, 94, 337, 294, 2, 3
1758353416418, 7, 11, 831, 94, 334, 297, 2, 3
1758353416418, 3, 9, 832, 96, 334, 299, 2, 4
1758353416418, 9, 8, 835, 93, 335, 296, 1, 2
1758353416418, 14, 6, 840, 100, 333, 303, 2, 3
1758353416418, 0, 7, 839, 92, 346, 298, 2, 3
1758353416418, 4, 6, 835, 94, 335, 298, 1, 2
1758353416418, 3, 4, 845, 93, 333, 307, 2, 3
1758353416418, 7, 3, 843, 94, 334, 298, 2, 2
1758353416418, 5, 3, 843, 94, 334, 296, 0, 3
1758353416418, 6, 3, 843, 95, 337, 296, 3, 3
1758353416418, 5, 3, 841, 94, 341, 295, 2, 4
1758353416418, 3, 4, 832, 92, 334, 295, 1, 4
1758353416418, 5, 4, 839, 93, 336, 295, 0, 2
1758353416418, 5, 4, 836, 100, 338, 299, 1, 3
1758353416418, 4, 6, 839, 94, 335, 293, 2, 3
1758353416418, 10, 6, 838, 94, 335, 295, 3, 3
1758353416418, 6, 7, 839, 93, 334, 305, 2, 3
1758353416418, 3, 8, 839, 92, 343, 296, 2, 2
1758353416418, 3, 9, 838, 91, 335, 298, 2, 3
1758353416418, 7, 24, 831, 103, 335, 297, 2, 3
1758353416418, 7, 10, 833, 96, 336, 297, 2, 4
1758353416418, 7, 9, 839, 92, 334, 298, 1, 3
1758353416418, 7, 16, 832, 93, 341, 302, 2, 9
1758353416418, 4, 8, 832, 97, 334, 295, 1, 11
1758353416418, 3, 6, 836, 92, 335, 305, 2, 3
1758353416418, 5, 5, 843, 93, 335, 294, 1, 3
1758353416418, 7, 4, 836, 94, 335, 298, 9, 3
1758353416418, 3, 2, 840, 93, 337, 296, 1, 3
1758353416418, 1, 18, 833, 92, 343, 305, 2, 4
1758353416418, 4, 20, 839, 91, 333, 296, 1, 3
1758353416418, 5, 6, 831, 92, 333, 299, 2, 4
1758353416418, 4, 5, 839, 92, 333, 295, 3, 3
1758353416418, 1, 6, 838, 94, 335, 295, 6, 3
1758353416418, 3, 20, 833, 94, 337, 293, 2, 7
1758353416418, 8, 7, 843, 92, 336, 299, 1, 11
1758353416418, 3, 6, 833, 94, 343, 299, 3, 7
1758353416418, 5, 6, 833, 92, 346, 295, 2, 5
1758353416418, 13, 9, 836, 95, 340, 299, 3, 3
1758353416418, 9, 9, 839, 96, 338, 298, 1, 3
1758353416418, 2, 24, 836, 94, 335, 298, 10, 2
1758353416418, 5, 11, 839, 93, 335, 298, 1, 3
1758353416418, 4, 9, 839, 94, 338, 296, 1, 6
1758353416418, 12, 8, 836, 94, 338, 295, 2, 3
1758353416418, 3, 6, 839, 93, 332, 297, 1, 6
1758353416418, 4, 19, 850, 93, 337, 294, 2, 3
1758353416418, 3, 17, 839, 93, 333, 295, 2, 3
1758353416418, 2, 20, 839, 95, 333, 294, 1, 3
1758353416418, 4, 5, 834, 92, 332, 296, 2, 6
1758353416418, 1, 14, 839, 94, 335, 296, 2, 4
1758353416418, 2, 5, 837, 101, 333, 296, 1, 10
1758353416418, 0, 4, 832, 92, 334, 295, 4, 3
1758353416418, 2, 3, 836, 95, 333, 295, 1, 3
1758353416418, 1, 4, 827, 94, 333, 298, 2, 3
1758353416418, 10, 8, 839, 94, 340, 301, 1, 3
1758353416418, 10, 6, 829, 92, 336, 297, 3, 3
1758353416418, 5, 7, 839, 92, 335, 296, 2, 4
1758353416418, 5, 21, 838, 93, 337, 296, 2, 3
1758353416418, 4, 11, 832, 93, 333, 305, 1, 3
1758353416418, 3, 9, 832, 94, 335, 297, 3, 3
1758353416418, 5, 9, 832, 92, 347, 297, 10, 3
1758353416418, 4, 9, 835, 93, 335, 296, 4, 3
1758353416418, 9, 9, 832, 91, 339, 297, 2, 3
1758353416418, 0, 20, 836, 98, 336, 301, 2, 9
1758353416418, 4, 9, 832, 92, 337, 300, 2, 2
1758353416418, 3, 5, 837, 93, 334, 296, 1, 3
1758353416418, 4, 3, 837, 91, 336, 296, 2, 3
1758353416418, 3, 19, 839, 95, 343, 306, 2, 3
1758353416418, 2, 6, 839, 92, 337, 295, 1, 2
1758353416418, 3, 2, 843, 92, 333, 296, 1, 2
1758353416418, 4, 4, 832, 93, 339, 300, 1, 4
1758353416418, 4, 3, 839, 93, 333, 297, 2, 4
1758353416418, 3, 4, 838, 93, 334, 293, 2, 2
1758353416418, 2, 16, 843, 92, 335, 297, 1, 4
1758353416418, 6, 18, 847, 94, 334, 292, 2, 2
1758353416418, 3, 16, 833, 94, 336, 293, 2, 3
1758353416418, 3, 22, 835, 92, 336, 296, 9, 3
1758353416418, 13, 9, 843, 93, 333, 296, 2, 3
1758353416418, 7, 8, 843, 94, 336, 296, 2, 3
1758353416418, 5, 8, 834, 96, 339, 297, 2, 3
1758353416418, 4, 8, 835, 94, 336, 297, 2, 3
1758353416419, 8, 10, 839, 93, 340, 297, 2, 3
1758353416420, 0, 9, 840, 89, 338, 298, 0, 3
1758353416420, 3, 7, 843, 92, 333, 294, 2, 2
1758353416422, 2, 7, 843, 96, 345, 300, 1, 4
1758353416422, 8, 20, 834, 92, 334, 294, 2, 4
1758353416435, 0, 21, 840, 94, 334, 297, 2, 3
1758353416435, 5, 6, 843, 92, 336, 296, 3, 3
1758353416435, 2, 18, 840, 92, 336, 296, 1, 3
1758353416435, 1, 6, 843, 92, 343, 296, 1, 11
1758353416435, 0, 4, 843, 92, 338, 295, 3, 6
1758353416435, 5, 4, 843, 95, 336, 298, 2, 2
1758353416435, 0, 4, 843, 95, 334, 297, 1, 3
1758353416435, 1, 5, 836, 102, 334, 302, 3, 5
1758353416435, 4, 5, 833, 95, 336, 296, 2, 2
1758353416435, 2, 5, 840, 93, 337, 298, 2, 3
