unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758355420184, M, -1, 1, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758355420331, 5, 5, 702, 179, 479, 352, 4, 4
1758355420331, 3, 4, 699, 170, 481, 351, 2, 2
1758355420331, 2, 5, 698, 171, 480, 355, 6, 3
1758355420331, 13, 6, 689, 171, 479, 352, 2, 3
1758355420331, 14, 6, 695, 168, 479, 351, 2, 4
1758355420331, 4, 22, 689, 170, 487, 357, 2, 5
1758355420331, 4, 9, 695, 169, 483, 352, 1, 4
1758355420331, 2, 8, 689, 170, 480, 355, 2, 3
1758355420331, 4, 8, 691, 169, 482, 353, 2, 4
1758355420331, 5, 8, 697, 167, 483, 352, 2, 3
1758355420331, 0, 8, 687, 172, 479, 351, 1, 3
1758355420331, 5, 7, 691, 170, 485, 357, 2, 2
1758355420331, 11, 6, 695, 170, 480, 352, 2, 2
1758355420331, 4, 19, 689, 173, 480, 352, 2, 3
1758355420331, 3, 20, 689, 174, 485, 352, 7, 3
1758355420331, 3, 5, 688, 170, 480, 353, 10, 6
1758355420331, 12, 3, 687, 172, 480, 359, 2, 3
1758355420331, 1, 4, 695, 173, 484, 356, 1, 4
1758355420331, 2, 18, 692, 170, 483, 355, 2, 3
1758355420331, 3, 6, 687, 169, 491, 354, 2, 3
1758355420331, 4, 5, 689, 169, 483, 352, 2, 6
1758355420331, 0, 4, 695, 174, 488, 352, 1, 4
1758355420331, 1, 7, 695, 165, 492, 353, 2, 3
1758355420331, 3, 6, 689, 166, 481, 351, 2, 3
1758355420331, 10, 6, 691, 171, 491, 352, 2, 3
1758355420331, 2, 7, 687, 169, 485, 355, 2, 3
1758355420331, 4, 7, 695, 170, 483, 354, 4, 3
1758355420331, 5, 7, 695, 170, 483, 355, 1, 3
1758355420331, 2, 7, 692, 170, 480, 356, 2, 4
1758355420331, 4, 7, 694, 169, 494, 355, 1, 4
1758355420331, 4, 7, 695, 167, 480, 359, 5, 3
1758355420331, 5, 7, 689, 173, 479, 352, 2, 3
1758355420331, 4, 21, 694, 166, 488, 355, 5, 3
1758355420331, 3, 7, 692, 172, 480, 355, 1, 3
1758355420331, 2, 5, 696, 169, 482, 352, 2, 11
1758355420331, 4, 3, 695, 170, 485, 364, 2, 3
1758355420331, 3, 19, 694, 171, 485, 352, 2, 4
1758355420331, 4, 6, 695, 168, 483, 356, 1, 3
1758355420331, 10, 4, 688, 178, 482, 354, 1, 2
1758355420331, 6, 4, 692, 171, 485, 353, 2, 3
1758355420331, 4, 4, 688, 173, 480, 357, 2, 2
1758355420331, 4, 5, 691, 173, 484, 352, 2, 3
1758355420331, 3, 4, 695, 177, 480, 352, 2, 3
1758355420331, 3, 6, 701, 170, 482, 351, 2, 3
1758355420331, 4, 5, 695, 170, 482, 355, 2, 3
1758355420331, 3, 8, 689, 172, 485, 355, 2, 3
1758355420331, 4, 7, 695, 169, 480, 352, 2, 3
1758355420331, 3, 14, 694, 170, 483, 363, 2, 5
1758355420331, 5, 9, 697, 168, 485, 351, 1, 4
1758355420331, 5, 22, 692, 170, 482, 352, 1, 2
1758355420331, 5, 11, 703, 173, 480, 356, 2, 3
1758355420331, 7, 17, 692, 171, 480, 355, 1, 3
1758355420331, 4, 7, 687, 171, 480, 352, 1, 4
1758355420331, 4, 17, 689, 169, 482, 355, 2, 3
