unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758355468205, M, 2, 1, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758355468315, 4, 7, 1067, 212, 463, 334, 2, 12
1758355468315, 4, 8, 1055, 211, 471, 335, 1, 4
1758355468315, 0, 7, 1062, 209, 459, 333, 1, 6
1758355468315, 3, 20, 1063, 209, 461, 332, 3, 2
1758355468315, 0, 6, 1056, 209, 467, 334, 2, 3
1758355468315, 2, 4, 1057, 209, 463, 332, 2, 3
1758355468315, 3, 3, 1067, 209, 459, 335, 2, 3
1758355468315, 3, 3, 1062, 209, 459, 335, 1, 4
1758355468315, 2, 18, 1060, 208, 463, 344, 1, 3
1758355468315, 2, 5, 1063, 208, 467, 335, 2, 3
1758355468315, 7, 4, 1063, 205, 473, 335, 2, 3
1758355468315, 1, 5, 1056, 209, 462, 332, 4, 5
1758355468315, 3, 4, 1060, 209, 472, 335, 3, 3
1758355468315, 6, 5, 1067, 209, 469, 335, 2, 3
1758355468315, 2, 20, 1066, 209, 461, 335, 2, 8
1758355468315, 15, 23, 1055, 213, 469, 335, 1, 3
1758355468315, 6, 9, 1055, 209, 462, 334, 2, 3
1758355468315, 3, 7, 1056, 211, 467, 331, 7, 3
1758355468315, 5, 8, 1057, 210, 463, 332, 2, 3
1758355468315, 5, 8, 1056, 208, 464, 336, 2, 2
1758355468315, 5, 8, 1067, 208, 463, 335, 2, 4
1758355468315, 2, 7, 1063, 209, 463, 335, 7, 4
1758355468315, 8, 7, 1059, 208, 460, 333, 2, 4
1758355468315, 5, 6, 1063, 210, 460, 333, 1, 4
1758355468315, 1, 7, 1060, 208, 462, 332, 4, 3
1758355468315, 4, 4, 1063, 208, 463, 336, 1, 2
1758355468315, 2, 4, 1057, 210, 462, 337, 1, 3
1758355468315, 1, 3, 1063, 210, 465, 344, 3, 4
1758355468315, 8, 5, 1056, 211, 464, 334, 2, 3
1758355468315, 5, 4, 1056, 212, 462, 336, 1, 3
1758355468315, 11, 4, 1056, 206, 459, 334, 2, 4
1758355468315, 8, 5, 1057, 208, 463, 340, 4, 5
1758355468315, 4, 5, 1056, 209, 461, 337, 1, 3
