unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758355528242, M, -2, 1, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758355528327, 1, 8, 1064, 180, 416, 324, 3, 2
1758355528327, 3, 7, 1064, 170, 411, 320, 2, 6
1758355528327, 2, 22, 1068, 170, 411, 320, 2, 4
1758355528327, 4, 23, 1068, 171, 413, 327, 2, 5
1758355528327, 3, 7, 1067, 173, 411, 324, 2, 3
1758355528327, 3, 4, 1059, 173, 412, 327, 1, 2
1758355528327, 3, 3, 1068, 171, 415, 320, 2, 3
1758355528327, 4, 3, 1069, 174, 415, 321, 1, 3
1758355528327, 3, 3, 1069, 172, 415, 324, 3, 2
1758355528327, 2, 4, 1068, 171, 412, 321, 3, 3
1758355528327, 10, 4, 1055, 174, 412, 321, 2, 2
1758355528327, 0, 4, 1070, 173, 411, 325, 1, 2
1758355528327, 2, 4, 1071, 174, 415, 321, 1, 3
1758355528327, 6, 4, 1068, 174, 411, 325, 1, 3
1758355528327, 3, 21, 1059, 172, 415, 324, 2, 11
1758355528327, 5, 23, 1055, 175, 419, 323, 2, 3
1758355528327, 6, 14, 1071, 172, 414, 321, 7, 3
1758355528327, 2, 7, 1064, 177, 416, 324, 2, 3
1758355528327, 3, 8, 1069, 175, 412, 321, 7, 2
1758355528327, 4, 8, 1063, 180, 413, 323, 2, 6
1758355528327, 5, 8, 1067, 175, 411, 325, 1, 2
1758355528327, 4, 8, 1062, 171, 415, 321, 2, 3
1758355528327, 1, 7, 1067, 174, 415, 323, 1, 2
1758355528327, 6, 6, 1063, 179, 411, 324, 2, 2
1758355528327, 5, 20, 1056, 175, 411, 324, 3, 6
1758355528327, 5, 22, 1056, 173, 411, 332, 2, 10
1758355528327, 5, 19, 1062, 172, 423, 321, 2, 2
1758355528327, 3, 19, 1060, 175, 411, 326, 2, 3
1758355528327, 6, 5, 1063, 171, 415, 323, 2, 12
1758355528327, 3, 2, 1056, 170, 415, 321, 1, 3
1758355528327, 4, 3, 1063, 170, 418, 322, 2, 3
1758355528327, 2, 19, 1056, 175, 414, 322, 2, 4
1758355528327, 9, 20, 1063, 171, 423, 321, 2, 3
1758355528327, 7, 6, 1063, 169, 414, 321, 2, 3
1758355528327, 1, 5, 1060, 171, 415, 324, 2, 3
1758355528327, 3, 6, 1056, 172, 411, 323, 2, 12
1758355528327, 2, 6, 1061, 174, 411, 322, 2, 3
1758355528327, 4, 7, 1060, 172, 415, 320, 2, 3
1758355528327, 4, 18, 1056, 175, 413, 320, 2, 3
1758355528327, 9, 20, 1060, 176, 422, 325, 2, 3
1758355528327, 6, 10, 1056, 180, 411, 329, 10, 4
1758355528327, 4, 6, 1056, 172, 412, 320, 3, 3
1758355528327, 4, 7, 1062, 172, 412, 323, 2, 8
1758355528327, 4, 6, 1063, 169, 410, 325, 3, 3
1758355528327, 5, 5, 1063, 171, 410, 320, 2, 3
1758355528327, 4, 4, 1052, 173, 410, 322, 1, 3
1758355528327, 3, 4, 1047, 172, 415, 332, 1, 2
1758355528327, 8, 4, 1055, 172, 415, 320, 2, 3
1758355528327, 4, 20, 1051, 170, 409, 321, 2, 3
1758355528327, 7, 6, 1063, 175, 410, 320, 2, 3
1758355528327, 13, 4, 1047, 173, 409, 320, 1, 3
1758355528327, 4, 4, 1052, 173, 412, 323, 3, 1
1758355528327, 2, 4, 1059, 172, 416, 320, 2, 4
1758355528327, 13, 4, 1048, 177, 409, 323, 1, 3
1758355528327, 7, 6, 1055, 172, 409, 323, 2, 3
1758355528327, 5, 7, 1048, 173, 415, 323, 6, 3
1758355528327, 6, 22, 1059, 176, 415, 323, 2, 4
1758355528327, 9, 9, 1047, 170, 411, 323, 2, 3
1758355528327, 3, 9, 1054, 171, 415, 317, 2, 11
1758355528327, 4, 8, 1052, 172, 411, 323, 5, 5
1758355528327, 6, 7, 1054, 169, 412, 323, 1, 3
1758355528327, 3, 7, 1048, 172, 411, 323, 2, 2
1758355528327, 3, 7, 1047, 172, 410, 328, 2, 2
1758355528327, 0, 5, 1047, 174, 411, 324, 1, 3
1758355528327, 6, 5, 1054, 175, 411, 320, 5, 1
1758355528327, 2, 4, 1047, 176, 415, 323, 2, 5
1758355528327, 11, 3, 1049, 179, 415, 317, 2, 3
1758355528327, 4, 18, 1048, 180, 415, 319, 2, 3
1758355528327, 4, 6, 1048, 177, 411, 327, 1, 2
1758355528327, 4, 4, 1059, 174, 411, 319, 1, 3
1758355528327, 2, 3, 1052, 175, 411, 319, 8, 2
1758355528327, 11, 4, 1063, 172, 423, 318, 2, 2
1758355528327, 3, 3, 1049, 171, 411, 323, 2, 9
1758355528327, 4, 4, 1055, 183, 415, 320, 6, 3
1758355528327, 4, 5, 1052, 172, 411, 320, 11, 3
1758355528327, 1, 20, 1051, 174, 411, 322, 2, 1
1758355528327, 3, 8, 1055, 174, 414, 321, 2, 2
1758355528327, 3, 8, 1047, 172, 415, 320, 3, 6
1758355528327, 5, 8, 1055, 172, 409, 323, 2, 4
1758355528327, 4, 24, 1063, 175, 415, 320, 3, 3
1758355528327, 3, 10, 1055, 171, 416, 323, 2, 12
1758355528327, 8, 7, 1049, 171, 421, 326, 3, 3
1758355528327, 6, 8, 1055, 171, 412, 319, 2, 3
1758355528327, 4, 5, 1059, 175, 416, 323, 4, 4
1758355528327, 3, 4, 1055, 172, 415, 320, 1, 4
1758355528328, 5, 4, 1055, 171, 411, 322, 1, 3
1758355528329, 11, 3, 1049, 173, 412, 325, 2, 8
1758355528344, 5, 4, 1053, 171, 422, 321, 1, 3
1758355528344, 6, 4, 1046, 171, 411, 324, 2, 3
1758355528344, 6, 17, 1055, 168, 411, 321, 2, 4
1758355528344, 3, 5, 1054, 173, 412, 321, 2, 2
1758355528344, 3, 4, 1059, 172, 415, 322, 1, 3
1758355528344, 3, 17, 1054, 170, 415, 320, 1, 2
1758355528344, 5, 7, 1059, 175, 415, 323, 11, 2
1758355528344, 7, 6, 1068, 174, 412, 322, 7, 3
1758355528344, 1, 6, 1048, 171, 411, 320, 2, 3
1758355528344, 4, 9, 1063, 169, 419, 320, 2, 4
1758355528344, 2, 8, 1055, 172, 411, 319, 3, 3
1758355528344, 3, 7, 1051, 168, 411, 322, 1, 4
1758355528344, 3, 9, 1054, 172, 419, 324, 1, 4
1758355528344, 3, 8, 1058, 166, 411, 324, 4, 3
1758355528344, 4, 7, 1047, 173, 410, 323, 2, 5
1758355528344, 7, 23, 1047, 174, 411, 331, 3, 4
1758355528358, 4, 8, 1055, 173, 413, 321, 2, 3
1758355528358, 3, 5, 1055, 172, 411, 325, 2, 3
1758355528358, 4, 4, 1055, 172, 415, 320, 2, 3
1758355528358, 5, 4, 1049, 172, 412, 321, 2, 3
1758355528358, 1, 4, 1055, 171, 411, 325, 2, 3
1758355528358, 3, 4, 1055, 170, 417, 329, 2, 3
1758355528358, 3, 4, 1046, 172, 415, 324, 1, 3
1758355528358, 6, 4, 1057, 170, 415, 324, 1, 3
1758355528358, 4, 19, 1047, 175, 411, 324, 3, 3
1758355528358, 0, 6, 1047, 173, 416, 321, 5, 4
1758355528358, 3, 17, 1047, 179, 415, 324, 2, 3
1758355528358, 2, 6, 1048, 169, 412, 332, 2, 2
1758355528358, 4, 7, 1064, 178, 416, 325, 2, 3
1758355528358, 2, 7, 1063, 172, 411, 323, 2, 12
1758355528373, 2, 6, 1055, 169, 409, 325, 2, 3
1758355528373, 3, 7, 1046, 171, 414, 323, 1, 2
1758355528373, 3, 18, 1047, 169, 414, 324, 2, 4
1758355528373, 8, 9, 1060, 172, 411, 324, 2, 10
1758355528373, 5, 8, 1045, 175, 414, 324, 1, 3
1758355528373, 2, 7, 1056, 173, 414, 327, 3, 3
1758355528373, 3, 19, 1055, 168, 412, 330, 2, 3
1758355528373, 4, 6, 1054, 171, 415, 324, 1, 4
1758355528373, 4, 5, 1063, 171, 415, 323, 6, 5
1758355528373, 5, 4, 1055, 172, 415, 328, 1, 2
1758355528373, 4, 13, 1047, 171, 410, 327, 2, 3
1758355528373, 4, 5, 1047, 170, 413, 327, 7, 2
1758355528373, 5, 4, 1052, 174, 409, 327, 1, 5
1758355528373, 3, 15, 1063, 173, 414, 328, 1, 6
1758355528387, 0, 5, 1047, 171, 410, 326, 11, 3
1758355528387, 4, 20, 1054, 174, 416, 327, 3, 1
1758355528387, 1, 7, 1047, 170, 415, 327, 3, 1
1758355528387, 6, 21, 1052, 168, 411, 323, 2, 10
1758355528387, 4, 23, 1055, 171, 412, 327, 3, 10
1758355528387, 6, 25, 1052, 173, 410, 327, 2, 3
1758355528387, 12, 10, 1054, 171, 410, 322, 2, 3
1758355528387, 5, 23, 1054, 172, 411, 323, 2, 4
1758355528387, 7, 11, 1055, 173, 414, 323, 2, 3
1758355528387, 6, 7, 1052, 170, 410, 325, 2, 12
1758355528387, 5, 20, 1052, 169, 411, 323, 1, 2
1758355528387, 3, 9, 1061, 174, 416, 326, 2, 2
1758355528387, 3, 5, 1055, 175, 410, 323, 1, 3
1758355528387, 2, 4, 1049, 171, 415, 323, 3, 2
1758355528387, 4, 3, 1051, 170, 410, 321, 1, 1
1758355528402, 2, 18, 1048, 172, 414, 324, 2, 5
1758355528402, 2, 5, 1048, 172, 411, 327, 2, 3
1758355528402, 4, 4, 1055, 173, 415, 326, 1, 2
1758355528402, 5, 19, 1047, 171, 412, 324, 2, 3
1758355528402, 2, 4, 1055, 171, 412, 323, 1, 3
1758355528402, 6, 5, 1059, 171, 411, 323, 1, 3
1758355528402, 8, 4, 1052, 172, 415, 331, 1, 3
1758355528402, 4, 5, 1047, 170, 422, 324, 2, 3
1758355528402, 4, 6, 1051, 172, 411, 329, 2, 3
1758355528402, 3, 5, 1051, 169, 411, 324, 2, 3
1758355528402, 4, 8, 1048, 183, 411, 322, 5, 3
1758355528402, 4, 8, 1044, 172, 412, 326, 1, 2
1758355528402, 7, 8, 1055, 173, 419, 321, 2, 3
1758355528402, 11, 24, 1052, 174, 415, 325, 1, 3
1758355528415, 4, 25, 1048, 172, 411, 324, 2, 4
1758355528415, 2, 25, 1052, 173, 411, 324, 1, 3
1758355528415, 6, 9, 1048, 170, 413, 322, 1, 3
1758355528415, 3, 22, 1052, 171, 415, 325, 2, 3
1758355528415, 2, 6, 1054, 177, 411, 323, 4, 3
1758355528415, 3, 4, 1043, 171, 410, 325, 2, 5
1758355528415, 6, 3, 1057, 173, 410, 325, 2, 3
1758355528415, 3, 18, 1043, 171, 415, 325, 2, 3
1758355528415, 2, 6, 1043, 172, 414, 325, 2, 2
1758355528415, 3, 4, 1052, 171, 423, 323, 1, 10
1758355528415, 3, 4, 1056, 172, 415, 324, 5, 2
1758355528415, 3, 4, 1048, 173, 414, 324, 1, 3
1758355528415, 5, 4, 1053, 172, 412, 323, 1, 4
1758355528415, 7, 4, 1053, 171, 415, 323, 2, 3
1758355528430, 5, 5, 1050, 169, 414, 329, 1, 2
1758355528430, 4, 7, 1051, 173, 415, 325, 2, 5
1758355528430, 2, 8, 1051, 169, 412, 323, 2, 3
1758355528430, 4, 7, 1041, 173, 411, 323, 2, 3
1758355528430, 2, 8, 1041, 171, 408, 323, 2, 4
1758355528430, 6, 8, 1048, 169, 411, 323, 1, 4
1758355528430, 2, 8, 1051, 168, 413, 324, 2, 4
1758355528430, 4, 8, 1051, 182, 420, 323, 1, 4
1758355528430, 1, 22, 1050, 171, 415, 326, 2, 3
1758355528430, 0, 8, 1056, 171, 414, 328, 1, 3
1758355528430, 3, 5, 1053, 171, 419, 323, 0, 12
1758355528430, 2, 19, 1048, 176, 417, 326, 1, 3
1758355528430, 5, 21, 1039, 173, 415, 327, 2, 2
1758355528445, 1, 6, 1051, 173, 420, 325, 1, 4
1758355528445, 0, 20, 1050, 172, 415, 324, 9, 3
1758355528445, 14, 6, 1046, 171, 412, 327, 1, 3
1758355528445, 2, 4, 1040, 179, 417, 326, 1, 4
1758355528445, 6, 4, 1062, 171, 415, 322, 1, 3
1758355528445, 4, 4, 1051, 175, 415, 323, 1, 3
1758355528445, 2, 5, 1051, 172, 412, 327, 1, 3
1758355528445, 4, 6, 1056, 174, 415, 326, 3, 4
1758355528445, 4, 22, 1043, 174, 411, 324, 3, 9
1758355528445, 6, 9, 1044, 174, 411, 324, 3, 2
1758355528445, 5, 21, 1044, 180, 411, 327, 1, 4
1758355528445, 11, 10, 1049, 172, 417, 327, 1, 11
1758355528445, 7, 8, 1047, 175, 414, 327, 3, 3
1758355528445, 5, 7, 1039, 174, 411, 323, 1, 3
1758355528445, 5, 7, 1044, 172, 412, 333, 2, 3
1758355528458, 3, 8, 1047, 173, 416, 327, 1, 10
1758355528458, 11, 20, 1048, 172, 417, 326, 2, 3
1758355528458, 3, 7, 1051, 173, 415, 322, 1, 4
1758355528458, 3, 4, 1051, 172, 415, 326, 4, 6
1758355528458, 4, 3, 1048, 171, 414, 326, 2, 2
1758355528458, 3, 19, 1041, 171, 419, 326, 3, 3
1758355528458, 1, 6, 1047, 172, 415, 325, 3, 3
1758355528458, 5, 4, 1050, 171, 420, 327, 9, 3
1758355528458, 3, 19, 1046, 171, 415, 328, 2, 2
1758355528458, 2, 13, 1044, 172, 415, 328, 2, 2
1758355528458, 11, 5, 1044, 171, 411, 326, 1, 3
1758355528458, 3, 19, 1044, 173, 412, 329, 2, 6
1758355528458, 2, 14, 1044, 173, 410, 325, 1, 8
1758355528458, 4, 7, 1043, 172, 414, 324, 2, 11
1758355528472, 5, 23, 1039, 182, 414, 327, 7, 4
1758355528472, 7, 9, 1041, 173, 411, 326, 2, 3
1758355528472, 2, 8, 1044, 171, 414, 326, 2, 2
1758355528472, 4, 9, 1041, 175, 415, 324, 9, 3
1758355528472, 7, 8, 1048, 173, 417, 324, 1, 3
1758355528472, 3, 6, 1056, 174, 415, 325, 1, 3
1758355528472, 2, 6, 1040, 177, 419, 325, 4, 4
1758355528472, 9, 5, 1047, 171, 413, 330, 2, 3
1758355528472, 4, 20, 1051, 174, 414, 323, 2, 3
1758355528472, 11, 6, 1046, 173, 415, 326, 2, 3
1758355528472, 2, 3, 1043, 170, 412, 323, 2, 3
1758355528472, 5, 3, 1041, 173, 423, 324, 2, 12
1758355528472, 3, 19, 1046, 172, 411, 325, 1, 3
1758355528486, 0, 6, 1052, 170, 413, 326, 2, 3
1758355528486, 8, 6, 1051, 172, 414, 326, 2, 4
1758355528486, 10, 5, 1039, 171, 411, 325, 2, 3
1758355528486, 0, 4, 1048, 173, 411, 330, 1, 3
1758355528486, 3, 4, 1051, 178, 414, 323, 1, 3
1758355528486, 0, 5, 1048, 175, 411, 327, 2, 3
1758355528486, 6, 5, 1051, 173, 425, 326, 11, 3
1758355528486, 4, 7, 1051, 174, 414, 326, 2, 4
1758355528486, 1, 8, 1052, 171, 417, 326, 2, 3
1758355528486, 2, 23, 1048, 181, 413, 324, 2, 3
1758355528486, 5, 11, 1051, 174, 417, 326, 2, 4
1758355528486, 3, 8, 1048, 181, 413, 324, 1, 4
1758355528486, 4, 7, 1055, 174, 411, 323, 1, 4
1758355528486, 3, 7, 1039, 174, 410, 330, 8, 2
1758355528486, 4, 5, 1046, 173, 415, 326, 2, 2
1758355528486, 2, 5, 1047, 171, 420, 323, 0, 2
1758355528500, 5, 3, 1041, 175, 410, 327, 3, 3
1758355528500, 2, 3, 1052, 171, 408, 325, 2, 3
1758355528500, 3, 3, 1048, 171, 420, 327, 1, 4
1758355528500, 10, 3, 1056, 170, 411, 323, 1, 3
1758355528500, 3, 17, 1039, 175, 414, 325, 1, 3
1758355528500, 4, 6, 1048, 172, 418, 326, 0, 3
1758355528500, 4, 4, 1048, 173, 412, 327, 0, 3
1758355528500, 3, 5, 1041, 170, 412, 323, 1, 3
1758355528500, 13, 5, 1048, 172, 412, 327, 3, 3
1758355528500, 2, 6, 1056, 171, 417, 323, 2, 4
1758355528500, 1, 7, 1046, 172, 413, 323, 3, 4
1758355528500, 5, 7, 1050, 172, 415, 325, 1, 6
1758355528500, 4, 20, 1039, 172, 415, 323, 3, 3
1758355528515, 2, 9, 1048, 171, 414, 329, 1, 3
1758355528515, 10, 9, 1050, 171, 420, 323, 1, 3
1758355528515, 5, 9, 1040, 173, 413, 323, 1, 3
1758355528515, 3, 7, 1047, 171, 411, 327, 1, 4
1758355528515, 4, 22, 1063, 171, 411, 321, 2, 3
1758355528515, 4, 8, 1051, 169, 413, 323, 1, 3
1758355528515, 3, 16, 1051, 172, 414, 323, 3, 2
1758355528515, 4, 18, 1044, 172, 413, 322, 1, 2
1758355528515, 5, 11, 1055, 171, 414, 324, 4, 2
1758355528515, 3, 19, 1044, 180, 418, 324, 8, 2
1758355528515, 3, 6, 1049, 173, 416, 323, 1, 3
1758355528515, 3, 4, 1052, 170, 414, 324, 2, 3
1758355528515, 3, 2, 1040, 171, 416, 327, 2, 4
1758355528515, 2, 4, 1047, 172, 415, 323, 1, 3
1758355528515, 0, 4, 1037, 166, 417, 326, 2, 12
1758355528529, 5, 5, 1039, 174, 419, 326, 2, 2
1758355528529, 4, 6, 1039, 171, 415, 324, 1, 3
1758355528529, 16, 6, 1051, 169, 415, 324, 2, 3
1758355528529, 5, 8, 1041, 169, 413, 327, 2, 2
1758355528529, 4, 8, 1039, 170, 413, 326, 1, 3
1758355528529, 6, 9, 1048, 171, 418, 323, 1, 3
1758355528529, 2, 8, 1039, 174, 417, 329, 3, 3
