unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758355665280, M, 0, 2, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758355665445, 3, 0, 767, 237, 478, 301, 23, 1
1758355665445, 6, 0, 761, 243, 475, 296, 23, 3
1758355665445, 2, 0, 759, 241, 477, 299, 30, 3
1758355665445, 5, 0, 762, 237, 481, 296, 22, 3
1758355665445, 5, 0, 764, 236, 479, 300, 24, 3
1758355665445, 0, 0, 760, 238, 475, 302, 23, 3
1758355665445, 5, 14, 767, 237, 475, 300, 24, 3
1758355665445, 0, 6, 755, 237, 483, 302, 25, 3
1758355665445, 5, 11, 755, 240, 475, 293, 25, 12
1758355665445, 5, 16, 751, 235, 478, 295, 20, 3
1758355665445, 4, 21, 767, 239, 476, 299, 23, 3
1758355665445, 3, 33, 755, 239, 475, 299, 24, 4
1758355665445, 3, 30, 757, 239, 475, 297, 25, 2
1758355665445, 9, 53, 755, 237, 478, 295, 23, 4
1758355665445, 2, 39, 765, 238, 479, 296, 26, 5
1758355665445, 7, 28, 763, 235, 475, 298, 25, 5
1758355665445, 3, 33, 767, 239, 476, 297, 19, 4
1758355665445, 3, 13, 759, 237, 476, 299, 25, 4
1758355665445, 0, 0, 759, 241, 475, 296, 22, 3
1758355665445, 2, 0, 757, 237, 476, 296, 21, 3
1758355665445, 0, 0, 760, 238, 478, 297, 24, 2
1758355665445, 4, 0, 754, 237, 479, 299, 23, 3
1758355665445, 4, 0, 763, 237, 474, 298, 23, 1
1758355665445, 2, 0, 756, 237, 477, 295, 21, 2
1758355665445, 5, 4, 757, 241, 476, 300, 22, 2
1758355665445, 0, 0, 763, 244, 478, 297, 23, 3
1758355665445, 0, 0, 755, 238, 478, 297, 22, 4
1758355665445, 3, 3, 755, 238, 472, 298, 19, 12
1758355665445, 12, 22, 759, 247, 473, 299, 22, 10
1758355665445, 1, 18, 755, 236, 479, 301, 25, 11
1758355665445, 3, 22, 762, 246, 478, 300, 23, 4
1758355665445, 4, 32, 755, 238, 473, 301, 22, 3
1758355665445, 6, 30, 762, 246, 476, 297, 22, 5
1758355665445, 3, 36, 761, 240, 478, 298, 21, 3
1758355665445, 2, 37, 763, 239, 476, 301, 23, 2
1758355665445, 6, 29, 765, 238, 473, 298, 22, 7
1758355665445, 6, 30, 765, 240, 476, 300, 24, 2
1758355665445, 0, 12, 760, 236, 479, 298, 21, 1
1758355665445, 0, 0, 763, 242, 475, 300, 21, 3
1758355665445, 1, 0, 767, 242, 477, 299, 21, 2
1758355665445, 7, 0, 775, 237, 476, 295, 20, 3
1758355665445, 9, 0, 756, 237, 477, 295, 20, 2
1758355665445, 2, 0, 763, 238, 475, 298, 21, 2
1758355665445, 2, 0, 760, 246, 476, 299, 23, 9
1758355665445, 0, 4, 755, 239, 475, 301, 19, 5
1758355665445, 1, 0, 762, 240, 478, 298, 23, 8
