unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758355725317, M, 5, 2, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758355725442, 6, 7, 696, 214, 511, 265, 58, 4
1758355725442, 3, 13, 696, 212, 503, 268, 60, 3
1758355725442, 7, 18, 699, 211, 505, 267, 59, 3
1758355725442, 3, 42, 700, 220, 504, 267, 58, 3
1758355725442, 0, 38, 691, 213, 507, 262, 60, 6
1758355725442, 0, 34, 700, 216, 504, 263, 57, 4
1758355725442, 3, 38, 696, 213, 502, 267, 60, 3
1758355725442, 1, 35, 691, 214, 508, 262, 59, 3
1758355725442, 0, 37, 695, 215, 508, 270, 59, 14
1758355725442, 5, 16, 695, 216, 509, 261, 57, 3
1758355725442, 2, 15, 703, 214, 511, 266, 60, 4
1758355725442, 8, 0, 695, 217, 504, 265, 61, 1
1758355725442, 2, 0, 708, 215, 503, 264, 56, 1
1758355725442, 7, 0, 704, 215, 505, 263, 60, 3
1758355725442, 6, 0, 699, 214, 515, 265, 57, 1
1758355725442, 0, 0, 703, 214, 512, 269, 58, 2
1758355725442, 7, 0, 708, 215, 503, 264, 58, 3
1758355725442, 7, 0, 700, 214, 508, 266, 58, 3
1758355725442, 15, 0, 705, 215, 504, 263, 58, 7
1758355725442, 0, 8, 708, 223, 508, 269, 61, 2
1758355725442, 3, 6, 705, 213, 503, 263, 59, 3
1758355725442, 11, 13, 697, 216, 507, 264, 59, 2
1758355725442, 2, 18, 695, 213, 509, 268, 59, 3
1758355725442, 3, 24, 702, 216, 504, 275, 58, 7
1758355725442, 3, 35, 700, 222, 503, 266, 59, 4
1758355725442, 1, 33, 703, 215, 508, 269, 58, 2
1758355725442, 2, 37, 696, 220, 506, 264, 62, 5
1758355725442, 3, 48, 695, 212, 509, 267, 68, 3
1758355725442, 6, 24, 695, 215, 504, 269, 60, 3
1758355725442, 3, 13, 704, 216, 507, 269, 63, 3
1758355725442, 9, 4, 697, 215, 502, 267, 60, 2
1758355725442, 1, 0, 702, 214, 507, 262, 58, 3
1758355725442, 2, 0, 695, 215, 504, 267, 57, 4
1758355725442, 4, 0, 703, 212, 506, 264, 60, 3
1758355725442, 4, 0, 703, 213, 503, 265, 60, 3
1758355725442, 0, 0, 700, 212, 520, 263, 59, 7
1758355725442, 11, 0, 707, 215, 507, 270, 59, 4
1758355725442, 8, 7, 695, 211, 511, 264, 60, 4
1758355725442, 4, 6, 697, 213, 504, 265, 71, 4
1758355725442, 8, 3, 700, 215, 503, 258, 61, 2
1758355725442, 10, 6, 703, 213, 503, 265, 62, 2
1758355725442, 8, 13, 703, 215, 504, 268, 59, 3
1758355725442, 7, 17, 700, 214, 504, 264, 60, 3
1758355725442, 3, 41, 709, 224, 507, 263, 61, 3
1758355725442, 4, 38, 703, 213, 513, 261, 59, 3
1758355725442, 6, 33, 703, 211, 503, 271, 67, 2
1758355725442, 5, 38, 695, 212, 511, 263, 59, 9
1758355725442, 2, 50, 702, 217, 501, 269, 60, 2
1758355725442, 16, 25, 706, 219, 507, 266, 64, 2
1758355725442, 5, 12, 703, 210, 507, 269, 58, 3
1758355725442, 0, 4, 699, 211, 508, 263, 60, 4
1758355725442, 7, 0, 697, 212, 502, 264, 60, 3
1758355725442, 4, 0, 703, 210, 509, 267, 58, 2
1758355725442, 0, 0, 707, 213, 500, 267, 59, 3
1758355725442, 1, 0, 699, 212, 509, 264, 59, 2
1758355725442, 4, 0, 702, 215, 507, 261, 60, 2
1758355725442, 3, 0, 703, 210, 499, 266, 59, 2
1758355725442, 1, 0, 703, 210, 507, 265, 60, 3
1758355725442, 0, 0, 703, 218, 509, 263, 60, 2
1758355725442, 2, 13, 695, 211, 504, 267, 61, 1
1758355725442, 7, 6, 699, 209, 506, 265, 65, 2
1758355725442, 6, 13, 700, 211, 504, 265, 59, 3
1758355725442, 0, 19, 695, 215, 508, 268, 60, 4
1758355725442, 4, 27, 697, 212, 503, 265, 60, 4
1758355725442, 3, 35, 699, 213, 511, 264, 60, 3
1758355725442, 6, 33, 703, 212, 508, 266, 62, 2
1758355725442, 5, 37, 699, 215, 503, 271, 60, 3
1758355725442, 12, 49, 705, 213, 504, 265, 57, 3
1758355725442, 2, 25, 697, 213, 510, 266, 64, 3
1758355725442, 4, 13, 702, 214, 504, 266, 66, 4
1758355725442, 2, 19, 702, 213, 504, 265, 62, 2
1758355725442, 6, 0, 704, 212, 513, 264, 59, 4
1758355725442, 7, 0, 697, 211, 507, 262, 60, 3
1758355725442, 2, 0, 695, 211, 503, 273, 60, 3
1758355725442, 3, 0, 699, 210, 508, 265, 60, 4
1758355725442, 5, 0, 697, 208, 509, 264, 67, 4
1758355725442, 3, 0, 702, 210, 504, 274, 61, 4
1758355725442, 5, 0, 699, 215, 503, 269, 59, 0
1758355725442, 16, 0, 700, 209, 504, 265, 56, 5
1758355725442, 1, 1, 703, 210, 506, 264, 61, 2
1758355725442, 1, 7, 699, 210, 506, 264, 57, 3
1758355725442, 3, 13, 702, 214, 504, 267, 59, 1
1758355725442, 0, 18, 701, 211, 506, 263, 61, 5
1758355725442, 3, 27, 702, 213, 504, 267, 60, 6
1758355725442, 5, 35, 707, 211, 503, 268, 61, 3
1758355725442, 6, 34, 703, 210, 503, 265, 57, 3
1758355725442, 12, 37, 707, 212, 505, 267, 61, 3
1758355725442, 4, 35, 704, 213, 503, 262, 58, 2
1758355725442, 2, 24, 699, 211, 503, 265, 67, 4
1758355725442, 7, 13, 701, 213, 504, 263, 57, 2
1758355725442, 8, 5, 707, 210, 507, 266, 61, 4
1758355725442, 5, 0, 707, 210, 511, 271, 58, 3
1758355725442, 10, 0, 707, 210, 504, 263, 61, 2
1758355725442, 9, 0, 703, 209, 504, 265, 59, 3
1758355725442, 2, 0, 703, 211, 504, 267, 60, 3
1758355725442, 0, 0, 704, 215, 503, 263, 60, 2
1758355725442, 6, 0, 699, 212, 503, 267, 57, 4
1758355725442, 6, 0, 701, 213, 508, 274, 60, 4
1758355725442, 9, 0, 707, 210, 499, 270, 56, 3
1758355725442, 3, 2, 707, 213, 507, 267, 59, 10
1758355725442, 1, 5, 707, 213, 508, 264, 66, 3
