unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758355869505, M, 1, 3, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758355869632, 4, 12, 636, 185, 472, 289, 15, 5
1758355869632, 3, 16, 624, 186, 472, 291, 13, 0
1758355869632, 3, 20, 627, 185, 479, 292, 14, 6
1758355869632, 0, 45, 628, 185, 475, 291, 13, 4
1758355869632, 5, 30, 624, 184, 485, 294, 24, 2
1758355869632, 4, 46, 624, 187, 472, 288, 14, 10
1758355869632, 1, 36, 624, 183, 474, 293, 15, 5
1758355869632, 4, 26, 621, 186, 475, 294, 14, 4
1758355869632, 2, 16, 631, 184, 475, 292, 12, 5
1758355869632, 4, 12, 620, 182, 475, 292, 13, 9
1758355869632, 3, 0, 627, 184, 472, 297, 11, 3
1758355869632, 3, 2, 621, 184, 469, 289, 15, 1
1758355869632, 4, 0, 624, 185, 472, 291, 11, 1
1758355869632, 3, 0, 630, 187, 471, 289, 12, 2
1758355869632, 4, 0, 624, 193, 471, 289, 11, 3
1758355869632, 3, 0, 624, 186, 472, 291, 7, 1
1758355869632, 4, 6, 628, 183, 475, 291, 13, 3
1758355869632, 0, 5, 623, 185, 476, 297, 12, 2
1758355869632, 8, 1, 626, 191, 470, 295, 14, 4
1758355869632, 3, 17, 624, 185, 471, 303, 14, 3
1758355869632, 6, 10, 623, 184, 472, 297, 16, 3
1758355869632, 3, 14, 626, 183, 472, 294, 15, 2
1758355869632, 3, 20, 626, 187, 472, 297, 15, 3
1758355869632, 5, 29, 625, 183, 474, 293, 15, 1
1758355869632, 3, 27, 624, 185, 474, 293, 21, 4
1758355869632, 7, 33, 623, 187, 472, 297, 13, 3
1758355869632, 0, 33, 634, 187, 472, 292, 12, 3
1758355869632, 3, 25, 636, 186, 475, 295, 9, 5
1758355869632, 4, 17, 627, 184, 479, 292, 12, 4
1758355869632, 0, 11, 627, 187, 472, 295, 15, 4
1758355869632, 0, 0, 624, 184, 479, 299, 19, 0
1758355869632, 4, 3, 622, 184, 472, 292, 12, 4
1758355869632, 6, 1, 626, 186, 474, 294, 12, 1
1758355869632, 4, 0, 628, 183, 472, 291, 13, 3
1758355869632, 9, 0, 626, 183, 469, 291, 13, 3
1758355869632, 3, 0, 627, 188, 475, 292, 9, 3
1758355869632, 3, 0, 623, 185, 475, 293, 11, 10
1758355869632, 10, 0, 638, 188, 476, 294, 13, 6
1758355869632, 1, 1, 624, 184, 474, 296, 15, 4
1758355869632, 2, 3, 622, 193, 471, 295, 17, 3
1758355869632, 4, 24, 633, 185, 472, 292, 14, 1
1758355869632, 4, 17, 619, 187, 472, 295, 15, 1
1758355869632, 2, 20, 627, 185, 472, 295, 12, 2
1758355869632, 3, 30, 619, 184, 475, 294, 15, 5
1758355869632, 3, 27, 623, 185, 472, 301, 17, 5
1758355869632, 4, 33, 624, 185, 471, 297, 22, 3
1758355869632, 2, 33, 627, 182, 476, 294, 16, 3
1758355869632, 4, 26, 631, 186, 471, 295, 10, 7
1758355869632, 0, 16, 624, 188, 472, 304, 16, 2
1758355869632, 0, 27, 626, 186, 477, 292, 18, 7
1758355869632, 7, 0, 619, 189, 475, 291, 9, 3
1758355869632, 4, 0, 620, 184, 471, 293, 13, 5
1758355869632, 3, 0, 621, 185, 475, 299, 15, 2
1758355869632, 4, 0, 624, 184, 476, 293, 13, 2
1758355869632, 3, 0, 623, 183, 471, 292, 14, 4
1758355869632, 4, 0, 623, 187, 472, 291, 16, 8
1758355869632, 3, 5, 626, 184, 471, 289, 18, 2
1758355869632, 3, 0, 625, 183, 472, 288, 19, 2
1758355869632, 2, 0, 619, 189, 472, 295, 19, 0
1758355869632, 5, 2, 622, 184, 477, 297, 12, 7
1758355869633, 6, 10, 623, 186, 470, 294, 25, 3
1758355869633, 6, 14, 620, 185, 472, 294, 15, 3
1758355869633, 9, 21, 624, 185, 471, 294, 16, 3
1758355869633, 5, 29, 621, 184, 476, 296, 21, 3
1758355869633, 4, 28, 627, 188, 471, 290, 16, 6
1758355869633, 3, 44, 631, 184, 472, 297, 15, 3
1758355869633, 5, 35, 623, 188, 475, 292, 15, 2
1758355869633, 7, 26, 627, 184, 472, 298, 16, 4
1758355869633, 3, 32, 626, 185, 471, 293, 13, 5
1758355869633, 2, 14, 619, 186, 474, 300, 11, 3
1758355869633, 0, 0, 620, 183, 483, 294, 12, 1
1758355869633, 4, 0, 623, 184, 474, 293, 13, 3
1758355869633, 3, 0, 627, 185, 479, 293, 13, 5
1758355869633, 4, 0, 621, 188, 472, 297, 16, 2
1758355869633, 3, 0, 635, 186, 475, 293, 11, 3
1758355869633, 3, 0, 617, 193, 472, 293, 11, 4
1758355869633, 1, 0, 623, 186, 477, 293, 13, 2
1758355869633, 2, 0, 628, 184, 475, 300, 13, 2
1758355869633, 5, 0, 629, 185, 471, 295, 13, 4
1758355869633, 7, 2, 623, 184, 474, 296, 10, 3
1758355869633, 3, 9, 619, 187, 471, 291, 15, 4
1758355869633, 4, 14, 631, 188, 475, 290, 12, 4
1758355869633, 4, 20, 626, 186, 475, 295, 16, 5
1758355869633, 0, 30, 623, 186, 472, 297, 12, 3
1758355869633, 3, 39, 623, 187, 472, 295, 15, 3
1758355869633, 3, 35, 624, 186, 475, 296, 15, 4
1758355869633, 3, 33, 624, 189, 477, 297, 18, 4
1758355869633, 3, 26, 623, 189, 471, 298, 28, 4
1758355869633, 5, 16, 622, 183, 475, 292, 26, 0
1758355869633, 6, 11, 632, 187, 472, 292, 14, 5
1758355869633, 2, 0, 623, 186, 471, 295, 16, 3
1758355869633, 8, 0, 628, 184, 474, 294, 21, 3
1758355869633, 9, 0, 624, 193, 475, 295, 16, 3
1758355869633, 7, 0, 618, 184, 477, 293, 14, 4
1758355869633, 5, 0, 630, 194, 471, 291, 19, 2
1758355869633, 13, 0, 627, 185, 472, 296, 14, 3
1758355869633, 4, 0, 618, 187, 480, 293, 14, 5
1758355869633, 1, 0, 620, 190, 471, 294, 12, 2
1758355869633, 6, 0, 627, 185, 470, 294, 13, 4
1758355869633, 3, 2, 624, 191, 477, 293, 21, 3
1758355869633, 5, 10, 627, 184, 471, 295, 15, 3
1758355869633, 5, 15, 619, 185, 472, 296, 14, 3
1758355869633, 0, 20, 619, 184, 474, 300, 16, 3
1758355869633, 4, 29, 627, 185, 475, 296, 23, 4
1758355869633, 6, 28, 626, 185, 475, 298, 16, 2
1758355869633, 3, 33, 621, 187, 472, 299, 12, 3
1758355869633, 4, 47, 624, 184, 470, 297, 15, 2
1758355869633, 5, 27, 626, 183, 472, 307, 15, 3
1758355869633, 1, 18, 623, 184, 474, 295, 18, 3
1758355869633, 1, 12, 627, 187, 476, 298, 18, 12
1758355869633, 0, 2, 627, 188, 475, 296, 23, 0
1758355869633, 5, 0, 627, 184, 479, 294, 15, 3
1758355869633, 1, 0, 628, 187, 471, 291, 14, 4
1758355869633, 2, 0, 622, 186, 475, 295, 16, 4
1758355869633, 6, 0, 624, 187, 474, 294, 15, 3
1758355869633, 6, 0, 620, 181, 475, 293, 12, 4
1758355869633, 1, 6, 633, 187, 471, 297, 18, 1
1758355869633, 4, 0, 628, 186, 475, 292, 12, 2
1758355869633, 1, 15, 624, 186, 475, 293, 16, 2
1758355869633, 8, 5, 629, 183, 476, 293, 13, 3
1758355869633, 4, 24, 620, 185, 472, 297, 17, 4
1758355869633, 3, 17, 627, 184, 472, 294, 16, 9
1758355869633, 5, 36, 625, 188, 471, 298, 14, 5
1758355869633, 7, 32, 624, 185, 475, 293, 15, 3
1758355869633, 3, 28, 629, 187, 471, 295, 11, 2
1758355869633, 0, 33, 620, 187, 476, 297, 12, 4
1758355869634, 5, 32, 627, 185, 477, 293, 16, 2
1758355869634, 6, 26, 624, 187, 471, 294, 12, 4
1758355869634, 1, 16, 632, 183, 469, 294, 15, 4
1758355869636, 2, 14, 615, 183, 471, 292, 13, 7
1758355869636, 1, 0, 624, 186, 479, 292, 10, 4
1758355869639, 4, 3, 622, 193, 472, 293, 17, 1
1758355869639, 0, 0, 631, 188, 474, 291, 14, 3
1758355869639, 5, 0, 620, 185, 475, 295, 15, 2
1758355869651, 6, 0, 623, 181, 477, 293, 15, 4
1758355869651, 4, 0, 631, 184, 475, 291, 12, 6
1758355869651, 3, 0, 627, 186, 469, 295, 11, 0
1758355869651, 0, 0, 626, 186, 483, 294, 21, 4
1758355869651, 6, 12, 626, 184, 475, 291, 11, 5
1758355869651, 1, 19, 624, 193, 471, 294, 12, 4
1758355869651, 3, 12, 622, 186, 472, 297, 15, 3
1758355869651, 0, 15, 627, 186, 475, 292, 23, 7
1758355869651, 12, 20, 621, 185, 472, 291, 14, 1
1758355869651, 4, 29, 620, 185, 475, 293, 12, 2
1758355869651, 4, 29, 623, 185, 477, 295, 18, 8
1758355869651, 5, 33, 623, 187, 471, 297, 14, 5
1758355869665, 3, 48, 623, 186, 475, 291, 13, 3
1758355869665, 8, 28, 627, 189, 470, 298, 13, 2
1758355869665, 1, 17, 627, 184, 474, 297, 12, 3
1758355869665, 4, 12, 624, 184, 469, 293, 16, 2
1758355869665, 10, 0, 623, 185, 470, 295, 15, 1
1758355869665, 1, 0, 629, 182, 471, 295, 18, 2
1758355869665, 6, 0, 628, 183, 473, 293, 16, 3
1758355869665, 4, 0, 614, 186, 472, 296, 14, 0
1758355869665, 6, 0, 620, 187, 472, 291, 13, 3
1758355869665, 3, 0, 623, 186, 476, 295, 15, 3
1758355869665, 5, 0, 622, 186, 481, 295, 14, 1
1758355869665, 4, 0, 619, 189, 475, 294, 14, 2
