unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758356036867, M, -2, 4, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758356036943, 7, 0, 890, 221, 505, 270, 2, 5
1758356036943, 4, 0, 892, 223, 507, 278, 3, 2
1758356036943, 4, 0, 896, 227, 508, 268, 0, 4
1758356036943, 3, 0, 901, 225, 511, 271, 3, 5
1758356036943, 3, 0, 894, 223, 508, 273, 7, 5
1758356036943, 2, 0, 897, 222, 510, 274, 4, 2
1758356036943, 3, 3, 904, 223, 508, 272, 2, 2
1758356036943, 6, 12, 896, 230, 511, 269, 11, 2
1758356036943, 7, 25, 887, 224, 510, 273, 1, 2
1758356036943, 7, 25, 896, 224, 506, 269, 10, 4
1758356036943, 4, 36, 896, 223, 511, 273, 2, 3
1758356036943, 7, 42, 904, 223, 507, 270, 2, 5
1758356036943, 6, 39, 899, 222, 508, 269, 1, 3
1758356036943, 4, 37, 888, 224, 509, 270, 0, 4
1758356036943, 1, 26, 892, 226, 509, 271, 1, 4
1758356036943, 6, 14, 896, 227, 511, 272, 0, 3
1758356036943, 14, 8, 883, 229, 520, 273, 2, 2
1758356036943, 1, 0, 895, 234, 507, 273, 2, 3
1758356036943, 2, 0, 896, 222, 505, 267, 0, 3
1758356036943, 3, 0, 888, 223, 509, 267, 2, 7
1758356036943, 0, 0, 894, 224, 505, 269, 1, 4
1758356036943, 3, 0, 894, 224, 509, 271, 1, 4
1758356036943, 2, 0, 887, 225, 513, 270, 1, 2
1758356036943, 3, 0, 896, 223, 503, 273, 0, 2
1758356036943, 6, 0, 882, 224, 509, 269, 1, 3
1758356036943, 10, 0, 896, 225, 503, 269, 7, 4
1758356036943, 1, 4, 894, 225, 503, 268, 2, 7
1758356036943, 10, 13, 885, 224, 506, 266, 5, 2
1758356036943, 0, 31, 894, 225, 505, 271, 3, 5
1758356036943, 3, 41, 895, 224, 507, 268, 3, 3
1758356036943, 8, 38, 896, 224, 504, 268, 2, 3
1758356036943, 0, 48, 894, 224, 508, 269, 4, 3
1758356036943, 4, 42, 894, 225, 503, 272, 5, 5
1758356036943, 1, 37, 891, 224, 510, 271, 1, 4
1758356036943, 7, 26, 892, 224, 510, 270, 0, 3
1758356036943, 5, 14, 888, 227, 508, 275, 12, 10
1758356036943, 9, 8, 897, 224, 504, 266, 2, 2
1758356036943, 4, 0, 897, 227, 510, 267, 0, 3
1758356036943, 3, 0, 887, 230, 508, 280, 1, 12
1758356036943, 0, 0, 893, 224, 505, 271, 4, 3
1758356036943, 7, 0, 888, 226, 504, 269, 0, 6
1758356036943, 3, 0, 893, 226, 505, 268, 3, 2
1758356036943, 0, 0, 888, 226, 511, 275, 3, 3
1758356036943, 2, 0, 888, 224, 509, 269, 1, 4
1758356036943, 0, 10, 902, 227, 507, 270, 0, 3
1758356036943, 7, 3, 885, 224, 508, 269, 1, 12
1758356036943, 1, 5, 893, 227, 504, 270, 3, 3
1758356036943, 3, 12, 883, 224, 509, 269, 9, 3
1758356036943, 2, 16, 887, 225, 503, 280, 2, 3
1758356036943, 1, 26, 894, 227, 520, 271, 0, 2
1758356036943, 3, 36, 894, 224, 504, 271, 2, 3
1758356036943, 10, 47, 896, 224, 511, 274, 3, 3
1758356036943, 6, 40, 896, 224, 508, 279, 2, 4
1758356036943, 4, 36, 896, 224, 511, 273, 4, 3
1758356036943, 7, 41, 887, 224, 503, 274, 1, 5
1758356036943, 7, 16, 895, 224, 510, 270, 3, 3
1758356036943, 0, 7, 888, 226, 517, 272, 3, 4
1758356036943, 4, 0, 893, 224, 509, 272, 1, 2
1758356036943, 2, 0, 888, 228, 503, 271, 2, 3
1758356036943, 4, 0, 887, 227, 508, 268, 2, 2
1758356036943, 4, 0, 896, 225, 509, 272, 2, 2
1758356036943, 9, 0, 891, 224, 503, 272, 5, 2
1758356036943, 4, 0, 900, 225, 508, 270, 3, 2
1758356036943, 7, 5, 890, 224, 505, 269, 0, 3
1758356036943, 5, 0, 888, 224, 509, 268, 0, 4
1758356036943, 15, 1, 896, 225, 502, 279, 2, 3
1758356036943, 0, 5, 892, 224, 507, 269, 2, 4
1758356036943, 7, 27, 890, 224, 506, 269, 9, 3
1758356036943, 5, 19, 894, 225, 504, 269, 0, 3
1758356036943, 6, 41, 895, 224, 507, 268, 3, 4
1758356036943, 3, 37, 889, 225, 510, 272, 2, 6
1758356036943, 5, 33, 895, 225, 508, 278, 1, 2
1758356036943, 7, 38, 894, 225, 507, 271, 2, 3
1758356036943, 7, 36, 885, 226, 504, 269, 2, 3
1758356036943, 0, 24, 897, 226, 513, 269, 4, 3
1758356036944, 3, 15, 895, 226, 509, 270, 7, 8
1758356036944, 7, 6, 896, 224, 503, 275, 4, 2
1758356036945, 4, 0, 894, 224, 518, 271, 2, 6
1758356036945, 1, 0, 883, 225, 508, 269, 0, 7
1758356036947, 0, 0, 885, 227, 505, 271, 0, 3
1758356036952, 6, 0, 887, 226, 509, 267, 3, 4
1758356036952, 3, 0, 895, 224, 511, 270, 2, 2
1758356036952, 5, 0, 888, 224, 510, 272, 3, 2
1758356036952, 1, 0, 888, 226, 508, 272, 1, 2
1758356036963, 0, 0, 899, 227, 503, 266, 1, 2
1758356036963, 5, 1, 886, 225, 507, 270, 2, 3
