unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758356084887, M, 3, 4, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758356085010, 4, 7, 732, 214, 476, 272, 35, 0
1758356085010, 4, 14, 737, 212, 473, 275, 32, 2
1758356085010, 4, 19, 731, 215, 478, 274, 32, 2
1758356085010, 2, 27, 731, 214, 479, 276, 32, 4
1758356085010, 9, 49, 732, 212, 475, 271, 35, 4
1758356085010, 6, 35, 731, 213, 476, 273, 35, 2
1758356085010, 4, 38, 728, 215, 472, 272, 33, 4
1758356085010, 3, 35, 721, 214, 479, 276, 31, 2
1758356085010, 3, 38, 723, 211, 476, 272, 31, 4
1758356085010, 5, 20, 731, 211, 479, 278, 31, 4
1758356085010, 0, 7, 728, 212, 477, 271, 31, 2
1758356085010, 3, 0, 731, 221, 473, 275, 34, 2
1758356085010, 4, 0, 730, 212, 476, 275, 31, 2
1758356085010, 0, 0, 736, 217, 476, 274, 32, 13
1758356085010, 3, 0, 731, 213, 475, 274, 31, 2
1758356085010, 3, 0, 731, 215, 473, 277, 31, 3
1758356085010, 0, 3, 723, 215, 475, 286, 34, 3
1758356085010, 0, 0, 731, 214, 478, 272, 34, 3
1758356085010, 5, 0, 730, 214, 477, 274, 34, 2
1758356085010, 0, 1, 721, 215, 478, 274, 32, 4
1758356085010, 11, 5, 729, 215, 475, 275, 34, 2
1758356085010, 7, 13, 729, 214, 478, 275, 35, 2
1758356085010, 6, 32, 723, 214, 477, 274, 30, 3
1758356085010, 5, 29, 723, 214, 475, 275, 33, 3
1758356085010, 0, 36, 731, 213, 479, 274, 31, 4
1758356085010, 3, 33, 720, 215, 479, 276, 34, 2
1758356085010, 2, 38, 723, 213, 479, 274, 31, 6
1758356085010, 5, 49, 739, 213, 479, 273, 33, 3
1758356085010, 6, 25, 731, 215, 479, 273, 41, 3
1758356085010, 4, 14, 719, 215, 478, 272, 34, 3
1758356085010, 9, 6, 731, 213, 473, 279, 33, 2
1758356085010, 7, 0, 731, 215, 471, 275, 33, 2
1758356085010, 4, 0, 729, 214, 473, 271, 31, 2
