unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758356096890, M, 4, 4, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758356096949, 8, 5, 779, 224, 472, 264, 28, 1
1758356096949, 7, 14, 781, 224, 471, 262, 20, 3
1758356096949, 7, 18, 778, 223, 475, 260, 20, 3
1758356096949, 13, 28, 781, 226, 472, 263, 18, 3
1758356096949, 9, 36, 779, 234, 475, 260, 22, 4
1758356096949, 4, 49, 776, 224, 472, 263, 20, 4
1758356096949, 5, 41, 783, 225, 474, 262, 20, 3
1758356096949, 1, 35, 775, 224, 472, 261, 23, 1
1758356096949, 9, 38, 776, 235, 467, 259, 22, 2
1758356096949, 3, 15, 779, 223, 472, 257, 19, 3
1758356096949, 0, 13, 786, 227, 479, 259, 25, 1
1758356096949, 3, 0, 779, 223, 467, 259, 19, 3
1758356096949, 5, 0, 771, 225, 470, 263, 20, 2
1758356096949, 2, 0, 776, 224, 467, 265, 20, 2
1758356096949, 0, 0, 782, 224, 470, 260, 23, 3
1758356096949, 3, 0, 774, 224, 472, 262, 21, 3
1758356096949, 6, 0, 771, 222, 470, 262, 19, 2
1758356096949, 7, 0, 775, 222, 472, 262, 22, 4
1758356096949, 11, 0, 783, 224, 474, 263, 17, 3
1758356096949, 5, 2, 787, 226, 467, 265, 20, 4
1758356096949, 0, 5, 783, 224, 481, 264, 21, 2
1758356096949, 6, 13, 776, 224, 477, 260, 20, 3
1758356096949, 2, 18, 782, 226, 476, 268, 21, 3
1758356096949, 10, 43, 777, 224, 477, 264, 21, 3
1758356096949, 0, 53, 775, 224, 469, 260, 21, 4
1758356096949, 5, 36, 775, 225, 475, 263, 20, 2
1758356096949, 11, 38, 780, 226, 475, 259, 20, 8
1758356096949, 7, 50, 782, 224, 471, 261, 22, 3
1758356096949, 7, 25, 783, 223, 477, 261, 19, 4
1758356096949, 4, 13, 787, 227, 480, 263, 22, 5
1758356096949, 3, 3, 771, 224, 472, 260, 21, 11
1758356096949, 4, 0, 782, 224, 483, 260, 21, 1
1758356096949, 4, 0, 789, 222, 481, 258, 19, 3
1758356096949, 6, 0, 775, 226, 483, 265, 21, 2
1758356096949, 6, 0, 775, 225, 479, 264, 22, 7
1758356096949, 3, 0, 780, 224, 472, 260, 21, 2
1758356096949, 9, 0, 776, 221, 469, 260, 21, 3
1758356096949, 6, 2, 774, 223, 472, 267, 22, 3
1758356096949, 1, 0, 774, 225, 472, 262, 22, 7
1758356096949, 11, 3, 775, 223, 471, 261, 22, 5
1758356096949, 1, 5, 776, 221, 469, 261, 23, 11
1758356096949, 0, 14, 780, 222, 474, 261, 22, 3
1758356096949, 4, 18, 783, 226, 475, 269, 26, 2
1758356096949, 3, 28, 783, 226, 474, 261, 26, 7
1758356096949, 11, 37, 777, 224, 471, 263, 23, 3
1758356096949, 3, 33, 780, 227, 479, 264, 23, 2
1758356096949, 18, 37, 780, 224, 475, 264, 21, 8
1758356096949, 14, 34, 783, 224, 471, 270, 23, 3
1758356096949, 9, 23, 780, 224, 487, 261, 22, 3
1758356096949, 9, 14, 784, 225, 471, 266, 24, 4
1758356096949, 7, 16, 792, 224, 475, 262, 25, 4
1758356096949, 10, 0, 782, 233, 472, 261, 23, 3
1758356096949, 12, 0, 777, 226, 471, 264, 21, 3
1758356096949, 0, 0, 783, 222, 472, 267, 25, 3
1758356096949, 3, 0, 783, 233, 469, 262, 25, 5
1758356096949, 4, 0, 783, 226, 475, 264, 22, 3
1758356096949, 0, 2, 783, 226, 471, 261, 24, 3
1758356096949, 11, 0, 783, 224, 475, 262, 25, 2
1758356096951, 3, 0, 783, 221, 477, 262, 23, 2
1758356096951, 6, 0, 781, 225, 472, 266, 21, 3
1758356096951, 0, 22, 783, 224, 472, 264, 23, 9
1758356096952, 1, 31, 771, 225, 475, 263, 22, 3
1758356096952, 4, 21, 780, 226, 472, 265, 21, 3
1758356096964, 5, 29, 770, 228, 476, 261, 23, 13
1758356096964, 0, 38, 773, 225, 477, 264, 23, 2
1758356096964, 4, 51, 775, 224, 474, 265, 21, 3
1758356096964, 5, 41, 775, 226, 477, 261, 23, 2
1758356096964, 0, 34, 781, 224, 478, 264, 25, 3
1758356096964, 7, 35, 776, 221, 471, 264, 24, 5
1758356096964, 3, 15, 782, 224, 472, 263, 23, 3
