unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758270338282, N, -2, 1, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758270338344, 4, 10, 1592, 554, 1299, 2415, 1047, 483
1758270338344, 5, 3, 1592, 552, 1287, 2407, 1039, 480
1758270338345, 5, 0, 1600, 549, 1295, 2399, 1048, 482
1758270338345, 2, 0, 1591, 563, 1303, 2423, 1048, 478
1758270338345, 0, 0, 1591, 556, 1287, 2399, 1054, 475
1758270338345, 7, 0, 1599, 559, 1296, 2426, 1055, 477
1758270338345, 4, 0, 1591, 553, 1296, 2431, 1047, 480
1758270338345, 0, 2, 1599, 554, 1300, 2416, 1063, 480
1758270338345, 2, 3, 1607, 563, 1307, 2423, 1063, 483
1758270338345, 1, 4, 1615, 555, 1311, 2399, 1057, 485
1758270338345, 0, 4, 1615, 567, 1299, 2422, 1063, 481
1758270338345, 0, 4, 1608, 559, 1311, 2420, 1060, 489
1758270338345, 6, 6, 1601, 559, 1311, 2416, 1060, 495
1758270338345, 8, 5, 1611, 559, 1306, 2433, 1051, 488
1758270338345, 6, 22, 1619, 574, 1295, 2430, 1067, 487
1758270338345, 5, 13, 1615, 567, 1322, 2416, 1057, 486
1758270338345, 1, 19, 1600, 569, 1297, 2430, 1067, 498
1758270338345, 0, 18, 1615, 559, 1297, 2428, 1063, 491
1758270338345, 4, 15, 1615, 567, 1295, 2434, 1069, 488
1758270338345, 6, 12, 1601, 571, 1297, 2424, 1064, 488
1758270338345, 7, 19, 1615, 567, 1304, 2431, 1067, 489
1758270338345, 11, 4, 1603, 566, 1311, 2435, 1062, 490
1758270338345, 3, 0, 1614, 567, 1296, 2428, 1055, 492
1758270338345, 3, 0, 1613, 558, 1295, 2416, 1057, 487
1758270338345, 4, 0, 1600, 561, 1296, 2431, 1064, 487
1758270338345, 4, 0, 1615, 572, 1295, 2433, 1064, 487
1758270338345, 4, 0, 1600, 559, 1307, 2424, 1058, 494
1758270338345, 5, 2, 1608, 567, 1307, 2433, 1064, 492
1758270338345, 3, 3, 1595, 561, 1307, 2407, 1055, 495
1758270338345, 6, 4, 1612, 567, 1312, 2431, 1063, 494
1758270338345, 5, 4, 1608, 559, 1303, 2430, 1056, 489
1758270338345, 3, 20, 1607, 565, 1287, 2416, 1060, 492
1758270338345, 4, 20, 1610, 559, 1308, 2416, 1062, 494
1758270338345, 3, 8, 1600, 566, 1302, 2433, 1055, 489
1758270338345, 3, 8, 1600, 559, 1305, 2433, 1056, 501
1758270338345, 3, 12, 1607, 571, 1287, 2416, 1064, 488
1758270338345, 4, 17, 1604, 566, 1287, 2416, 1056, 486
1758270338345, 7, 31, 1590, 563, 1292, 2433, 1063, 485
1758270338345, 7, 31, 1612, 566, 1285, 2422, 1049, 488
1758270338345, 2, 12, 1592, 560, 1299, 2423, 1056, 493
1758270338345, 1, 8, 1592, 559, 1281, 2420, 1056, 493
1758270338345, 6, 9, 1603, 560, 1283, 2423, 1054, 493
1758270338345, 9, 0, 1600, 558, 1271, 2420, 1056, 487
1758270338345, 3, 9, 1591, 551, 1282, 2402, 1052, 490
1758270338345, 4, 1, 1583, 560, 1283, 2416, 1062, 485
1758270338345, 2, 6, 1596, 547, 1277, 2423, 1060, 490
1758270338345, 4, 6, 1583, 546, 1263, 2420, 1055, 483
1758270338345, 2, 4, 1599, 537, 1259, 2412, 1054, 490
1758270338345, 1, 4, 1575, 535, 1259, 2412, 1048, 483
1758270338345, 16, 4, 1598, 543, 1275, 2399, 1046, 482
1758270338345, 2, 12, 1598, 539, 1264, 2415, 1047, 489
1758270338345, 10, 6, 1600, 531, 1271, 2400, 1034, 479
1758270338345, 4, 5, 1576, 535, 1275, 2414, 1040, 485
1758270338345, 7, 5, 1571, 521, 1260, 2415, 1027, 480
1758270338345, 0, 8, 1569, 512, 1263, 2424, 1027, 471
1758270338345, 9, 13, 1580, 513, 1257, 2414, 1027, 474
1758270338345, 12, 23, 1583, 511, 1247, 2408, 1025, 471
1758270338345, 3, 19, 1568, 510, 1247, 2412, 1036, 477
1758270338345, 8, 31, 1567, 507, 1256, 2417, 1030, 471
1758270338345, 7, 24, 1585, 512, 1257, 2416, 1024, 476
1758270338345, 8, 10, 1569, 511, 1256, 2400, 1015, 463
1758270338345, 7, 2, 1576, 517, 1263, 2396, 1016, 471
1758270338345, 11, 1, 1568, 519, 1263, 2406, 1015, 457
1758270338346, 1, 0, 1572, 523, 1260, 2411, 1015, 457
1758270338346, 6, 0, 1568, 543, 1251, 2400, 1011, 461
1758270338349, 0, 0, 1579, 540, 1248, 2383, 1023, 451
1758270338349, 4, 0, 1568, 535, 1256, 2412, 1007, 459
1758270338349, 3, 18, 1584, 544, 1259, 2415, 1011, 467
1758270338350, 6, 5, 1559, 543, 1264, 2407, 1011, 467
1758270338362, 6, 3, 1568, 537, 1275, 2428, 1016, 459
1758270338362, 0, 20, 1582, 539, 1272, 2415, 1020, 467
1758270338362, 2, 6, 1569, 541, 1264, 2420, 1018, 472
1758270338362, 4, 5, 1583, 539, 1275, 2408, 1020, 463
1758270338362, 5, 6, 1582, 541, 1262, 2408, 1019, 460
1758270338362, 3, 7, 1569, 543, 1263, 2415, 1023, 468
1758270338362, 3, 28, 1576, 541, 1266, 2415, 1017, 470
1758270338362, 3, 19, 1587, 544, 1282, 2396, 1015, 471
1758270338362, 3, 32, 1596, 546, 1279, 2417, 1024, 465
1758270338362, 9, 33, 1582, 544, 1281, 2391, 1024, 467
1758270338362, 1, 13, 1583, 542, 1273, 2391, 1025, 472
1758270338377, 8, 7, 1571, 548, 1283, 2400, 1027, 474
1758270338377, 7, 1, 1583, 543, 1281, 2400, 1023, 478
1758270338377, 3, 0, 1584, 551, 1275, 2399, 1027, 479
1758270338377, 2, 0, 1591, 556, 1275, 2415, 1027, 475
1758270338377, 4, 0, 1576, 557, 1275, 2414, 1039, 475
1758270338377, 1, 0, 1591, 553, 1304, 2401, 1038, 475
1758270338377, 0, 0, 1575, 552, 1281, 2415, 1036, 481
1758270338377, 0, 18, 1575, 554, 1295, 2401, 1052, 482
1758270338377, 4, 5, 1588, 550, 1292, 2401, 1040, 477
1758270338377, 1, 5, 1584, 557, 1291, 2399, 1047, 482
1758270338377, 2, 17, 1608, 555, 1287, 2415, 1032, 477
