unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758270398307, N, 4, 1, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758270398458, 4, 20, 480, 129, 380, 330, 6, 3
1758270398458, 0, 7, 480, 116, 386, 335, 3, 3
1758270398458, 4, 7, 477, 120, 386, 335, 1, 7
1758270398458, 1, 7, 479, 119, 381, 332, 0, 3
1758270398458, 3, 11, 487, 121, 395, 334, 3, 3
1758270398458, 9, 16, 484, 119, 380, 334, 3, 3
1758270398458, 5, 17, 496, 120, 381, 337, 2, 3
1758270398458, 2, 28, 483, 119, 386, 343, 0, 2
1758270398458, 0, 24, 492, 122, 384, 349, 0, 4
1758270398458, 2, 10, 492, 118, 390, 347, 1, 3
1758270398458, 1, 5, 487, 120, 381, 344, 3, 1
1758270398458, 5, 0, 487, 120, 387, 348, 2, 4
1758270398458, 2, 11, 492, 119, 390, 337, 7, 2
1758270398458, 3, 16, 489, 120, 386, 342, 1, 6
1758270398458, 0, 0, 487, 121, 383, 336, 2, 3
1758270398458, 3, 0, 492, 120, 386, 340, 5, 4
1758270398458, 3, 1, 483, 121, 395, 339, 2, 4
1758270398458, 0, 3, 479, 121, 384, 339, 1, 4
1758270398458, 3, 17, 497, 120, 386, 336, 1, 3
1758270398458, 0, 6, 488, 119, 384, 339, 2, 2
1758270398458, 10, 4, 487, 119, 384, 343, 2, 4
1758270398458, 4, 4, 480, 120, 387, 340, 2, 2
1758270398458, 3, 5, 471, 118, 387, 352, 3, 3
1758270398458, 13, 7, 477, 118, 391, 341, 2, 7
1758270398458, 4, 11, 471, 117, 384, 341, 1, 3
1758270398458, 4, 16, 463, 118, 387, 349, 1, 3
1758270398458, 3, 16, 467, 119, 387, 341, 8, 3
1758270398458, 4, 14, 468, 118, 388, 336, 1, 2
1758270398458, 0, 24, 465, 115, 385, 344, 3, 2
1758270398458, 3, 11, 471, 117, 389, 341, 2, 2
1758270398458, 3, 5, 470, 118, 387, 343, 7, 4
1758270398458, 9, 0, 466, 118, 389, 341, 1, 4
1758270398458, 8, 0, 463, 119, 384, 347, 1, 6
1758270398458, 2, 0, 476, 116, 390, 348, 0, 2
1758270398458, 2, 10, 484, 119, 386, 347, 2, 3
1758270398458, 0, 1, 480, 122, 390, 350, 2, 4
1758270398458, 4, 18, 484, 125, 389, 352, 4, 3
1758270398458, 3, 4, 488, 117, 385, 350, 1, 2
1758270398458, 3, 2, 479, 117, 387, 350, 10, 4
1758270398458, 4, 3, 489, 118, 387, 353, 4, 1
1758270398458, 3, 19, 491, 116, 395, 352, 0, 5
1758270398458, 7, 6, 495, 125, 387, 351, 1, 2
1758270398458, 2, 5, 497, 117, 391, 347, 2, 6
1758270398458, 4, 7, 492, 117, 387, 345, 3, 3
1758270398458, 0, 12, 502, 118, 391, 348, 2, 6
1758270398458, 8, 16, 496, 116, 390, 347, 9, 4
1758270398458, 0, 16, 488, 116, 396, 345, 3, 3
1758270398458, 4, 15, 495, 114, 394, 347, 3, 2
1758270398458, 9, 12, 488, 118, 395, 353, 2, 3
1758270398458, 0, 8, 496, 117, 388, 347, 1, 4
1758270398458, 9, 5, 488, 114, 400, 345, 0, 3
1758270398458, 7, 0, 507, 115, 393, 348, 2, 2
1758270398458, 8, 0, 493, 114, 387, 357, 0, 3
1758270398458, 3, 0, 494, 112, 390, 360, 2, 2
1758270398458, 4, 0, 495, 115, 391, 343, 2, 3
1758270398458, 2, 15, 496, 115, 390, 349, 2, 3
1758270398458, 3, 4, 493, 112, 391, 355, 5, 4
1758270398458, 1, 3, 497, 111, 386, 350, 3, 1
1758270398458, 4, 4, 495, 112, 391, 350, 2, 4
1758270398458, 5, 6, 495, 111, 390, 354, 3, 4
1758270398458, 4, 5, 488, 111, 387, 363, 2, 3
1758270398458, 6, 4, 487, 112, 390, 356, 1, 3
1758270398458, 6, 5, 479, 114, 392, 360, 2, 3
1758270398458, 12, 7, 479, 112, 386, 360, 1, 4
1758270398458, 1, 11, 477, 110, 394, 361, 3, 4
1758270398458, 8, 15, 487, 113, 388, 364, 3, 4
1758270398458, 0, 16, 483, 106, 386, 355, 0, 3
1758270398458, 3, 22, 487, 109, 391, 360, 2, 5
1758270398458, 5, 26, 473, 111, 386, 365, 2, 9
1758270398458, 4, 9, 455, 118, 387, 361, 1, 3
1758270398458, 0, 21, 459, 109, 391, 366, 6, 2
1758270398458, 4, 17, 456, 113, 391, 371, 10, 2
1758270398458, 4, 1, 452, 123, 391, 365, 2, 2
1758270398458, 4, 16, 457, 114, 387, 375, 1, 3
1758270398458, 5, 0, 448, 115, 391, 364, 3, 4
1758270398458, 2, 0, 448, 113, 391, 369, 2, 3
1758270398458, 4, 2, 439, 112, 387, 375, 2, 3
1758270398458, 7, 3, 444, 113, 391, 364, 3, 2
1758270398458, 3, 11, 444, 115, 390, 364, 1, 3
1758270398458, 3, 4, 446, 115, 385, 363, 3, 4
1758270398458, 10, 4, 445, 114, 388, 365, 2, 3
1758270398458, 5, 19, 443, 114, 391, 361, 3, 2
1758270398458, 3, 7, 451, 118, 391, 365, 2, 2
1758270398458, 7, 7, 451, 111, 391, 364, 1, 4
1758270398458, 5, 25, 445, 112, 388, 364, 1, 3
1758270398458, 0, 17, 451, 114, 387, 363, 2, 4
1758270398458, 2, 31, 445, 114, 389, 371, 2, 3
1758270398458, 2, 16, 453, 125, 389, 361, 2, 4
1758270398458, 2, 10, 448, 114, 387, 361, 2, 5
1758270398458, 6, 8, 454, 120, 391, 357, 2, 4
1758270398458, 7, 19, 455, 113, 384, 361, 1, 7
1758270398458, 6, 1, 453, 112, 386, 355, 2, 3
1758270398458, 2, 0, 449, 113, 388, 359, 2, 12
1758270398458, 5, 15, 447, 111, 388, 358, 2, 3
1758270398458, 6, 0, 452, 113, 391, 356, 9, 3
1758270398458, 8, 0, 443, 118, 391, 356, 3, 3
1758270398458, 3, 2, 447, 115, 387, 359, 0, 3
1758270398458, 5, 3, 444, 113, 385, 351, 4, 6
1758270398458, 4, 4, 441, 113, 390, 350, 0, 5
1758270398458, 3, 4, 443, 112, 383, 351, 0, 4
1758270398458, 0, 4, 435, 113, 388, 349, 2, 5
1758270398458, 10, 16, 439, 113, 387, 359, 1, 4
1758270398458, 4, 21, 434, 122, 383, 352, 2, 3
1758270398458, 11, 8, 430, 113, 393, 351, 2, 3
1758270398458, 7, 11, 429, 115, 389, 349, 5, 3
1758270398458, 1, 15, 423, 114, 392, 347, 1, 7
1758270398458, 1, 30, 419, 113, 389, 357, 2, 3
1758270398458, 3, 31, 416, 113, 388, 352, 5, 4
1758270398458, 2, 13, 415, 112, 387, 352, 2, 3
1758270398458, 15, 7, 416, 115, 392, 355, 1, 4
1758270398458, 6, 4, 423, 114, 385, 356, 4, 3
1758270398458, 2, 0, 422, 113, 384, 352, 0, 3
1758270398458, 2, 0, 423, 114, 389, 367, 0, 3
1758270398458, 3, 0, 419, 114, 391, 352, 2, 3
