unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758270410307, N, 5, 1, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758270410431, 3, 3, 887, 144, 382, 344, 2, 11
1758270410431, 4, 4, 881, 144, 379, 345, 8, 3
1758270410431, 4, 5, 887, 144, 382, 343, 1, 3
1758270410431, 0, 5, 896, 143, 381, 344, 3, 3
1758270410431, 1, 6, 885, 157, 377, 344, 7, 2
1758270410431, 4, 7, 892, 145, 379, 345, 2, 3
1758270410431, 5, 12, 888, 144, 385, 345, 2, 3
1758270410431, 5, 18, 887, 143, 380, 341, 0, 3
1758270410431, 4, 16, 888, 146, 384, 342, 4, 2
1758270410431, 7, 13, 892, 143, 385, 343, 3, 2
1758270410431, 0, 25, 887, 146, 388, 341, 2, 4
1758270410431, 7, 25, 891, 145, 383, 345, 1, 3
1758270410431, 1, 9, 897, 145, 377, 342, 3, 3
1758270410431, 0, 1, 899, 146, 383, 345, 2, 9
1758270410431, 2, 0, 888, 144, 380, 349, 3, 2
1758270410431, 4, 1, 888, 143, 383, 344, 3, 3
1758270410431, 5, 0, 888, 145, 380, 347, 2, 3
1758270410431, 5, 1, 895, 144, 377, 344, 2, 3
1758270410431, 7, 2, 895, 144, 380, 344, 3, 5
1758270410431, 1, 3, 899, 144, 379, 344, 2, 2
1758270410431, 6, 4, 896, 144, 380, 343, 2, 3
1758270410431, 4, 4, 896, 144, 376, 349, 1, 6
1758270410431, 6, 5, 882, 146, 389, 346, 2, 4
1758270410431, 1, 19, 894, 143, 378, 355, 2, 2
1758270410431, 3, 7, 896, 144, 383, 345, 2, 3
1758270410431, 10, 6, 897, 145, 379, 348, 3, 3
1758270410431, 6, 12, 896, 143, 379, 349, 3, 6
1758270410431, 3, 14, 898, 144, 382, 349, 2, 3
1758270410431, 2, 15, 897, 149, 379, 344, 3, 2
1758270410431, 3, 13, 897, 151, 382, 347, 3, 2
1758270410431, 12, 9, 896, 153, 377, 348, 2, 1
1758270410431, 4, 9, 884, 151, 387, 346, 3, 3
1758270410431, 3, 3, 888, 146, 389, 349, 3, 3
1758270410431, 5, 11, 902, 143, 378, 349, 3, 3
1758270410431, 3, 0, 886, 144, 387, 347, 0, 3
1758270410431, 6, 1, 897, 144, 379, 346, 1, 3
1758270410431, 0, 0, 892, 148, 380, 344, 2, 1
1758270410431, 10, 0, 894, 144, 380, 352, 2, 1
1758270410431, 3, 17, 894, 146, 377, 344, 2, 2
1758270410431, 1, 5, 887, 146, 379, 345, 2, 0
1758270410431, 5, 11, 892, 147, 380, 352, 5, 5
1758270410431, 4, 21, 892, 146, 380, 342, 1, 2
1758270410431, 6, 6, 896, 146, 379, 347, 2, 2
1758270410431, 0, 6, 885, 146, 379, 349, 3, 2
1758270410431, 1, 5, 893, 144, 380, 345, 1, 6
1758270410431, 4, 7, 896, 150, 377, 350, 2, 2
1758270410431, 1, 25, 896, 144, 385, 349, 3, 2
1758270410431, 5, 16, 894, 146, 381, 343, 2, 7
1758270410431, 5, 15, 897, 148, 383, 352, 3, 2
1758270410431, 6, 28, 899, 145, 385, 350, 5, 4
1758270410431, 14, 11, 892, 145, 378, 351, 2, 3
1758270410431, 4, 9, 887, 144, 383, 355, 1, 4
1758270410431, 8, 5, 894, 144, 376, 347, 1, 2
1758270410431, 6, 0, 887, 144, 383, 343, 0, 2
1758270410431, 7, 14, 888, 144, 378, 346, 2, 2
1758270410431, 7, 3, 888, 150, 379, 349, 1, 3
1758270410431, 2, 0, 894, 144, 382, 345, 5, 3
1758270410431, 2, 0, 887, 144, 384, 349, 2, 3
1758270410431, 1, 2, 887, 146, 378, 347, 1, 4
1758270410431, 11, 3, 888, 145, 383, 345, 1, 5
1758270410431, 0, 17, 897, 146, 380, 346, 0, 2
1758270410431, 4, 7, 887, 143, 382, 347, 2, 6
1758270410431, 2, 4, 897, 144, 379, 343, 3, 4
1758270410431, 7, 4, 897, 143, 380, 345, 2, 4
1758270410431, 12, 6, 887, 145, 375, 343, 0, 12
1758270410431, 3, 21, 894, 145, 381, 345, 3, 3
1758270410431, 3, 14, 887, 144, 379, 347, 3, 2
1758270410431, 3, 20, 887, 145, 377, 351, 3, 3
1758270410431, 4, 16, 887, 147, 384, 352, 2, 3
1758270410431, 0, 13, 887, 147, 380, 348, 1, 4
1758270410431, 11, 10, 887, 145, 380, 347, 2, 4
1758270410431, 5, 8, 895, 146, 380, 353, 0, 3
1758270410431, 0, 18, 894, 145, 387, 346, 1, 1
1758270410431, 5, 2, 899, 147, 382, 350, 6, 3
1758270410431, 5, 0, 889, 146, 382, 345, 2, 1
1758270410431, 6, 1, 892, 146, 378, 354, 2, 3
1758270410431, 6, 0, 897, 152, 385, 346, 3, 3
1758270410431, 1, 1, 897, 144, 384, 347, 2, 9
1758270410431, 4, 2, 897, 146, 379, 346, 2, 3
1758270410431, 7, 3, 889, 148, 383, 348, 3, 3
1758270410431, 8, 7, 892, 146, 389, 347, 0, 3
1758270410431, 6, 3, 896, 145, 378, 350, 2, 2
1758270410431, 0, 4, 887, 144, 380, 347, 2, 3
1758270410431, 14, 18, 894, 151, 383, 352, 1, 3
1758270410431, 6, 7, 895, 145, 384, 351, 0, 2
1758270410431, 3, 18, 895, 145, 376, 348, 2, 3
1758270410431, 5, 14, 897, 147, 384, 343, 3, 3
1758270410431, 5, 28, 896, 146, 382, 344, 3, 3
1758270410431, 0, 17, 899, 150, 380, 357, 4, 2
1758270410431, 14, 13, 889, 145, 379, 347, 4, 2
1758270410431, 7, 10, 887, 143, 380, 346, 1, 4
1758270410431, 7, 8, 897, 148, 379, 346, 3, 3
1758270410431, 1, 2, 887, 147, 381, 355, 1, 3
1758270410431, 3, 0, 892, 145, 379, 343, 3, 6
1758270410431, 6, 0, 896, 145, 375, 346, 7, 2
1758270410431, 3, 0, 895, 151, 380, 340, 2, 4
1758270410431, 6, 0, 896, 146, 377, 345, 9, 3
1758270410431, 2, 1, 888, 148, 379, 348, 3, 3
1758270410431, 2, 2, 891, 146, 382, 347, 2, 3
1758270410431, 3, 3, 883, 147, 379, 344, 0, 4
1758270410431, 11, 2, 891, 146, 374, 341, 3, 9
1758270410431, 5, 3, 896, 144, 377, 356, 1, 3
1758270410431, 3, 5, 904, 150, 380, 353, 1, 3
1758270410431, 3, 5, 895, 146, 377, 343, 1, 2
