unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758270636086, N, 2, 2, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758270636229, 0, 21, 810, 178, 419, 432, 2, 4
1758270636229, 12, 8, 813, 177, 418, 437, 2, 6
1758270636229, 0, 13, 808, 178, 414, 437, 2, 3
1758270636229, 5, 12, 807, 181, 416, 434, 1, 3
1758270636229, 7, 27, 815, 177, 417, 432, 1, 3
1758270636229, 1, 14, 807, 175, 419, 432, 2, 3
1758270636229, 8, 9, 803, 178, 415, 431, 0, 2
1758270636229, 0, 6, 803, 179, 411, 430, 9, 2
1758270636229, 1, 4, 813, 178, 413, 433, 2, 3
1758270636229, 5, 1, 803, 178, 413, 431, 3, 10
1758270636229, 6, 1, 803, 178, 418, 439, 2, 3
1758270636229, 4, 0, 811, 176, 416, 434, 3, 2
1758270636229, 6, 0, 808, 176, 413, 434, 5, 10
1758270636229, 4, 2, 815, 174, 418, 435, 0, 2
1758270636229, 3, 18, 810, 179, 416, 432, 3, 3
1758270636229, 3, 5, 810, 178, 414, 429, 1, 2
1758270636229, 0, 5, 810, 177, 412, 431, 0, 2
1758270636229, 0, 5, 803, 175, 427, 432, 1, 3
1758270636229, 5, 4, 810, 177, 415, 437, 0, 3
1758270636229, 3, 12, 808, 177, 422, 429, 1, 3
1758270636229, 0, 19, 801, 175, 418, 443, 2, 3
1758270636229, 4, 9, 806, 176, 413, 433, 1, 4
1758270636229, 4, 11, 803, 174, 412, 441, 2, 7
1758270636229, 5, 12, 808, 176, 413, 428, 1, 4
1758270636229, 4, 14, 815, 175, 410, 431, 0, 3
1758270636229, 6, 24, 811, 174, 416, 431, 0, 3
1758270636229, 9, 11, 808, 176, 421, 429, 1, 3
1758270636229, 3, 7, 815, 175, 415, 430, 2, 3
1758270636229, 3, 3, 808, 175, 413, 433, 2, 9
1758270636229, 6, 0, 807, 176, 423, 432, 3, 4
1758270636229, 2, 0, 803, 176, 417, 431, 9, 3
1758270636229, 2, 0, 808, 175, 415, 430, 8, 2
1758270636229, 4, 0, 813, 176, 415, 432, 3, 4
1758270636229, 5, 2, 810, 176, 412, 435, 2, 3
1758270636229, 0, 3, 803, 178, 409, 431, 2, 4
1758270636229, 6, 4, 803, 176, 415, 428, 5, 3
1758270636229, 4, 3, 811, 177, 412, 427, 2, 4
1758270636229, 2, 19, 805, 177, 412, 432, 2, 6
1758270636229, 4, 6, 813, 176, 413, 431, 2, 3
1758270636229, 5, 5, 815, 178, 415, 431, 1, 4
1758270636229, 2, 4, 803, 178, 412, 426, 2, 3
1758270636229, 6, 21, 819, 176, 418, 430, 2, 3
1758270636229, 8, 29, 824, 178, 410, 430, 2, 12
1758270636229, 6, 15, 819, 176, 415, 432, 3, 3
1758270636229, 4, 13, 815, 178, 415, 440, 1, 4
1758270636229, 5, 12, 814, 175, 411, 432, 5, 2
1758270636229, 0, 10, 810, 177, 409, 431, 2, 2
1758270636229, 6, 8, 813, 177, 420, 431, 0, 2
1758270636229, 0, 3, 811, 176, 415, 428, 2, 3
1758270636229, 7, 0, 808, 182, 411, 432, 2, 2
1758270636229, 1, 0, 811, 177, 410, 429, 2, 3
1758270636229, 3, 0, 803, 175, 411, 429, 2, 3
1758270636229, 1, 0, 799, 179, 413, 429, 3, 4
1758270636229, 7, 1, 802, 176, 414, 425, 2, 3
1758270636229, 1, 3, 811, 178, 412, 423, 1, 3
1758270636229, 6, 2, 809, 177, 414, 425, 0, 2
1758270636229, 6, 3, 803, 176, 411, 426, 7, 4
1758270636229, 0, 4, 803, 176, 407, 429, 0, 5
1758270636229, 5, 4, 808, 176, 413, 423, 3, 8
1758270636229, 6, 5, 803, 177, 410, 428, 2, 2
1758270636229, 15, 5, 803, 176, 408, 427, 2, 3
1758270636229, 3, 6, 806, 179, 413, 423, 2, 3
1758270636229, 6, 12, 811, 178, 412, 421, 2, 3
1758270636229, 4, 12, 803, 178, 413, 424, 2, 2
1758270636229, 8, 13, 804, 175, 412, 425, 3, 3
1758270636229, 5, 12, 804, 181, 408, 419, 2, 3
