unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758270823235, N, 0, 3, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758270823316, 5, 4, 1055, 121, 366, 291, 2, 3
1758270823316, 3, 17, 1061, 121, 361, 300, 6, 4
1758270823316, 8, 20, 1058, 124, 365, 292, 1, 3
1758270823316, 3, 17, 1061, 121, 363, 291, 1, 3
1758270823316, 3, 6, 1056, 122, 360, 290, 0, 4
1758270823316, 6, 4, 1056, 120, 364, 295, 4, 3
1758270823316, 7, 20, 1060, 121, 365, 291, 8, 2
1758270823316, 4, 7, 1051, 119, 366, 292, 2, 7
1758270823316, 6, 5, 1067, 123, 363, 299, 2, 2
1758270823316, 6, 5, 1063, 121, 364, 292, 1, 3
1758270823316, 4, 5, 1063, 123, 363, 291, 1, 4
1758270823316, 2, 20, 1051, 123, 368, 295, 4, 5
1758270823316, 4, 9, 1056, 121, 364, 295, 2, 3
1758270823316, 6, 7, 1056, 122, 362, 300, 2, 3
1758270823316, 4, 7, 1056, 123, 360, 291, 2, 3
1758270823316, 7, 7, 1047, 123, 363, 295, 2, 6
1758270823316, 5, 12, 1055, 121, 365, 292, 4, 3
1758270823316, 4, 8, 1051, 121, 364, 290, 2, 3
1758270823316, 6, 5, 1056, 126, 359, 292, 2, 3
1758270823316, 3, 5, 1063, 119, 364, 294, 1, 3
1758270823316, 2, 4, 1051, 120, 367, 290, 2, 3
1758270823316, 5, 4, 1054, 122, 361, 302, 1, 3
1758270823316, 1, 4, 1056, 119, 366, 290, 3, 12
1758270823316, 4, 5, 1063, 121, 364, 290, 1, 3
1758270823316, 4, 5, 1056, 123, 364, 291, 11, 3
1758270823316, 1, 5, 1062, 120, 363, 299, 2, 3
1758270823316, 2, 5, 1067, 120, 362, 294, 2, 3
1758270823316, 4, 4, 1076, 120, 363, 295, 3, 4
1758270823316, 4, 20, 1056, 120, 364, 291, 2, 3
1758270823316, 4, 20, 1067, 122, 368, 303, 2, 3
