unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758270907295, N, -2, 3, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758270907380, 1, 5, 1198, 124, 326, 251, 2, 3
1758270907380, 5, 6, 1199, 129, 327, 255, 2, 3
1758270907380, 3, 6, 1211, 130, 330, 255, 2, 4
1758270907380, 1, 6, 1199, 127, 333, 255, 1, 3
1758270907380, 4, 8, 1206, 128, 333, 250, 2, 3
1758270907380, 6, 7, 1216, 125, 334, 251, 8, 6
1758270907380, 4, 22, 1217, 126, 334, 251, 3, 2
1758270907380, 3, 15, 1216, 128, 331, 252, 1, 3
1758270907380, 3, 7, 1200, 128, 329, 256, 2, 3
1758270907380, 9, 5, 1199, 128, 331, 251, 7, 3
1758270907380, 4, 4, 1208, 127, 331, 249, 8, 3
1758270907380, 4, 20, 1199, 128, 344, 255, 2, 3
1758270907380, 2, 4, 1199, 125, 334, 255, 1, 7
1758270907380, 3, 4, 1200, 138, 334, 253, 1, 3
1758270907380, 2, 20, 1203, 128, 335, 252, 2, 3
1758270907380, 4, 7, 1211, 128, 331, 258, 0, 3
1758270907380, 4, 6, 1203, 134, 335, 255, 1, 3
1758270907380, 0, 6, 1211, 127, 333, 263, 1, 3
1758270907380, 3, 4, 1199, 127, 336, 251, 2, 3
1758270907380, 5, 19, 1208, 131, 339, 255, 1, 3
1758270907380, 7, 7, 1211, 128, 341, 253, 2, 3
1758270907380, 3, 5, 1213, 130, 343, 254, 2, 8
1758270907380, 2, 7, 1199, 134, 343, 255, 2, 4
1758270907380, 4, 7, 1211, 130, 341, 257, 2, 3
1758270907380, 4, 20, 1212, 128, 349, 253, 2, 3
1758270907380, 3, 11, 1196, 127, 345, 252, 3, 2
1758270907380, 4, 7, 1199, 133, 344, 255, 2, 3
1758270907380, 4, 8, 1203, 128, 347, 254, 1, 3
1758270907380, 2, 6, 1199, 130, 347, 252, 2, 3
1758270907380, 5, 19, 1199, 128, 343, 253, 2, 4
1758270907380, 4, 7, 1210, 131, 346, 258, 1, 3
1758270907380, 4, 21, 1216, 128, 346, 256, 1, 10
1758270907380, 2, 5, 1214, 129, 350, 259, 1, 8
1758270907380, 3, 5, 1222, 127, 350, 255, 2, 3
1758270907380, 5, 18, 1224, 129, 349, 260, 2, 3
1758270907380, 4, 7, 1208, 132, 349, 254, 4, 4
1758270907380, 12, 8, 1216, 132, 350, 253, 1, 8
1758270907380, 3, 5, 1215, 132, 351, 256, 2, 5
1758270907380, 3, 5, 1200, 131, 353, 252, 3, 3
1758270907380, 5, 6, 1203, 131, 350, 256, 2, 3
1758270907380, 2, 6, 1208, 135, 355, 257, 1, 3
1758270907380, 3, 20, 1201, 143, 358, 253, 2, 6
1758270907380, 3, 8, 1216, 136, 351, 253, 3, 2
1758270907380, 4, 8, 1204, 134, 355, 255, 2, 3
1758270907380, 4, 8, 1216, 135, 353, 257, 2, 3
1758270907380, 7, 8, 1211, 132, 355, 256, 3, 3
1758270907380, 1, 9, 1203, 137, 352, 256, 1, 1
1758270907380, 5, 8, 1207, 136, 357, 258, 2, 3
1758270907380, 3, 19, 1211, 134, 355, 260, 10, 3
1758270907380, 13, 7, 1216, 133, 350, 256, 2, 5
1758270907380, 6, 4, 1210, 133, 352, 260, 2, 3
1758270907380, 2, 5, 1210, 134, 354, 268, 2, 3
1758270907380, 6, 3, 1211, 134, 352, 260, 2, 3
1758270907380, 5, 5, 1215, 135, 354, 257, 11, 3
1758270907380, 4, 15, 1208, 133, 351, 258, 6, 1
1758270907380, 3, 6, 1215, 136, 348, 260, 6, 3
1758270907380, 12, 5, 1208, 143, 354, 261, 2, 4
1758270907380, 7, 5, 1215, 135, 350, 260, 2, 2
1758270907380, 5, 6, 1203, 135, 352, 261, 2, 3
1758270907380, 3, 5, 1215, 134, 350, 260, 2, 3
1758270907380, 2, 11, 1203, 134, 351, 261, 2, 3
1758270907380, 4, 6, 1216, 135, 349, 258, 2, 3
1758270907380, 4, 7, 1215, 136, 351, 259, 7, 4
1758270907380, 3, 8, 1201, 135, 359, 260, 2, 3
1758270907380, 4, 22, 1224, 137, 348, 256, 2, 3
1758270907380, 4, 22, 1208, 134, 351, 261, 5, 3
1758270907380, 4, 9, 1208, 133, 351, 264, 2, 7
1758270907380, 2, 6, 1215, 136, 352, 263, 1, 2
1758270907380, 4, 6, 1216, 138, 349, 257, 2, 3
1758270907380, 6, 5, 1203, 136, 348, 263, 1, 3
1758270907380, 1, 9, 1208, 135, 349, 259, 2, 3
1758270907380, 5, 21, 1207, 137, 351, 257, 2, 12
1758270907380, 6, 6, 1208, 138, 351, 259, 10, 7
1758270907380, 4, 8, 1228, 143, 345, 259, 3, 3
1758270907380, 3, 6, 1199, 137, 360, 262, 1, 3
1758270907380, 2, 15, 1226, 142, 349, 265, 2, 1
1758270907380, 3, 6, 1214, 135, 356, 260, 1, 3
1758270907380, 5, 5, 1203, 139, 349, 260, 2, 2
1758270907380, 4, 5, 1207, 137, 357, 259, 2, 5
1758270907380, 6, 4, 1208, 137, 350, 263, 2, 3
1758270907380, 3, 19, 1208, 136, 350, 264, 2, 6
1758270907380, 4, 11, 1207, 136, 350, 264, 2, 3
1758270907380, 3, 6, 1214, 140, 349, 260, 2, 3
1758270907380, 5, 8, 1217, 138, 349, 263, 1, 3
1758270907380, 6, 8, 1215, 139, 346, 263, 1, 3
1758270907382, 3, 7, 1203, 139, 349, 262, 2, 3
1758270907382, 7, 7, 1203, 136, 347, 270, 1, 3
1758270907383, 5, 7, 1198, 135, 347, 261, 2, 4
1758270907385, 4, 7, 1215, 140, 347, 259, 4, 4
1758270907385, 5, 20, 1215, 137, 345, 259, 1, 3
1758270907395, 2, 7, 1208, 139, 346, 259, 2, 3
1758270907395, 5, 15, 1217, 137, 345, 262, 1, 3
1758270907395, 0, 5, 1203, 136, 350, 259, 1, 7
1758270907395, 2, 4, 1208, 143, 344, 259, 2, 3
1758270907395, 3, 19, 1214, 138, 346, 260, 4, 3
1758270907395, 5, 7, 1215, 143, 347, 263, 1, 3
1758270907395, 5, 6, 1199, 136, 348, 262, 2, 4
1758270907395, 3, 20, 1208, 136, 348, 259, 2, 3
1758270907395, 2, 6, 1214, 136, 347, 258, 2, 3
