unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758271072660, N, 3, 4, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758271072760, 4, 7, 1191, 76, 286, 303, 2, 6
1758271072760, 6, 5, 1191, 75, 285, 305, 1, 3
1758271072760, 6, 4, 1193, 75, 286, 307, 2, 4
1758271072760, 2, 4, 1204, 76, 288, 306, 4, 3
1758271072760, 6, 4, 1193, 77, 287, 308, 2, 3
1758271072760, 11, 17, 1200, 76, 288, 304, 2, 4
1758271072760, 5, 22, 1191, 78, 288, 307, 2, 3
1758271072760, 5, 7, 1207, 75, 285, 306, 1, 3
1758271072760, 4, 6, 1191, 77, 288, 305, 2, 3
1758271072760, 5, 6, 1191, 76, 291, 305, 4, 2
1758271072760, 11, 7, 1204, 81, 290, 309, 2, 3
1758271072760, 3, 7, 1205, 87, 288, 306, 5, 3
1758271072760, 3, 7, 1207, 76, 291, 305, 1, 3
1758271072760, 3, 22, 1191, 74, 294, 305, 1, 3
1758271072760, 4, 9, 1195, 73, 293, 307, 1, 3
1758271072760, 4, 6, 1207, 73, 287, 307, 2, 3
1758271072760, 2, 5, 1200, 74, 290, 304, 2, 4
1758271072760, 3, 4, 1200, 75, 286, 304, 2, 3
1758271072760, 5, 5, 1207, 72, 294, 305, 2, 5
1758271072760, 2, 7, 1200, 78, 287, 306, 2, 3
1758271072760, 0, 4, 1204, 78, 286, 305, 5, 4
1758271072760, 4, 5, 1194, 76, 289, 304, 3, 3
1758271072760, 5, 5, 1204, 82, 287, 304, 0, 3
1758271072760, 13, 5, 1206, 77, 285, 308, 11, 3
1758271072760, 3, 9, 1200, 90, 285, 307, 2, 8
1758271072760, 3, 20, 1204, 79, 295, 306, 2, 3
1758271072760, 3, 22, 1200, 76, 285, 309, 2, 3
1758271072760, 3, 22, 1200, 79, 287, 305, 2, 3
1758271072760, 3, 6, 1206, 81, 286, 309, 2, 5
1758271072760, 1, 5, 1207, 76, 289, 304, 2, 4
1758271072760, 3, 21, 1207, 84, 293, 309, 2, 3
1758271072760, 2, 24, 1207, 78, 287, 305, 2, 3
1758271072760, 5, 25, 1195, 79, 288, 304, 6, 3
1758271072760, 6, 8, 1200, 78, 286, 303, 1, 2
1758271072760, 3, 7, 1200, 78, 296, 303, 6, 3
1758271072760, 3, 6, 1200, 79, 296, 307, 6, 3
1758271072760, 9, 5, 1216, 78, 286, 304, 2, 4
1758271072760, 3, 5, 1200, 78, 285, 307, 2, 5
1758271072760, 4, 4, 1207, 77, 287, 302, 1, 3
1758271072760, 3, 3, 1204, 77, 285, 305, 2, 3
1758271072760, 5, 3, 1206, 78, 286, 303, 2, 3
1758271072760, 6, 5, 1200, 87, 299, 302, 1, 3
1758271072760, 5, 5, 1200, 78, 287, 301, 2, 3
1758271072760, 2, 5, 1200, 76, 285, 301, 2, 3
1758271072760, 4, 4, 1206, 76, 287, 301, 1, 4
1758271072760, 7, 20, 1206, 76, 300, 303, 2, 3
1758271072760, 6, 21, 1206, 80, 295, 307, 2, 3
1758271072760, 3, 7, 1211, 75, 287, 304, 2, 7
1758271072760, 4, 20, 1207, 73, 291, 306, 2, 3
1758271072760, 5, 7, 1207, 74, 286, 301, 2, 4
1758271072760, 2, 23, 1199, 80, 288, 303, 1, 4
1758271072760, 4, 9, 1207, 72, 285, 301, 2, 4
1758271072760, 6, 8, 1207, 75, 285, 303, 2, 2
1758271072760, 2, 6, 1207, 75, 288, 300, 1, 3
1758271072760, 8, 6, 1200, 74, 297, 302, 1, 2
1758271072760, 2, 6, 1207, 74, 287, 304, 1, 2
1758271072760, 2, 20, 1200, 77, 284, 303, 2, 3
1758271072760, 4, 7, 1200, 79, 284, 304, 1, 3
1758271072760, 4, 5, 1204, 73, 286, 302, 2, 3
1758271072760, 2, 19, 1191, 73, 283, 304, 1, 4
1758271072760, 4, 6, 1200, 79, 285, 304, 1, 4
1758271072760, 4, 6, 1207, 73, 282, 304, 2, 3
1758271072760, 3, 5, 1207, 73, 282, 300, 2, 3
