unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758271108675, N, -1, 4, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758271108804, 1, 9, 1075, 67, 302, 291, 1, 5
1758271108804, 2, 23, 1079, 69, 299, 289, 1, 3
1758271108804, 7, 9, 1089, 67, 303, 288, 2, 9
1758271108804, 3, 7, 1078, 69, 301, 295, 2, 4
1758271108804, 5, 7, 1081, 68, 303, 291, 1, 3
1758271108804, 5, 6, 1095, 79, 301, 291, 1, 3
1758271108804, 3, 5, 1086, 68, 301, 293, 2, 3
1758271108804, 7, 5, 1080, 67, 303, 295, 10, 3
1758271108804, 4, 4, 1079, 70, 297, 290, 7, 3
1758271108804, 3, 3, 1080, 70, 300, 293, 2, 3
1758271108804, 6, 3, 1075, 71, 299, 289, 2, 2
1758271108804, 4, 4, 1081, 70, 305, 289, 2, 3
1758271108804, 0, 5, 1087, 73, 298, 288, 1, 3
1758271108804, 8, 5, 1087, 68, 306, 291, 2, 2
1758271108804, 0, 20, 1078, 68, 303, 288, 2, 3
1758271108804, 2, 7, 1080, 69, 301, 293, 1, 3
1758271108804, 4, 10, 1081, 71, 303, 300, 1, 2
1758271108804, 4, 6, 1079, 70, 300, 288, 2, 3
1758271108804, 3, 5, 1087, 70, 301, 289, 2, 3
1758271108804, 5, 6, 1087, 69, 302, 289, 1, 3
1758271108804, 5, 23, 1084, 71, 299, 293, 11, 3
1758271108804, 5, 10, 1079, 76, 300, 293, 2, 8
1758271108804, 4, 8, 1079, 71, 304, 289, 2, 2
1758271108804, 0, 15, 1087, 72, 299, 290, 2, 2
1758271108804, 2, 8, 1079, 69, 303, 293, 1, 3
1758271108804, 3, 6, 1081, 69, 300, 295, 3, 4
1758271108804, 3, 4, 1086, 69, 301, 290, 2, 3
1758271108804, 2, 4, 1087, 69, 302, 289, 2, 5
1758271108804, 10, 4, 1081, 68, 299, 289, 1, 3
1758271108804, 3, 3, 1095, 68, 303, 292, 10, 3
1758271108804, 5, 4, 1086, 70, 301, 291, 1, 3
1758271108804, 5, 5, 1086, 68, 301, 290, 8, 3
1758271108804, 17, 4, 1077, 77, 308, 289, 2, 4
1758271108804, 5, 5, 1096, 68, 300, 293, 1, 3
1758271108804, 3, 5, 1079, 71, 300, 289, 2, 3
1758271108804, 4, 12, 1079, 71, 302, 287, 1, 3
1758271108804, 5, 5, 1095, 69, 300, 294, 6, 3
1758271108804, 3, 5, 1091, 68, 303, 299, 1, 3
1758271108804, 3, 16, 1079, 70, 299, 288, 3, 4
1758271108804, 6, 7, 1088, 71, 304, 291, 2, 4
1758271108804, 4, 7, 1079, 68, 300, 291, 2, 3
1758271108804, 3, 17, 1087, 68, 303, 291, 1, 5
1758271108804, 0, 8, 1091, 70, 308, 287, 2, 6
1758271108804, 1, 7, 1091, 69, 300, 291, 2, 3
1758271108804, 4, 21, 1087, 69, 302, 290, 8, 3
1758271108804, 11, 8, 1087, 69, 302, 289, 2, 3
1758271108804, 1, 6, 1084, 69, 302, 295, 2, 6
1758271108804, 4, 4, 1087, 67, 303, 297, 2, 3
1758271108804, 3, 20, 1087, 67, 302, 289, 1, 3
1758271108804, 3, 5, 1087, 67, 301, 299, 1, 4
1758271108804, 6, 3, 1091, 71, 311, 289, 2, 4
1758271108804, 3, 19, 1087, 69, 301, 293, 2, 2
1758271108804, 10, 6, 1087, 69, 303, 289, 1, 3
1758271108804, 6, 4, 1087, 69, 299, 294, 1, 3
1758271108804, 5, 5, 1084, 70, 300, 294, 2, 2
1758271108804, 2, 9, 1080, 66, 299, 292, 2, 2
1758271108804, 1, 5, 1087, 69, 303, 289, 2, 7
1758271108804, 0, 21, 1087, 68, 306, 289, 2, 3
1758271108804, 3, 8, 1091, 68, 302, 289, 2, 3
1758271108804, 5, 7, 1091, 68, 302, 289, 7, 3
1758271108804, 6, 7, 1086, 72, 300, 292, 2, 3
1758271108804, 4, 13, 1079, 69, 299, 293, 3, 3
1758271108804, 5, 8, 1081, 74, 299, 297, 7, 3
1758271108804, 13, 7, 1088, 69, 297, 294, 2, 4
1758271108804, 6, 6, 1081, 71, 299, 292, 3, 2
1758271108804, 5, 5, 1086, 68, 302, 290, 1, 3
1758271108804, 5, 4, 1087, 69, 298, 295, 2, 3
1758271108804, 11, 4, 1084, 70, 300, 288, 2, 2
1758271108804, 3, 5, 1083, 70, 303, 292, 9, 3
1758271108804, 3, 3, 1084, 73, 303, 297, 1, 3
1758271108804, 2, 4, 1087, 70, 300, 289, 3, 3
1758271108804, 3, 6, 1078, 70, 303, 289, 1, 3
1758271108804, 4, 5, 1083, 67, 299, 292, 2, 11
1758271108804, 1, 4, 1087, 69, 299, 293, 3, 2
1758271108804, 5, 19, 1087, 67, 308, 291, 2, 3
1758271108804, 5, 7, 1079, 68, 307, 290, 1, 3
1758271108804, 8, 20, 1084, 68, 300, 293, 2, 3
1758271108804, 6, 7, 1079, 69, 301, 291, 1, 3
1758271108804, 4, 5, 1083, 68, 299, 293, 1, 6
1758271108804, 5, 6, 1078, 70, 305, 291, 1, 3
1758271108804, 5, 14, 1084, 78, 301, 298, 2, 3
1758271108804, 3, 9, 1083, 69, 302, 293, 2, 3
1758271108804, 3, 13, 1088, 69, 303, 291, 2, 7
1758271108804, 3, 7, 1083, 70, 306, 292, 2, 3
1758271108804, 3, 6, 1086, 78, 311, 291, 2, 3
1758271108804, 5, 6, 1079, 68, 311, 292, 3, 3
1758271108804, 12, 4, 1083, 68, 300, 292, 2, 3
1758271108804, 3, 5, 1083, 69, 301, 293, 3, 12
1758271108804, 3, 4, 1097, 69, 301, 302, 2, 3
1758271108804, 0, 3, 1084, 69, 303, 293, 2, 3
1758271108804, 6, 3, 1095, 66, 299, 292, 2, 2
1758271108804, 2, 3, 1083, 68, 300, 295, 2, 3
1758271108804, 3, 4, 1091, 69, 299, 290, 0, 2
1758271108804, 5, 5, 1083, 69, 301, 292, 2, 4
1758271108804, 5, 20, 1087, 69, 303, 299, 1, 5
1758271108804, 16, 7, 1087, 69, 302, 290, 1, 3
