unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758271223424, N, -1, 5, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758271223507, 6, 7, 269, 117, 535, 329, 2, 3
1758271223507, 2, 6, 257, 117, 536, 326, 1, 3
1758271223507, 4, 5, 262, 114, 535, 327, 2, 2
1758271223507, 3, 5, 259, 116, 529, 330, 1, 3
1758271223507, 3, 5, 263, 116, 531, 328, 1, 4
1758271223507, 7, 6, 270, 116, 532, 333, 2, 12
1758271223507, 6, 7, 266, 114, 535, 331, 2, 11
1758271223507, 5, 7, 268, 118, 532, 333, 1, 3
1758271223507, 3, 6, 269, 118, 532, 331, 2, 3
1758271223507, 3, 5, 267, 115, 539, 332, 2, 6
1758271223507, 3, 5, 268, 123, 530, 335, 1, 3
1758271223507, 5, 20, 266, 115, 524, 344, 1, 2
1758271223507, 4, 7, 271, 111, 526, 333, 1, 3
1758271223507, 2, 5, 267, 110, 527, 333, 3, 3
1758271223507, 5, 4, 264, 109, 522, 331, 2, 7
1758271223507, 3, 4, 269, 112, 511, 332, 4, 3
1758271223507, 5, 5, 273, 110, 515, 333, 1, 3
1758271223507, 4, 6, 272, 111, 513, 333, 2, 3
1758271223507, 3, 5, 272, 112, 508, 330, 2, 3
1758271223507, 5, 5, 273, 115, 505, 328, 7, 2
1758271223507, 2, 5, 275, 114, 504, 330, 1, 3
1758271223507, 4, 5, 285, 115, 493, 328, 1, 4
1758271223507, 1, 5, 284, 114, 490, 327, 2, 3
1758271223507, 3, 4, 288, 114, 491, 332, 9, 3
1758271223507, 3, 21, 292, 115, 467, 322, 2, 3
1758271223507, 5, 14, 290, 126, 474, 326, 3, 2
1758271223507, 9, 8, 297, 116, 470, 323, 1, 3
1758271223507, 2, 8, 301, 117, 459, 325, 2, 3
1758271223507, 6, 21, 308, 114, 460, 323, 1, 3
1758271223507, 0, 23, 300, 116, 453, 326, 2, 2
1758271223507, 3, 8, 303, 112, 453, 329, 2, 3
1758271223507, 6, 5, 302, 113, 444, 335, 1, 4
1758271223507, 8, 4, 313, 116, 457, 322, 2, 6
