unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758271259454, N, 1, 5, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758271259532, 3, 4, 1064, 83, 369, 290, 2, 3
1758271259532, 2, 5, 1071, 79, 365, 292, 1, 3
1758271259532, 5, 5, 1079, 82, 363, 292, 2, 4
1758271259532, 2, 4, 1066, 80, 373, 291, 1, 3
1758271259532, 7, 5, 1057, 80, 363, 289, 2, 3
1758271259532, 3, 5, 1068, 82, 367, 284, 2, 3
1758271259532, 3, 5, 1059, 83, 373, 286, 1, 5
1758271259532, 4, 6, 1067, 82, 367, 290, 2, 4
1758271259532, 6, 8, 1067, 82, 366, 287, 11, 3
1758271259532, 3, 7, 1059, 84, 363, 288, 2, 4
1758271259532, 7, 6, 1055, 85, 362, 299, 1, 3
1758271259532, 1, 7, 1055, 83, 364, 292, 1, 3
1758271259532, 3, 14, 1062, 83, 364, 294, 2, 2
1758271259532, 2, 7, 1056, 81, 363, 291, 3, 4
1758271259532, 4, 5, 1063, 83, 357, 286, 2, 4
1758271259532, 1, 5, 1055, 83, 361, 286, 2, 3
1758271259532, 4, 4, 1063, 82, 361, 285, 1, 3
1758271259532, 5, 4, 1063, 83, 362, 290, 1, 12
1758271259532, 8, 4, 1055, 88, 359, 287, 7, 2
1758271259532, 5, 5, 1047, 90, 357, 290, 2, 3
1758271259532, 1, 9, 1055, 79, 361, 286, 2, 2
1758271259532, 0, 6, 1055, 81, 362, 286, 2, 3
1758271259532, 3, 5, 1059, 81, 360, 299, 2, 3
1758271259532, 12, 5, 1047, 80, 356, 287, 2, 3
1758271259532, 4, 6, 1055, 78, 349, 289, 2, 3
1758271259532, 3, 20, 1064, 77, 352, 292, 2, 4
1758271259532, 3, 7, 1039, 78, 348, 283, 2, 13
1758271259532, 4, 6, 1051, 77, 359, 288, 2, 3
1758271259532, 9, 14, 1046, 79, 349, 286, 2, 3
1758271259532, 4, 9, 1041, 80, 347, 287, 2, 2
1758271259532, 4, 8, 1047, 81, 345, 285, 2, 3
1758271259532, 6, 7, 1040, 79, 347, 293, 2, 3
1758271259532, 0, 6, 1028, 85, 348, 284, 1, 8
1758271259532, 3, 5, 1036, 75, 347, 291, 1, 3
1758271259532, 0, 5, 1031, 79, 348, 286, 5, 4
1758271259532, 4, 4, 1031, 79, 347, 288, 4, 3
1758271259532, 0, 5, 1047, 80, 345, 292, 2, 5
1758271259532, 6, 4, 1032, 83, 348, 287, 2, 3
1758271259532, 0, 4, 1039, 79, 357, 286, 10, 4
1758271259532, 3, 4, 1039, 79, 354, 288, 1, 4
1758271259532, 4, 5, 1029, 83, 345, 287, 3, 3
1758271259532, 7, 5, 1029, 82, 345, 285, 2, 4
1758271259532, 0, 5, 1023, 80, 344, 286, 5, 3
1758271259532, 6, 4, 1027, 80, 344, 286, 4, 3
1758271259532, 4, 5, 1032, 79, 341, 288, 2, 3
1758271259532, 3, 4, 1037, 80, 347, 285, 3, 2
1758271259532, 3, 19, 1032, 85, 347, 287, 1, 3
1758271259532, 6, 8, 1027, 83, 344, 287, 10, 2
1758271259532, 6, 22, 1034, 84, 347, 283, 2, 3
1758271259532, 7, 9, 1037, 85, 339, 285, 3, 3
1758271259532, 7, 7, 1027, 85, 344, 283, 3, 4
1758271259532, 7, 6, 1036, 83, 352, 283, 1, 3
1758271259532, 6, 6, 1037, 81, 358, 282, 2, 3
1758271259532, 0, 5, 1032, 90, 341, 283, 2, 3
1758271259532, 5, 5, 1039, 82, 343, 286, 2, 2
1758271259532, 2, 4, 1039, 82, 341, 284, 2, 3
1758271259532, 3, 4, 1037, 85, 341, 284, 4, 3
1758271259532, 4, 3, 1035, 85, 345, 284, 2, 3
1758271259532, 1, 4, 1039, 81, 347, 282, 2, 3
1758271259532, 1, 5, 1023, 84, 346, 286, 1, 3
1758271259532, 8, 5, 1035, 85, 341, 285, 2, 3
1758271259532, 0, 5, 1037, 84, 346, 283, 5, 3
1758271259532, 6, 4, 1032, 87, 352, 293, 1, 3
1758271259532, 4, 4, 1035, 81, 351, 281, 3, 3
1758271259532, 3, 4, 1035, 83, 351, 282, 2, 4
1758271259532, 6, 5, 1027, 84, 356, 291, 2, 3
1758271259532, 3, 4, 1027, 83, 351, 284, 11, 3
1758271259532, 0, 6, 1039, 84, 354, 281, 1, 3
1758271259532, 6, 6, 1037, 83, 352, 281, 3, 3
1758271259532, 3, 8, 1032, 87, 353, 286, 2, 3
1758271259532, 6, 21, 1027, 85, 348, 283, 2, 3
1758271259532, 5, 10, 1032, 83, 358, 284, 2, 3
1758271259532, 2, 6, 1028, 86, 349, 283, 3, 3
1758271259532, 1, 5, 1037, 80, 354, 284, 2, 2
1758271259532, 6, 5, 1035, 84, 349, 281, 1, 3
1758271259532, 5, 16, 1035, 82, 363, 283, 2, 8
1758271259532, 2, 6, 1035, 83, 352, 283, 2, 7
1758271259532, 0, 3, 1032, 80, 351, 287, 2, 3
1758271259534, 10, 4, 1038, 83, 350, 286, 2, 4
1758271259535, 3, 5, 1020, 83, 350, 283, 6, 9
1758271259535, 5, 4, 1039, 82, 355, 285, 2, 3
1758271259535, 4, 19, 1039, 84, 352, 297, 6, 3
1758271259536, 6, 6, 1039, 82, 357, 286, 1, 5
1758271259539, 5, 7, 1039, 83, 356, 291, 3, 9
1758271259539, 4, 6, 1027, 82, 357, 285, 1, 3
1758271259551, 6, 4, 1039, 81, 353, 284, 2, 3
1758271259551, 1, 6, 1039, 83, 360, 288, 1, 3
1758271259551, 3, 7, 1036, 82, 358, 284, 3, 3
1758271259551, 3, 6, 1039, 83, 358, 285, 1, 3
1758271259551, 5, 7, 1027, 83, 361, 286, 2, 3
1758271259551, 7, 7, 1039, 83, 367, 292, 2, 3
1758271259551, 0, 6, 1038, 91, 362, 285, 2, 3
1758271259551, 7, 6, 1039, 83, 359, 285, 4, 3
1758271259551, 4, 6, 1039, 82, 367, 284, 1, 3
1758271259551, 5, 5, 1039, 81, 355, 285, 2, 3
1758271259551, 3, 5, 1031, 83, 359, 293, 2, 4
1758271259566, 4, 4, 1039, 84, 356, 283, 1, 2
1758271259566, 3, 18, 1036, 83, 357, 281, 1, 4
1758271259566, 5, 7, 1039, 83, 350, 284, 2, 3
1758271259566, 6, 6, 1031, 85, 356, 285, 3, 3
1758271259566, 6, 5, 1027, 83, 356, 287, 1, 3
1758271259566, 6, 4, 1039, 85, 359, 286, 1, 2
1758271259566, 13, 18, 1031, 82, 358, 285, 2, 3
1758271259566, 5, 7, 1039, 83, 356, 286, 2, 3
1758271259566, 7, 21, 1036, 84, 359, 285, 1, 4
1758271259566, 4, 7, 1031, 82, 358, 287, 2, 3
1758271259566, 5, 6, 1039, 82, 357, 286, 2, 3
1758271259566, 6, 7, 1036, 83, 355, 285, 2, 3
1758271259566, 3, 7, 1031, 82, 367, 283, 2, 3
1758271259566, 2, 7, 1038, 81, 360, 287, 5, 3
1758271259566, 0, 21, 1045, 82, 355, 284, 2, 3
1758271259581, 2, 9, 1039, 87, 365, 283, 2, 4
1758271259581, 6, 7, 1039, 83, 357, 285, 1, 3
1758271259581, 3, 6, 1038, 81, 357, 285, 2, 11
1758271259581, 3, 19, 1038, 80, 360, 279, 1, 5
1758271259581, 8, 21, 1039, 82, 362, 281, 2, 3
1758271259581, 5, 7, 1032, 89, 360, 279, 2, 3
1758271259581, 1, 5, 1039, 83, 357, 287, 2, 3
1758271259581, 4, 19, 1034, 83, 359, 280, 1, 3
1758271259581, 3, 15, 1031, 82, 358, 279, 2, 3
1758271259581, 3, 5, 1035, 82, 362, 281, 3, 2
1758271259581, 4, 5, 1023, 86, 362, 281, 3, 3
1758271259581, 10, 5, 1025, 81, 358, 281, 2, 3
1758271259581, 0, 5, 1023, 83, 363, 280, 2, 4
1758271259581, 3, 4, 1029, 84, 360, 279, 1, 3
1758271259581, 1, 5, 1031, 81, 365, 280, 2, 4
1758271259581, 4, 5, 1025, 83, 360, 280, 11, 3
1758271259595, 8, 8, 1019, 82, 361, 280, 8, 2
1758271259595, 4, 7, 1019, 82, 365, 277, 2, 3
1758271259595, 5, 8, 1031, 82, 362, 277, 2, 3
1758271259595, 3, 7, 1024, 83, 363, 280, 2, 2
1758271259595, 1, 6, 1015, 81, 367, 280, 2, 3
1758271259595, 3, 7, 1023, 82, 363, 283, 2, 3
1758271259595, 10, 5, 1023, 82, 365, 278, 2, 3
1758271259595, 8, 5, 1022, 80, 361, 287, 2, 4
1758271259595, 5, 5, 1023, 86, 363, 279, 2, 3
1758271259595, 4, 6, 1016, 83, 360, 279, 2, 3
1758271259595, 4, 3, 1015, 82, 361, 279, 2, 3
1758271259595, 4, 5, 1023, 82, 367, 277, 2, 2
1758271259595, 1, 6, 1023, 83, 360, 278, 3, 10
1758271259595, 3, 5, 1016, 82, 363, 274, 2, 3
1758271259610, 1, 19, 1019, 82, 357, 275, 3, 2
1758271259610, 3, 14, 1020, 82, 366, 277, 2, 2
1758271259610, 0, 8, 1008, 81, 369, 280, 2, 3
1758271259610, 4, 6, 1017, 81, 355, 274, 3, 5
1758271259610, 2, 6, 1008, 82, 361, 272, 2, 4
