unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758266990448, O, 5, 1, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758266993140, 6, 2, 488, 72, 308, 151, 3, 3
1758266993140, 11, 0, 491, 73, 304, 154, 3, 2
1758266993140, 8, 0, 495, 75, 312, 152, 3, 8
1758266993140, 1, 0, 494, 73, 305, 152, 3, 2
1758266993140, 3, 0, 491, 74, 306, 152, 3, 3
1758266993140, 1, 2, 500, 76, 307, 154, 1, 3
1758266993140, 7, 4, 499, 71, 304, 150, 0, 4
1758266993140, 3, 4, 496, 71, 307, 149, 2, 3
1758266993140, 5, 5, 499, 77, 308, 150, 2, 3
1758266993140, 4, 5, 490, 73, 318, 153, 2, 4
1758266993140, 0, 5, 491, 76, 303, 150, 2, 4
1758266993140, 5, 21, 495, 72, 302, 153, 2, 2
1758266993140, 4, 9, 494, 77, 308, 151, 3, 3
1758266993140, 11, 7, 497, 73, 308, 151, 3, 3
1758266993140, 3, 12, 506, 73, 307, 152, 0, 3
1758266993140, 5, 17, 491, 73, 310, 152, 3, 2
1758266993140, 12, 16, 499, 73, 305, 154, 0, 1
1758266993140, 6, 13, 495, 73, 307, 153, 2, 4
1758266993140, 4, 22, 491, 74, 309, 152, 1, 2
1758266993140, 0, 9, 494, 84, 309, 151, 2, 4
1758266993140, 5, 3, 490, 76, 307, 154, 7, 3
1758266993140, 3, 13, 492, 81, 309, 152, 7, 2
1758266993140, 3, 0, 491, 73, 313, 153, 2, 3
1758266993140, 0, 2, 492, 79, 309, 152, 8, 2
1758266993140, 1, 0, 497, 73, 311, 151, 1, 11
1758266993140, 5, 15, 492, 73, 305, 153, 1, 4
1758266993140, 2, 6, 492, 75, 306, 156, 2, 2
1758266993140, 2, 18, 491, 78, 305, 153, 0, 3
1758266993140, 2, 6, 494, 72, 307, 153, 3, 2
1758266993140, 0, 6, 491, 72, 311, 153, 0, 3
1758266993140, 8, 6, 488, 76, 308, 153, 3, 1
1758266993140, 5, 7, 484, 73, 311, 152, 0, 3
1758266993140, 4, 6, 483, 73, 312, 153, 2, 3
1758266993140, 6, 8, 483, 74, 309, 150, 1, 3
1758266993140, 3, 27, 487, 74, 316, 152, 3, 3
1758266993140, 6, 19, 493, 73, 305, 152, 3, 3
1758266993140, 8, 17, 491, 74, 316, 154, 1, 2
1758266993140, 9, 15, 488, 74, 307, 150, 0, 5
1758266993140, 0, 9, 483, 73, 307, 149, 3, 3
1758266993140, 7, 6, 485, 74, 311, 150, 2, 3
1758266993140, 5, 1, 487, 75, 305, 159, 3, 2
1758266993140, 4, 12, 487, 73, 308, 153, 3, 4
1758266993140, 7, 0, 488, 74, 308, 151, 1, 3
1758266993140, 7, 1, 488, 74, 305, 156, 2, 2
1758266993140, 1, 0, 492, 78, 307, 154, 3, 2
1758266993140, 5, 2, 488, 72, 309, 151, 2, 2
1758266993140, 5, 18, 487, 72, 308, 151, 1, 3
1758266993140, 7, 19, 487, 72, 316, 155, 5, 2
1758266993140, 1, 6, 487, 74, 311, 149, 1, 3
1758266993140, 1, 5, 488, 71, 306, 152, 2, 3
1758266993140, 2, 5, 489, 73, 308, 155, 4, 10
1758266993140, 4, 6, 484, 72, 314, 152, 6, 3
1758266993140, 12, 6, 480, 78, 306, 153, 3, 4
1758266993140, 0, 7, 485, 75, 313, 153, 5, 3
1758266993140, 4, 14, 488, 73, 309, 152, 2, 9
1758266993140, 10, 25, 481, 74, 317, 153, 2, 2
1758266993140, 6, 29, 481, 84, 311, 151, 3, 1
1758266993140, 6, 16, 483, 76, 310, 151, 0, 4
1758266993140, 1, 25, 484, 71, 317, 152, 1, 4
1758266993140, 2, 9, 488, 74, 310, 150, 3, 2
1758266993140, 2, 2, 483, 73, 308, 151, 0, 2
1758266993140, 1, 0, 484, 73, 305, 155, 0, 5
1758266993140, 3, 7, 487, 74, 307, 151, 1, 3
1758266993140, 5, 2, 491, 74, 306, 152, 2, 3
1758266993140, 0, 0, 480, 73, 312, 150, 1, 3
1758266993140, 7, 15, 486, 74, 309, 162, 1, 4
1758266993140, 1, 6, 489, 76, 309, 155, 2, 2
1758266993140, 0, 19, 487, 73, 309, 150, 1, 2
1758266993140, 3, 6, 486, 73, 304, 152, 6, 3
1758266993140, 7, 5, 489, 73, 311, 154, 1, 4
1758266993140, 0, 17, 487, 73, 309, 150, 3, 3
1758266993140, 1, 20, 487, 73, 307, 153, 2, 2
1758266993140, 2, 7, 488, 74, 310, 154, 2, 5
1758266993140, 0, 8, 483, 74, 308, 156, 2, 3
1758266993140, 5, 24, 488, 74, 309, 163, 0, 3
1758266993140, 10, 18, 487, 74, 311, 151, 2, 3
1758266993140, 3, 16, 486, 84, 307, 154, 3, 2
1758266993140, 8, 14, 489, 83, 312, 155, 2, 2
1758266993140, 7, 9, 495, 73, 313, 156, 2, 2
1758266993140, 7, 7, 499, 74, 310, 151, 2, 3
1758266993140, 16, 2, 488, 78, 307, 156, 0, 2
1758266993140, 1, 0, 485, 75, 311, 155, 3, 1
1758266993140, 3, 0, 491, 74, 311, 158, 2, 2
1758266993140, 4, 15, 485, 75, 310, 151, 0, 3
1758266993140, 5, 0, 496, 75, 307, 156, 0, 4
1758266993140, 1, 14, 490, 74, 308, 153, 4, 4
1758266993140, 1, 7, 493, 75, 310, 151, 0, 4
1758266993140, 5, 4, 486, 73, 310, 151, 4, 3
1758266993140, 1, 19, 487, 74, 305, 155, 1, 3
1758266993140, 15, 7, 488, 75, 310, 155, 2, 3
1758266993140, 6, 6, 492, 76, 313, 152, 5, 2
1758266993140, 4, 4, 487, 74, 308, 156, 3, 3
1758266993140, 4, 6, 489, 73, 308, 154, 1, 5
1758266993140, 5, 8, 486, 75, 314, 152, 1, 2
1758266993140, 3, 28, 489, 75, 307, 154, 3, 4
1758266993140, 6, 19, 491, 76, 310, 156, 0, 3
1758266993140, 4, 17, 492, 74, 306, 159, 3, 3
1758266993140, 6, 14, 491, 74, 305, 154, 3, 4
1758266993140, 6, 8, 489, 75, 308, 155, 2, 2
1758266993140, 0, 15, 495, 75, 306, 154, 0, 3
1758266993140, 5, 4, 497, 73, 303, 156, 3, 2
1758266993140, 2, 7, 487, 75, 310, 163, 2, 3
1758266993140, 6, 12, 491, 74, 310, 154, 3, 3
1758266993140, 2, 3, 495, 74, 315, 153, 1, 3
1758266993140, 5, 0, 491, 75, 307, 155, 6, 3
1758266993140, 7, 1, 495, 76, 307, 155, 1, 3
