unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758267002452, O, -1, 1, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758267002510, 2, 6, 448, 62, 270, 149, 2, 2
1758267002510, 2, 0, 450, 60, 269, 152, 1, 4
1758267002510, 2, 0, 445, 63, 267, 153, 0, 3
1758267002510, 3, 0, 450, 60, 269, 152, 0, 3
1758267002510, 3, 1, 446, 62, 268, 153, 2, 3
1758267002510, 4, 6, 448, 61, 268, 153, 0, 2
1758267002510, 3, 4, 441, 62, 271, 154, 1, 8
1758267002510, 4, 4, 444, 62, 268, 151, 0, 3
1758267002510, 16, 5, 446, 61, 268, 153, 3, 2
1758267002510, 6, 4, 455, 63, 267, 149, 5, 4
1758267002510, 7, 4, 446, 61, 270, 148, 2, 4
1758267002510, 5, 5, 447, 61, 268, 151, 2, 3
1758267002510, 8, 6, 443, 61, 271, 152, 3, 2
1758267002510, 6, 6, 441, 61, 271, 152, 2, 3
1758267002510, 8, 8, 443, 62, 267, 153, 1, 6
1758267002510, 15, 16, 452, 62, 271, 154, 3, 2
1758267002510, 2, 18, 441, 63, 269, 153, 1, 4
1758267002510, 1, 17, 448, 62, 267, 153, 2, 3
1758267002510, 6, 14, 445, 60, 269, 155, 0, 10
1758267002510, 1, 8, 444, 63, 267, 152, 0, 5
1758267002510, 4, 7, 447, 62, 268, 152, 2, 3
1758267002510, 5, 0, 443, 60, 270, 153, 1, 4
1758267002510, 11, 0, 439, 60, 268, 150, 3, 3
1758267002510, 4, 0, 443, 63, 268, 152, 1, 3
1758267002510, 5, 1, 443, 64, 275, 153, 2, 3
1758267002510, 5, 0, 447, 62, 267, 152, 5, 2
1758267002510, 0, 3, 439, 60, 279, 152, 6, 2
1758267002510, 8, 3, 449, 63, 270, 153, 2, 3
1758267002510, 5, 5, 439, 62, 270, 152, 0, 2
1758267002510, 6, 6, 447, 62, 270, 156, 10, 3
1758267002510, 7, 3, 454, 61, 270, 153, 0, 3
1758267002510, 5, 6, 448, 61, 272, 153, 0, 4
1758267002510, 2, 14, 450, 62, 269, 153, 3, 3
1758267002510, 5, 8, 456, 64, 267, 150, 8, 5
1758267002510, 15, 8, 447, 62, 276, 154, 2, 2
1758267002510, 6, 29, 451, 63, 272, 153, 4, 3
1758267002510, 14, 19, 444, 62, 269, 154, 3, 4
1758267002510, 3, 18, 445, 63, 269, 152, 2, 3
1758267002510, 4, 14, 450, 62, 270, 151, 0, 4
1758267002510, 3, 8, 446, 62, 271, 154, 4, 3
1758267002510, 5, 7, 441, 62, 266, 153, 0, 10
1758267002510, 7, 0, 446, 64, 270, 156, 2, 3
1758267002510, 4, 0, 447, 62, 271, 154, 3, 3
1758267002510, 4, 0, 451, 62, 269, 154, 2, 2
1758267002510, 3, 1, 448, 63, 268, 156, 6, 3
1758267002510, 3, 8, 445, 60, 268, 153, 6, 3
1758267002510, 3, 16, 447, 61, 275, 155, 1, 1
1758267002510, 1, 5, 447, 62, 277, 155, 1, 2
1758267002510, 1, 3, 445, 62, 269, 156, 1, 3
1758267002510, 7, 18, 451, 61, 267, 154, 3, 2
1758267002510, 0, 6, 451, 63, 277, 150, 5, 1
1758267002510, 4, 6, 456, 66, 267, 154, 3, 3
1758267002510, 1, 6, 445, 59, 268, 153, 3, 1
1758267002510, 1, 8, 452, 62, 267, 153, 1, 3
1758267002510, 1, 8, 448, 60, 271, 158, 1, 3
1758267002510, 4, 17, 448, 61, 269, 153, 2, 3
1758267002510, 6, 16, 446, 61, 269, 154, 0, 3
1758267002510, 7, 18, 451, 61, 275, 153, 2, 4
1758267002510, 4, 13, 452, 61, 268, 155, 9, 3
1758267002512, 1, 9, 450, 71, 272, 153, 2, 4
1758267002514, 2, 21, 448, 62, 270, 152, 3, 2
1758267002514, 6, 1, 452, 60, 267, 154, 4, 4
1758267002516, 0, 0, 455, 62, 267, 152, 2, 3
1758267002517, 14, 0, 450, 68, 268, 156, 4, 12
1758267002517, 1, 0, 456, 62, 270, 154, 1, 2
1758267002529, 3, 0, 446, 63, 272, 155, 2, 3
1758267002529, 6, 15, 461, 62, 280, 152, 1, 4
1758267002529, 5, 20, 455, 63, 266, 155, 3, 3
1758267002529, 0, 7, 448, 60, 278, 154, 2, 11
1758267002529, 3, 5, 448, 61, 272, 155, 1, 5
1758267002529, 3, 5, 451, 68, 268, 152, 9, 4
1758267002529, 0, 5, 453, 61, 268, 151, 3, 4
1758267002529, 0, 5, 448, 62, 271, 152, 7, 3
1758267002529, 6, 6, 459, 64, 270, 156, 6, 3
1758267002529, 1, 8, 448, 60, 271, 150, 1, 4
1758267002529, 6, 31, 451, 63, 269, 153, 2, 3
1758267002529, 4, 20, 453, 64, 277, 155, 1, 4
1758267002543, 5, 21, 455, 62, 270, 151, 0, 3
1758267002543, 6, 28, 452, 60, 267, 152, 2, 3
1758267002543, 2, 26, 451, 60, 271, 152, 1, 2
1758267002543, 5, 10, 448, 61, 268, 155, 3, 3
1758267002543, 2, 0, 452, 60, 269, 154, 2, 1
1758267002543, 3, 0, 454, 61, 269, 154, 2, 3
1758267002543, 4, 8, 455, 60, 270, 159, 1, 1
1758267002543, 3, 1, 451, 60, 271, 153, 5, 3
1758267002543, 3, 9, 453, 61, 271, 153, 3, 3
1758267002543, 5, 20, 450, 67, 267, 154, 0, 10
1758267002543, 5, 7, 450, 60, 270, 153, 2, 3
1758267002543, 10, 4, 448, 60, 270, 153, 3, 3
1758267002543, 5, 15, 455, 61, 267, 156, 2, 2
1758267002556, 3, 16, 445, 60, 267, 159, 7, 2
1758267002556, 9, 7, 455, 61, 267, 157, 1, 2
1758267002556, 1, 6, 448, 61, 274, 166, 2, 3
1758267002556, 7, 6, 452, 64, 267, 156, 2, 2
1758267002556, 2, 24, 448, 60, 271, 153, 3, 3
1758267002556, 4, 19, 448, 62, 269, 156, 2, 3
1758267002556, 8, 18, 453, 60, 268, 157, 2, 7
1758267002556, 2, 29, 448, 65, 269, 157, 0, 3
1758267002556, 2, 16, 448, 59, 267, 157, 2, 7
1758267002556, 10, 9, 448, 60, 269, 152, 1, 3
1758267002556, 6, 7, 449, 62, 269, 157, 2, 5
1758267002556, 5, 3, 450, 61, 271, 155, 0, 3
1758267002556, 6, 0, 454, 59, 268, 157, 1, 5
1758267002569, 8, 0, 455, 60, 269, 155, 8, 3
1758267002569, 8, 0, 452, 61, 267, 154, 1, 12
1758267002569, 5, 0, 456, 60, 271, 154, 3, 3
1758267002569, 10, 2, 453, 62, 273, 158, 3, 2
1758267002569, 2, 4, 454, 61, 269, 156, 2, 4
1758267002569, 0, 4, 451, 62, 267, 160, 2, 2
1758267002569, 7, 4, 453, 60, 268, 156, 0, 2
1758267002569, 3, 4, 447, 65, 270, 157, 4, 2
1758267002569, 0, 6, 451, 60, 270, 156, 3, 3
1758267002569, 0, 6, 457, 61, 270, 161, 3, 2
1758267002569, 11, 6, 454, 62, 269, 159, 1, 1
1758267002569, 10, 7, 451, 61, 277, 157, 1, 3
1758267002569, 6, 16, 457, 61, 269, 156, 7, 3
1758267002582, 0, 17, 452, 60, 270, 158, 2, 3
1758267002582, 3, 17, 455, 70, 267, 159, 6, 3
1758267002582, 4, 13, 454, 68, 268, 159, 0, 8
1758267002582, 8, 9, 455, 60, 268, 161, 2, 3
1758267002582, 0, 7, 449, 60, 269, 155, 0, 11
1758267002582, 6, 0, 455, 60, 270, 161, 3, 2
1758267002582, 2, 0, 451, 60, 271, 158, 2, 2
1758267002582, 7, 0, 449, 62, 269, 158, 1, 3
1758267002582, 2, 0, 449, 60, 269, 158, 0, 2
1758267002582, 3, 0, 453, 61, 269, 159, 2, 1
1758267002582, 4, 2, 450, 60, 272, 158, 2, 2
1758267002582, 1, 4, 456, 62, 270, 159, 3, 3
1758267002582, 0, 5, 449, 65, 267, 156, 4, 3
1758267002582, 2, 4, 455, 61, 267, 162, 1, 2
1758267002596, 1, 20, 447, 60, 280, 156, 2, 3
1758267002596, 3, 8, 449, 67, 272, 159, 0, 3
1758267002596, 6, 6, 451, 59, 267, 163, 4, 3
1758267002596, 2, 6, 453, 60, 269, 156, 1, 2
1758267002596, 2, 16, 451, 62, 270, 157, 2, 3
1758267002596, 5, 18, 449, 62, 270, 157, 0, 4
1758267002596, 4, 19, 452, 60, 269, 156, 1, 3
1758267002596, 3, 17, 452, 62, 268, 160, 1, 4
1758267002596, 2, 13, 449, 60, 270, 158, 2, 2
1758267002596, 9, 9, 454, 60, 272, 162, 1, 4
1758267002596, 2, 7, 453, 60, 267, 157, 3, 6
1758267002596, 3, 0, 449, 60, 270, 154, 1, 3
1758267002596, 7, 0, 451, 60, 267, 159, 2, 3
1758267002607, 3, 11, 449, 60, 267, 156, 1, 3
1758267002607, 4, 2, 452, 61, 269, 157, 2, 2
1758267002607, 2, 8, 454, 61, 273, 160, 2, 1
1758267002607, 0, 5, 453, 59, 266, 159, 1, 2
1758267002607, 8, 5, 455, 62, 275, 159, 2, 3
1758267002607, 3, 4, 453, 60, 271, 161, 0, 2
1758267002607, 6, 5, 451, 63, 269, 161, 3, 4
1758267002607, 7, 5, 449, 62, 271, 166, 4, 2
1758267002607, 2, 6, 457, 60, 271, 159, 0, 3
1758267002607, 5, 6, 455, 62, 271, 157, 2, 4
1758267002607, 9, 6, 457, 61, 273, 161, 9, 3
1758267002607, 10, 8, 451, 61, 269, 159, 3, 3
1758267002621, 4, 16, 455, 60, 271, 160, 1, 1
1758267002621, 9, 33, 464, 63, 269, 159, 3, 4
1758267002621, 5, 20, 455, 63, 268, 157, 3, 3
1758267002621, 6, 13, 451, 62, 269, 155, 3, 3
1758267002621, 4, 8, 453, 62, 269, 158, 2, 3
1758267002621, 5, 8, 452, 62, 271, 156, 4, 3
1758267002621, 4, 0, 450, 61, 270, 156, 1, 4
1758267002621, 2, 0, 455, 62, 273, 154, 4, 2
1758267002621, 4, 0, 448, 62, 271, 158, 0, 4
1758267002621, 11, 6, 449, 61, 273, 161, 2, 3
1758267002621, 0, 0, 452, 62, 269, 157, 3, 2
1758267002621, 0, 18, 453, 61, 270, 154, 0, 4
1758267002621, 4, 19, 449, 61, 270, 159, 2, 5
1758267002634, 6, 7, 455, 62, 273, 154, 1, 5
1758267002634, 1, 19, 458, 63, 270, 159, 2, 2
1758267002634, 3, 8, 453, 71, 268, 156, 2, 4
1758267002634, 0, 5, 451, 63, 269, 154, 1, 4
1758267002634, 2, 6, 451, 60, 268, 158, 1, 3
1758267002634, 7, 6, 448, 62, 270, 156, 2, 3
1758267002634, 1, 7, 455, 63, 273, 155, 0, 4
1758267002634, 9, 17, 453, 61, 272, 155, 0, 3
1758267002634, 5, 17, 451, 60, 270, 159, 3, 11
1758267002634, 6, 31, 454, 61, 272, 156, 0, 3
1758267002634, 6, 30, 454, 62, 267, 159, 4, 2
