unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758267191809, O, -2, 2, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758267191893, 8, 5, 717, 113, 297, 314, 1, 4
1758267191893, 3, 15, 711, 115, 297, 319, 1, 3
1758267191893, 2, 3, 708, 114, 294, 325, 4, 3
1758267191893, 5, 17, 713, 115, 292, 315, 1, 3
1758267191893, 3, 15, 708, 125, 296, 315, 2, 3
1758267191893, 1, 6, 719, 114, 292, 316, 2, 3
1758267191893, 5, 5, 713, 114, 297, 318, 3, 2
1758267191893, 3, 5, 715, 114, 295, 317, 3, 4
1758267191893, 0, 6, 711, 114, 300, 327, 1, 3
1758267191893, 6, 5, 719, 115, 299, 315, 3, 4
1758267191893, 5, 5, 710, 114, 299, 315, 3, 5
1758267191893, 1, 6, 712, 113, 295, 315, 2, 4
1758267191893, 4, 12, 709, 115, 294, 319, 2, 3
1758267191893, 5, 7, 712, 114, 300, 320, 1, 3
1758267191893, 1, 11, 712, 113, 298, 316, 2, 12
1758267191893, 3, 12, 719, 113, 299, 316, 1, 3
1758267191893, 6, 12, 711, 113, 296, 320, 1, 3
1758267191893, 4, 11, 725, 114, 303, 314, 1, 3
1758267191893, 0, 9, 715, 119, 297, 316, 1, 3
1758267191893, 2, 7, 722, 113, 296, 317, 1, 3
1758267191893, 6, 3, 723, 115, 301, 318, 0, 10
1758267191893, 5, 10, 711, 113, 296, 317, 1, 3
1758267191893, 7, 2, 710, 115, 300, 316, 1, 3
1758267191893, 4, 3, 718, 114, 299, 314, 2, 3
1758267191893, 3, 9, 715, 117, 299, 316, 2, 2
1758267191893, 3, 4, 722, 114, 296, 313, 0, 2
1758267191893, 2, 17, 723, 114, 302, 312, 3, 3
1758267191893, 4, 6, 723, 113, 296, 316, 4, 4
1758267191893, 0, 20, 719, 113, 299, 314, 0, 4
1758267191893, 3, 7, 723, 112, 299, 313, 1, 4
1758267191893, 6, 5, 723, 114, 298, 315, 2, 3
1758267191893, 0, 5, 727, 113, 295, 313, 1, 3
1758267191893, 2, 19, 719, 113, 307, 315, 8, 3
1758267191893, 2, 8, 719, 114, 298, 317, 1, 3
1758267191893, 0, 11, 723, 114, 298, 315, 1, 4
1758267191893, 2, 22, 720, 112, 295, 309, 3, 3
1758267191893, 6, 13, 720, 113, 296, 315, 1, 2
1758267191893, 3, 10, 727, 114, 297, 322, 2, 4
1758267191893, 2, 9, 718, 114, 303, 312, 1, 7
1758267191893, 2, 7, 723, 113, 307, 326, 0, 4
1758267191893, 0, 4, 723, 116, 299, 310, 9, 3
1758267191893, 2, 1, 718, 114, 298, 318, 2, 2
1758267191893, 11, 1, 720, 114, 302, 311, 1, 6
1758267191893, 2, 17, 731, 114, 299, 313, 2, 3
1758267191893, 4, 0, 720, 114, 301, 315, 1, 4
1758267191893, 5, 19, 720, 115, 299, 313, 2, 3
1758267191893, 6, 7, 731, 115, 295, 312, 0, 6
1758267191893, 6, 5, 720, 113, 300, 314, 1, 2
1758267191893, 2, 4, 735, 116, 297, 311, 1, 11
1758267191893, 2, 20, 731, 115, 301, 310, 4, 2
1758267191893, 11, 6, 719, 115, 297, 314, 2, 3
1758267191893, 2, 18, 724, 117, 295, 311, 1, 3
1758267191893, 5, 8, 724, 114, 300, 310, 1, 3
1758267191893, 3, 7, 720, 114, 303, 312, 3, 3
1758267191893, 3, 10, 727, 114, 299, 320, 2, 3
1758267191893, 2, 12, 722, 113, 295, 315, 7, 8
1758267191893, 4, 12, 731, 113, 295, 315, 2, 3
1758267191893, 7, 9, 727, 122, 299, 313, 8, 4
1758267191893, 5, 9, 720, 114, 296, 316, 0, 3
1758267191893, 7, 7, 726, 114, 299, 320, 1, 3
1758267191893, 4, 3, 723, 115, 299, 310, 2, 4
1758267191893, 1, 2, 726, 112, 297, 311, 0, 3
1758267191893, 0, 12, 726, 113, 304, 313, 2, 3
1758267191893, 10, 4, 729, 115, 295, 312, 3, 7
1758267191893, 6, 0, 732, 116, 297, 318, 11, 3
1758267191893, 0, 4, 728, 114, 298, 311, 3, 4
