unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758267454874, O, 2, 3, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758267454958, 3, 6, 566, 127, 257, 638, 2, 3
1758267454958, 0, 6, 566, 132, 247, 636, 2, 3
1758267454958, 2, 8, 561, 133, 247, 638, 2, 3
1758267454958, 6, 22, 561, 126, 253, 638, 1, 4
1758267454958, 4, 11, 559, 124, 247, 637, 5, 3
1758267454958, 1, 24, 567, 124, 254, 637, 2, 2
1758267454958, 5, 23, 566, 128, 253, 636, 2, 3
1758267454958, 3, 8, 561, 127, 249, 636, 2, 3
1758267454958, 7, 6, 563, 124, 249, 636, 8, 2
1758267454958, 5, 12, 569, 126, 247, 634, 5, 3
1758267454958, 6, 5, 567, 126, 249, 635, 3, 3
1758267454958, 0, 4, 564, 126, 246, 638, 1, 5
1758267454958, 2, 3, 566, 124, 248, 635, 2, 3
1758267454958, 0, 6, 563, 123, 251, 633, 2, 3
1758267454958, 3, 11, 569, 123, 247, 643, 2, 3
1758267454958, 1, 6, 575, 124, 252, 637, 3, 3
1758267454958, 5, 5, 574, 124, 249, 642, 0, 6
1758267454958, 2, 5, 568, 123, 248, 640, 2, 3
1758267454958, 6, 6, 570, 126, 250, 640, 3, 3
1758267454958, 4, 5, 563, 134, 249, 645, 2, 4
1758267454958, 5, 6, 563, 127, 250, 637, 1, 4
1758267454958, 7, 20, 569, 127, 250, 641, 2, 3
1758267454958, 0, 10, 571, 125, 253, 636, 2, 3
1758267454958, 5, 10, 563, 126, 249, 643, 2, 3
1758267454958, 3, 9, 561, 125, 249, 645, 3, 3
1758267454958, 6, 7, 567, 125, 251, 647, 2, 3
1758267454958, 0, 7, 569, 122, 248, 637, 2, 7
1758267454958, 6, 7, 571, 122, 250, 634, 2, 3
1758267454958, 3, 5, 563, 128, 248, 643, 1, 3
1758267454958, 1, 4, 569, 125, 247, 643, 3, 3
1758267454958, 4, 5, 576, 123, 247, 638, 2, 3
1758267454958, 2, 4, 568, 125, 255, 638, 1, 3
1758267454958, 6, 3, 565, 126, 248, 643, 1, 3
1758267454958, 11, 4, 572, 135, 248, 634, 2, 9
1758267454958, 2, 18, 564, 123, 248, 635, 1, 3
1758267454958, 0, 6, 568, 126, 244, 637, 2, 3
1758267454958, 3, 6, 563, 124, 248, 641, 3, 3
1758267454958, 4, 18, 563, 135, 249, 641, 2, 3
1758267454958, 4, 7, 570, 125, 248, 641, 3, 3
1758267454958, 5, 6, 571, 123, 251, 633, 3, 3
1758267454958, 7, 7, 570, 124, 251, 636, 8, 3
1758267454958, 0, 7, 564, 124, 251, 640, 3, 3
1758267454958, 3, 22, 573, 125, 248, 635, 2, 12
1758267454958, 1, 11, 568, 125, 248, 635, 3, 3
1758267454958, 17, 8, 569, 124, 247, 643, 3, 3
1758267454958, 0, 8, 569, 124, 249, 642, 3, 4
1758267454958, 0, 8, 573, 125, 247, 643, 1, 4
1758267454958, 3, 6, 566, 123, 251, 636, 6, 2
1758267454958, 3, 3, 575, 126, 248, 646, 2, 3
1758267454958, 2, 3, 563, 124, 255, 640, 2, 3
1758267454958, 2, 4, 568, 126, 250, 643, 2, 4
1758267454958, 6, 3, 571, 124, 248, 638, 1, 3
1758267454958, 4, 4, 567, 129, 249, 635, 2, 3
1758267454958, 7, 4, 566, 126, 247, 643, 2, 3
1758267454958, 8, 5, 563, 125, 249, 642, 2, 2
1758267454958, 7, 4, 569, 126, 247, 643, 3, 3
1758267454958, 4, 5, 568, 125, 250, 633, 9, 2
1758267454958, 0, 5, 570, 125, 249, 635, 1, 8
1758267454958, 3, 6, 561, 131, 249, 635, 0, 3
1758267454958, 5, 5, 567, 127, 255, 642, 2, 3
1758267454958, 5, 21, 569, 127, 250, 635, 2, 3
1758267454958, 1, 9, 563, 126, 248, 645, 2, 3
