unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758267726354, O, 3, 4, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758267726532, 7, 6, 435, 144, 255, 501, 2, 2
1758267726532, 5, 5, 431, 144, 257, 503, 1, 3
1758267726532, 3, 3, 436, 144, 266, 507, 1, 3
1758267726532, 3, 19, 433, 144, 258, 505, 2, 3
1758267726532, 2, 6, 444, 142, 258, 498, 1, 3
1758267726532, 0, 18, 436, 144, 259, 505, 2, 3
1758267726532, 10, 6, 436, 144, 257, 498, 1, 3
1758267726532, 8, 6, 434, 147, 256, 503, 1, 3
1758267726532, 9, 16, 434, 143, 259, 502, 2, 3
1758267726532, 5, 6, 437, 148, 257, 503, 2, 3
1758267726532, 3, 5, 437, 144, 255, 503, 1, 3
1758267726532, 4, 12, 435, 144, 260, 503, 7, 3
1758267726532, 4, 6, 437, 144, 260, 510, 2, 3
1758267726532, 4, 7, 441, 144, 260, 508, 3, 3
1758267726532, 2, 6, 438, 145, 258, 511, 2, 3
1758267726532, 3, 7, 437, 145, 257, 499, 2, 3
1758267726532, 15, 8, 431, 145, 257, 502, 2, 3
1758267726532, 6, 8, 438, 144, 262, 502, 1, 3
1758267726532, 4, 8, 435, 144, 258, 503, 2, 3
1758267726532, 7, 6, 439, 142, 259, 500, 2, 3
1758267726532, 5, 6, 436, 146, 257, 508, 6, 5
1758267726532, 6, 5, 436, 144, 261, 497, 5, 3
1758267726532, 1, 5, 445, 144, 254, 500, 1, 3
1758267726532, 4, 4, 438, 143, 259, 500, 1, 3
1758267726532, 2, 4, 438, 154, 258, 499, 2, 3
1758267726532, 5, 3, 433, 144, 257, 501, 2, 4
1758267726532, 5, 5, 440, 146, 259, 499, 1, 3
1758267726532, 4, 6, 433, 143, 262, 499, 2, 2
1758267726532, 1, 5, 432, 142, 269, 499, 2, 2
1758267726532, 4, 5, 445, 143, 257, 504, 1, 3
1758267726532, 3, 5, 439, 142, 263, 511, 2, 3
1758267726532, 6, 5, 434, 144, 269, 497, 2, 3
1758267726532, 0, 5, 434, 142, 267, 499, 3, 4
1758267726532, 5, 6, 436, 144, 259, 500, 2, 3
1758267726532, 3, 6, 432, 144, 257, 501, 3, 3
1758267726532, 0, 19, 436, 145, 260, 502, 2, 3
1758267726532, 2, 10, 436, 145, 257, 501, 2, 3
