unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758268010869, O, -2, 5, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758268010997, 15, 7, 490, 118, 213, 451, 0, 3
1758268010997, 7, 6, 489, 116, 208, 458, 2, 3
1758268010997, 3, 6, 488, 117, 208, 464, 3, 3
1758268010997, 4, 5, 487, 115, 215, 464, 2, 4
1758268010997, 3, 4, 485, 115, 217, 463, 2, 3
1758268010997, 5, 19, 488, 116, 209, 464, 2, 3
1758268010997, 4, 7, 481, 117, 209, 459, 1, 3
1758268010997, 3, 4, 491, 115, 211, 460, 2, 3
1758268010997, 2, 4, 491, 116, 208, 462, 2, 3
1758268010997, 0, 18, 477, 117, 208, 461, 2, 3
1758268010997, 11, 7, 480, 126, 206, 465, 1, 4
1758268010997, 1, 9, 475, 117, 214, 468, 3, 3
1758268010997, 3, 20, 477, 117, 208, 475, 2, 3
1758268010997, 7, 7, 479, 116, 215, 478, 2, 2
1758268010997, 2, 19, 478, 117, 208, 485, 2, 3
1758268010997, 2, 8, 474, 119, 213, 479, 1, 3
1758268010997, 4, 6, 475, 116, 210, 479, 2, 3
1758268010997, 5, 8, 475, 117, 209, 476, 2, 3
1758268010997, 2, 7, 483, 118, 208, 480, 1, 3
1758268010997, 3, 7, 487, 113, 208, 478, 2, 3
1758268010997, 3, 10, 483, 118, 208, 472, 1, 3
1758268010997, 0, 7, 482, 117, 210, 477, 2, 3
1758268010997, 3, 6, 487, 118, 211, 475, 1, 5
1758268010997, 1, 5, 487, 118, 209, 479, 2, 3
1758268010997, 3, 4, 483, 117, 207, 483, 2, 6
1758268010997, 4, 5, 486, 116, 210, 479, 1, 3
1758268010997, 2, 19, 495, 118, 208, 476, 2, 3
1758268010997, 11, 6, 492, 119, 211, 480, 2, 3
1758268010997, 1, 5, 489, 124, 212, 480, 1, 4
1758268010997, 2, 5, 500, 119, 209, 477, 5, 3
1758268010997, 7, 5, 488, 119, 219, 483, 2, 7
1758268010997, 5, 5, 489, 117, 210, 477, 2, 3
