unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758358090584, P, -2, 1, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758358090697, 3, 4, 2318, 141, 878, 1287, 505, 130
1758358090697, 3, 3, 2328, 143, 871, 1279, 505, 128
1758358090697, 3, 3, 2319, 140, 871, 1291, 505, 137
1758358090697, 3, 3, 2305, 142, 883, 1279, 511, 126
1758358090697, 4, 3, 2318, 144, 880, 1291, 510, 122
1758358090697, 6, 5, 2319, 141, 891, 1294, 505, 116
1758358090697, 7, 5, 2304, 143, 880, 1288, 513, 116
1758358090697, 4, 19, 2303, 145, 886, 1303, 511, 114
1758358090697, 3, 8, 2301, 144, 884, 1295, 507, 112
1758358090697, 5, 8, 2303, 147, 884, 1299, 509, 114
1758358090697, 4, 24, 2316, 145, 889, 1292, 519, 114
1758358090697, 8, 26, 2319, 148, 895, 1287, 515, 111
1758358090697, 4, 12, 2328, 148, 879, 1302, 513, 120
1758358090697, 6, 27, 2303, 149, 883, 1303, 516, 108
1758358090697, 3, 11, 2319, 148, 883, 1296, 519, 109
1758358090697, 4, 9, 2303, 145, 895, 1300, 519, 111
1758358090697, 3, 7, 2316, 144, 893, 1296, 521, 110
1758358090697, 3, 20, 2312, 144, 892, 1303, 515, 109
1758358090697, 3, 5, 2319, 144, 890, 1303, 521, 108
1758358090697, 4, 3, 2319, 144, 892, 1291, 522, 109
1758358090697, 3, 3, 2305, 146, 895, 1303, 522, 111
1758358090697, 1, 2, 2319, 146, 883, 1303, 518, 109
1758358090697, 4, 4, 2304, 146, 890, 1295, 524, 108
1758358090697, 8, 3, 2303, 148, 897, 1302, 521, 108
1758358090697, 3, 4, 2319, 145, 892, 1307, 524, 110
1758358090697, 4, 4, 2299, 145, 888, 1302, 531, 110
1758358090697, 6, 6, 2299, 147, 896, 1304, 534, 109
1758358090697, 3, 6, 2303, 148, 895, 1300, 540, 118
1758358090697, 4, 7, 2312, 147, 888, 1312, 528, 112
1758358090697, 6, 23, 2316, 147, 888, 1307, 527, 114
1758358090697, 5, 11, 2302, 148, 896, 1296, 528, 116
1758358090697, 6, 11, 2318, 148, 899, 1302, 526, 123
1758358090697, 5, 11, 2336, 149, 887, 1307, 523, 121
1758358090697, 1, 11, 2307, 150, 887, 1307, 527, 121
1758358090697, 5, 9, 2312, 149, 888, 1307, 531, 124
1758358090697, 6, 24, 2305, 156, 896, 1311, 529, 128
1758358090697, 1, 9, 2305, 146, 887, 1304, 531, 134
1758358090697, 2, 4, 2299, 150, 897, 1304, 530, 128
1758358090697, 9, 3, 2316, 150, 895, 1304, 540, 132
1758358090697, 6, 2, 2316, 152, 887, 1307, 535, 128
1758358090697, 2, 2, 2305, 156, 888, 1307, 528, 127
1758358090697, 3, 3, 2319, 150, 897, 1304, 531, 127
1758358090697, 4, 4, 2305, 150, 887, 1307, 535, 128
1758358090697, 3, 19, 2305, 149, 897, 1304, 526, 129
1758358090697, 2, 15, 2305, 152, 897, 1304, 523, 129
1758358090697, 3, 20, 2307, 147, 894, 1296, 522, 129
1758358090697, 5, 7, 2316, 147, 897, 1304, 523, 130
1758358090697, 4, 7, 2336, 150, 897, 1311, 528, 130
1758358090697, 4, 7, 2327, 148, 887, 1311, 527, 131
1758358090697, 2, 9, 2327, 148, 899, 1304, 519, 135
1758358090697, 11, 24, 2307, 151, 903, 1311, 519, 132
1758358090697, 4, 11, 2305, 151, 889, 1311, 519, 135
1758358090697, 2, 26, 2305, 148, 887, 1310, 520, 130
1758358090697, 4, 27, 2305, 149, 889, 1311, 520, 131
1758358090697, 1, 12, 2307, 145, 899, 1302, 513, 132
1758358090697, 1, 9, 2319, 146, 903, 1308, 512, 134
1758358090697, 11, 7, 2327, 148, 887, 1311, 519, 131
1758358090697, 3, 4, 2307, 149, 887, 1297, 515, 130
1758358090697, 6, 18, 2319, 145, 899, 1308, 518, 131
1758358090697, 4, 5, 2320, 147, 891, 1303, 515, 130
1758358090697, 3, 3, 2312, 147, 891, 1308, 520, 130
1758358090697, 3, 18, 2312, 144, 899, 1319, 527, 133
1758358090697, 6, 5, 2327, 146, 898, 1304, 515, 132
1758358090697, 3, 3, 2304, 145, 903, 1303, 527, 132
1758358090697, 5, 5, 2307, 145, 894, 1319, 523, 133
1758358090697, 4, 5, 2327, 144, 892, 1312, 515, 132
1758358090697, 5, 22, 2312, 147, 891, 1311, 515, 130
1758358090697, 3, 8, 2320, 147, 894, 1303, 518, 132
1758358090697, 3, 11, 2316, 147, 899, 1304, 523, 129
1758358090697, 2, 9, 2327, 146, 891, 1321, 523, 129
1758358090697, 4, 9, 2305, 149, 894, 1303, 520, 130
1758358090697, 5, 26, 2305, 147, 891, 1321, 522, 131
1758358090697, 6, 12, 2305, 147, 899, 1299, 523, 132
1758358090697, 9, 23, 2316, 152, 889, 1310, 523, 131
1758358090697, 5, 12, 2305, 155, 889, 1326, 526, 129
1758358090697, 1, 23, 2319, 146, 892, 1311, 517, 134
1758358090697, 4, 8, 2336, 148, 899, 1303, 519, 133
1758358090697, 6, 5, 2303, 149, 899, 1303, 532, 132
1758358090697, 4, 5, 2303, 156, 889, 1311, 525, 132
1758358090697, 5, 3, 2303, 152, 887, 1311, 524, 133
1758358090697, 10, 2, 2319, 150, 887, 1313, 524, 130
1758358090697, 4, 3, 2307, 150, 889, 1311, 524, 133
1758358090697, 4, 3, 2299, 146, 894, 1304, 527, 141
1758358090697, 4, 4, 2303, 150, 892, 1304, 527, 133
1758358090697, 7, 3, 2318, 151, 897, 1308, 524, 131
1758358090697, 13, 8, 2318, 160, 888, 1300, 525, 132
1758358090697, 7, 5, 2301, 149, 893, 1300, 519, 131
1758358090697, 2, 6, 2304, 147, 891, 1287, 519, 129
1758358090697, 0, 20, 2301, 150, 890, 1294, 523, 130
1758358090697, 3, 10, 2295, 154, 883, 1287, 519, 128
1758358090697, 5, 25, 2303, 152, 883, 1287, 519, 129
1758358090697, 1, 27, 2299, 149, 881, 1283, 523, 136
1758358090697, 3, 29, 2299, 152, 879, 1296, 527, 129
1758358090697, 4, 28, 2299, 151, 884, 1302, 519, 129
1758358090697, 0, 12, 2319, 149, 884, 1294, 519, 128
1758358090697, 2, 9, 2295, 150, 883, 1299, 514, 141
1758358090697, 4, 8, 2303, 151, 880, 1297, 521, 128
1758358090697, 3, 4, 2295, 160, 880, 1280, 523, 127
1758358090697, 3, 3, 2319, 151, 887, 1296, 514, 131
1758358090697, 5, 2, 2319, 152, 880, 1279, 517, 125
1758358090697, 4, 17, 2292, 150, 880, 1281, 511, 124
1758358090697, 4, 6, 2316, 150, 880, 1292, 511, 120
1758358090697, 6, 4, 2301, 155, 884, 1288, 519, 124
1758358090697, 3, 3, 2299, 149, 875, 1288, 512, 121
1758358090697, 2, 3, 2304, 148, 879, 1295, 516, 121
1758358090697, 5, 4, 2301, 150, 880, 1304, 523, 111
1758358090697, 2, 5, 2301, 146, 880, 1288, 525, 102
1758358090697, 2, 6, 2319, 149, 887, 1296, 519, 111
1758358090697, 3, 20, 2299, 147, 884, 1296, 531, 97
