unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758358150611, P, 4, 1, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758358150696, 6, 15, 1615, 59, 375, 246, 2, 5
1758358150696, 5, 9, 1607, 57, 377, 247, 2, 3
1758358150696, 9, 24, 1612, 56, 379, 245, 2, 2
1758358150696, 3, 12, 1614, 55, 377, 245, 2, 4
1758358150696, 8, 11, 1623, 57, 381, 245, 1, 3
1758358150696, 4, 27, 1595, 57, 385, 249, 2, 4
1758358150696, 6, 12, 1607, 58, 375, 252, 3, 3
1758358150696, 4, 9, 1599, 56, 376, 243, 2, 3
1758358150696, 4, 23, 1596, 60, 381, 242, 4, 4
1758358150696, 3, 24, 1599, 58, 379, 234, 2, 3
1758358150696, 7, 6, 1599, 57, 374, 251, 2, 5
1758358150696, 5, 4, 1607, 58, 374, 241, 11, 6
1758358150696, 3, 3, 1601, 55, 371, 243, 1, 3
1758358150696, 2, 3, 1615, 55, 371, 249, 1, 3
1758358150696, 5, 4, 1608, 55, 374, 248, 1, 4
1758358150696, 3, 18, 1610, 56, 377, 236, 3, 1
1758358150696, 3, 5, 1615, 53, 380, 247, 3, 2
1758358150696, 4, 5, 1623, 51, 385, 252, 0, 1
1758358150696, 0, 5, 1615, 52, 379, 244, 0, 2
1758358150696, 4, 6, 1616, 49, 383, 243, 1, 3
1758358150696, 5, 8, 1616, 57, 378, 243, 1, 4
1758358150696, 4, 8, 1615, 55, 379, 248, 2, 7
1758358150696, 13, 9, 1624, 53, 379, 246, 9, 3
1758358150696, 5, 11, 1624, 53, 380, 248, 1, 3
1758358150696, 2, 11, 1631, 54, 387, 251, 0, 3
1758358150696, 3, 11, 1623, 55, 394, 247, 2, 3
1758358150696, 4, 9, 1624, 53, 389, 251, 2, 3
1758358150696, 2, 9, 1615, 53, 383, 247, 2, 2
1758358150696, 1, 8, 1635, 52, 383, 245, 4, 3
1758358150696, 2, 6, 1631, 58, 390, 249, 2, 3
1758358150696, 2, 3, 1631, 54, 389, 251, 0, 4
1758358150696, 2, 3, 1627, 55, 387, 251, 3, 3
1758358150696, 2, 14, 1654, 61, 391, 246, 1, 1
1758358150696, 3, 4, 1627, 49, 388, 247, 4, 0
1758358150696, 2, 2, 1633, 52, 389, 244, 1, 3
1758358150696, 2, 2, 1632, 51, 389, 245, 6, 5
1758358150696, 3, 3, 1644, 48, 389, 249, 2, 4
1758358150696, 5, 4, 1647, 47, 391, 250, 1, 3
1758358150696, 5, 6, 1644, 48, 395, 252, 2, 2
1758358150696, 5, 7, 1655, 50, 390, 252, 1, 3
1758358150696, 5, 7, 1635, 50, 391, 257, 0, 14
1758358150696, 7, 8, 1657, 50, 390, 253, 2, 3
1758358150696, 4, 10, 1648, 51, 389, 256, 3, 5
1758358150696, 4, 9, 1655, 51, 387, 256, 2, 8
1758358150696, 9, 11, 1658, 50, 382, 258, 3, 2
1758358150696, 12, 25, 1663, 50, 383, 257, 3, 4
1758358150696, 5, 12, 1649, 49, 385, 260, 7, 4
1758358150696, 4, 9, 1664, 50, 388, 257, 2, 14
1758358150696, 4, 7, 1655, 47, 386, 262, 1, 1
1758358150696, 7, 6, 1656, 49, 390, 268, 5, 4
1758358150696, 2, 4, 1670, 50, 385, 278, 2, 3
1758358150696, 3, 11, 1655, 51, 388, 263, 1, 3
1758358150696, 4, 14, 1664, 49, 391, 264, 9, 2
1758358150696, 2, 5, 1664, 54, 390, 261, 1, 3
1758358150696, 3, 3, 1679, 59, 388, 267, 3, 3
1758358150696, 4, 3, 1679, 52, 396, 270, 1, 3
1758358150696, 2, 4, 1667, 53, 388, 265, 0, 3
1758358150696, 4, 5, 1678, 50, 387, 266, 9, 2
1758358150696, 2, 5, 1674, 50, 390, 280, 1, 1
1758358150696, 8, 6, 1679, 44, 387, 270, 3, 3
1758358150696, 8, 7, 1678, 48, 385, 271, 1, 4
1758358150696, 5, 9, 1679, 48, 383, 272, 3, 4
1758358150696, 4, 25, 1686, 49, 389, 272, 2, 2
1758358150696, 3, 12, 1674, 48, 389, 273, 3, 3
1758358150696, 4, 11, 1688, 50, 377, 272, 2, 3
1758358150696, 4, 11, 1679, 59, 377, 269, 2, 5
1758358150696, 4, 9, 1692, 54, 376, 267, 2, 4
1758358150696, 5, 9, 1688, 53, 381, 265, 3, 2
1758358150696, 3, 8, 1679, 51, 376, 261, 1, 3
1758358150696, 3, 21, 1688, 57, 379, 263, 2, 3
1758358150696, 14, 6, 1680, 51, 379, 262, 2, 4
1758358150696, 4, 3, 1687, 53, 371, 261, 1, 3
1758358150696, 3, 3, 1687, 48, 373, 266, 2, 12
1758358150696, 7, 2, 1667, 51, 376, 274, 2, 3
1758358150696, 5, 4, 1679, 49, 382, 266, 1, 0
1758358150696, 3, 3, 1672, 50, 380, 264, 2, 2
1758358150696, 4, 3, 1683, 49, 379, 260, 3, 5
1758358150696, 5, 4, 1684, 48, 378, 267, 1, 3
1758358150696, 13, 5, 1679, 51, 379, 263, 1, 4
1758358150696, 6, 6, 1678, 47, 382, 263, 0, 5
1758358150696, 4, 7, 1676, 49, 384, 264, 1, 3
1758358150696, 1, 9, 1678, 46, 386, 267, 3, 12
1758358150696, 2, 9, 1672, 54, 381, 277, 2, 11
1758358150696, 5, 10, 1667, 46, 384, 268, 0, 7
1758358150696, 2, 10, 1679, 49, 384, 273, 3, 3
1758358150697, 4, 26, 1686, 53, 388, 275, 6, 3
1758358150699, 5, 12, 1687, 44, 395, 269, 3, 6
1758358150699, 6, 9, 1686, 47, 391, 270, 3, 3
1758358150705, 3, 7, 1687, 41, 386, 274, 1, 2
1758358150705, 5, 5, 1680, 52, 384, 271, 2, 3
1758358150705, 4, 13, 1680, 43, 382, 265, 1, 4
1758358150705, 4, 4, 1686, 49, 384, 268, 2, 4
1758358150705, 4, 3, 1678, 45, 388, 280, 1, 3
1758358150712, 3, 4, 1687, 44, 381, 269, 9, 3
1758358150712, 3, 3, 1690, 44, 384, 269, 2, 4
1758358150712, 5, 9, 1671, 47, 377, 269, 2, 2
1758358150712, 4, 4, 1686, 46, 380, 268, 0, 5
1758358150712, 3, 20, 1679, 46, 379, 268, 2, 3
1758358150712, 2, 7, 1667, 46, 383, 276, 0, 8
1758358150712, 6, 6, 1687, 50, 377, 276, 1, 2
1758358150723, 10, 6, 1700, 49, 393, 281, 2, 2
1758358150723, 3, 8, 1697, 50, 379, 285, 2, 4
1758358150723, 3, 24, 1691, 46, 381, 284, 10, 3
1758358150723, 3, 12, 1666, 48, 384, 290, 2, 2
1758358150723, 5, 11, 1667, 46, 395, 288, 1, 3
1758358150723, 4, 11, 1679, 46, 385, 296, 1, 5
1758358150723, 2, 10, 1684, 45, 380, 293, 1, 1
1758358150723, 5, 9, 1671, 51, 379, 293, 2, 3
1758358150723, 10, 7, 1666, 48, 381, 295, 2, 5
1758358150723, 4, 6, 1686, 45, 382, 306, 2, 1
1758358150723, 3, 4, 1691, 46, 377, 304, 4, 2
1758358150723, 0, 3, 1680, 49, 375, 301, 0, 3
1758358150735, 4, 3, 1667, 46, 387, 295, 2, 3
1758358150735, 8, 3, 1680, 43, 381, 299, 1, 1
1758358150735, 2, 2, 1687, 43, 378, 302, 3, 5
1758358150735, 4, 19, 1680, 43, 377, 300, 3, 3
1758358150735, 1, 7, 1680, 43, 384, 307, 12, 2
1758358150735, 3, 4, 1687, 41, 378, 304, 11, 4
1758358150735, 4, 6, 1687, 42, 382, 307, 3, 3
