unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758358446079, P, 2, 2, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758358448882, 4, 0, 883, 75, 419, 225, 863, 3
1758358448882, 4, 0, 876, 76, 415, 229, 864, 4
1758358448882, 0, 11, 872, 78, 411, 230, 875, 3
1758358448882, 1, 4, 883, 77, 411, 231, 868, 1
1758358448882, 6, 4, 879, 77, 411, 232, 868, 3
1758358448882, 4, 21, 879, 77, 428, 232, 865, 5
1758358448882, 7, 11, 879, 83, 414, 232, 864, 3
1758358448882, 3, 12, 879, 76, 413, 235, 871, 4
1758358448882, 6, 13, 887, 75, 413, 239, 871, 3
1758358448882, 5, 18, 880, 76, 415, 235, 877, 3
1758358448882, 4, 33, 875, 78, 414, 234, 874, 4
1758358448882, 6, 22, 883, 79, 415, 236, 865, 0
1758358448882, 10, 25, 880, 77, 413, 238, 867, 1
1758358448882, 9, 15, 880, 80, 420, 237, 877, 3
1758358448882, 2, 25, 884, 76, 415, 235, 871, 5
1758358448882, 7, 9, 883, 77, 411, 237, 869, 10
1758358448882, 1, 0, 886, 74, 414, 235, 871, 2
1758358448882, 0, 3, 892, 76, 415, 237, 864, 7
1758358448882, 2, 0, 887, 76, 414, 240, 872, 5
1758358448882, 2, 2, 880, 76, 413, 237, 875, 2
1758358448882, 4, 0, 880, 75, 413, 243, 876, 5
1758358448882, 0, 0, 899, 75, 414, 242, 872, 4
1758358448882, 4, 0, 897, 73, 415, 241, 875, 4
1758358448882, 3, 3, 883, 75, 412, 239, 879, 1
1758358448882, 5, 4, 887, 75, 419, 240, 873, 3
1758358448882, 2, 6, 887, 76, 413, 246, 876, 3
1758358448882, 10, 9, 895, 76, 419, 237, 870, 4
1758358448882, 5, 12, 887, 74, 418, 236, 871, 2
1758358448882, 7, 14, 881, 75, 414, 239, 876, 4
1758358448882, 7, 17, 887, 75, 419, 235, 873, 7
1758358448882, 1, 19, 880, 75, 418, 236, 876, 4
1758358448882, 6, 19, 879, 76, 416, 235, 873, 3
1758358448882, 2, 19, 876, 74, 419, 239, 875, 4
1758358448882, 7, 13, 878, 75, 419, 238, 886, 3
1758358448882, 3, 10, 883, 76, 416, 233, 883, 2
1758358448882, 10, 6, 878, 76, 415, 233, 886, 3
1758358448882, 0, 0, 876, 75, 419, 235, 887, 2
1758358448882, 2, 10, 879, 74, 419, 237, 879, 2
1758358448882, 1, 0, 879, 76, 416, 245, 880, 3
1758358448882, 2, 0, 891, 75, 416, 233, 880, 4
1758358448882, 8, 0, 888, 75, 418, 235, 887, 13
