unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758358690248, P, -1, 3, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758358690352, 5, 8, 830, 92, 360, 212, 454, 2
1758358690352, 5, 1, 830, 90, 363, 210, 449, 3
1758358690352, 5, 0, 828, 89, 356, 212, 456, 2
1758358690352, 10, 0, 823, 88, 360, 213, 462, 6
1758358690352, 6, 0, 831, 89, 357, 215, 448, 4
1758358690352, 6, 0, 827, 90, 360, 213, 450, 3
1758358690352, 5, 9, 830, 89, 363, 215, 448, 3
1758358690352, 0, 0, 825, 95, 358, 212, 448, 2
1758358690352, 3, 14, 823, 86, 359, 214, 454, 2
1758358690352, 0, 5, 836, 86, 358, 213, 446, 2
1758358690352, 0, 6, 830, 85, 354, 216, 451, 4
1758358690352, 4, 23, 830, 88, 356, 218, 442, 4
1758358690352, 1, 15, 831, 83, 363, 217, 445, 4
1758358690352, 4, 14, 839, 87, 357, 213, 439, 3
1758358690352, 3, 19, 831, 93, 365, 216, 442, 4
1758358690352, 7, 21, 827, 86, 357, 218, 435, 3
1758358690352, 9, 25, 839, 90, 355, 215, 451, 3
1758358690352, 4, 25, 839, 87, 352, 218, 439, 4
1758358690352, 6, 35, 831, 87, 355, 211, 444, 4
1758358690352, 8, 15, 831, 87, 359, 213, 441, 3
1758358690352, 5, 9, 827, 90, 354, 214, 428, 1
1758358690352, 4, 3, 827, 87, 352, 217, 424, 3
1758358690352, 2, 0, 828, 88, 353, 223, 424, 12
1758358690352, 6, 0, 839, 88, 357, 212, 423, 2
1758358690352, 6, 0, 827, 89, 352, 215, 421, 8
1758358690352, 5, 0, 826, 89, 352, 220, 417, 3
1758358690352, 3, 0, 833, 90, 353, 220, 417, 2
1758358690352, 0, 13, 830, 91, 350, 215, 416, 3
1758358690352, 5, 1, 827, 89, 355, 222, 414, 1
1758358690352, 7, 4, 831, 90, 356, 215, 415, 5
1758358690352, 2, 6, 830, 89, 352, 215, 410, 3
1758358690352, 0, 8, 827, 90, 352, 218, 405, 2
1758358690352, 3, 11, 835, 90, 351, 213, 410, 3
1758358690352, 4, 15, 832, 89, 350, 219, 400, 3
1758358690352, 3, 19, 832, 92, 351, 215, 396, 5
1758358690352, 6, 21, 827, 92, 355, 216, 394, 4
1758358690352, 5, 25, 832, 91, 351, 217, 394, 4
1758358690352, 2, 24, 839, 91, 352, 216, 390, 4
1758358690352, 3, 21, 827, 91, 349, 216, 382, 6
1758358690352, 9, 13, 837, 103, 347, 217, 373, 2
1758358690352, 4, 9, 832, 96, 348, 221, 373, 3
1758358690352, 0, 13, 830, 91, 349, 224, 368, 2
1758358690352, 2, 0, 832, 90, 350, 217, 373, 3
1758358690352, 2, 5, 831, 97, 352, 221, 368, 3
1758358690352, 1, 0, 832, 92, 355, 220, 356, 3
1758358690352, 0, 0, 833, 92, 351, 215, 351, 7
1758358690352, 1, 0, 832, 92, 348, 216, 345, 3
1758358690352, 4, 0, 831, 100, 348, 223, 341, 1
1758358690352, 1, 6, 836, 92, 350, 218, 349, 3
1758358690352, 3, 3, 833, 91, 349, 222, 339, 4
1758358690352, 0, 5, 843, 92, 351, 222, 343, 3
1758358690352, 1, 9, 843, 92, 361, 223, 339, 0
1758358690352, 5, 13, 835, 90, 350, 221, 338, 3
1758358690352, 9, 14, 842, 96, 351, 221, 339, 4
1758358690352, 9, 20, 847, 92, 349, 222, 340, 3
1758358690352, 3, 21, 843, 93, 349, 221, 344, 3
1758358690352, 12, 27, 835, 95, 348, 225, 347, 2
1758358690352, 2, 25, 843, 93, 351, 222, 363, 4
1758358690352, 3, 19, 836, 92, 362, 225, 362, 5
1758358690352, 2, 12, 843, 92, 357, 222, 368, 4
1758358690352, 1, 9, 843, 93, 356, 226, 369, 4
1758358690352, 7, 0, 847, 93, 355, 222, 373, 1
1758358690352, 5, 0, 847, 91, 357, 220, 376, 4
1758358690352, 5, 0, 847, 92, 355, 221, 382, 3
1758358690352, 2, 4, 851, 91, 353, 222, 391, 4
1758358690352, 3, 0, 851, 93, 352, 230, 396, 2
1758358690352, 5, 0, 840, 93, 359, 221, 400, 2
1758358690352, 3, 12, 848, 91, 352, 224, 404, 4
1758358690352, 4, 1, 848, 93, 353, 221, 407, 1
1758358690352, 6, 4, 849, 92, 356, 221, 409, 1
1758358690352, 10, 5, 851, 94, 357, 231, 420, 2
1758358690352, 12, 7, 849, 93, 352, 222, 416, 1
1758358690352, 4, 13, 849, 92, 354, 224, 413, 3
1758358690352, 3, 20, 861, 93, 352, 226, 411, 12
1758358690352, 4, 20, 857, 92, 352, 224, 403, 4
1758358690352, 6, 20, 856, 94, 351, 224, 401, 5
1758358690352, 5, 26, 859, 92, 353, 224, 399, 3
1758358690352, 5, 28, 851, 94, 364, 230, 384, 2
1758358690352, 7, 35, 856, 92, 363, 224, 387, 3
1758358690352, 7, 14, 864, 93, 355, 223, 375, 11
1758358690352, 12, 8, 863, 93, 352, 225, 368, 4
1758358690352, 6, 11, 855, 92, 349, 223, 361, 3
1758358690352, 3, 0, 863, 93, 351, 227, 356, 3
1758358690352, 3, 0, 867, 94, 347, 225, 351, 3
1758358690352, 2, 0, 859, 95, 351, 221, 349, 3
1758358690352, 3, 0, 863, 94, 347, 223, 346, 2
1758358690352, 6, 0, 858, 94, 349, 223, 343, 3
1758358690352, 4, 12, 879, 97, 348, 224, 342, 10
1758358690352, 4, 3, 871, 95, 350, 227, 339, 4
1758358690352, 3, 3, 864, 92, 359, 224, 339, 2
1758358690352, 4, 5, 864, 102, 343, 221, 340, 1
1758358690352, 4, 8, 871, 96, 345, 222, 340, 1
1758358690352, 5, 13, 863, 101, 345, 227, 343, 3
1758358690352, 5, 14, 871, 92, 345, 222, 343, 3
1758358690352, 3, 21, 864, 96, 348, 226, 339, 3
1758358690352, 3, 21, 864, 94, 352, 227, 345, 4
1758358690352, 5, 26, 870, 93, 347, 227, 334, 4
1758358690352, 3, 24, 871, 94, 347, 222, 337, 4
1758358690352, 4, 20, 868, 95, 343, 221, 337, 3
1758358690352, 5, 13, 884, 99, 345, 224, 336, 6
1758358690352, 5, 23, 863, 94, 346, 223, 342, 2
1758358690352, 5, 2, 868, 93, 345, 226, 339, 4
1758358690352, 4, 0, 870, 95, 343, 224, 339, 5
1758358690352, 6, 0, 868, 94, 343, 224, 337, 5
1758358690352, 9, 0, 864, 92, 357, 225, 338, 2
1758358690352, 7, 0, 864, 94, 343, 223, 336, 1
1758358690352, 4, 0, 870, 93, 349, 220, 335, 2
1758358690352, 5, 0, 864, 94, 358, 223, 337, 3
1758358690352, 4, 15, 865, 95, 348, 231, 327, 3
1758358690352, 1, 6, 863, 96, 349, 223, 326, 4
1758358690352, 6, 5, 870, 93, 345, 222, 322, 3
1758358690352, 5, 9, 872, 104, 350, 222, 319, 3
