unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758358726258, P, 1, 3, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758358726390, 2, 5, 1375, 194, 475, 385, 58, 2
1758358726390, 6, 21, 1375, 201, 487, 382, 60, 2
1758358726390, 4, 14, 1374, 193, 478, 381, 60, 3
1758358726390, 3, 15, 1375, 194, 475, 384, 57, 3
1758358726390, 7, 31, 1372, 193, 479, 389, 59, 3
1758358726390, 6, 27, 1361, 201, 479, 384, 60, 2
1758358726390, 6, 30, 1360, 195, 483, 386, 63, 4
1758358726390, 2, 25, 1368, 195, 475, 382, 62, 3
1758358726390, 1, 22, 1371, 193, 473, 388, 65, 5
1758358726390, 6, 14, 1360, 195, 485, 388, 62, 4
1758358726390, 4, 7, 1364, 198, 473, 391, 63, 2
1758358726390, 1, 2, 1367, 194, 474, 387, 61, 3
1758358726390, 3, 0, 1367, 194, 476, 389, 64, 3
1758358726390, 3, 0, 1369, 197, 475, 386, 63, 3
1758358726390, 11, 1, 1363, 193, 477, 394, 67, 4
1758358726390, 4, 0, 1360, 201, 475, 388, 64, 3
1758358726390, 3, 0, 1367, 193, 472, 391, 65, 2
1758358726390, 5, 0, 1356, 197, 464, 388, 65, 4
1758358726390, 4, 0, 1359, 196, 467, 387, 68, 4
1758358726390, 1, 3, 1358, 195, 456, 391, 70, 3
1758358726390, 3, 19, 1347, 194, 462, 385, 69, 11
1758358726390, 1, 8, 1359, 201, 454, 386, 71, 3
1758358726390, 10, 14, 1345, 196, 448, 387, 68, 4
1758358726390, 1, 15, 1352, 196, 446, 381, 68, 3
1758358726390, 2, 19, 1344, 196, 451, 378, 75, 4
1758358726390, 2, 23, 1351, 197, 443, 377, 72, 3
1758358726390, 1, 26, 1344, 195, 443, 377, 75, 6
1758358726390, 3, 26, 1355, 197, 438, 379, 76, 3
1758358726390, 7, 22, 1350, 196, 439, 372, 76, 1
1758358726390, 1, 25, 1351, 194, 443, 372, 81, 1
1758358726390, 6, 9, 1343, 195, 439, 375, 80, 2
1758358726390, 2, 3, 1343, 190, 434, 372, 81, 2
1758358726390, 3, 0, 1351, 191, 432, 379, 82, 3
1758358726390, 4, 0, 1344, 192, 440, 381, 78, 4
1758358726390, 7, 0, 1348, 195, 444, 371, 79, 11
1758358726390, 1, 0, 1351, 194, 442, 373, 86, 2
1758358726390, 5, 3, 1350, 192, 445, 371, 83, 6
1758358726390, 8, 0, 1359, 199, 440, 373, 80, 3
1758358726390, 3, 0, 1344, 201, 445, 375, 80, 4
1758358726390, 4, 3, 1344, 195, 451, 375, 82, 1
1758358726390, 0, 6, 1335, 195, 439, 375, 89, 4
1758358726390, 4, 8, 1351, 196, 438, 380, 86, 3
1758358726390, 5, 27, 1351, 196, 440, 371, 81, 3
1758358726390, 7, 30, 1344, 195, 445, 384, 83, 3
1758358726390, 1, 21, 1352, 196, 443, 376, 81, 2
1758358726390, 8, 24, 1345, 196, 444, 379, 82, 3
1758358726390, 6, 41, 1351, 195, 446, 374, 83, 5
1758358726390, 5, 43, 1344, 201, 443, 375, 81, 9
1758358726390, 4, 25, 1344, 194, 443, 373, 80, 5
1758358726390, 5, 14, 1352, 196, 450, 369, 82, 3
1758358726390, 3, 7, 1358, 195, 448, 378, 84, 3
1758358726390, 2, 1, 1345, 196, 448, 376, 84, 4
1758358726390, 3, 4, 1347, 196, 455, 371, 83, 3
1758358726390, 0, 0, 1359, 197, 459, 371, 83, 2
1758358726390, 6, 0, 1354, 196, 451, 372, 82, 3
1758358726390, 7, 0, 1359, 195, 452, 373, 79, 7
1758358726390, 6, 0, 1352, 197, 455, 375, 80, 3
1758358726390, 1, 0, 1357, 194, 455, 377, 82, 3
1758358726390, 5, 0, 1356, 197, 454, 380, 80, 4
1758358726390, 19, 2, 1360, 199, 451, 380, 82, 3
1758358726390, 5, 6, 1345, 199, 455, 380, 81, 2
1758358726390, 0, 7, 1350, 197, 453, 382, 82, 12
1758358726390, 3, 14, 1370, 199, 449, 383, 79, 4
1758358726390, 5, 14, 1359, 199, 455, 380, 78, 3
1758358726390, 2, 21, 1354, 197, 456, 382, 75, 4
1758358726390, 4, 24, 1354, 197, 455, 379, 75, 3
1758358726390, 4, 26, 1352, 197, 459, 381, 70, 2
1758358726390, 4, 25, 1358, 199, 452, 379, 69, 1
1758358726390, 6, 30, 1344, 198, 464, 380, 68, 4
1758358726390, 3, 14, 1352, 205, 456, 387, 69, 1
1758358726390, 1, 8, 1343, 199, 461, 381, 70, 9
1758358726390, 4, 2, 1359, 200, 464, 389, 69, 3
1758358726390, 7, 0, 1355, 200, 457, 381, 66, 4
1758358726390, 11, 0, 1350, 197, 459, 389, 73, 6
1758358726390, 6, 0, 1344, 200, 458, 385, 68, 3
1758358726390, 1, 0, 1345, 201, 460, 388, 67, 2
1758358726390, 13, 0, 1344, 200, 459, 385, 63, 2
1758358726390, 0, 12, 1359, 197, 476, 395, 76, 2
1758358726390, 3, 1, 1345, 201, 463, 388, 62, 12
1758358726390, 4, 3, 1352, 198, 466, 388, 67, 2
1758358726390, 1, 5, 1356, 199, 467, 387, 66, 3
1758358726390, 3, 8, 1352, 199, 467, 385, 63, 13
1758358726390, 12, 14, 1359, 199, 459, 389, 66, 4
1758358726390, 1, 16, 1359, 201, 458, 390, 66, 4
1758358726390, 4, 21, 1347, 200, 469, 388, 64, 3
1758358726390, 4, 24, 1358, 201, 461, 391, 64, 1
1758358726390, 3, 26, 1347, 198, 463, 392, 62, 5
1758358726390, 3, 25, 1359, 198, 470, 393, 62, 5
1758358726390, 3, 21, 1358, 201, 464, 388, 60, 3
1758358726390, 8, 13, 1358, 205, 466, 391, 55, 3
1758358726390, 3, 7, 1352, 198, 471, 391, 58, 8
1758358726390, 8, 4, 1365, 198, 468, 391, 58, 3
1758358726390, 0, 2, 1356, 202, 471, 392, 52, 2
1758358726390, 2, 1, 1358, 199, 470, 390, 57, 0
1758358726390, 5, 3, 1359, 200, 475, 392, 58, 3
1758358726390, 3, 0, 1359, 202, 465, 392, 57, 11
1758358726390, 2, 0, 1359, 204, 466, 395, 55, 3
1758358726390, 5, 12, 1352, 203, 465, 399, 57, 7
1758358726390, 5, 1, 1359, 201, 462, 391, 54, 3
1758358726390, 3, 4, 1356, 201, 470, 392, 56, 2
1758358726390, 3, 6, 1351, 202, 467, 393, 54, 3
1758358726390, 5, 7, 1359, 203, 464, 396, 53, 3
1758358726390, 0, 13, 1359, 201, 468, 392, 57, 3
1758358726390, 2, 17, 1359, 199, 465, 393, 60, 3
1758358726390, 6, 36, 1359, 203, 467, 399, 52, 3
1758358726390, 6, 25, 1347, 208, 465, 392, 54, 3
1758358726390, 4, 25, 1359, 202, 459, 395, 55, 3
1758358726390, 4, 27, 1347, 201, 467, 393, 58, 4
1758358726390, 2, 21, 1359, 205, 469, 398, 56, 3
1758358726390, 12, 14, 1347, 202, 455, 401, 58, 2
1758358726390, 3, 14, 1359, 205, 455, 404, 58, 3
1758358726390, 5, 3, 1372, 199, 456, 392, 59, 3
1758358726390, 1, 0, 1356, 209, 457, 390, 58, 5
1758358726390, 2, 0, 1359, 199, 454, 386, 60, 3
1758358726390, 3, 0, 1359, 200, 463, 388, 69, 3
1758358726390, 5, 0, 1356, 202, 446, 390, 63, 4
1758358726390, 5, 7, 1359, 200, 442, 384, 61, 3
1758358726390, 0, 0, 1359, 201, 440, 385, 64, 3
1758358726390, 2, 0, 1355, 199, 435, 377, 66, 2
1758358726390, 3, 19, 1344, 198, 441, 381, 67, 3
1758358726390, 5, 8, 1359, 205, 443, 382, 74, 11
1758358726390, 6, 8, 1355, 200, 435, 383, 77, 5
