unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758358750259, P, 3, 3, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758358750357, 1, 0, 499, 135, 399, 243, 43, 12
1758358750357, 7, 0, 494, 135, 390, 243, 41, 2
1758358750357, 1, 0, 495, 136, 391, 245, 41, 2
1758358750357, 1, 0, 492, 135, 395, 243, 40, 3
1758358750357, 3, 0, 493, 134, 391, 237, 39, 1
1758358750357, 2, 0, 498, 135, 391, 240, 38, 3
1758358750357, 0, 3, 491, 134, 390, 241, 39, 4
1758358750357, 5, 7, 495, 134, 389, 241, 41, 2
1758358750357, 3, 24, 495, 143, 387, 246, 41, 3
1758358750357, 6, 15, 496, 134, 389, 243, 42, 3
1758358750357, 6, 15, 488, 135, 389, 242, 40, 3
1758358750357, 4, 21, 495, 134, 392, 243, 39, 1
1758358750357, 4, 41, 495, 135, 395, 247, 41, 3
1758358750357, 11, 28, 503, 135, 389, 243, 40, 3
1758358750357, 6, 27, 503, 142, 393, 245, 36, 3
1758358750357, 4, 27, 493, 134, 395, 243, 41, 3
1758358750357, 4, 14, 491, 134, 387, 243, 43, 4
1758358750357, 6, 6, 504, 136, 387, 245, 35, 2
1758358750357, 2, 0, 495, 135, 398, 240, 44, 3
1758358750357, 12, 0, 492, 135, 386, 243, 38, 1
1758358750357, 8, 0, 492, 134, 387, 242, 41, 2
1758358750357, 4, 0, 495, 134, 391, 240, 39, 2
1758358750357, 3, 0, 495, 135, 395, 243, 39, 4
1758358750357, 3, 0, 494, 141, 391, 245, 41, 3
1758358750357, 4, 0, 490, 144, 392, 235, 40, 2
1758358750357, 4, 0, 492, 136, 393, 241, 33, 3
1758358750357, 4, 12, 488, 139, 396, 251, 39, 4
1758358750357, 0, 8, 492, 137, 395, 240, 38, 3
1758358750357, 6, 8, 491, 135, 389, 240, 37, 3
1758358750357, 3, 14, 490, 137, 391, 241, 38, 2
1758358750357, 5, 31, 492, 134, 394, 243, 39, 3
1758358750357, 5, 22, 491, 136, 392, 241, 38, 4
1758358750357, 5, 26, 491, 135, 387, 241, 38, 3
1758358750357, 5, 28, 502, 136, 393, 253, 37, 1
1758358750357, 3, 26, 494, 135, 397, 245, 47, 3
1758358750357, 3, 23, 503, 137, 391, 241, 34, 3
1758358750357, 6, 27, 494, 134, 394, 238, 45, 4
1758358750357, 6, 8, 495, 136, 394, 241, 35, 8
1758358750357, 3, 17, 494, 136, 396, 236, 37, 3
1758358750357, 3, 0, 487, 136, 393, 237, 37, 1
1758358750357, 7, 0, 495, 135, 397, 240, 39, 3
1758358750357, 3, 0, 487, 135, 392, 240, 39, 4
1758358750357, 3, 0, 491, 135, 392, 239, 41, 2
1758358750357, 4, 0, 495, 136, 389, 240, 38, 2
1758358750357, 8, 0, 489, 134, 397, 241, 40, 2
1758358750357, 6, 15, 490, 138, 386, 245, 38, 3
1758358750357, 6, 4, 493, 132, 392, 241, 36, 1
1758358750357, 4, 7, 495, 135, 392, 239, 38, 4
1758358750357, 2, 8, 495, 135, 401, 240, 39, 4
1758358750357, 3, 18, 492, 137, 389, 243, 38, 2
1758358750357, 6, 15, 491, 134, 393, 239, 39, 3
1758358750357, 9, 21, 489, 136, 394, 250, 38, 3
1758358750357, 3, 25, 495, 135, 392, 243, 41, 3
1758358750357, 8, 27, 495, 137, 393, 241, 40, 4
1758358750357, 3, 28, 492, 134, 392, 243, 40, 2
1758358750357, 6, 30, 492, 134, 392, 240, 39, 5
1758358750357, 0, 14, 496, 134, 393, 236, 40, 3
1758358750357, 4, 7, 496, 137, 389, 237, 42, 1
1758358750357, 7, 1, 495, 137, 397, 240, 40, 3
1758358750357, 0, 0, 495, 134, 387, 242, 40, 3
1758358750357, 2, 0, 491, 134, 395, 241, 39, 2
1758358750357, 5, 0, 490, 136, 392, 240, 46, 2
1758358750357, 7, 0, 497, 133, 390, 241, 40, 3
1758358750357, 6, 0, 495, 135, 401, 238, 39, 3
1758358750357, 3, 0, 497, 136, 392, 251, 40, 3
1758358750357, 6, 0, 496, 137, 392, 243, 39, 9
1758358750357, 5, 3, 500, 134, 393, 241, 38, 3
1758358750357, 6, 6, 491, 136, 397, 242, 40, 5
1758358750357, 1, 8, 499, 136, 392, 241, 38, 1
1758358750357, 12, 15, 495, 136, 392, 251, 40, 5
1758358750357, 4, 16, 501, 135, 392, 243, 37, 3
1758358750357, 5, 22, 496, 136, 403, 237, 38, 2
1758358750357, 2, 28, 491, 134, 403, 239, 43, 4
1758358750357, 1, 27, 495, 134, 390, 241, 40, 1
1758358750357, 0, 42, 504, 134, 395, 241, 44, 3
1758358750357, 12, 24, 496, 136, 395, 241, 42, 3
1758358750357, 8, 28, 495, 135, 395, 240, 49, 3
1758358750357, 0, 8, 491, 135, 396, 241, 41, 4
1758358750357, 8, 2, 496, 136, 392, 243, 39, 3
1758358750357, 6, 0, 502, 135, 394, 241, 40, 3
1758358750357, 10, 0, 494, 136, 394, 239, 39, 2
1758358750357, 2, 0, 489, 135, 399, 238, 39, 4
1758358750357, 2, 0, 487, 134, 388, 239, 40, 2
1758358750357, 0, 0, 494, 142, 392, 240, 41, 4
1758358750357, 2, 0, 491, 134, 392, 240, 47, 3
1758358750357, 2, 0, 491, 133, 395, 239, 40, 3
1758358750357, 0, 4, 491, 133, 393, 241, 44, 3
1758358750357, 0, 6, 493, 136, 399, 240, 37, 10
1758358750357, 1, 9, 495, 138, 394, 240, 40, 4
1758358750357, 1, 29, 487, 135, 389, 243, 38, 2
1758358750357, 4, 33, 500, 135, 394, 236, 41, 4
1758358750357, 4, 39, 494, 135, 393, 251, 41, 4
1758358750357, 6, 27, 494, 135, 388, 243, 43, 4
1758358750357, 3, 28, 497, 137, 392, 243, 41, 2
1758358750357, 1, 27, 491, 134, 396, 241, 42, 3
1758358750357, 4, 26, 498, 135, 396, 239, 38, 3
1758358750357, 5, 13, 496, 133, 391, 241, 40, 5
1758358750357, 6, 6, 496, 133, 389, 240, 43, 4
1758358750358, 3, 13, 495, 136, 394, 247, 40, 2
1758358750374, 5, 0, 495, 132, 393, 240, 41, 3
1758358750374, 8, 0, 494, 135, 394, 242, 41, 2
1758358750374, 0, 0, 495, 135, 387, 245, 39, 3
1758358750374, 3, 0, 494, 136, 395, 240, 39, 2
1758358750374, 5, 11, 495, 133, 394, 241, 39, 3
1758358750374, 3, 0, 492, 139, 392, 241, 39, 3
1758358750374, 5, 0, 491, 135, 391, 241, 38, 3
1758358750374, 1, 4, 495, 137, 399, 241, 49, 7
1758358750374, 6, 7, 495, 135, 392, 251, 43, 0
1758358750374, 5, 10, 489, 141, 394, 251, 40, 3
1758358750374, 1, 14, 489, 135, 391, 245, 40, 4
1758358750374, 4, 15, 491, 133, 395, 243, 38, 3
1758358750374, 0, 22, 492, 135, 395, 239, 41, 3
1758358750374, 1, 37, 494, 134, 395, 244, 41, 3
1758358750374, 4, 31, 491, 136, 396, 240, 40, 4
1758358750374, 2, 27, 491, 135, 395, 240, 39, 8
1758358750389, 0, 21, 493, 134, 390, 247, 38, 3
1758358750389, 5, 13, 491, 136, 392, 238, 36, 7
1758358750389, 7, 6, 491, 140, 400, 242, 40, 4
1758358750389, 0, 0, 492, 139, 389, 243, 41, 1
1758358750389, 1, 3, 495, 136, 399, 243, 41, 4
1758358750389, 0, 0, 494, 134, 390, 242, 38, 3
1758358750389, 0, 0, 503, 135, 390, 241, 43, 3
1758358750389, 4, 0, 495, 135, 391, 243, 38, 7
1758358750389, 0, 0, 493, 133, 389, 242, 42, 3
1758358750389, 2, 0, 491, 137, 392, 240, 39, 3
1758358750389, 5, 0, 495, 133, 402, 243, 40, 3
1758358750389, 3, 4, 505, 136, 403, 242, 38, 4
1758358750389, 3, 21, 492, 134, 387, 243, 39, 3
1758358750418, 3, 26, 495, 136, 391, 238, 43, 3
1758358750418, 6, 17, 491, 136, 393, 242, 42, 4
1758358750418, 5, 17, 491, 134, 390, 242, 38, 3
1758358750418, 4, 22, 499, 135, 387, 241, 41, 4
1758358750418, 5, 24, 494, 135, 394, 240, 41, 3
1758358750418, 6, 28, 491, 143, 392, 240, 37, 2
1758358750418, 7, 26, 496, 139, 395, 242, 41, 5
1758358750418, 3, 21, 491, 135, 392, 245, 42, 2
1758358750418, 6, 11, 495, 138, 394, 241, 39, 3
1758358750418, 1, 6, 495, 135, 391, 240, 48, 4
1758358750418, 4, 0, 495, 135, 390, 240, 44, 3
1758358750418, 15, 0, 487, 136, 389, 242, 39, 4
1758358750418, 4, 0, 497, 135, 388, 241, 39, 2
1758358750418, 4, 0, 495, 133, 395, 242, 39, 4
1758358750418, 3, 1, 492, 133, 391, 241, 40, 3
1758358750418, 13, 0, 499, 134, 388, 237, 38, 9
1758358750418, 3, 0, 495, 135, 390, 242, 36, 7
1758358750418, 11, 0, 491, 134, 389, 238, 35, 5
1758358750418, 3, 3, 487, 136, 392, 238, 38, 3
1758358750418, 4, 7, 491, 135, 392, 240, 34, 3
1758358750418, 4, 14, 491, 145, 395, 242, 35, 4
1758358750418, 4, 15, 495, 135, 389, 241, 37, 4
1758358750418, 3, 16, 496, 139, 392, 239, 37, 4
