unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758358774268, P, 5, 3, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758358774415, 3, 9, 498, 131, 284, 292, 0, 3
1758358774415, 13, 23, 503, 131, 282, 291, 4, 1
1758358774415, 2, 30, 500, 135, 284, 292, 2, 3
1758358774415, 6, 17, 495, 131, 284, 288, 1, 4
1758358774415, 5, 21, 495, 131, 285, 291, 1, 4
1758358774415, 3, 24, 507, 135, 287, 291, 1, 3
1758358774415, 2, 26, 503, 131, 282, 291, 1, 3
1758358774415, 11, 25, 488, 134, 282, 288, 2, 4
1758358774415, 1, 22, 495, 133, 284, 293, 3, 5
1758358774415, 8, 11, 496, 133, 285, 286, 2, 2
1758358774415, 2, 7, 487, 132, 286, 288, 3, 2
1758358774415, 4, 0, 501, 135, 283, 287, 2, 2
1758358774415, 4, 0, 483, 132, 283, 285, 3, 1
1758358774415, 2, 2, 486, 140, 283, 288, 1, 3
1758358774415, 3, 0, 488, 134, 283, 295, 1, 3
1758358774415, 3, 0, 488, 131, 281, 287, 3, 3
1758358774415, 6, 0, 483, 132, 287, 290, 0, 4
1758358774415, 0, 0, 492, 132, 282, 291, 4, 3
1758358774415, 7, 0, 495, 132, 285, 288, 2, 1
1758358774415, 3, 19, 485, 131, 284, 285, 0, 5
1758358774415, 0, 23, 480, 133, 280, 297, 2, 3
1758358774415, 1, 12, 476, 133, 281, 289, 3, 4
1758358774415, 2, 14, 493, 133, 280, 291, 1, 4
1758358774415, 1, 23, 479, 131, 280, 286, 3, 4
1758358774415, 5, 22, 484, 135, 280, 291, 0, 10
1758358774415, 6, 22, 479, 132, 281, 293, 2, 4
1758358774415, 5, 26, 481, 133, 287, 298, 4, 4
1758358774415, 5, 25, 477, 132, 287, 292, 2, 3
1758358774415, 4, 27, 476, 134, 285, 290, 9, 4
1758358774415, 5, 13, 474, 134, 286, 297, 4, 2
1758358774415, 0, 6, 487, 134, 285, 299, 3, 3
1758358774415, 0, 0, 480, 139, 286, 293, 2, 3
1758358774415, 2, 0, 477, 133, 285, 291, 2, 12
1758358774415, 7, 0, 479, 134, 284, 295, 2, 2
1758358774415, 0, 0, 481, 142, 282, 292, 1, 4
1758358774415, 3, 0, 473, 134, 288, 289, 2, 3
1758358774415, 3, 0, 479, 133, 284, 286, 1, 4
1758358774415, 7, 0, 471, 136, 288, 291, 4, 3
1758358774415, 4, 16, 469, 131, 283, 287, 0, 3
1758358774415, 0, 22, 475, 132, 284, 290, 4, 5
1758358774415, 3, 8, 478, 131, 281, 291, 3, 3
1758358774415, 5, 22, 472, 135, 284, 294, 3, 8
1758358774415, 6, 15, 471, 133, 283, 288, 0, 4
1758358774415, 2, 17, 479, 134, 283, 295, 1, 2
1758358774415, 7, 20, 472, 144, 289, 292, 3, 1
1758358774415, 6, 22, 471, 133, 285, 292, 2, 3
1758358774415, 7, 25, 468, 134, 290, 299, 5, 3
1758358774415, 3, 24, 467, 132, 291, 291, 3, 2
1758358774415, 4, 18, 471, 135, 289, 289, 7, 2
1758358774415, 3, 11, 462, 134, 289, 291, 3, 2
1758358774415, 3, 21, 467, 133, 291, 288, 0, 9
1758358774415, 3, 0, 469, 132, 295, 289, 0, 3
1758358774415, 4, 0, 464, 131, 294, 287, 0, 4
1758358774415, 5, 0, 454, 135, 303, 290, 0, 5
1758358774415, 1, 0, 458, 133, 296, 288, 2, 2
1758358774415, 2, 0, 463, 133, 296, 285, 5, 2
1758358774415, 4, 0, 455, 132, 296, 286, 1, 3
1758358774415, 9, 0, 456, 134, 294, 289, 3, 1
1758358774415, 0, 0, 449, 137, 295, 288, 0, 3
1758358774415, 3, 18, 456, 132, 294, 289, 6, 4
1758358774415, 7, 7, 448, 132, 292, 288, 3, 3
1758358774415, 3, 10, 448, 138, 291, 298, 2, 1
1758358774415, 1, 14, 444, 133, 300, 287, 4, 3
1758358774415, 3, 16, 435, 131, 291, 288, 2, 2
