unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758358798277, P, -2, 3, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758358798379, 1, 8, 841, 168, 480, 243, 2, 4
1758358798379, 2, 12, 846, 166, 480, 238, 0, 3
1758358798379, 2, 18, 847, 168, 480, 243, 2, 3
1758358798379, 3, 19, 848, 166, 483, 240, 1, 3
1758358798379, 7, 24, 851, 170, 480, 244, 3, 4
1758358798379, 4, 28, 842, 170, 484, 239, 1, 3
1758358798379, 4, 28, 850, 168, 483, 240, 1, 5
1758358798379, 4, 22, 850, 167, 480, 238, 0, 2
1758358798379, 4, 12, 847, 166, 480, 237, 5, 4
1758358798379, 1, 6, 853, 168, 480, 241, 2, 9
1758358798379, 5, 1, 853, 166, 483, 242, 0, 3
1758358798379, 6, 0, 843, 167, 481, 238, 1, 3
1758358798379, 2, 0, 848, 165, 481, 240, 2, 3
1758358798379, 3, 0, 856, 169, 480, 239, 1, 3
1758358798379, 7, 0, 847, 168, 480, 243, 1, 3
1758358798379, 2, 0, 850, 168, 479, 239, 0, 3
1758358798379, 4, 0, 843, 165, 481, 240, 2, 3
1758358798379, 6, 8, 848, 166, 483, 247, 3, 3
1758358798379, 9, 2, 843, 170, 477, 243, 1, 3
1758358798379, 10, 6, 851, 171, 480, 242, 1, 3
1758358798379, 5, 8, 843, 168, 491, 237, 2, 4
1758358798379, 3, 13, 848, 166, 480, 238, 2, 12
1758358798379, 3, 15, 848, 168, 481, 241, 3, 3
1758358798379, 2, 19, 855, 166, 486, 240, 1, 2
1758358798379, 0, 24, 855, 168, 482, 241, 2, 2
1758358798379, 1, 29, 847, 168, 482, 243, 4, 4
1758358798379, 8, 28, 851, 167, 486, 245, 2, 2
1758358798379, 3, 21, 843, 167, 484, 240, 2, 2
1758358798379, 6, 12, 852, 167, 479, 240, 0, 2
1758358798379, 8, 6, 844, 166, 479, 253, 1, 3
1758358798379, 8, 0, 853, 169, 477, 242, 2, 3
1758358798379, 1, 0, 852, 167, 478, 241, 4, 3
1758358798379, 5, 0, 848, 168, 480, 240, 10, 8
1758358798379, 3, 0, 844, 175, 480, 243, 0, 3
