unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758358965286, P, 0, 4, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758358965393, 3, 1, 515, 168, 419, 199, 2, 4
1758358965393, 3, 7, 509, 170, 416, 199, 0, 3
1758358965393, 2, 13, 507, 168, 416, 195, 3, 3
1758358965393, 3, 15, 513, 168, 419, 200, 8, 4
1758358965393, 3, 23, 507, 169, 427, 198, 2, 3
1758358965393, 1, 41, 507, 169, 416, 195, 1, 4
1758358965393, 1, 32, 512, 167, 413, 207, 2, 4
1758358965393, 4, 46, 505, 167, 416, 196, 1, 5
1758358965393, 0, 26, 508, 169, 421, 200, 0, 4
1758358965393, 5, 16, 510, 168, 419, 205, 4, 1
1758358965393, 2, 10, 507, 170, 416, 195, 3, 6
1758358965393, 3, 0, 508, 168, 419, 191, 1, 5
1758358965393, 13, 0, 509, 168, 421, 197, 1, 3
1758358965393, 15, 0, 505, 167, 420, 203, 1, 3
1758358965393, 9, 0, 505, 167, 416, 193, 6, 2
1758358965393, 5, 0, 505, 168, 416, 195, 5, 11
1758358965393, 1, 0, 508, 167, 416, 198, 2, 4
1758358965393, 4, 0, 512, 168, 413, 197, 1, 3
1758358965393, 8, 0, 505, 168, 417, 196, 1, 4
1758358965393, 6, 1, 513, 168, 414, 199, 1, 4
1758358965393, 7, 0, 513, 168, 421, 195, 0, 2
1758358965393, 2, 7, 505, 168, 423, 195, 1, 8
1758358965393, 2, 12, 515, 169, 418, 194, 4, 4
1758358965393, 0, 15, 512, 168, 419, 194, 1, 2
1758358965393, 2, 24, 511, 172, 416, 196, 3, 3
1758358965393, 5, 25, 509, 170, 415, 197, 2, 4
1758358965393, 3, 30, 507, 169, 416, 195, 3, 4
1758358965393, 8, 31, 509, 169, 424, 201, 0, 11
1758358965393, 9, 34, 511, 169, 420, 198, 3, 3
1758358965393, 13, 16, 509, 169, 415, 194, 1, 4
1758358965393, 4, 11, 511, 167, 418, 195, 1, 2
1758358965393, 1, 0, 513, 170, 411, 192, 1, 3
1758358965393, 14, 0, 507, 169, 417, 194, 1, 8
1758358965393, 7, 0, 515, 169, 415, 199, 1, 3
1758358965393, 3, 0, 507, 170, 412, 198, 2, 4
1758358965393, 2, 0, 507, 173, 418, 192, 2, 2
1758358965393, 0, 0, 515, 168, 417, 194, 0, 2
1758358965393, 2, 0, 515, 166, 413, 195, 3, 3
1758358965393, 7, 0, 519, 165, 414, 190, 7, 3
1758358965393, 0, 0, 515, 169, 417, 193, 3, 2
1758358965393, 5, 3, 517, 168, 414, 194, 1, 2
