unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758359037304, P, -1, 4, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758359037375, 5, 0, 1195, 181, 326, 152, 5, 2
1758359037375, 2, 0, 1204, 180, 334, 154, 2, 11
1758359037375, 1, 0, 1200, 182, 324, 158, 1, 10
1758359037375, 4, 0, 1191, 186, 324, 152, 3, 3
1758359037375, 2, 0, 1191, 183, 328, 155, 2, 3
1758359037375, 6, 1, 1198, 179, 333, 152, 0, 2
1758359037375, 11, 2, 1199, 180, 328, 158, 0, 3
1758359037375, 3, 9, 1200, 180, 331, 153, 2, 3
1758359037375, 3, 12, 1196, 182, 327, 150, 1, 3
1758359037375, 10, 16, 1203, 184, 329, 150, 2, 3
1758359037375, 6, 25, 1211, 183, 331, 148, 7, 4
1758359037375, 0, 25, 1203, 181, 333, 148, 3, 4
1758359037375, 6, 29, 1205, 183, 327, 148, 2, 3
1758359037375, 12, 28, 1199, 180, 330, 149, 3, 8
1758359037375, 3, 33, 1200, 181, 327, 151, 3, 3
1758359037375, 2, 14, 1207, 183, 317, 149, 3, 3
1758359037375, 4, 8, 1203, 180, 316, 147, 1, 3
1758359037375, 7, 0, 1190, 178, 319, 150, 1, 4
1758359037375, 1, 0, 1213, 180, 325, 148, 2, 3
1758359037375, 7, 0, 1200, 180, 320, 151, 0, 3
1758359037375, 3, 0, 1207, 181, 331, 153, 2, 3
1758359037375, 2, 0, 1200, 182, 327, 162, 2, 3
1758359037375, 7, 0, 1201, 179, 324, 156, 0, 4
1758359037375, 6, 7, 1200, 191, 317, 153, 0, 3
1758359037375, 4, 0, 1215, 179, 312, 156, 1, 4
1758359037375, 7, 2, 1207, 181, 324, 160, 3, 3
1758359037375, 18, 3, 1207, 180, 315, 152, 2, 11
1758359037375, 8, 9, 1207, 180, 320, 154, 2, 4
1758359037375, 0, 13, 1210, 180, 317, 152, 2, 3
1758359037375, 2, 18, 1207, 179, 323, 151, 2, 3
1758359037375, 6, 24, 1204, 186, 319, 150, 3, 3
1758359037375, 4, 26, 1208, 180, 318, 157, 2, 6
1758359037375, 5, 28, 1211, 179, 315, 149, 2, 4
1758359037375, 2, 27, 1208, 179, 313, 157, 0, 3
1758359037375, 2, 35, 1200, 180, 313, 153, 2, 2
1758359037375, 1, 14, 1206, 180, 318, 151, 1, 4
1758359037375, 0, 9, 1210, 183, 311, 151, 3, 3
1758359037375, 4, 0, 1211, 181, 320, 149, 0, 4
1758359037375, 7, 0, 1216, 181, 311, 150, 2, 8
1758359037375, 11, 0, 1196, 188, 313, 152, 2, 4
1758359037375, 7, 0, 1208, 182, 308, 154, 1, 3
1758359037375, 2, 0, 1215, 180, 320, 151, 5, 3
1758359037375, 3, 0, 1201, 180, 320, 149, 3, 2
1758359037375, 5, 0, 1205, 179, 312, 149, 2, 2
1758359037375, 0, 0, 1217, 178, 312, 147, 0, 0
1758359037375, 3, 1, 1214, 180, 315, 152, 0, 4
1758359037375, 0, 4, 1205, 183, 307, 149, 2, 3
1758359037375, 1, 25, 1219, 191, 310, 157, 2, 3
1758359037375, 0, 30, 1215, 181, 307, 159, 2, 3
1758359037375, 8, 20, 1202, 176, 309, 155, 1, 3
1758359037375, 1, 26, 1215, 178, 309, 154, 1, 3
1758359037375, 0, 26, 1212, 176, 311, 155, 3, 7
1758359037375, 7, 45, 1212, 176, 309, 156, 3, 13
1758359037375, 0, 29, 1208, 174, 313, 157, 2, 9
1758359037375, 4, 20, 1212, 176, 304, 155, 6, 3
1758359037375, 0, 28, 1207, 179, 306, 156, 3, 2
1758359037375, 0, 10, 1212, 185, 310, 153, 3, 3
1758359037375, 4, 0, 1214, 175, 303, 156, 1, 3
1758359037375, 5, 0, 1212, 176, 313, 156, 2, 3
1758359037375, 1, 0, 1199, 173, 305, 158, 1, 3
1758359037375, 2, 0, 1214, 176, 311, 155, 11, 3
1758359037375, 2, 0, 1214, 176, 307, 158, 2, 3
1758359037375, 6, 0, 1199, 173, 312, 169, 2, 3
1758359037375, 1, 0, 1215, 175, 310, 156, 10, 3
1758359037375, 3, 4, 1214, 175, 306, 157, 1, 2
1758359037375, 0, 2, 1210, 177, 308, 160, 1, 1
1758359037375, 3, 4, 1216, 171, 310, 158, 0, 4
1758359037375, 3, 9, 1216, 173, 312, 164, 2, 3
1758359037375, 0, 21, 1212, 171, 307, 159, 1, 3
1758359037375, 0, 17, 1208, 170, 309, 161, 2, 7
1758359037376, 13, 24, 1215, 169, 310, 156, 1, 3
1758359037376, 6, 26, 1203, 172, 307, 159, 3, 3
1758359037377, 3, 43, 1214, 172, 305, 157, 4, 7
1758359037379, 3, 29, 1212, 168, 310, 157, 9, 8
1758359037389, 0, 20, 1212, 171, 305, 164, 1, 10
1758359037389, 6, 12, 1208, 170, 306, 159, 12, 6
1758359037389, 10, 6, 1199, 177, 311, 157, 2, 2
1758359037389, 10, 0, 1211, 172, 307, 164, 1, 2
1758359037389, 1, 0, 1203, 169, 310, 167, 3, 3
1758359037389, 4, 0, 1203, 169, 309, 159, 0, 3
1758359037389, 0, 0, 1203, 169, 317, 159, 2, 3
1758359037389, 0, 0, 1203, 171, 307, 165, 2, 3
1758359037389, 3, 8, 1199, 171, 306, 157, 0, 3
1758359037389, 4, 0, 1215, 171, 307, 156, 0, 3
1758359037401, 7, 13, 1206, 168, 311, 153, 8, 3
1758359037401, 0, 3, 1207, 171, 316, 153, 2, 3
1758359037401, 1, 5, 1211, 169, 311, 152, 3, 3
1758359037401, 8, 10, 1215, 173, 308, 153, 2, 2
1758359037401, 3, 14, 1205, 173, 308, 151, 1, 3
1758359037401, 5, 18, 1214, 174, 311, 148, 3, 1
1758359037401, 7, 24, 1203, 173, 313, 147, 2, 3
1758359037401, 9, 27, 1217, 175, 310, 150, 3, 3
1758359037401, 3, 29, 1212, 174, 311, 147, 2, 4
1758359037401, 5, 25, 1212, 180, 310, 147, 1, 4
1758359037401, 7, 19, 1208, 171, 307, 149, 6, 3
1758359037401, 1, 10, 1215, 172, 309, 148, 11, 3
1758359037401, 9, 7, 1220, 174, 309, 146, 3, 3
1758359037412, 0, 1, 1203, 178, 305, 151, 1, 2
1758359037412, 3, 0, 1215, 175, 307, 153, 2, 3
1758359037412, 5, 0, 1212, 176, 308, 149, 8, 2
1758359037412, 2, 0, 1224, 178, 308, 149, 1, 4
1758359037412, 8, 0, 1215, 175, 305, 152, 2, 3
1758359037412, 6, 0, 1212, 174, 306, 155, 2, 2
1758359037412, 2, 0, 1203, 175, 313, 154, 2, 2
1758359037412, 1, 0, 1217, 174, 310, 161, 2, 2
1758359037412, 0, 3, 1224, 173, 310, 152, 2, 1
1758359037412, 1, 4, 1208, 174, 308, 161, 1, 2
1758359037412, 5, 10, 1212, 173, 309, 164, 2, 3
1758359037427, 5, 14, 1219, 173, 311, 154, 3, 2
1758359037427, 0, 17, 1215, 171, 312, 155, 3, 4
1758359037427, 6, 25, 1219, 171, 315, 162, 3, 4
1758359037427, 4, 26, 1215, 173, 313, 156, 0, 4
1758359037427, 3, 28, 1207, 174, 311, 163, 3, 3
1758359037427, 0, 25, 1207, 176, 320, 164, 2, 4
1758359037427, 3, 18, 1223, 176, 316, 163, 0, 2
1758359037427, 0, 19, 1203, 172, 315, 158, 2, 2
1758359037427, 5, 20, 1215, 177, 314, 159, 9, 7
1758359037427, 3, 0, 1208, 176, 310, 156, 3, 3
1758359037427, 6, 0, 1215, 176, 315, 156, 11, 4
1758359037427, 1, 0, 1212, 176, 312, 156, 1, 3
1758359037427, 0, 0, 1200, 175, 312, 165, 1, 2
1758359037436, 2, 0, 1200, 177, 315, 153, 0, 3
1758359037436, 6, 0, 1195, 177, 311, 160, 2, 7
1758359037436, 3, 8, 1191, 173, 313, 175, 2, 3
1758359037436, 3, 0, 1207, 175, 311, 170, 7, 3
1758359037436, 0, 1, 1191, 179, 315, 164, 8, 2
1758359037436, 4, 5, 1183, 179, 313, 168, 2, 3
1758359037436, 3, 10, 1196, 180, 312, 163, 2, 3
1758359037436, 3, 13, 1198, 176, 318, 167, 1, 3
1758359037436, 4, 18, 1199, 178, 316, 167, 0, 3
1758359037436, 4, 24, 1187, 174, 315, 164, 2, 3
1758359037447, 1, 42, 1192, 179, 316, 164, 6, 3
1758359037447, 0, 31, 1199, 179, 316, 167, 0, 3
1758359037447, 2, 25, 1184, 179, 312, 163, 3, 8
1758359037447, 0, 17, 1185, 179, 314, 161, 2, 6
