unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758414567600, Q, 0, 1, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758414567756, 0, 6, 506, 123, 290, 225, 421, 2
1758414567756, 0, 18, 511, 123, 289, 221, 411, 3
1758414567756, 5, 7, 513, 125, 292, 219, 427, 0
1758414567756, 5, 5, 516, 124, 292, 225, 419, 2
1758414567756, 6, 6, 508, 123, 292, 227, 427, 2
1758414567756, 4, 20, 512, 124, 293, 229, 416, 7
1758414567756, 3, 8, 521, 124, 290, 228, 419, 3
1758414567756, 3, 6, 517, 123, 289, 227, 423, 1
1758414567756, 8, 12, 520, 124, 291, 227, 425, 3
1758414567756, 3, 17, 518, 122, 290, 235, 417, 4
1758414567756, 4, 17, 516, 123, 291, 225, 423, 3
1758414567756, 0, 28, 520, 124, 292, 226, 423, 2
1758414567756, 2, 11, 521, 118, 289, 226, 421, 6
1758414567756, 0, 7, 523, 123, 289, 225, 425, 2
1758414567756, 8, 17, 527, 123, 299, 220, 424, 3
1758414567756, 0, 0, 528, 125, 288, 225, 421, 7
1758414567756, 0, 0, 531, 122, 289, 227, 416, 2
1758414567756, 2, 1, 527, 123, 290, 228, 423, 11
1758414567756, 3, 0, 530, 128, 291, 233, 423, 2
1758414567756, 0, 1, 529, 123, 292, 225, 417, 2
1758414567756, 8, 4, 534, 124, 301, 229, 424, 3
1758414567756, 5, 5, 532, 121, 289, 230, 417, 3
1758414567756, 4, 6, 535, 122, 291, 230, 424, 2
1758414567756, 7, 5, 531, 124, 296, 228, 424, 4
1758414567756, 10, 4, 520, 121, 294, 226, 423, 3
1758414567756, 5, 4, 529, 122, 294, 228, 424, 2
1758414567756, 5, 6, 523, 123, 295, 225, 419, 3
1758414567756, 7, 7, 527, 125, 294, 227, 422, 4
1758414567756, 8, 12, 525, 123, 291, 227, 418, 2
1758414567756, 3, 22, 526, 129, 295, 225, 418, 2
1758414567756, 4, 18, 524, 123, 292, 227, 421, 3
1758414567756, 3, 15, 523, 124, 291, 227, 411, 2
1758414567756, 3, 9, 527, 123, 295, 229, 413, 2
1758414567756, 5, 8, 531, 124, 291, 231, 412, 5
1758414567756, 5, 2, 531, 123, 295, 228, 407, 3
1758414567756, 5, 0, 533, 122, 295, 228, 404, 3
1758414567756, 7, 0, 529, 127, 291, 230, 400, 3
1758414567756, 12, 0, 528, 125, 293, 227, 403, 2
1758414567756, 6, 0, 531, 123, 290, 235, 407, 3
1758414567756, 7, 1, 525, 125, 295, 233, 402, 4
1758414567756, 6, 4, 532, 124, 293, 228, 404, 3
1758414567756, 0, 4, 528, 126, 292, 229, 399, 3
1758414567756, 0, 20, 527, 123, 296, 229, 396, 2
1758414567756, 3, 6, 531, 124, 293, 224, 401, 3
1758414567756, 0, 6, 531, 124, 294, 225, 403, 3
1758414567756, 5, 6, 526, 121, 292, 228, 410, 4
1758414567756, 3, 5, 532, 133, 293, 226, 401, 2
1758414567756, 6, 7, 526, 128, 294, 227, 409, 2
1758414567756, 7, 13, 539, 127, 293, 226, 409, 3
1758414567756, 3, 17, 527, 124, 297, 232, 407, 1
1758414567756, 3, 29, 528, 128, 293, 228, 403, 3
1758414567756, 5, 16, 533, 124, 291, 231, 407, 2
1758414567756, 3, 24, 538, 126, 294, 225, 403, 2
1758414567756, 4, 9, 532, 128, 296, 230, 407, 0
1758414567756, 0, 2, 531, 123, 295, 229, 401, 2
1758414567756, 3, 0, 531, 124, 291, 226, 404, 3
1758414567756, 3, 0, 530, 124, 291, 224, 405, 1
1758414567756, 2, 0, 528, 125, 292, 232, 403, 2
1758414567756, 3, 0, 531, 125, 294, 231, 404, 1
1758414567756, 3, 2, 531, 126, 292, 227, 403, 3
1758414567756, 6, 5, 539, 126, 292, 220, 405, 2
1758414567756, 3, 13, 530, 124, 292, 228, 406, 3
1758414567756, 3, 5, 530, 126, 295, 230, 403, 2
