unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758414816665, Q, -2, 2, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758414816721, 2, 16, 847, 125, 453, 213, 494, 0
1758414816721, 6, 7, 843, 122, 447, 212, 483, 2
1758414816721, 0, 7, 847, 127, 450, 224, 487, 3
1758414816721, 5, 15, 849, 125, 448, 213, 488, 7
1758414816721, 2, 20, 840, 127, 450, 211, 491, 4
1758414816721, 4, 34, 839, 124, 447, 213, 487, 2
1758414816721, 4, 17, 835, 126, 448, 213, 492, 5
1758414816721, 7, 10, 847, 123, 448, 223, 491, 4
1758414816721, 0, 7, 839, 124, 451, 215, 493, 1
1758414816721, 0, 1, 840, 130, 449, 215, 488, 2
1758414816721, 6, 0, 837, 124, 451, 213, 487, 2
1758414816721, 2, 0, 832, 128, 446, 213, 491, 2
1758414816721, 6, 7, 839, 126, 454, 212, 491, 3
1758414816721, 1, 8, 836, 125, 451, 212, 498, 1
1758414816721, 1, 3, 828, 124, 448, 214, 501, 3
1758414816721, 4, 3, 831, 125, 448, 215, 494, 1
1758414816721, 9, 5, 832, 124, 453, 216, 502, 3
1758414816721, 2, 6, 827, 124, 455, 208, 491, 3
1758414816721, 0, 5, 834, 124, 449, 214, 491, 2
1758414816721, 0, 4, 831, 121, 450, 213, 492, 3
1758414816721, 5, 6, 843, 122, 451, 218, 487, 2
1758414816721, 3, 20, 828, 122, 448, 216, 488, 5
1758414816721, 6, 9, 835, 125, 448, 216, 490, 2
1758414816721, 0, 30, 828, 123, 452, 217, 485, 5
1758414816721, 9, 20, 824, 124, 455, 218, 485, 3
1758414816721, 10, 19, 828, 135, 452, 215, 485, 4
1758414816721, 12, 21, 830, 130, 452, 219, 483, 1
1758414816721, 6, 9, 839, 125, 453, 218, 491, 2
1758414816721, 9, 8, 837, 123, 451, 218, 490, 3
1758414816721, 0, 1, 839, 124, 462, 218, 489, 2
1758414816721, 5, 0, 839, 125, 449, 217, 489, 3
1758414816721, 4, 12, 839, 128, 452, 217, 489, 2
1758414816721, 1, 2, 836, 127, 461, 217, 496, 2
1758414816721, 0, 0, 848, 126, 454, 217, 494, 3
1758414816721, 4, 1, 847, 134, 454, 215, 494, 4
1758414816721, 4, 4, 847, 124, 452, 220, 492, 4
1758414816721, 0, 5, 836, 125, 463, 219, 491, 1
1758414816721, 6, 13, 840, 122, 454, 225, 492, 6
1758414816721, 6, 6, 843, 124, 459, 214, 503, 2
1758414816721, 7, 5, 840, 122, 451, 216, 493, 3
1758414816721, 7, 4, 843, 124, 451, 218, 504, 2
1758414816721, 6, 5, 840, 124, 450, 215, 494, 2
1758414816721, 2, 7, 845, 123, 451, 215, 496, 2
1758414816721, 5, 16, 835, 124, 450, 219, 493, 3
1758414816721, 9, 19, 840, 122, 457, 213, 491, 4
1758414816721, 2, 17, 847, 123, 451, 211, 496, 2
1758414816721, 7, 14, 847, 128, 454, 216, 487, 4
1758414816721, 5, 22, 844, 124, 457, 218, 491, 4
1758414816721, 3, 10, 840, 133, 457, 217, 494, 2
1758414816721, 4, 0, 842, 127, 452, 213, 492, 5
1758414816721, 2, 0, 844, 125, 452, 216, 499, 3
1758414816721, 2, 0, 838, 123, 455, 216, 490, 1
1758414816721, 4, 0, 839, 125, 463, 214, 490, 4
1758414816721, 6, 0, 843, 130, 458, 216, 492, 3
1758414816721, 2, 0, 847, 124, 455, 224, 496, 6
1758414816721, 0, 3, 841, 123, 451, 216, 505, 4
1758414816721, 5, 14, 843, 128, 454, 219, 500, 0
1758414816724, 0, 14, 847, 124, 456, 221, 496, 3
1758414816724, 2, 7, 845, 123, 457, 215, 499, 3
1758414816725, 8, 5, 839, 125, 456, 216, 489, 10
1758414816728, 5, 5, 851, 126, 455, 215, 492, 2
1758414816728, 4, 9, 854, 125, 458, 217, 494, 4
1758414816728, 4, 23, 849, 125, 455, 218, 488, 4
1758414816732, 6, 19, 847, 124, 459, 219, 487, 1
1758414816732, 9, 19, 855, 126, 455, 218, 492, 0
1758414816732, 0, 34, 847, 133, 455, 215, 493, 1
1758414816732, 3, 16, 860, 126, 456, 221, 488, 4
1758414816732, 9, 11, 852, 122, 458, 213, 489, 5
1758414816742, 4, 8, 855, 126, 456, 218, 488, 4
1758414816742, 8, 0, 855, 125, 454, 217, 486, 4
1758414816742, 0, 0, 857, 124, 449, 215, 484, 1
1758414816742, 11, 0, 855, 125, 451, 217, 485, 3
1758414816742, 4, 0, 855, 126, 454, 219, 499, 2
1758414816742, 1, 0, 848, 124, 451, 216, 488, 3
1758414816742, 4, 2, 855, 126, 450, 215, 483, 0
1758414816742, 4, 18, 855, 127, 451, 218, 489, 2
1758414816742, 5, 7, 850, 124, 454, 215, 491, 2
1758414816752, 0, 6, 852, 124, 451, 218, 493, 3
1758414816752, 5, 20, 847, 124, 455, 214, 502, 2
1758414816752, 6, 7, 843, 128, 452, 219, 495, 3
1758414816752, 0, 6, 848, 127, 454, 217, 493, 5
1758414816752, 4, 6, 848, 129, 454, 215, 487, 3
