unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758414864685, Q, 3, 2, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758414864897, 2, 9, 559, 144, 385, 294, 756, 3
1758414864897, 6, 20, 566, 141, 391, 287, 748, 2
1758414864897, 7, 21, 556, 143, 391, 283, 752, 1
1758414864897, 0, 8, 555, 142, 386, 283, 763, 2
1758414864897, 5, 8, 560, 142, 391, 283, 761, 1
1758414864897, 5, 27, 559, 141, 389, 283, 757, 2
1758414864897, 3, 21, 560, 145, 391, 284, 765, 2
1758414864897, 1, 20, 564, 144, 399, 288, 756, 13
1758414864897, 5, 32, 559, 143, 395, 283, 752, 3
1758414864897, 3, 19, 560, 144, 387, 283, 752, 3
1758414864897, 1, 10, 569, 145, 387, 289, 753, 0
1758414864897, 1, 3, 563, 142, 391, 282, 756, 4
1758414864897, 2, 0, 563, 144, 391, 288, 759, 3
1758414864897, 2, 1, 562, 144, 388, 281, 753, 3
1758414864897, 4, 0, 560, 146, 387, 283, 752, 4
1758414864897, 3, 0, 563, 141, 391, 284, 759, 2
1758414864897, 2, 0, 563, 142, 386, 288, 759, 3
1758414864897, 7, 3, 560, 145, 387, 282, 751, 5
1758414864897, 5, 19, 560, 144, 388, 286, 759, 11
1758414864897, 3, 7, 563, 141, 393, 295, 759, 3
1758414864897, 12, 6, 559, 145, 387, 282, 759, 3
1758414864897, 5, 6, 563, 144, 387, 282, 758, 2
1758414864897, 1, 6, 572, 144, 391, 284, 759, 2
1758414864897, 4, 6, 563, 143, 388, 287, 760, 2
1758414864897, 8, 8, 562, 144, 395, 284, 759, 1
1758414864897, 4, 13, 560, 144, 391, 287, 759, 3
1758414864897, 5, 19, 563, 145, 393, 293, 753, 3
1758414864897, 3, 34, 560, 144, 391, 285, 767, 1
1758414864897, 3, 19, 573, 142, 390, 280, 754, 2
1758414864897, 1, 12, 560, 155, 391, 286, 752, 2
1758414864897, 3, 8, 560, 144, 390, 284, 759, 3
1758414864897, 0, 18, 560, 143, 390, 283, 759, 4
1758414864897, 2, 0, 563, 143, 390, 284, 756, 3
1758414864897, 4, 0, 563, 143, 389, 294, 759, 2
1758414864897, 6, 0, 558, 143, 391, 283, 752, 2
1758414864897, 5, 11, 564, 144, 387, 283, 761, 2
1758414864897, 6, 3, 560, 150, 391, 283, 756, 2
1758414864897, 9, 4, 568, 149, 390, 281, 755, 2
1758414864897, 4, 5, 562, 144, 391, 282, 762, 4
1758414864897, 5, 5, 560, 144, 386, 282, 753, 3
1758414864897, 0, 5, 562, 144, 388, 283, 759, 5
1758414864897, 8, 5, 560, 147, 390, 282, 758, 2
1758414864897, 4, 6, 559, 143, 391, 285, 763, 1
1758414864897, 3, 18, 560, 149, 386, 286, 758, 3
1758414864897, 15, 24, 560, 144, 387, 285, 753, 2
1758414864897, 4, 14, 558, 143, 400, 285, 754, 2
1758414864897, 1, 19, 567, 144, 391, 283, 756, 3
1758414864897, 4, 20, 563, 144, 395, 284, 761, 1
1758414864897, 8, 18, 556, 144, 390, 283, 759, 4
1758414864897, 6, 12, 566, 154, 383, 286, 761, 2
1758414864897, 10, 9, 564, 142, 389, 287, 755, 3
1758414864897, 4, 3, 562, 142, 393, 284, 759, 2
1758414864897, 1, 0, 563, 143, 390, 286, 752, 1
1758414864897, 0, 0, 565, 143, 391, 285, 759, 2
1758414864897, 4, 0, 563, 144, 391, 283, 754, 2
1758414864897, 3, 6, 563, 145, 392, 281, 760, 6
1758414864897, 3, 0, 567, 143, 391, 285, 751, 2
1758414864897, 5, 5, 560, 145, 390, 285, 755, 1
1758414864897, 1, 5, 560, 144, 387, 286, 759, 3
1758414864897, 2, 4, 560, 144, 387, 284, 767, 5
1758414864897, 3, 4, 560, 140, 385, 283, 764, 3
1758414864897, 1, 5, 563, 146, 384, 282, 757, 3
1758414864897, 7, 6, 563, 144, 388, 285, 759, 3
1758414864897, 6, 5, 559, 144, 388, 284, 759, 2
1758414864897, 5, 6, 564, 143, 391, 283, 759, 2
1758414864897, 10, 12, 568, 143, 390, 285, 758, 13
1758414864897, 11, 18, 565, 144, 391, 290, 759, 1
1758414864897, 6, 20, 560, 142, 389, 285, 755, 2
1758414864897, 7, 17, 568, 145, 386, 280, 751, 3
1758414864897, 7, 19, 555, 155, 389, 285, 758, 3
1758414864897, 2, 10, 562, 144, 390, 280, 758, 4
1758414864897, 5, 4, 560, 144, 400, 285, 756, 4
1758414864897, 5, 0, 567, 144, 386, 285, 759, 2
1758414864897, 1, 0, 563, 144, 389, 283, 759, 2
1758414864897, 1, 0, 560, 145, 395, 284, 753, 3
1758414864897, 4, 7, 559, 143, 386, 284, 763, 4
1758414864897, 3, 1, 559, 144, 387, 287, 759, 2
1758414864897, 3, 5, 572, 144, 389, 284, 754, 7
1758414864897, 3, 13, 563, 143, 388, 285, 756, 3
1758414864897, 6, 6, 560, 146, 387, 286, 752, 2
1758414864897, 4, 4, 572, 147, 387, 286, 763, 3
1758414864897, 1, 6, 565, 144, 390, 292, 759, 3
1758414864897, 1, 5, 557, 145, 394, 284, 757, 7
1758414864897, 4, 4, 560, 145, 389, 286, 758, 2
1758414864897, 4, 7, 560, 144, 391, 284, 753, 2
1758414864897, 5, 11, 563, 144, 391, 286, 758, 6
1758414864897, 1, 19, 568, 142, 397, 286, 761, 3
1758414864897, 1, 20, 569, 142, 393, 283, 763, 3
1758414864897, 2, 17, 557, 142, 388, 280, 752, 2
1758414864897, 15, 12, 562, 145, 387, 283, 758, 4
1758414864897, 0, 9, 562, 144, 390, 291, 760, 2
1758414864897, 1, 4, 560, 144, 390, 294, 758, 1
1758414864897, 3, 0, 555, 142, 387, 285, 754, 3
1758414864897, 1, 0, 563, 143, 385, 285, 752, 10
1758414864897, 6, 2, 563, 144, 390, 286, 751, 4
1758414864897, 2, 3, 563, 144, 388, 287, 752, 3
1758414864897, 0, 1, 560, 143, 388, 284, 751, 4
1758414864897, 3, 4, 560, 142, 391, 284, 759, 6
1758414864897, 0, 4, 565, 144, 391, 283, 763, 3
1758414864897, 5, 5, 565, 143, 387, 286, 751, 5
1758414864897, 15, 4, 564, 143, 388, 285, 753, 5
1758414864897, 5, 21, 570, 147, 391, 288, 753, 3
1758414864897, 12, 7, 560, 144, 385, 283, 755, 3
1758414864897, 1, 21, 560, 145, 395, 283, 755, 3
1758414864897, 4, 10, 565, 146, 387, 285, 759, 4
1758414864897, 8, 24, 565, 146, 387, 287, 750, 3
1758414864897, 3, 20, 560, 143, 388, 292, 759, 3
1758414864897, 9, 20, 562, 141, 389, 286, 753, 1
1758414864897, 7, 17, 561, 151, 393, 283, 759, 4
1758414864897, 3, 12, 567, 142, 390, 286, 751, 2
1758414864897, 7, 23, 562, 145, 390, 283, 747, 3
1758414864897, 6, 5, 559, 152, 387, 287, 752, 4
1758414864897, 4, 0, 561, 146, 385, 285, 753, 2
1758414864897, 5, 0, 560, 145, 385, 284, 753, 3
1758414864897, 9, 0, 562, 147, 385, 285, 753, 5
1758414864897, 0, 0, 560, 145, 385, 284, 763, 3
1758414864897, 3, 0, 563, 145, 397, 284, 758, 2
1758414864897, 4, 4, 564, 146, 390, 286, 753, 1
1758414864897, 3, 3, 560, 144, 394, 283, 756, 4
1758414864897, 4, 5, 560, 143, 387, 283, 753, 2
1758414864897, 2, 5, 562, 142, 387, 286, 761, 3
1758414864897, 0, 5, 556, 142, 392, 286, 753, 4
1758414864897, 5, 19, 561, 143, 385, 285, 758, 2
1758414864897, 5, 7, 560, 143, 395, 284, 753, 9
1758414864897, 6, 22, 567, 145, 385, 283, 751, 1
1758414864897, 3, 13, 565, 146, 389, 283, 751, 2
1758414864897, 6, 19, 563, 146, 387, 286, 753, 1
1758414864897, 3, 19, 565, 145, 388, 282, 753, 1
1758414864897, 0, 18, 560, 144, 387, 283, 756, 1
1758414864897, 7, 12, 567, 143, 391, 286, 759, 9
1758414864897, 7, 9, 560, 147, 390, 285, 755, 7
1758414864897, 4, 4, 561, 144, 391, 288, 753, 2
1758414864897, 7, 12, 562, 145, 388, 284, 755, 3
1758414864897, 2, 0, 567, 144, 386, 284, 761, 1
1758414864897, 3, 0, 564, 144, 388, 283, 756, 4
1758414864897, 5, 10, 564, 146, 389, 286, 767, 3
1758414864897, 9, 2, 564, 144, 386, 296, 766, 4
1758414864897, 6, 3, 559, 143, 385, 283, 751, 2
1758414864897, 3, 4, 561, 154, 385, 286, 753, 3
1758414864897, 0, 4, 560, 144, 385, 286, 762, 10
1758414864897, 3, 6, 562, 145, 385, 285, 751, 3
1758414864897, 6, 5, 559, 148, 395, 284, 768, 1
1758414864897, 6, 5, 560, 146, 385, 284, 763, 3
1758414864897, 4, 13, 562, 148, 389, 285, 759, 1
1758414864897, 7, 7, 567, 144, 387, 283, 763, 3
1758414864897, 8, 12, 567, 144, 388, 286, 759, 2
1758414864897, 6, 18, 560, 146, 385, 285, 764, 7
1758414864897, 6, 18, 563, 143, 390, 284, 751, 2
1758414864897, 4, 17, 566, 142, 389, 283, 758, 3
1758414864897, 2, 13, 567, 142, 388, 284, 751, 0
1758414864897, 1, 9, 563, 146, 388, 286, 753, 3
1758414864897, 4, 7, 566, 144, 383, 288, 759, 1
1758414864897, 7, 0, 562, 146, 386, 283, 765, 4
1758414864897, 0, 0, 564, 144, 385, 287, 755, 2
1758414864897, 7, 7, 568, 145, 385, 283, 763, 2
1758414864897, 8, 4, 563, 144, 391, 288, 759, 2
