unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758415077996, Q, 1, 3, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758415078094, 2, 4, 875, 108, 402, 193, 463, 3
1758415078094, 3, 18, 871, 109, 398, 194, 452, 1
1758415078094, 0, 6, 875, 108, 399, 192, 460, 4
1758415078094, 3, 6, 878, 107, 400, 190, 456, 10
1758415078094, 3, 5, 879, 106, 399, 189, 455, 2
1758415078094, 2, 5, 871, 107, 397, 195, 459, 3
1758415078094, 8, 8, 871, 108, 400, 188, 452, 3
1758415078094, 3, 15, 871, 111, 400, 195, 453, 9
1758415078094, 10, 17, 878, 109, 400, 191, 459, 2
1758415078094, 6, 16, 883, 109, 398, 192, 459, 3
1758415078094, 4, 13, 880, 111, 400, 193, 458, 4
1758415078094, 0, 10, 883, 108, 404, 191, 458, 3
1758415078094, 2, 5, 874, 106, 398, 187, 462, 2
1758415078094, 1, 0, 883, 107, 399, 193, 455, 2
1758415078094, 6, 0, 884, 105, 399, 190, 455, 2
1758415078094, 10, 0, 874, 107, 403, 188, 452, 2
1758415078094, 10, 0, 879, 108, 403, 191, 451, 2
1758415078094, 5, 0, 870, 108, 409, 191, 455, 1
1758415078094, 2, 17, 883, 106, 403, 190, 452, 5
1758415078094, 9, 6, 880, 113, 397, 189, 453, 1
1758415078094, 2, 18, 875, 108, 399, 193, 452, 3
1758415078094, 4, 7, 875, 106, 395, 193, 457, 2
1758415078094, 0, 5, 871, 106, 404, 191, 455, 4
1758415078094, 1, 6, 879, 109, 397, 192, 449, 3
1758415078094, 6, 4, 882, 107, 399, 193, 455, 2
1758415078094, 19, 7, 875, 109, 397, 190, 449, 1
1758415078094, 4, 10, 873, 108, 398, 190, 451, 3
1758415078094, 8, 16, 879, 107, 403, 191, 459, 2
1758415078094, 4, 18, 887, 107, 398, 189, 451, 4
1758415078094, 6, 16, 880, 111, 396, 193, 454, 2
