unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758415138023, Q, -1, 3, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758415138108, 5, 5, 404, 131, 334, 267, 637, 4
1758415138108, 4, 4, 403, 129, 329, 255, 641, 3
1758415138108, 2, 6, 401, 126, 322, 256, 643, 2
1758415138108, 2, 6, 401, 127, 324, 259, 635, 2
1758415138108, 0, 7, 411, 129, 328, 259, 637, 2
1758415138108, 1, 11, 401, 129, 324, 257, 638, 3
1758415138108, 15, 19, 399, 129, 323, 256, 643, 3
1758415138108, 11, 20, 406, 130, 334, 260, 633, 6
1758415138108, 6, 33, 405, 126, 332, 254, 639, 0
1758415138108, 4, 15, 401, 129, 323, 252, 638, 4
1758415138108, 6, 9, 402, 131, 324, 259, 637, 3
1758415138108, 3, 4, 401, 130, 325, 256, 647, 1
1758415138108, 4, 0, 407, 129, 327, 251, 645, 3
1758415138108, 3, 7, 405, 129, 327, 254, 641, 2
1758415138108, 11, 0, 407, 127, 324, 253, 635, 3
1758415138108, 5, 0, 403, 130, 322, 255, 635, 3
1758415138108, 1, 0, 407, 127, 326, 254, 646, 11
1758415138108, 0, 3, 411, 129, 332, 254, 634, 2
1758415138108, 6, 3, 407, 129, 324, 256, 636, 6
1758415138108, 8, 5, 409, 129, 332, 256, 647, 3
1758415138108, 4, 6, 405, 129, 328, 255, 644, 12
1758415138108, 6, 5, 402, 126, 323, 262, 641, 5
1758415138108, 0, 5, 404, 130, 323, 261, 637, 6
1758415138108, 3, 4, 407, 128, 329, 255, 647, 3
1758415138108, 11, 5, 406, 128, 325, 255, 636, 3
1758415138108, 4, 11, 401, 128, 325, 254, 641, 5
1758415138108, 0, 19, 405, 127, 323, 264, 636, 3
1758415138108, 4, 20, 406, 128, 327, 256, 645, 4
1758415138108, 7, 18, 409, 131, 330, 255, 640, 1
1758415138108, 0, 13, 406, 128, 326, 255, 643, 2
1758415138108, 7, 24, 403, 129, 324, 262, 639, 6
1758415138108, 4, 6, 403, 130, 324, 255, 639, 0
1758415138108, 8, 0, 405, 128, 325, 258, 641, 0
1758415138108, 6, 0, 401, 128, 326, 257, 643, 2
1758415138108, 0, 0, 403, 127, 329, 260, 637, 2
1758415138108, 4, 0, 403, 130, 327, 253, 640, 3
1758415138108, 6, 0, 401, 129, 323, 255, 635, 1
1758415138108, 0, 16, 400, 127, 327, 258, 638, 3
1758415138108, 6, 6, 401, 130, 324, 255, 637, 5
1758415138108, 2, 3, 401, 129, 327, 258, 647, 3
1758415138108, 5, 6, 413, 131, 323, 263, 640, 2
1758415138108, 6, 5, 404, 132, 323, 256, 636, 2
1758415138108, 6, 5, 405, 129, 328, 257, 641, 0
1758415138108, 6, 5, 400, 129, 329, 258, 635, 7
1758415138108, 6, 7, 407, 135, 324, 254, 635, 3
1758415138108, 1, 10, 406, 130, 323, 255, 641, 2
1758415138108, 3, 35, 407, 128, 325, 262, 633, 2
1758415138108, 3, 23, 404, 129, 328, 259, 636, 2
1758415138108, 4, 33, 403, 128, 325, 265, 637, 1
1758415138108, 3, 15, 406, 129, 337, 254, 639, 3
1758415138108, 11, 9, 407, 132, 324, 254, 641, 3
1758415138108, 5, 4, 401, 129, 323, 253, 635, 2
1758415138108, 9, 0, 399, 127, 325, 253, 640, 4
1758415138108, 4, 0, 405, 128, 326, 251, 636, 1
1758415138108, 3, 12, 408, 128, 325, 261, 633, 4
1758415138108, 0, 0, 409, 128, 327, 255, 638, 2
1758415138108, 1, 12, 408, 128, 325, 257, 643, 3
1758415138108, 6, 4, 411, 128, 326, 251, 643, 3
1758415138108, 5, 5, 413, 129, 332, 259, 637, 3
1758415138108, 2, 20, 411, 128, 326, 253, 636, 2
1758415138108, 4, 7, 407, 128, 323, 253, 636, 3
1758415138108, 6, 5, 409, 137, 335, 256, 638, 0
1758415138108, 2, 6, 404, 128, 323, 263, 635, 2
1758415138108, 5, 5, 416, 127, 327, 253, 640, 3
1758415138108, 3, 7, 411, 131, 333, 256, 642, 1
1758415138108, 11, 11, 408, 139, 327, 253, 640, 4
1758415138108, 1, 19, 415, 130, 333, 264, 643, 2
1758415138108, 4, 21, 409, 128, 327, 258, 647, 3
1758415138108, 3, 18, 405, 130, 327, 255, 638, 2
1758415138108, 1, 23, 407, 129, 323, 256, 632, 11
1758415138108, 9, 11, 416, 128, 324, 256, 640, 5
1758415138108, 1, 5, 407, 130, 325, 259, 636, 3
1758415138108, 7, 0, 412, 130, 329, 253, 638, 2
1758415138108, 2, 0, 408, 128, 329, 252, 643, 2
1758415138108, 5, 0, 409, 129, 327, 257, 637, 2
1758415138108, 11, 0, 408, 129, 323, 258, 635, 10
1758415138108, 5, 0, 405, 128, 323, 259, 644, 3
1758415138108, 8, 3, 408, 129, 323, 260, 641, 3
1758415138108, 6, 3, 411, 127, 327, 258, 646, 3
1758415138108, 11, 5, 408, 128, 326, 257, 636, 2
1758415138108, 8, 5, 408, 128, 323, 256, 643, 7
1758415138108, 3, 5, 408, 126, 325, 251, 645, 6
1758415138108, 4, 4, 409, 128, 323, 255, 636, 3
1758415138108, 5, 6, 409, 128, 323, 255, 636, 2
1758415138108, 3, 7, 409, 127, 321, 256, 638, 3
1758415138108, 2, 11, 412, 130, 323, 257, 633, 3
1758415138110, 0, 35, 413, 127, 323, 255, 643, 3
1758415138113, 3, 23, 409, 130, 324, 256, 632, 10
1758415138113, 6, 19, 411, 130, 325, 258, 633, 12
1758415138113, 4, 13, 413, 129, 334, 256, 639, 2
1758415138115, 10, 9, 415, 126, 325, 260, 634, 1
1758415138115, 0, 4, 411, 127, 325, 257, 640, 2
1758415138115, 4, 0, 408, 130, 325, 259, 636, 3
1758415138139, 5, 0, 413, 125, 323, 255, 635, 9
1758415138139, 2, 8, 413, 131, 326, 255, 636, 4
1758415138139, 2, 0, 412, 128, 325, 255, 641, 3
1758415138139, 0, 0, 416, 131, 324, 255, 638, 3
1758415138139, 2, 3, 411, 127, 325, 257, 640, 3
1758415138139, 0, 18, 413, 128, 329, 251, 640, 2
