unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758415347882, Q, 4, 4, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758415348017, 3, 0, 1259, 137, 370, 225, 186, 4
1758415348017, 3, 0, 1247, 139, 372, 229, 182, 3
1758415348017, 0, 0, 1248, 139, 373, 221, 181, 2
1758415348017, 3, 2, 1255, 136, 371, 223, 178, 1
1758415348017, 3, 4, 1271, 135, 370, 220, 174, 7
1758415348017, 5, 5, 1254, 139, 369, 224, 179, 12
1758415348017, 2, 20, 1249, 148, 369, 225, 176, 5
1758415348017, 9, 8, 1256, 138, 373, 227, 180, 2
1758415348017, 6, 6, 1248, 139, 367, 221, 180, 3
1758415348017, 5, 20, 1248, 139, 377, 222, 176, 2
1758415348017, 7, 24, 1254, 145, 372, 221, 181, 2
1758415348017, 7, 10, 1248, 139, 374, 223, 179, 3
1758415348017, 6, 16, 1248, 140, 373, 223, 179, 5
1758415348017, 4, 32, 1255, 139, 374, 221, 183, 1
1758415348017, 1, 33, 1254, 139, 377, 224, 180, 0
1758415348017, 3, 15, 1255, 141, 375, 220, 176, 0
1758415348017, 4, 9, 1248, 142, 372, 219, 183, 3
1758415348017, 12, 6, 1243, 150, 381, 220, 190, 2
1758415348017, 6, 0, 1248, 142, 369, 223, 179, 7
1758415348017, 10, 0, 1255, 143, 372, 231, 183, 2
1758415348017, 6, 0, 1255, 142, 369, 221, 184, 3
1758415348017, 4, 0, 1247, 141, 377, 222, 184, 5
1758415348017, 1, 0, 1259, 142, 375, 218, 184, 3
1758415348017, 6, 3, 1260, 141, 375, 220, 179, 4
1758415348017, 3, 4, 1252, 150, 372, 220, 184, 3
1758415348017, 2, 5, 1268, 139, 373, 221, 183, 1
1758415348017, 0, 5, 1259, 143, 373, 220, 185, 2
1758415348017, 0, 19, 1247, 140, 379, 219, 178, 3
1758415348017, 3, 8, 1256, 142, 369, 226, 180, 3
1758415348017, 4, 5, 1252, 140, 368, 221, 184, 1
1758415348017, 3, 6, 1256, 139, 370, 226, 182, 5
1758415348017, 0, 8, 1261, 143, 371, 219, 191, 3
1758415348017, 3, 31, 1260, 141, 371, 219, 183, 4
1758415348017, 5, 20, 1265, 143, 371, 222, 184, 4
1758415348017, 1, 17, 1259, 143, 378, 220, 190, 2
