unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758415383896, Q, -2, 4, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758415384081, 3, 12, 931, 133, 337, 266, 438, 3
1758415384081, 1, 0, 940, 132, 337, 266, 442, 3
1758415384081, 3, 0, 936, 132, 340, 264, 435, 3
1758415384081, 7, 0, 941, 132, 342, 266, 435, 3
1758415384081, 3, 3, 940, 135, 338, 264, 436, 1
1758415384081, 6, 3, 935, 133, 341, 266, 445, 1
1758415384081, 2, 5, 939, 132, 340, 264, 435, 3
1758415384081, 3, 5, 943, 133, 341, 268, 445, 5
1758415384081, 4, 5, 936, 131, 341, 270, 435, 2
1758415384081, 0, 19, 929, 133, 341, 271, 441, 1
1758415384081, 7, 7, 940, 131, 340, 271, 438, 2
1758415384081, 5, 6, 943, 132, 341, 272, 439, 3
1758415384081, 4, 8, 939, 132, 334, 267, 436, 3
1758415384081, 10, 16, 942, 131, 340, 277, 435, 3
1758415384081, 3, 17, 948, 142, 339, 270, 435, 3
1758415384081, 7, 15, 943, 139, 339, 266, 435, 3
1758415384081, 8, 12, 931, 136, 335, 267, 436, 2
1758415384081, 4, 8, 940, 135, 340, 266, 437, 0
1758415384081, 2, 5, 943, 131, 343, 266, 435, 2
1758415384081, 8, 0, 943, 131, 340, 266, 435, 0
1758415384081, 14, 0, 935, 131, 338, 267, 438, 2
1758415384081, 1, 0, 935, 132, 339, 267, 443, 8
1758415384081, 5, 0, 941, 131, 340, 266, 438, 3
1758415384081, 6, 0, 943, 132, 341, 265, 441, 3
1758415384081, 5, 4, 933, 137, 338, 268, 440, 1
1758415384081, 9, 4, 943, 135, 339, 267, 435, 2
1758415384081, 3, 5, 946, 134, 341, 264, 437, 3
1758415384081, 3, 5, 947, 132, 339, 268, 435, 4
1758415384081, 2, 5, 944, 131, 339, 277, 438, 3
1758415384081, 2, 5, 935, 132, 336, 267, 435, 3
1758415384081, 4, 6, 936, 131, 341, 273, 437, 7
1758415384081, 4, 7, 943, 132, 351, 267, 437, 3
1758415384081, 5, 8, 930, 131, 339, 266, 444, 3
1758415384081, 3, 25, 938, 135, 338, 265, 440, 12
1758415384081, 8, 18, 941, 133, 339, 266, 440, 2
1758415384081, 1, 15, 936, 135, 339, 267, 440, 3
1758415384081, 7, 12, 931, 135, 336, 266, 441, 4
1758415384081, 2, 7, 939, 134, 336, 268, 435, 3
1758415384081, 5, 4, 935, 135, 337, 264, 438, 4
1758415384081, 4, 0, 937, 132, 341, 261, 440, 3
1758415384081, 3, 0, 943, 131, 338, 262, 441, 2
1758415384081, 4, 2, 936, 133, 337, 263, 437, 2
1758415384081, 1, 0, 943, 132, 339, 265, 440, 3
1758415384081, 4, 0, 943, 131, 337, 264, 443, 2
1758415384081, 5, 17, 943, 131, 340, 269, 440, 3
1758415384081, 4, 7, 938, 134, 335, 266, 443, 3
1758415384081, 5, 5, 942, 137, 338, 268, 439, 12
1758415384081, 3, 4, 941, 132, 341, 265, 440, 3
1758415384081, 4, 19, 936, 132, 337, 262, 439, 4
1758415384081, 3, 14, 937, 133, 336, 265, 439, 2
1758415384081, 4, 8, 936, 132, 335, 265, 449, 2
1758415384081, 2, 6, 936, 132, 336, 268, 440, 3
1758415384081, 7, 9, 936, 134, 341, 264, 439, 3
1758415384081, 8, 16, 943, 134, 336, 264, 445, 4
1758415384081, 3, 17, 935, 134, 337, 268, 440, 4
1758415384081, 5, 15, 943, 131, 347, 269, 445, 2
1758415384081, 0, 12, 940, 129, 339, 265, 444, 2
1758415384081, 9, 8, 935, 131, 340, 264, 439, 2
1758415384081, 8, 6, 936, 133, 336, 263, 446, 3
1758415384081, 2, 0, 943, 132, 341, 265, 447, 9
