unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758415555409, Q, 2, 5, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758415555473, 2, 5, 811, 144, 374, 230, 315, 1
1758415555473, 6, 6, 807, 141, 375, 229, 318, 4
1758415555473, 4, 4, 806, 141, 378, 225, 320, 0
1758415555473, 7, 21, 808, 141, 375, 231, 317, 3
1758415555473, 4, 24, 806, 143, 373, 227, 316, 2
1758415555473, 2, 15, 801, 143, 376, 227, 316, 3
1758415555473, 3, 19, 803, 144, 382, 226, 320, 3
1758415555473, 6, 36, 807, 152, 377, 229, 318, 7
1758415555473, 7, 20, 811, 144, 380, 227, 327, 3
1758415555473, 0, 13, 801, 143, 374, 230, 327, 1
1758415555473, 5, 25, 813, 145, 371, 225, 319, 5
1758415555473, 7, 6, 801, 144, 374, 228, 320, 2
1758415555473, 5, 10, 816, 145, 374, 230, 317, 1
1758415555473, 5, 0, 807, 143, 379, 226, 317, 3
1758415555473, 3, 0, 806, 144, 377, 228, 319, 2
1758415555473, 7, 0, 804, 149, 378, 229, 317, 3
1758415555473, 3, 0, 800, 147, 377, 230, 318, 4
1758415555473, 6, 18, 815, 144, 376, 227, 321, 3
1758415555473, 5, 15, 800, 143, 373, 224, 312, 4
1758415555473, 4, 6, 803, 144, 372, 229, 312, 3
1758415555473, 0, 5, 811, 141, 385, 227, 319, 1
1758415555473, 8, 6, 800, 147, 373, 228, 309, 4
1758415555473, 1, 6, 800, 141, 373, 229, 311, 1
1758415555473, 7, 12, 800, 143, 374, 227, 304, 0
1758415555473, 2, 8, 804, 142, 377, 227, 310, 4
1758415555473, 4, 12, 804, 144, 376, 230, 307, 3
1758415555473, 4, 19, 802, 144, 376, 231, 307, 4
1758415555473, 3, 20, 800, 142, 376, 228, 303, 2
1758415555473, 7, 18, 795, 143, 372, 231, 304, 1
1758415555473, 4, 13, 800, 144, 373, 227, 313, 5
1758415555473, 3, 8, 800, 144, 387, 224, 303, 1
1758415555473, 9, 3, 811, 142, 373, 224, 304, 0
1758415555473, 6, 0, 799, 144, 374, 227, 300, 3
1758415555473, 5, 0, 800, 141, 380, 228, 299, 3
1758415555473, 2, 0, 795, 142, 373, 231, 300, 2
1758415555473, 3, 0, 795, 145, 376, 228, 299, 3
1758415555473, 11, 13, 797, 142, 376, 235, 302, 3
1758415555473, 4, 4, 799, 141, 379, 226, 301, 3
1758415555473, 3, 5, 799, 151, 377, 233, 309, 1
1758415555473, 0, 4, 793, 144, 379, 231, 297, 2
1758415555473, 0, 8, 798, 143, 384, 228, 300, 4
1758415555473, 0, 5, 803, 142, 373, 228, 301, 4
1758415555473, 1, 6, 791, 143, 376, 233, 295, 4
1758415555473, 3, 6, 799, 143, 378, 229, 300, 3
1758415555473, 5, 7, 795, 145, 376, 231, 293, 3
1758415555473, 4, 12, 799, 148, 377, 230, 294, 2
1758415555473, 6, 19, 799, 143, 377, 228, 299, 2
1758415555473, 6, 20, 793, 143, 373, 230, 298, 1
1758415555473, 0, 28, 792, 144, 377, 226, 300, 2
1758415555473, 7, 15, 796, 143, 378, 227, 295, 2
1758415555473, 6, 25, 796, 153, 373, 225, 305, 2
1758415555473, 9, 16, 796, 144, 379, 225, 303, 8
1758415555473, 7, 0, 803, 142, 375, 229, 298, 6
1758415555473, 9, 0, 791, 147, 374, 229, 300, 3
1758415555473, 10, 0, 799, 142, 375, 232, 301, 1
1758415555473, 3, 0, 793, 144, 379, 227, 299, 0
1758415555473, 6, 0, 793, 144, 376, 229, 300, 2
1758415555473, 7, 3, 801, 144, 379, 229, 299, 5
1758415555473, 0, 3, 790, 144, 375, 223, 300, 4
1758415555473, 3, 3, 798, 144, 373, 227, 299, 3
1758415555473, 0, 5, 804, 145, 384, 227, 309, 5
1758415555473, 3, 5, 796, 144, 385, 226, 302, 2
1758415555473, 0, 5, 798, 142, 373, 227, 301, 3
1758415555473, 5, 6, 799, 144, 373, 229, 303, 7
1758415555473, 8, 8, 799, 146, 377, 227, 303, 3
1758415555475, 15, 13, 798, 144, 380, 227, 300, 2
1758415555476, 6, 18, 807, 144, 376, 227, 300, 2
