unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758415591425, Q, 5, 5, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758415591528, 1, 0, 694, 160, 367, 274, 492, 1
1758415591528, 7, 0, 695, 161, 365, 280, 508, 3
1758415591528, 3, 0, 704, 163, 364, 274, 496, 1
1758415591528, 3, 0, 699, 161, 372, 278, 496, 3
1758415591528, 4, 1, 695, 160, 365, 275, 491, 2
1758415591528, 2, 4, 708, 161, 367, 273, 503, 13
1758415591528, 0, 4, 700, 163, 366, 272, 487, 14
1758415591528, 0, 5, 696, 160, 363, 277, 491, 7
1758415591528, 0, 5, 697, 163, 365, 273, 491, 2
1758415591528, 2, 5, 695, 163, 366, 271, 494, 2
1758415591528, 6, 5, 697, 159, 367, 271, 486, 3
1758415591528, 0, 5, 700, 161, 366, 275, 496, 2
1758415591528, 3, 7, 699, 161, 366, 275, 488, 5
1758415591528, 11, 29, 697, 161, 370, 273, 494, 0
1758415591528, 8, 20, 699, 161, 367, 273, 494, 5
1758415591528, 6, 27, 699, 161, 369, 272, 495, 0
1758415591528, 1, 16, 707, 159, 364, 274, 496, 5
1758415591528, 2, 10, 703, 162, 369, 276, 496, 4
1758415591528, 0, 8, 703, 160, 370, 271, 501, 6
1758415591528, 5, 1, 698, 160, 369, 271, 498, 2
1758415591528, 5, 0, 703, 164, 363, 280, 491, 2
1758415591528, 7, 0, 716, 160, 367, 275, 497, 1
1758415591528, 3, 0, 711, 160, 367, 273, 495, 2
1758415591528, 6, 0, 707, 163, 365, 273, 491, 4
1758415591528, 4, 1, 699, 161, 363, 273, 497, 3
1758415591528, 4, 4, 702, 164, 365, 273, 499, 1
1758415591528, 6, 4, 704, 164, 367, 275, 499, 3
1758415591528, 2, 4, 703, 162, 372, 279, 497, 1
1758415591528, 1, 5, 702, 160, 365, 277, 497, 1
1758415591528, 4, 5, 697, 160, 364, 270, 505, 2
1758415591528, 5, 5, 699, 163, 363, 272, 499, 3
1758415591528, 7, 5, 700, 169, 367, 274, 496, 1
1758415591528, 0, 8, 703, 162, 368, 271, 499, 4
1758415591528, 8, 16, 703, 162, 368, 275, 498, 2
1758415591528, 8, 18, 699, 171, 367, 272, 501, 4
1758415591528, 12, 32, 699, 167, 366, 285, 495, 2
1758415591528, 1, 16, 699, 162, 368, 270, 503, 3
1758415591528, 5, 11, 703, 163, 367, 275, 500, 3
1758415591528, 4, 7, 696, 160, 367, 274, 500, 2
1758415591528, 4, 1, 697, 161, 367, 273, 500, 2
1758415591528, 0, 0, 703, 163, 366, 271, 496, 6
1758415591528, 8, 0, 697, 162, 365, 269, 505, 3
1758415591528, 0, 0, 703, 161, 374, 272, 494, 2
1758415591528, 11, 0, 707, 162, 365, 272, 499, 1
1758415591528, 9, 2, 695, 162, 366, 271, 496, 3
1758415591528, 0, 18, 705, 162, 364, 273, 497, 4
1758415591528, 2, 7, 697, 163, 364, 274, 497, 4
1758415591528, 4, 5, 699, 163, 367, 271, 502, 3
1758415591528, 4, 4, 703, 158, 363, 271, 499, 2
1758415591528, 8, 5, 704, 161, 363, 273, 502, 3
1758415591528, 4, 6, 695, 162, 366, 273, 496, 6
1758415591528, 12, 6, 700, 163, 368, 272, 497, 8
1758415591528, 10, 8, 703, 161, 365, 275, 498, 9
1758415591528, 7, 15, 705, 162, 363, 270, 501, 3
1758415591528, 8, 17, 700, 161, 367, 279, 499, 2
1758415591528, 6, 18, 703, 161, 371, 275, 493, 1
1758415591528, 1, 14, 696, 169, 367, 275, 495, 2
1758415591528, 0, 10, 695, 163, 366, 276, 497, 3
1758415591528, 4, 8, 695, 162, 364, 274, 501, 4
1758415591528, 5, 1, 702, 160, 363, 272, 502, 1
1758415591528, 5, 0, 704, 162, 364, 272, 496, 1
1758415591528, 3, 0, 695, 161, 365, 272, 499, 3
1758415591528, 4, 0, 701, 160, 366, 274, 503, 4
1758415591528, 3, 0, 697, 164, 363, 274, 503, 11
1758415591528, 0, 1, 704, 162, 363, 272, 502, 2
1758415591528, 0, 4, 696, 162, 363, 270, 496, 4
1758415591528, 0, 5, 702, 164, 367, 273, 498, 3
1758415591528, 0, 5, 702, 161, 367, 277, 498, 1
1758415591528, 7, 5, 700, 162, 367, 275, 500, 3
1758415591528, 8, 19, 700, 163, 365, 277, 496, 4
1758415591528, 6, 8, 696, 164, 365, 275, 496, 0
1758415591528, 3, 6, 700, 164, 368, 271, 496, 3
1758415591528, 3, 7, 711, 162, 361, 273, 503, 4
1758415591528, 1, 15, 701, 161, 365, 275, 507, 2
1758415591528, 4, 18, 696, 161, 365, 271, 496, 6
1758415591528, 0, 17, 695, 160, 363, 274, 493, 4
1758415591528, 1, 14, 703, 164, 365, 274, 492, 1
1758415591528, 3, 21, 702, 164, 367, 272, 501, 5
1758415591528, 1, 9, 701, 159, 369, 272, 495, 2
1758415591528, 0, 16, 708, 171, 366, 278, 501, 8
1758415591528, 5, 1, 695, 163, 364, 275, 493, 1
1758415591528, 9, 0, 702, 162, 367, 272, 500, 3
1758415591528, 5, 0, 703, 162, 367, 273, 501, 3
1758415591528, 2, 0, 695, 162, 368, 275, 497, 2
1758415591528, 5, 16, 705, 159, 372, 278, 496, 5
1758415591528, 1, 6, 704, 161, 363, 276, 496, 2
1758415591528, 1, 19, 702, 161, 365, 277, 499, 3
1758415591528, 4, 7, 697, 161, 363, 275, 497, 2
1758415591528, 4, 6, 696, 163, 364, 275, 498, 4
1758415591528, 9, 5, 701, 163, 367, 273, 510, 2
1758415591528, 5, 5, 703, 160, 364, 284, 502, 0
1758415591528, 3, 7, 702, 161, 365, 279, 499, 2
1758415591528, 5, 12, 702, 160, 367, 272, 499, 1
1758415591528, 0, 17, 701, 160, 364, 275, 496, 4
1758415591528, 8, 17, 701, 160, 366, 273, 504, 3
1758415591528, 3, 17, 700, 161, 367, 277, 496, 2
1758415591528, 2, 14, 703, 160, 364, 275, 505, 2
1758415591528, 6, 10, 696, 160, 366, 272, 499, 4
1758415591528, 3, 6, 711, 161, 366, 274, 497, 4
1758415591528, 0, 17, 698, 160, 364, 276, 505, 1
1758415591530, 10, 0, 704, 162, 378, 281, 501, 5
1758415591530, 9, 0, 700, 161, 363, 274, 503, 1
1758415591530, 13, 0, 700, 161, 364, 276, 500, 3
1758415591530, 7, 0, 701, 160, 366, 275, 502, 2
1758415591530, 4, 16, 698, 160, 367, 272, 503, 1
1758415591532, 2, 21, 701, 160, 369, 272, 503, 3
1758415591533, 5, 6, 704, 164, 365, 275, 499, 4
1758415591533, 2, 4, 701, 163, 361, 272, 500, 2
1758415591541, 0, 6, 693, 162, 364, 277, 493, 2
1758415591541, 1, 4, 696, 162, 367, 273, 495, 1
1758415591541, 3, 20, 702, 159, 366, 275, 507, 1
1758415591541, 8, 8, 704, 161, 367, 272, 499, 3
1758415591541, 7, 8, 695, 163, 364, 283, 500, 11
1758415591541, 9, 15, 704, 159, 363, 272, 499, 3
1758415591541, 0, 18, 703, 160, 364, 282, 500, 12
1758415591555, 2, 16, 691, 159, 363, 273, 496, 2
1758415591555, 2, 13, 701, 164, 364, 275, 489, 1
1758415591555, 2, 10, 695, 160, 366, 275, 496, 2
1758415591555, 0, 6, 700, 161, 371, 272, 505, 2
1758415591555, 5, 0, 701, 162, 364, 274, 493, 2
1758415591555, 1, 0, 700, 163, 367, 272, 502, 3
1758415591555, 6, 0, 705, 164, 371, 272, 500, 2
1758415591555, 0, 0, 700, 163, 367, 270, 501, 3
1758415591555, 4, 0, 701, 164, 363, 273, 498, 4
1758415591555, 0, 3, 701, 160, 365, 276, 500, 2
1758415591555, 5, 16, 704, 161, 365, 275, 504, 2
1758415591555, 8, 6, 696, 170, 373, 272, 499, 3
1758415591555, 2, 4, 705, 159, 365, 275, 497, 4
1758415591555, 9, 5, 700, 168, 361, 280, 502, 2
1758415591555, 4, 6, 695, 160, 367, 276, 493, 3
1758415591569, 11, 5, 695, 158, 367, 284, 496, 4
1758415591569, 5, 6, 704, 162, 368, 283, 499, 3
1758415591569, 1, 20, 702, 160, 363, 272, 499, 4
1758415591569, 0, 17, 695, 163, 367, 275, 497, 2
1758415591569, 2, 18, 693, 163, 368, 269, 499, 3
1758415591569, 2, 26, 703, 160, 363, 273, 496, 5
1758415591569, 2, 17, 696, 162, 366, 275, 500, 1
