unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758417243490, R, 0, 1, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758417243675, 0, 15, 341, 141, 392, 346, 1, 3
1758417243675, 10, 15, 344, 135, 392, 349, 1, 2
1758417243675, 3, 26, 344, 133, 391, 347, 3, 4
1758417243675, 5, 12, 347, 135, 387, 344, 6, 2
1758417243675, 0, 8, 344, 134, 393, 343, 2, 2
1758417243675, 0, 19, 345, 130, 391, 345, 3, 2
1758417243675, 1, 3, 345, 135, 387, 344, 10, 8
1758417243675, 5, 0, 343, 132, 389, 343, 2, 2
1758417243675, 6, 1, 349, 133, 392, 348, 3, 3
1758417243675, 3, 0, 345, 132, 393, 343, 1, 3
1758417243675, 5, 1, 345, 132, 399, 359, 2, 2
1758417243675, 5, 4, 347, 139, 391, 348, 6, 3
1758417243675, 7, 3, 347, 132, 393, 345, 1, 3
1758417243675, 3, 4, 341, 131, 394, 348, 0, 7
1758417243675, 4, 5, 343, 133, 392, 356, 2, 1
1758417243675, 5, 5, 341, 134, 388, 347, 1, 4
1758417243675, 3, 4, 344, 140, 393, 347, 1, 3
1758417243675, 0, 13, 343, 133, 388, 346, 3, 2
1758417243675, 1, 8, 354, 134, 388, 345, 2, 3
1758417243675, 7, 11, 343, 134, 388, 352, 2, 10
1758417243675, 4, 14, 344, 137, 391, 349, 1, 3
1758417243675, 12, 16, 344, 132, 391, 346, 2, 3
1758417243675, 6, 13, 344, 134, 391, 348, 1, 2
1758417243675, 4, 11, 341, 133, 388, 346, 3, 2
1758417243675, 3, 8, 345, 133, 387, 348, 3, 1
1758417243675, 5, 3, 347, 132, 399, 351, 0, 2
1758417243675, 1, 1, 346, 132, 387, 345, 2, 3
1758417243675, 6, 0, 346, 138, 391, 357, 3, 2
1758417243675, 1, 1, 348, 132, 389, 352, 3, 2
1758417243675, 1, 0, 344, 132, 390, 346, 2, 2
1758417243675, 5, 2, 343, 134, 390, 346, 3, 3
1758417243675, 4, 4, 343, 144, 388, 350, 1, 9
1758417243675, 5, 5, 345, 139, 389, 348, 9, 1
1758417243675, 4, 17, 344, 132, 390, 350, 3, 3
1758417243675, 3, 22, 351, 133, 387, 347, 5, 4
1758417243675, 8, 7, 353, 133, 387, 351, 7, 2
1758417243675, 1, 6, 345, 137, 390, 351, 2, 3
1758417243675, 15, 4, 347, 133, 395, 346, 3, 3
1758417243675, 2, 5, 346, 133, 390, 351, 2, 2
1758417243675, 2, 11, 344, 136, 389, 347, 1, 2
1758417243675, 6, 14, 347, 132, 387, 353, 1, 2
1758417243675, 5, 16, 349, 135, 388, 351, 0, 2
1758417243675, 0, 14, 349, 133, 389, 349, 1, 2
1758417243675, 5, 10, 345, 132, 391, 352, 2, 3
1758417243675, 4, 9, 349, 134, 388, 357, 0, 9
1758417243675, 1, 4, 351, 133, 385, 349, 0, 2
1758417243675, 5, 0, 348, 134, 391, 354, 0, 3
1758417243675, 0, 0, 348, 134, 389, 354, 3, 3
1758417243675, 5, 1, 349, 132, 387, 352, 2, 2
1758417243675, 14, 10, 345, 134, 397, 354, 1, 2
1758417243675, 8, 14, 348, 132, 395, 352, 0, 5
1758417243675, 5, 4, 345, 135, 399, 355, 3, 3
1758417243675, 10, 20, 350, 133, 385, 354, 3, 2
1758417243675, 0, 7, 345, 134, 392, 355, 1, 5
1758417243675, 3, 4, 349, 134, 391, 349, 2, 8
1758417243675, 5, 5, 350, 134, 393, 353, 3, 3
1758417243675, 10, 4, 349, 132, 388, 349, 1, 11
1758417243675, 4, 6, 346, 137, 396, 351, 2, 8
1758417243675, 5, 6, 347, 131, 391, 350, 1, 4
1758417243675, 1, 11, 349, 133, 391, 351, 2, 3
1758417243675, 0, 30, 348, 131, 392, 351, 1, 2
1758417243675, 11, 18, 355, 133, 394, 355, 2, 8
