unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758417291519, R, 4, 1, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758417291697, 2, 0, 322, 118, 355, 380, 4, 1
1758417291697, 8, 3, 314, 122, 360, 387, 2, 3
1758417291697, 4, 3, 321, 121, 360, 391, 1, 2
1758417291697, 11, 11, 323, 119, 371, 380, 1, 0
1758417291697, 7, 5, 319, 121, 363, 379, 2, 2
1758417291697, 3, 4, 313, 121, 365, 381, 0, 4
1758417291697, 2, 4, 316, 122, 359, 380, 3, 2
1758417291697, 0, 5, 313, 123, 359, 390, 1, 2
1758417291697, 1, 7, 317, 122, 354, 381, 2, 3
1758417291697, 3, 25, 317, 121, 364, 379, 2, 2
1758417291697, 6, 18, 313, 122, 361, 383, 8, 2
1758417291697, 3, 16, 311, 121, 359, 379, 0, 3
1758417291697, 4, 15, 317, 120, 357, 382, 0, 3
1758417291697, 4, 12, 319, 122, 357, 393, 1, 3
1758417291697, 4, 10, 313, 122, 359, 390, 2, 2
1758417291697, 1, 4, 318, 129, 356, 379, 7, 3
1758417291697, 0, 0, 314, 120, 359, 381, 3, 3
1758417291697, 4, 0, 316, 120, 363, 386, 2, 3
1758417291697, 4, 1, 315, 121, 355, 384, 1, 2
1758417291697, 7, 0, 313, 130, 357, 383, 3, 2
1758417291697, 11, 0, 315, 121, 361, 379, 5, 3
1758417291697, 0, 3, 317, 121, 361, 383, 0, 5
1758417291697, 2, 4, 320, 125, 359, 379, 1, 4
1758417291697, 6, 3, 316, 122, 359, 384, 0, 2
1758417291697, 6, 3, 317, 121, 359, 379, 3, 4
1758417291697, 6, 4, 319, 119, 356, 383, 1, 3
1758417291697, 4, 19, 318, 121, 357, 381, 2, 2
1758417291697, 4, 7, 316, 120, 357, 384, 2, 3
1758417291697, 6, 6, 317, 121, 355, 383, 9, 3
1758417291697, 1, 12, 313, 122, 357, 379, 1, 2
1758417291697, 1, 16, 316, 128, 357, 383, 2, 3
1758417291697, 6, 16, 320, 123, 355, 377, 3, 10
1758417291697, 3, 14, 315, 122, 357, 384, 3, 1
1758417291697, 0, 23, 317, 121, 355, 380, 2, 3
1758417291697, 3, 11, 316, 124, 358, 379, 0, 2
1758417291697, 0, 4, 318, 123, 361, 382, 1, 2
1758417291697, 0, 0, 326, 122, 353, 380, 1, 2
1758417291697, 2, 0, 317, 122, 354, 382, 3, 2
1758417291697, 5, 0, 314, 121, 358, 385, 2, 2
1758417291697, 5, 0, 318, 121, 355, 385, 1, 2
1758417291697, 3, 15, 314, 121, 359, 381, 2, 2
1758417291697, 3, 19, 313, 122, 355, 381, 3, 3
1758417291697, 5, 5, 316, 123, 359, 381, 0, 3
1758417291697, 10, 5, 318, 120, 354, 381, 0, 2
1758417291697, 5, 4, 316, 126, 358, 381, 0, 3
1758417291697, 1, 5, 316, 123, 353, 381, 5, 3
1758417291697, 2, 17, 314, 119, 360, 381, 2, 3
1758417291697, 8, 7, 314, 120, 359, 383, 3, 2
1758417291697, 3, 6, 316, 128, 362, 382, 1, 2
1758417291697, 4, 11, 313, 122, 359, 380, 3, 1
1758417291697, 4, 16, 315, 128, 360, 383, 1, 2
1758417291697, 4, 17, 313, 120, 358, 381, 2, 3
1758417291697, 1, 15, 315, 120, 359, 381, 2, 3
1758417291697, 3, 11, 313, 123, 355, 382, 1, 2
1758417291697, 5, 24, 315, 123, 355, 377, 1, 3
1758417291697, 0, 7, 313, 120, 361, 387, 3, 2
1758417291697, 2, 0, 316, 126, 359, 382, 0, 4
1758417291697, 3, 0, 315, 120, 359, 379, 0, 2
1758417291697, 3, 1, 318, 121, 361, 381, 11, 2
1758417291697, 2, 0, 316, 122, 355, 379, 2, 5
1758417291697, 4, 0, 317, 119, 359, 389, 1, 4
1758417291697, 4, 3, 312, 121, 359, 383, 2, 1
1758417291697, 0, 3, 316, 119, 358, 379, 2, 4
1758417291697, 2, 3, 319, 124, 363, 380, 5, 3
1758417291697, 6, 4, 316, 119, 360, 383, 1, 7
1758417291697, 6, 4, 313, 120, 360, 380, 0, 3
1758417291697, 2, 4, 316, 122, 358, 379, 2, 2
1758417291697, 1, 11, 318, 120, 365, 379, 0, 6
1758417291697, 0, 20, 315, 120, 356, 382, 3, 2
1758417291697, 0, 14, 316, 120, 358, 380, 2, 7
1758417291697, 2, 16, 314, 121, 355, 386, 3, 2
1758417291697, 9, 16, 316, 121, 357, 385, 1, 2
1758417291697, 0, 16, 317, 122, 357, 383, 0, 3
1758417291697, 6, 12, 314, 121, 353, 385, 11, 3
1758417291697, 4, 23, 314, 123, 359, 382, 1, 2
1758417291697, 1, 6, 314, 120, 355, 381, 2, 3
1758417291697, 7, 2, 319, 121, 357, 379, 0, 8
1758417291697, 3, 0, 324, 121, 363, 392, 2, 3
1758417291697, 9, 0, 316, 121, 358, 379, 1, 1
1758417291697, 1, 0, 314, 121, 357, 382, 1, 4
1758417291697, 6, 1, 316, 120, 358, 379, 1, 2
1758417291697, 6, 3, 316, 121, 360, 379, 4, 3
1758417291697, 3, 3, 317, 122, 359, 390, 3, 3
1758417291697, 1, 3, 321, 124, 359, 383, 1, 3
1758417291697, 7, 4, 320, 121, 363, 384, 3, 2
1758417291697, 3, 5, 314, 121, 369, 380, 1, 2
1758417291697, 4, 5, 315, 121, 367, 382, 0, 1
1758417291697, 3, 5, 325, 122, 361, 384, 2, 3
1758417291697, 3, 5, 317, 121, 357, 381, 1, 1
1758417291697, 7, 25, 325, 124, 357, 379, 1, 3
1758417291697, 0, 26, 318, 122, 369, 380, 3, 3
1758417291697, 6, 17, 315, 119, 361, 385, 3, 3
1758417291697, 3, 14, 316, 122, 358, 390, 3, 11
1758417291697, 3, 11, 323, 120, 359, 385, 3, 7
1758417291697, 10, 8, 319, 122, 360, 382, 3, 2
1758417291697, 0, 8, 318, 123, 362, 388, 4, 3
1758417291697, 1, 0, 325, 121, 357, 388, 0, 3
1758417291697, 7, 0, 317, 121, 368, 386, 1, 3
1758417291697, 4, 12, 316, 120, 363, 388, 2, 2
1758417291697, 6, 0, 316, 122, 362, 388, 2, 2
1758417291697, 4, 17, 317, 121, 361, 387, 2, 3
1758417291697, 6, 5, 327, 121, 360, 388, 1, 3
1758417291697, 5, 4, 324, 121, 357, 389, 7, 2
1758417291697, 0, 4, 318, 123, 359, 387, 1, 2
1758417291697, 2, 4, 319, 118, 356, 388, 0, 2
1758417291697, 3, 4, 317, 124, 361, 398, 3, 3
1758417291697, 5, 5, 318, 121, 367, 388, 12, 3
1758417291697, 1, 5, 319, 120, 363, 390, 1, 3
1758417291697, 5, 7, 315, 121, 360, 389, 1, 3
1758417291697, 0, 11, 319, 121, 356, 388, 1, 5
1758417291697, 2, 16, 317, 124, 362, 391, 2, 3
1758417291697, 10, 17, 313, 120, 362, 389, 0, 2
1758417291697, 7, 14, 318, 120, 358, 387, 0, 2
1758417291697, 0, 25, 319, 120, 357, 388, 2, 2
1758417291697, 0, 12, 315, 122, 355, 399, 1, 1
1758417291697, 8, 4, 315, 122, 361, 389, 2, 6
1758417291697, 7, 0, 316, 123, 359, 399, 2, 6
1758417291697, 6, 0, 319, 122, 361, 387, 2, 2
1758417291697, 3, 0, 321, 122, 357, 387, 3, 3
1758417291697, 2, 0, 313, 123, 360, 395, 2, 3
1758417291697, 2, 0, 313, 120, 358, 386, 1, 2
1758417291697, 0, 2, 316, 123, 359, 389, 0, 3
1758417291697, 0, 3, 316, 120, 362, 389, 2, 4
1758417291697, 1, 4, 313, 129, 359, 387, 2, 2
1758417291697, 2, 4, 316, 123, 358, 393, 1, 3
1758417291697, 5, 4, 317, 121, 359, 384, 2, 1
1758417291697, 6, 5, 314, 123, 355, 391, 2, 3
1758417291697, 14, 5, 316, 124, 358, 391, 2, 3
1758417291697, 5, 7, 318, 126, 356, 391, 4, 4
1758417291697, 1, 13, 315, 122, 363, 396, 2, 3
1758417291697, 3, 16, 313, 121, 359, 387, 3, 3
1758417291697, 4, 16, 318, 123, 362, 390, 2, 2
1758417291697, 3, 15, 315, 121, 361, 387, 0, 2
1758417291697, 5, 12, 319, 123, 355, 395, 9, 3
1758417291697, 4, 9, 313, 122, 356, 390, 0, 3
1758417291697, 5, 16, 318, 121, 359, 387, 2, 2
1758417291697, 3, 1, 313, 122, 356, 391, 3, 2
1758417291697, 3, 0, 313, 123, 358, 391, 4, 3
1758417291697, 6, 0, 315, 120, 355, 390, 2, 3
1758417291697, 5, 0, 320, 121, 357, 391, 2, 4
1758417291697, 6, 12, 318, 120, 359, 391, 1, 2
1758417291697, 0, 4, 319, 120, 358, 388, 1, 3
1758417291697, 4, 4, 314, 121, 362, 380, 7, 11
1758417291697, 0, 5, 316, 120, 363, 381, 2, 1
1758417291697, 3, 4, 316, 120, 356, 379, 2, 2
1758417291697, 4, 15, 317, 121, 359, 377, 2, 1
1758417291697, 6, 6, 320, 121, 355, 383, 2, 3
1758417291697, 1, 7, 318, 123, 358, 379, 3, 2
1758417291697, 4, 7, 321, 123, 355, 381, 7, 3
1758417291697, 0, 12, 318, 122, 357, 384, 2, 1
1758417291697, 6, 17, 315, 123, 361, 380, 1, 2
1758417291697, 12, 18, 313, 123, 357, 385, 5, 2
1758417291697, 3, 30, 317, 121, 356, 379, 0, 3
1758417291697, 10, 27, 316, 121, 361, 383, 2, 3
1758417291697, 7, 24, 316, 120, 358, 387, 4, 3
1758417291697, 2, 19, 319, 123, 358, 379, 3, 3
1758417291697, 5, 2, 318, 121, 357, 378, 4, 4
1758417291697, 3, 13, 316, 121, 362, 382, 7, 3
1758417291697, 6, 2, 319, 125, 362, 382, 1, 3
1758417291697, 4, 0, 319, 122, 355, 384, 1, 3
1758417291697, 0, 1, 315, 122, 354, 382, 2, 3
1758417291697, 8, 2, 316, 123, 359, 382, 10, 2
1758417291697, 0, 4, 315, 127, 357, 385, 1, 2
1758417291697, 4, 4, 317, 122, 363, 379, 2, 3
1758417291697, 5, 20, 322, 122, 359, 384, 0, 3
1758417291697, 5, 7, 316, 124, 361, 383, 1, 6
1758417291697, 8, 18, 316, 121, 356, 381, 2, 3
1758417291697, 17, 7, 326, 123, 355, 391, 1, 3
1758417291697, 5, 19, 315, 122, 358, 379, 1, 2
1758417291697, 5, 14, 315, 123, 356, 383, 3, 3
1758417291697, 5, 17, 315, 122, 357, 383, 2, 5
1758417291697, 1, 33, 318, 123, 359, 385, 2, 2
1758417291697, 5, 32, 318, 121, 359, 385, 3, 2
1758417291697, 0, 14, 325, 123, 355, 379, 3, 2
1758417291697, 7, 10, 326, 124, 360, 379, 1, 5
1758417291697, 0, 3, 316, 124, 367, 383, 2, 3
1758417291697, 4, 0, 316, 121, 361, 377, 8, 1
1758417291699, 8, 0, 316, 123, 360, 381, 2, 3
1758417291699, 5, 0, 315, 121, 363, 378, 1, 3
1758417291699, 4, 0, 316, 123, 361, 378, 1, 4
1758417291700, 3, 0, 313, 122, 358, 382, 0, 3
1758417291702, 0, 3, 317, 129, 359, 377, 0, 3
1758417291712, 5, 4, 315, 123, 359, 377, 0, 2
1758417291712, 0, 3, 313, 121, 357, 382, 0, 2
1758417291712, 7, 8, 317, 122, 355, 380, 1, 3
1758417291712, 4, 5, 315, 122, 357, 383, 2, 2
1758417291712, 1, 5, 318, 121, 362, 375, 0, 3
1758417291712, 6, 6, 317, 128, 355, 377, 3, 2
1758417291712, 4, 7, 319, 123, 366, 386, 1, 2
1758417291712, 0, 13, 319, 127, 360, 375, 1, 3
1758417291712, 3, 16, 318, 130, 358, 373, 3, 2
1758417291712, 16, 27, 315, 122, 357, 380, 1, 3
1758417291712, 7, 15, 319, 122, 361, 380, 1, 2
1758417291725, 8, 11, 320, 120, 360, 378, 2, 2
1758417291725, 3, 9, 316, 132, 358, 377, 3, 4
1758417291725, 2, 3, 319, 127, 360, 379, 2, 3
1758417291725, 4, 0, 316, 123, 361, 377, 2, 3
1758417291725, 4, 0, 321, 123, 367, 380, 1, 2
1758417291725, 3, 10, 319, 125, 360, 378, 2, 2
1758417291725, 11, 0, 315, 123, 355, 382, 1, 3
1758417291725, 1, 1, 317, 122, 357, 379, 2, 2
1758417291725, 7, 3, 315, 122, 358, 378, 1, 1
1758417291725, 1, 4, 318, 124, 360, 380, 0, 2
1758417291725, 8, 4, 318, 124, 358, 383, 1, 3
1758417291725, 2, 4, 320, 122, 359, 375, 3, 3
1758417291725, 2, 4, 317, 121, 360, 377, 0, 3
1758417291739, 0, 4, 319, 123, 365, 379, 1, 2
1758417291739, 3, 6, 322, 121, 362, 381, 3, 12
1758417291739, 3, 6, 315, 123, 360, 390, 2, 2
1758417291739, 3, 12, 320, 121, 357, 384, 1, 3
1758417291739, 4, 16, 321, 123, 357, 387, 2, 3
1758417291739, 2, 17, 319, 123, 358, 383, 3, 7
1758417291739, 4, 15, 316, 121, 355, 383, 0, 4
1758417291739, 4, 26, 316, 121, 357, 383, 1, 1
1758417291739, 6, 27, 318, 121, 356, 384, 3, 3
1758417291739, 6, 19, 319, 120, 359, 380, 3, 1
1758417291739, 5, 1, 318, 120, 359, 384, 3, 2
1758417291739, 5, 0, 323, 121, 359, 383, 2, 3
1758417291751, 4, 0, 315, 122, 359, 381, 1, 3
1758417291751, 7, 0, 317, 133, 367, 381, 1, 4
