unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758417498640, R, -1, 2, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758417498735, 5, 11, 631, 125, 304, 327, 2, 3
1758417498735, 0, 8, 632, 127, 304, 325, 2, 2
1758417498735, 2, 8, 631, 129, 305, 329, 2, 3
1758417498735, 0, 20, 623, 128, 308, 325, 2, 2
1758417498735, 1, 6, 628, 128, 307, 333, 3, 3
1758417498735, 4, 18, 625, 130, 307, 322, 1, 4
1758417498735, 7, 19, 627, 130, 304, 326, 3, 3
1758417498735, 2, 2, 626, 122, 304, 331, 3, 3
1758417498735, 8, 2, 628, 124, 310, 327, 0, 3
1758417498735, 7, 3, 623, 121, 312, 330, 0, 2
1758417498735, 13, 4, 623, 117, 307, 329, 2, 1
1758417498735, 2, 4, 623, 117, 306, 326, 1, 3
1758417498735, 3, 5, 616, 117, 303, 327, 2, 2
1758417498735, 5, 19, 619, 114, 307, 327, 8, 2
1758417498735, 1, 18, 616, 109, 301, 323, 0, 2
1758417498735, 4, 7, 619, 120, 303, 327, 3, 2
1758417498735, 2, 7, 623, 118, 304, 330, 2, 2
1758417498735, 6, 9, 607, 128, 304, 327, 1, 3
1758417498735, 6, 10, 610, 120, 303, 332, 2, 1
1758417498735, 5, 11, 615, 118, 310, 327, 1, 2
1758417498735, 0, 11, 612, 118, 305, 327, 1, 2
1758417498735, 5, 9, 610, 115, 313, 324, 1, 1
1758417498735, 5, 8, 607, 116, 302, 331, 2, 4
1758417498735, 3, 4, 604, 122, 307, 325, 10, 2
1758417498735, 0, 17, 601, 116, 305, 321, 2, 2
1758417498735, 1, 18, 607, 126, 308, 321, 1, 1
1758417498735, 5, 17, 599, 120, 305, 320, 0, 3
1758417498735, 2, 2, 613, 115, 302, 325, 2, 2
1758417498735, 2, 2, 606, 115, 302, 324, 2, 3
1758417498735, 1, 3, 611, 119, 302, 324, 2, 2
1758417498735, 5, 19, 609, 115, 306, 323, 4, 1
1758417498735, 8, 7, 603, 119, 307, 321, 3, 4
