unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758417534662, R, 1, 2, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758417534785, 12, 1, 456, 128, 345, 414, 2, 3
1758417534785, 5, 3, 459, 130, 341, 418, 1, 2
1758417534785, 0, 11, 456, 129, 343, 411, 3, 4
1758417534785, 4, 6, 455, 131, 345, 414, 1, 2
1758417534785, 6, 5, 455, 133, 344, 414, 2, 3
1758417534785, 3, 4, 456, 131, 345, 415, 0, 2
1758417534785, 3, 5, 461, 128, 343, 416, 3, 3
1758417534785, 6, 19, 461, 131, 341, 418, 1, 2
1758417534785, 2, 6, 460, 128, 344, 419, 2, 3
1758417534785, 1, 6, 456, 130, 343, 425, 2, 3
1758417534785, 3, 8, 456, 129, 342, 417, 10, 2
1758417534785, 5, 10, 462, 130, 341, 416, 1, 3
1758417534785, 5, 12, 456, 130, 343, 419, 1, 2
1758417534785, 3, 11, 461, 129, 344, 411, 2, 3
1758417534785, 7, 14, 454, 129, 339, 411, 2, 2
1758417534785, 5, 9, 456, 128, 344, 413, 8, 3
1758417534785, 3, 6, 460, 130, 341, 416, 0, 3
1758417534785, 4, 19, 458, 134, 339, 413, 3, 2
1758417534785, 5, 4, 461, 128, 344, 419, 1, 3
1758417534785, 4, 5, 456, 129, 347, 418, 3, 2
1758417534785, 2, 16, 460, 128, 342, 419, 2, 5
1758417534785, 6, 19, 458, 139, 341, 419, 1, 4
1758417534785, 6, 5, 455, 135, 341, 413, 2, 12
1758417534785, 1, 5, 461, 129, 341, 419, 3, 3
1758417534785, 3, 19, 458, 126, 344, 419, 1, 3
1758417534785, 9, 14, 461, 128, 339, 416, 2, 5
1758417534785, 3, 6, 464, 137, 344, 416, 3, 3
1758417534785, 5, 6, 460, 129, 339, 414, 2, 3
1758417534785, 6, 19, 457, 134, 345, 419, 2, 3
1758417534785, 4, 8, 455, 130, 345, 419, 2, 3
1758417534785, 2, 8, 464, 131, 345, 416, 2, 3
1758417534785, 0, 10, 458, 129, 341, 418, 2, 3
1758417534785, 6, 11, 458, 129, 345, 416, 1, 2
1758417534785, 6, 11, 457, 129, 341, 416, 2, 7
1758417534785, 0, 9, 455, 129, 341, 416, 2, 3
1758417534785, 3, 22, 463, 128, 348, 411, 1, 3
1758417534785, 12, 8, 460, 128, 346, 416, 2, 2
1758417534785, 5, 20, 458, 129, 342, 424, 0, 3
1758417534785, 3, 3, 457, 129, 341, 416, 2, 3
1758417534785, 4, 3, 460, 132, 344, 419, 1, 3
1758417534785, 5, 1, 459, 129, 349, 417, 2, 3
1758417534785, 7, 1, 457, 128, 343, 416, 1, 2
1758417534785, 5, 19, 456, 129, 351, 413, 1, 3
1758417534785, 1, 21, 459, 137, 342, 413, 1, 2
1758417534785, 8, 6, 463, 127, 339, 417, 1, 3
