unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758417594699, R, -1, 2, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758417594789, 0, 10, 516, 129, 292, 291, 2, 2
1758417594789, 6, 10, 514, 131, 291, 282, 0, 3
1758417594789, 1, 11, 511, 131, 295, 285, 1, 3
1758417594789, 0, 10, 515, 128, 293, 283, 2, 3
1758417594789, 9, 9, 515, 129, 295, 288, 1, 2
1758417594789, 1, 7, 517, 128, 295, 283, 1, 2
1758417594789, 0, 5, 515, 130, 296, 285, 1, 4
1758417594789, 3, 3, 509, 132, 294, 284, 1, 2
1758417594789, 2, 3, 517, 127, 299, 281, 2, 4
1758417594789, 5, 1, 520, 129, 296, 285, 2, 3
1758417594789, 15, 2, 511, 135, 301, 280, 7, 1
1758417594789, 4, 3, 514, 130, 293, 285, 1, 3
1758417594789, 0, 4, 515, 128, 301, 283, 1, 3
1758417594789, 4, 16, 517, 128, 299, 292, 2, 8
1758417594789, 1, 6, 512, 127, 299, 281, 1, 2
1758417594789, 0, 5, 512, 129, 295, 285, 3, 4
1758417594789, 4, 5, 514, 129, 296, 290, 2, 3
1758417594789, 4, 6, 514, 127, 297, 281, 1, 2
1758417594789, 4, 21, 517, 129, 298, 287, 1, 3
1758417594789, 3, 9, 511, 128, 295, 285, 2, 6
1758417594789, 6, 10, 516, 130, 296, 284, 2, 3
1758417594789, 3, 10, 511, 129, 299, 284, 2, 3
1758417594789, 2, 10, 511, 130, 297, 284, 2, 3
1758417594789, 6, 9, 512, 131, 295, 281, 12, 3
1758417594789, 0, 7, 518, 127, 305, 284, 2, 3
1758417594789, 5, 6, 510, 128, 301, 284, 1, 2
1758417594789, 3, 15, 511, 130, 293, 280, 2, 2
1758417594789, 5, 3, 515, 128, 295, 280, 11, 3
1758417594789, 0, 4, 512, 129, 297, 280, 1, 3
1758417594789, 3, 0, 511, 130, 296, 284, 2, 3
1758417594789, 8, 2, 523, 127, 296, 285, 1, 3
1758417594789, 2, 3, 515, 129, 301, 284, 2, 3
1758417594789, 1, 4, 517, 135, 298, 283, 1, 3
1758417594789, 10, 19, 511, 130, 294, 283, 2, 3
1758417594789, 5, 20, 514, 128, 297, 286, 2, 3
1758417594789, 10, 7, 515, 128, 296, 290, 2, 6
1758417594789, 5, 5, 515, 130, 299, 287, 1, 4
1758417594789, 6, 20, 515, 127, 302, 286, 2, 3
1758417594789, 8, 23, 514, 127, 299, 283, 2, 2
1758417594789, 4, 26, 514, 131, 300, 283, 1, 3
1758417594789, 2, 12, 512, 129, 295, 285, 2, 3
