unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758417823634, R, 5, 3, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758417823757, 7, 4, 523, 162, 324, 302, 2, 3
1758417823757, 2, 5, 528, 165, 323, 302, 1, 4
1758417823757, 4, 20, 528, 171, 322, 303, 1, 3
1758417823757, 9, 9, 525, 163, 330, 303, 2, 2
1758417823757, 3, 12, 527, 163, 328, 303, 2, 2
1758417823757, 4, 13, 522, 160, 331, 303, 2, 2
1758417823757, 5, 15, 517, 159, 324, 300, 2, 1
1758417823757, 4, 27, 515, 160, 319, 303, 1, 3
1758417823757, 5, 11, 528, 159, 324, 303, 3, 1
1758417823757, 7, 8, 521, 160, 318, 299, 3, 2
1758417823757, 0, 13, 518, 161, 318, 302, 2, 5
1758417823757, 3, 1, 520, 157, 317, 302, 0, 3
1758417823757, 2, 15, 520, 158, 320, 304, 1, 3
1758417823757, 2, 3, 523, 168, 321, 303, 5, 3
1758417823757, 4, 0, 522, 157, 319, 302, 0, 2
1758417823757, 7, 15, 522, 164, 317, 302, 2, 3
1758417823757, 6, 5, 520, 159, 319, 300, 1, 4
1758417823757, 6, 19, 517, 157, 318, 303, 3, 3
1758417823757, 6, 5, 517, 162, 323, 303, 1, 2
1758417823757, 0, 16, 520, 157, 317, 305, 2, 4
1758417823757, 3, 6, 518, 158, 315, 306, 1, 3
1758417823757, 6, 21, 518, 158, 315, 301, 1, 3
1758417823757, 2, 7, 519, 157, 315, 299, 1, 4
1758417823757, 2, 20, 517, 154, 313, 299, 1, 8
1758417823757, 8, 13, 513, 160, 315, 303, 3, 3
1758417823757, 5, 14, 507, 157, 313, 302, 1, 3
1758417823757, 1, 13, 507, 153, 317, 302, 0, 3
1758417823757, 10, 12, 511, 156, 319, 304, 1, 4
1758417823757, 2, 9, 503, 156, 315, 306, 8, 3
1758417823757, 2, 7, 510, 155, 313, 309, 1, 4
1758417823757, 3, 3, 505, 155, 308, 312, 1, 4
1758417823757, 4, 0, 513, 152, 312, 303, 1, 0
1758417823757, 1, 0, 511, 153, 307, 302, 2, 2
1758417823757, 3, 2, 513, 154, 309, 301, 3, 2
1758417823757, 5, 0, 505, 155, 307, 299, 11, 3
1758417823757, 5, 2, 504, 153, 309, 298, 1, 3
1758417823757, 3, 3, 503, 151, 308, 297, 3, 2
1758417823757, 8, 3, 507, 153, 306, 299, 3, 1
1758417823757, 4, 6, 504, 152, 309, 298, 0, 2
1758417823757, 7, 4, 512, 151, 304, 298, 2, 3
1758417823757, 3, 5, 509, 154, 305, 297, 2, 3
1758417823757, 4, 5, 511, 153, 303, 307, 3, 2
1758417823757, 2, 5, 509, 156, 305, 299, 1, 3
1758417823757, 3, 6, 504, 156, 307, 299, 2, 3
1758417823757, 10, 11, 507, 153, 305, 303, 11, 2
1758417823757, 7, 13, 499, 154, 300, 302, 1, 3
1758417823757, 5, 13, 505, 152, 300, 299, 2, 3
1758417823757, 7, 12, 504, 155, 300, 297, 0, 3
1758417823757, 12, 9, 508, 153, 302, 298, 7, 1
1758417823757, 4, 17, 510, 158, 305, 296, 0, 11
1758417823757, 5, 5, 510, 154, 302, 297, 2, 3
1758417823757, 3, 1, 509, 155, 301, 295, 2, 2
1758417823757, 2, 0, 511, 155, 299, 301, 2, 3
1758417823757, 6, 16, 509, 155, 303, 300, 2, 2
1758417823757, 4, 14, 512, 154, 307, 298, 2, 3
1758417823757, 4, 5, 509, 153, 302, 298, 2, 3
1758417823757, 0, 4, 509, 155, 304, 296, 3, 2
1758417823757, 0, 7, 509, 152, 300, 300, 2, 2
1758417823757, 0, 5, 514, 152, 302, 300, 2, 7
1758417823757, 1, 5, 510, 155, 305, 305, 0, 3
1758417823757, 11, 5, 519, 156, 304, 295, 10, 4
1758417823757, 3, 4, 511, 153, 306, 298, 2, 3
1758417823757, 6, 6, 511, 155, 301, 300, 2, 2
1758417823757, 6, 5, 520, 155, 306, 295, 1, 3
1758417823757, 3, 12, 519, 154, 308, 299, 1, 7
1758417823757, 7, 13, 517, 155, 307, 297, 1, 6
1758417823757, 6, 14, 518, 154, 301, 297, 1, 2
1758417823757, 4, 12, 515, 153, 300, 299, 0, 4
1758417823757, 4, 10, 525, 150, 305, 303, 1, 3
1758417823757, 8, 23, 516, 151, 302, 296, 7, 4
1758417823757, 5, 5, 518, 150, 301, 301, 1, 1
1758417823757, 7, 0, 520, 151, 304, 298, 1, 3
1758417823757, 7, 0, 517, 151, 306, 299, 1, 3
1758417823757, 9, 2, 516, 153, 302, 295, 1, 9
1758417823757, 10, 0, 516, 151, 301, 299, 2, 7
1758417823757, 12, 2, 516, 150, 303, 298, 2, 3
1758417823757, 4, 4, 514, 150, 305, 296, 1, 3
1758417823757, 4, 7, 515, 152, 305, 303, 1, 2
1758417823757, 0, 5, 511, 151, 305, 299, 3, 3
1758417823757, 2, 6, 518, 152, 304, 303, 3, 3
1758417823757, 1, 5, 518, 153, 303, 303, 0, 8
1758417823757, 3, 6, 517, 151, 302, 302, 2, 3
1758417823757, 9, 5, 523, 152, 301, 298, 2, 3
1758417823757, 2, 6, 521, 152, 302, 300, 0, 3
1758417823757, 0, 11, 527, 150, 301, 304, 4, 4
1758417823757, 0, 13, 520, 153, 307, 303, 2, 2
1758417823757, 7, 25, 518, 148, 303, 302, 1, 3
1758417823757, 7, 13, 520, 151, 305, 305, 2, 3
1758417823757, 5, 9, 523, 150, 304, 300, 0, 2
1758417823757, 4, 8, 526, 151, 304, 299, 3, 2
1758417823757, 5, 3, 526, 150, 312, 299, 2, 9
1758417823757, 4, 0, 526, 148, 304, 298, 1, 2
1758417823757, 0, 0, 521, 148, 304, 300, 4, 3
1758417823757, 4, 2, 523, 150, 303, 299, 5, 3
1758417823757, 5, 0, 527, 147, 305, 303, 3, 2
1758417823757, 2, 2, 525, 148, 308, 298, 3, 3
1758417823757, 0, 19, 537, 148, 305, 303, 11, 0
1758417823757, 6, 12, 526, 149, 303, 306, 2, 3
1758417823757, 4, 5, 530, 150, 304, 304, 2, 3
1758417823757, 4, 5, 523, 151, 305, 303, 3, 2
1758417823757, 5, 11, 531, 150, 305, 301, 1, 3
1758417823757, 8, 6, 525, 147, 304, 301, 2, 3
1758417823757, 4, 21, 528, 148, 304, 302, 2, 2
1758417823757, 4, 9, 528, 149, 311, 303, 2, 2
1758417823757, 3, 27, 528, 149, 304, 301, 1, 3
1758417823757, 4, 16, 531, 148, 309, 303, 1, 3
1758417823757, 3, 15, 522, 149, 305, 303, 3, 2
1758417823757, 4, 12, 529, 150, 302, 302, 1, 4
1758417823757, 6, 9, 532, 156, 302, 306, 2, 3
1758417823757, 7, 8, 527, 147, 305, 297, 2, 6
1758417823757, 10, 3, 523, 152, 305, 304, 1, 3
1758417823757, 4, 1, 530, 150, 308, 301, 1, 3
1758417823757, 1, 0, 523, 157, 303, 297, 5, 2
1758417823757, 5, 16, 523, 150, 304, 295, 1, 3
1758417823757, 5, 0, 527, 149, 306, 297, 2, 3
1758417823757, 1, 2, 524, 151, 303, 295, 2, 3
1758417823757, 5, 4, 524, 151, 306, 296, 3, 1
1758417823757, 0, 3, 527, 150, 305, 299, 3, 3
1758417823757, 2, 6, 524, 150, 304, 299, 1, 4
1758417823757, 8, 6, 528, 147, 304, 297, 2, 2
1758417823757, 4, 5, 527, 148, 307, 299, 1, 3
1758417823759, 7, 4, 527, 148, 305, 300, 3, 3
1758417823759, 1, 21, 525, 150, 308, 298, 3, 2
1758417823759, 0, 8, 530, 149, 307, 295, 3, 3
1758417823759, 7, 11, 530, 148, 306, 300, 7, 2
1758417823760, 1, 13, 531, 150, 312, 299, 0, 2
1758417823762, 2, 15, 528, 150, 309, 296, 6, 4
1758417823762, 5, 27, 544, 150, 307, 298, 0, 3
1758417823770, 0, 25, 529, 148, 303, 304, 2, 3
1758417823770, 8, 10, 535, 151, 305, 297, 1, 3
1758417823770, 8, 4, 536, 151, 306, 295, 2, 2
1758417823770, 4, 16, 536, 149, 309, 296, 1, 3
1758417823770, 9, 2, 532, 150, 309, 300, 2, 3
1758417823770, 4, 12, 536, 149, 309, 302, 2, 3
1758417823770, 2, 13, 537, 149, 309, 301, 1, 5
1758417823770, 6, 3, 535, 149, 307, 295, 4, 2
1758417823783, 1, 4, 539, 154, 310, 295, 3, 3
1758417823783, 8, 6, 536, 152, 311, 297, 2, 2
1758417823783, 9, 4, 537, 147, 306, 303, 5, 3
1758417823783, 7, 7, 538, 151, 309, 299, 3, 2
1758417823783, 8, 17, 539, 148, 309, 303, 0, 2
1758417823783, 9, 7, 547, 148, 318, 299, 2, 3
1758417823783, 3, 5, 540, 150, 307, 301, 1, 3
1758417823783, 5, 21, 540, 151, 306, 295, 1, 2
1758417823783, 7, 13, 541, 151, 309, 300, 3, 6
1758417823783, 6, 13, 543, 149, 308, 295, 2, 2
1758417823783, 3, 14, 539, 148, 308, 305, 2, 2
1758417823783, 3, 12, 543, 148, 304, 300, 3, 2
1758417823795, 2, 9, 543, 154, 314, 300, 0, 2
1758417823795, 3, 7, 543, 148, 304, 296, 3, 2
1758417823795, 6, 4, 543, 149, 304, 300, 0, 3
1758417823795, 4, 0, 539, 155, 304, 297, 2, 3
1758417823795, 0, 0, 540, 149, 307, 304, 0, 3
1758417823795, 2, 1, 540, 150, 303, 300, 10, 3
1758417823795, 15, 13, 550, 145, 304, 295, 2, 5
1758417823795, 2, 4, 537, 147, 304, 299, 2, 3
1758417823795, 3, 4, 542, 144, 301, 298, 3, 3
1758417823795, 5, 4, 544, 147, 301, 303, 4, 3
1758417823795, 2, 4, 541, 146, 304, 303, 2, 3
1758417823795, 7, 4, 539, 148, 304, 300, 1, 2
1758417823795, 3, 7, 539, 150, 304, 297, 1, 2
1758417823808, 3, 9, 536, 151, 304, 300, 2, 2
1758417823808, 6, 19, 542, 147, 304, 300, 3, 4
1758417823808, 3, 8, 535, 146, 304, 299, 2, 3
1758417823808, 4, 11, 544, 147, 306, 296, 2, 2
1758417823808, 4, 14, 548, 147, 301, 303, 11, 3
1758417823808, 7, 14, 539, 147, 303, 298, 1, 3
1758417823808, 4, 26, 544, 146, 302, 302, 3, 3
1758417823808, 8, 11, 543, 144, 303, 296, 4, 5
1758417823808, 1, 8, 535, 144, 311, 301, 2, 2
1758417823808, 6, 3, 536, 144, 305, 299, 1, 3
1758417823808, 3, 14, 538, 145, 303, 302, 1, 3
1758417823808, 3, 14, 535, 147, 302, 299, 2, 3
1758417823822, 6, 4, 547, 145, 303, 296, 2, 3
1758417823822, 4, 0, 535, 146, 299, 307, 1, 1
1758417823822, 4, 1, 540, 144, 299, 302, 2, 2
1758417823822, 5, 4, 540, 143, 304, 299, 3, 4
1758417823822, 12, 5, 541, 141, 305, 298, 3, 11
1758417823822, 6, 19, 536, 139, 299, 297, 2, 3
1758417823822, 6, 7, 543, 140, 297, 300, 3, 1
1758417823822, 0, 21, 543, 141, 299, 300, 2, 3
1758417823822, 4, 23, 543, 139, 305, 303, 1, 2
1758417823822, 1, 8, 545, 140, 299, 299, 1, 3
1758417823822, 3, 22, 542, 141, 301, 305, 0, 4
1758417823822, 2, 12, 546, 139, 303, 300, 1, 3
1758417823822, 5, 14, 539, 141, 299, 299, 3, 2
1758417823822, 3, 13, 543, 139, 300, 306, 2, 1
1758417823822, 0, 26, 539, 144, 302, 298, 3, 0
1758417823832, 3, 26, 545, 143, 300, 300, 0, 3
1758417823832, 6, 10, 547, 144, 302, 301, 1, 2
