unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758418005969, R, -2, 4, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758418006122, 4, 12, 647, 190, 348, 315, 2, 2
1758418006122, 1, 10, 651, 191, 357, 310, 5, 4
1758418006122, 6, 8, 647, 189, 347, 310, 1, 3
1758418006122, 0, 5, 644, 187, 350, 314, 3, 3
1758418006122, 3, 16, 647, 190, 345, 311, 2, 1
1758418006122, 8, 2, 644, 192, 349, 312, 6, 3
1758418006122, 2, 17, 646, 189, 351, 310, 2, 2
1758418006122, 14, 0, 639, 191, 347, 313, 0, 3
1758418006122, 4, 2, 643, 187, 351, 310, 2, 3
1758418006122, 3, 4, 645, 192, 348, 311, 3, 2
1758418006122, 0, 19, 644, 191, 351, 309, 11, 3
1758418006122, 9, 7, 644, 199, 350, 310, 1, 3
1758418006122, 3, 5, 647, 189, 345, 311, 1, 1
1758418006122, 7, 3, 645, 190, 347, 313, 3, 3
1758418006122, 2, 5, 639, 195, 350, 312, 2, 2
1758418006122, 8, 5, 641, 191, 348, 315, 2, 2
1758418006122, 3, 6, 647, 189, 349, 310, 3, 3
1758418006122, 2, 10, 640, 192, 362, 312, 2, 3
1758418006122, 5, 12, 647, 190, 345, 311, 2, 3
1758418006122, 9, 14, 641, 190, 350, 312, 3, 3
1758418006122, 9, 12, 641, 190, 348, 311, 3, 12
1758418006122, 1, 10, 647, 190, 346, 312, 2, 2
1758418006122, 8, 8, 647, 189, 348, 312, 3, 2
1758418006122, 4, 4, 643, 193, 345, 311, 2, 2
1758418006122, 5, 17, 644, 191, 348, 312, 2, 3
1758418006122, 4, 3, 651, 201, 357, 312, 3, 3
1758418006122, 5, 3, 655, 190, 350, 312, 1, 2
1758418006122, 6, 0, 649, 191, 349, 309, 8, 2
1758418006122, 9, 2, 648, 193, 349, 312, 1, 3
1758418006122, 5, 5, 649, 190, 355, 312, 3, 3
1758418006122, 2, 5, 648, 187, 351, 307, 1, 3
1758418006122, 3, 4, 645, 194, 348, 312, 4, 2
1758418006122, 4, 3, 644, 191, 348, 312, 7, 2
1758418006122, 4, 6, 648, 192, 351, 312, 9, 3
1758418006122, 6, 5, 648, 189, 350, 311, 0, 3
1758418006122, 0, 6, 648, 197, 347, 312, 3, 3
1758418006122, 5, 6, 643, 193, 350, 309, 3, 2
1758418006122, 7, 10, 643, 191, 356, 309, 2, 2
1758418006122, 5, 13, 645, 187, 346, 316, 3, 3
1758418006122, 8, 14, 652, 197, 347, 315, 12, 2
1758418006122, 0, 12, 653, 188, 350, 312, 4, 3
1758418006122, 0, 10, 646, 190, 350, 308, 2, 3
1758418006122, 0, 8, 641, 190, 353, 316, 3, 3
1758418006122, 3, 5, 639, 191, 351, 324, 2, 4
1758418006122, 4, 1, 643, 188, 348, 310, 2, 4
1758418006122, 6, 0, 643, 189, 348, 313, 1, 3
1758418006122, 5, 2, 651, 190, 347, 314, 2, 7
1758418006122, 6, 0, 648, 188, 350, 317, 2, 2
1758418006122, 2, 1, 648, 189, 351, 313, 2, 8
1758418006122, 3, 2, 649, 189, 355, 309, 4, 3
1758418006122, 2, 17, 647, 191, 349, 308, 4, 2
1758418006122, 5, 14, 644, 187, 348, 314, 1, 3
1758418006122, 0, 7, 653, 189, 347, 305, 1, 2
1758418006122, 4, 5, 645, 189, 345, 312, 9, 3
1758418006122, 3, 5, 649, 190, 345, 313, 1, 3
1758418006122, 0, 5, 651, 190, 347, 313, 2, 3
1758418006122, 4, 7, 646, 190, 350, 309, 3, 2
1758418006122, 8, 10, 651, 189, 347, 312, 2, 4
1758418006122, 6, 27, 651, 192, 345, 313, 2, 4
1758418006122, 4, 30, 649, 191, 351, 311, 0, 4
1758418006122, 3, 13, 644, 200, 350, 313, 1, 11
1758418006122, 4, 10, 641, 192, 346, 310, 0, 3
1758418006122, 0, 8, 655, 188, 353, 316, 6, 5
1758418006122, 0, 5, 651, 190, 347, 311, 1, 3
1758418006122, 3, 14, 651, 189, 345, 315, 1, 11
1758418006122, 1, 2, 648, 192, 349, 316, 1, 2
1758418006122, 3, 1, 643, 191, 348, 313, 1, 3
1758418006122, 4, 0, 655, 191, 350, 314, 2, 3
1758418006122, 1, 2, 651, 190, 347, 312, 1, 3
1758418006122, 7, 19, 650, 192, 349, 310, 1, 3
1758418006122, 8, 6, 645, 188, 349, 312, 3, 3
1758418006122, 8, 4, 652, 191, 348, 311, 1, 2
1758418006122, 3, 4, 653, 190, 347, 310, 1, 3
1758418006122, 2, 4, 651, 192, 350, 311, 1, 2
1758418006122, 5, 5, 651, 189, 346, 310, 1, 3
1758418006122, 3, 5, 653, 190, 348, 310, 2, 3
1758418006122, 2, 6, 653, 190, 346, 312, 1, 3
1758418006122, 8, 10, 648, 194, 350, 320, 2, 3
1758418006122, 4, 13, 653, 191, 350, 320, 1, 3
1758418006122, 3, 13, 648, 189, 347, 310, 1, 2
1758418006122, 4, 13, 648, 192, 349, 313, 3, 3
1758418006122, 3, 21, 648, 191, 348, 313, 1, 3
1758418006122, 1, 10, 652, 190, 349, 309, 3, 3
1758418006122, 3, 4, 645, 190, 351, 311, 4, 3
1758418006122, 3, 17, 648, 189, 344, 318, 2, 1
1758418006122, 10, 2, 648, 189, 348, 319, 2, 2
1758418006122, 3, 2, 654, 189, 351, 312, 4, 3
1758418006122, 3, 0, 648, 190, 348, 314, 3, 2
1758418006122, 5, 2, 648, 192, 350, 312, 1, 3
1758418006122, 4, 17, 650, 190, 349, 313, 3, 4
1758418006122, 6, 5, 652, 191, 348, 315, 2, 3
